APC,HC,HC3,HC36,HC5,HC53,HC536,HC56,LC,LC_APC,Va,Va3,Va36,Va36_APC,Va3_APC,Va5,Va53,Va536,Va536_APC,Va53_APC,Va56,Va56_APC,Va5_APC,VaA3,VaA36,VaA53,VaA536,VaLCA1,VaLCA1_APC,Va_APC,Time
1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.200840047903497e-09,3.423988765871649e-14,6.532114352286255e-23,7.503811958881283e-29,1.0228838496340584e-21,2.894353243749425e-25,5.8159644643074565e-31,1.1769085140434081e-27,3.409068702380316e-14,1.4920170909612678e-16,1.9820078216533664e-07,1.4257898909105447e-15,1.967400651320614e-21,1.0567856179191987e-18,5.900479947101502e-13,2.2336738959083892e-14,7.5917653038596e-18,1.7468188958127371e-23,1.1276565005655901e-20,4.0805912305455976e-15,3.0873907708460025e-20,1.659705601567031e-17,9.250189597516032e-12,5.727200072267436e-17,7.897169382603359e-23,3.047339097786874e-19,7.008628872656184e-25,2.132625764978009e-19,5.736355172851194e-17,1.7893160931654572e-09,0.01
6.747860543610236e-09,6.820098970960763e-14,9.413753400619753e-22,2.029141818532598e-27,1.4769685105030235e-20,7.845256439096476e-24,2.876809144727466e-29,3.1924632638494484e-26,6.767870502182544e-14,5.223004031112759e-16,1.9674761596837604e-07,1.0582428885748952e-14,2.826213305114405e-20,7.82217231470331e-18,2.1863458446555137e-12,1.661963550720467e-13,1.0937182593320261e-16,4.727780139538223e-22,1.6233671649747787e-19,3.031565364729127e-14,4.451985245738404e-19,1.2344009695734724e-16,3.4389360372618405e-11,4.2649022260958246e-16,1.1373241688505229e-21,4.4013137163812686e-18,1.9007863509281522e-23,3.0818756966409604e-18,4.278108169613552e-16,3.215532476977962e-09,0.02
5.570774685068286e-09,1.0193674795829673e-13,4.514035797864933e-21,1.4442789734567216e-26,7.096453020967771e-20,5.59765357699574e-23,3.012236516689564e-28,2.279623371282619e-25,1.0090545545063335e-13,1.0313680481525757e-15,1.9557010935085219e-07,3.3674941142012896e-14,1.3507514077381731e-19,2.480948287228412e-17,4.564820833584302e-12,5.302220030424291e-13,5.242953736592722e-16,3.3683083155321227e-21,7.773187809073666e-19,9.652216867033605e-14,2.1361846445632507e-18,3.9347429767650194e-16,7.204934741287488e-11,1.361242263249822e-15,5.448132146288702e-21,2.1146705447124233e-17,1.356676712525975e-22,1.4823155113369933e-17,1.367571397383394e-15,4.3525114479409654e-09,0.03
4.614927565501459e-09,1.3548967878141495e-13,1.360667312993514e-20,5.798680733531619e-26,2.1434453257942804e-19,2.2530192710605626e-22,1.6061819200116864e-27,9.182615500428104e-25,1.338743271149174e-13,1.6155798556030145e-15,1.9461352507707234e-07,7.547701905117121e-14,4.0579910576481333e-19,5.539988806064658e-17,7.547623662519909e-12,1.1915239178450182e-12,1.5799289238340831e-15,1.3536790626021254e-20,2.339069893080903e-18,2.1638359034270739e-13,6.4435069505172014e-18,8.831268277441994e-16,1.1955250486420337e-10,3.059314590787382e-15,1.6401298670174235e-20,6.385503423492515e-17,5.461232924724488e-22,4.4826943904628066e-17,3.078359628539642e-15,5.257749649753441e-09,0.04
3.837201153571702e-09,1.6889395215510085e-13,3.1764992420047976e-20,1.694358141159979e-25,5.014216601329214e-19,6.599812297643721e-22,5.869154646153142e-27,2.692031567880143e-24,1.6666142122983644e-13,2.2330647869019854e-15,1.9383468035031291e-07,1.3966425023332197e-13,9.441489963891795e-19,1.0209776945325599e-16,1.0992272311228132e-11,2.2106879667995687e-12,3.68730525927249e-15,3.9593325198246173e-20,5.450016022435011e-18,4.0037458444859394e-13,1.5052902031789655e-17,1.6359945603889084e-15,1.747491912453821e-10,5.675172262497647e-15,3.823175628862153e-20,1.4930634580607621e-16,1.5997113057219585e-21,1.0500471604590242e-16,5.719513723725416e-15,5.976646690594165e-09,0.05
3.2034599492642675e-09,2.0217704137507986e-13,6.309428654934829e-20,4.0492744339297174e-25,9.980423715021672e-19,1.5812823211784043e-21,1.6890529653339187e-26,6.4551953815445245e-24,1.9932233459329315e-13,2.8557695136195103e-15,1.9319938913365213e-07,2.2902474875398785e-13,1.868921186027022e-18,1.6669837758944356e-16,1.478470674051107e-11,3.634916140133668e-12,7.321825054771477e-15,9.47166272254022e-20,1.0802196195656217e-17,6.563618439365873e-13,2.9920010622348656e-17,2.6852319739831324e-15,2.359138874713787e-10,9.328018343248275e-15,7.581157434865665e-20,2.9699114135729353e-16,3.832179942879909e-21,2.0930140159310905e-16,9.415787726766751e-15,6.545169612578221e-09,0.06
2.686367601204363e-09,2.3536121270847447e-13,1.1211172960310478e-19,8.419238096631449e-25,1.7771441829414724e-18,3.2962722017766133e-21,4.1171196562130034e-26,1.3467217075839712e-23,2.318978255455315e-13,3.4652797367651226e-15,1.9268027573733037e-07,3.4565112632767627e-13,3.3093166029496733e-18,2.504440328107464e-16,1.88329947079113e-11,5.5008899886727474e-12,1.3005893762693134e-14,1.9712961868015283e-19,1.9150384500026755e-17,9.901658106294605e-13,5.320071035997579e-17,4.055785876853073e-15,3.016511821062534e-10,1.4109336970413321e-14,1.3446314043742663e-19,5.284186163455326e-16,7.986201049502636e-21,3.7324088270835953e-16,1.4264657153391982e-14,6.9921356465427995e-09,0.07
2.264035589963579e-09,2.6846447569388135e-13,1.8364710459040997e-19,1.580739536622323e-24,2.9172563891730284e-18,6.20489599192275e-21,8.878292622320181e-26,2.537146028160544e-23,2.644173001054468e-13,4.0502827302662346e-15,1.92255421509592e-07,4.91063790352817e-13,5.401765329620738e-18,3.5412642073126765e-16,2.3063308390973817e-11,7.83660499939147e-12,2.1297187496645533e-14,3.704795186988587e-19,3.1293911035387405e-17,1.405927654081856e-12,8.720412920864218e-17,5.765854248189999e-15,3.708357385820197e-10,2.0087814912879327e-14,2.1983306244159537e-19,8.66652629260214e-16,1.502788578507106e-20,6.136225902984973e-16,2.0341079812789268e-14,7.340628582100103e-09,0.08
1.9188127075756947e-09,3.0150146414124646e-13,2.8274956684201245e-19,2.7455791828922338e-24,4.501081288642827e-18,1.0805326481823886e-20,1.7435934373565426e-25,4.42187393794149e-23,2.9690184769127397e-13,4.6044111404226535e-15,1.9190715252622382e-07,6.66326802808733e-13,8.286970172302122e-18,4.78182999270004e-16,2.7416186680910665e-11,1.066309434630051e-11,3.2777592571008836e-14,6.441051568472813e-19,4.8059797203036096e-17,1.9064556997071198e-12,1.3434818381395356e-16,7.82826398078807e-15,4.425565661787129e-10,2.7313987049177688e-14,3.3777509310594093e-19,1.3358758996123124e-15,2.615899359172094e-20,9.482307433669817e-16,2.7701996139509718e-14,7.609267067053811e-09,0.09
