Time,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC,k1,k2,k3,k5,k6,k7,k8,k9,k10,compartment_1,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33
0.0,1e-08,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.7,0.064,1.0,0.00052,0.028,2570.0,1.72e-05,2630.0,1.0,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4400000000000003e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,8.200840047903497e-09,1.9820078216533664e-07,1.7893160931654572e-09,1.4257898909105447e-15,5.900479947101502e-13,2.2336738959083892e-14,9.250189597516032e-12,7.5917653038596e-18,4.0805912305455976e-15,3.0873907708460025e-20,1.659705601567031e-17,1.967400651320614e-21,1.0567856179191987e-18,1.7468188958127371e-23,1.1276565005655901e-20,3.423988765871649e-14,3.409068702380316e-14,1.0228838496340584e-21,6.532114352286255e-23,1.1769085140434081e-27,7.503811958881283e-29,5.8159644643074565e-31,1.4920170909612678e-16,2.894353243749425e-25,5.727200072267436e-17,3.047339097786874e-19,7.897169382603359e-23,7.008628872656184e-25,2.132625764978009e-19,5.736355172851194e-17,100000000.0,0.7,0.064,1.0,0.00052,0.028,2570.0,1.72e-05,2630.0,1.0,1.6128876992551316e-07,-4.1186432881337764e-13,-6.456814715921699e-12,-2.8501879760881005e-15,-1.1592620013092136e-17,-7.381364987382768e-19,-7.879270121601915e-21,1.7893160931654572e-09,4.810098590708336e-15,1.0622115850028999e-18,5.920121342410261e-13,2.1219074398837104e-18,1.1451622996258926e-10,3.068249572492781e-16,1.0567856179191987e-18,5.900479947101502e-13,3.4090534532407206e-12,3.8419191009615124e-19,2.4523586123655516e-20,5.310312125854069e-25,1.305783632263592e-22,3.383929120270784e-26,3.0045285007973866e-28,2.7852785944167615e-14,3.992211694549522e-17,2.1256942850806865e-19,5.508721823697715e-23,4.891092908275661e-25,1.65213438518842e-14,1.142565544552767e-16,2.958999730173755e-20,3.1574382015836524e-22,-3.9979592982152134e-17
0.02,6.747860543610236e-09,1.9674761596837604e-07,3.215532476977962e-09,1.0582428885748952e-14,2.1863458446555137e-12,1.661963550720467e-13,3.4389360372618405e-11,1.0937182593320261e-16,3.031565364729127e-14,4.451985245738404e-19,1.2344009695734724e-16,2.826213305114405e-20,7.82217231470331e-18,4.727780139538223e-22,1.6233671649747787e-19,6.820098970960763e-14,6.767870502182544e-14,1.4769685105030235e-20,9.413753400619753e-22,3.1924632638494484e-26,2.029141818532598e-27,2.876809144727466e-29,5.223004031112759e-16,7.845256439096476e-24,4.2649022260958246e-16,4.4013137163812686e-18,1.1373241688505229e-21,1.9007863509281522e-23,3.0818756966409604e-18,4.278108169613552e-16,100000000.0,0.7,0.064,1.0,0.00052,0.028,2570.0,1.72e-05,2630.0,1.0,1.3051167475035383e-07,-1.5233012158254887e-12,-2.3960405278144633e-11,-2.114715497022416e-14,-8.610765411433853e-17,-5.4564497270429086e-18,-1.1331667753760996e-19,3.215532476977962e-09,1.788246739376157e-14,7.900166205270224e-18,2.200919063847578e-12,1.576413989659146e-17,2.0579407852658957e-10,1.136899839220867e-15,7.82217231470331e-18,2.1863458446555137e-12,3.3840589946439286e-12,2.8585773072365744e-18,1.8201777683471444e-19,7.657414622664374e-24,1.881195406049689e-21,4.861086884793165e-25,8.131781840000623e-27,4.530303604376329e-14,2.9630800880096726e-16,3.062411126129638e-18,7.913397254320244e-22,1.3237784390706876e-23,6.121768365035392e-14,8.488383021241507e-16,2.1902082481169143e-19,4.5454280619293806e-21,-2.973879651315811e-16
0.03,5.570774685068286e-09,1.9557010935085219e-07,4.3525114479409654e-09,3.3674941142012896e-14,4.564820833584302e-12,5.302220030424291e-13,7.204934741287488e-11,5.242953736592722e-16,9.652216867033605e-14,2.1361846445632507e-18,3.9347429767650194e-16,1.3507514077381731e-19,2.480948287228412e-17,3.3683083155321227e-21,7.773187809073666e-19,1.0193674795829673e-13,1.0090545545063335e-13,7.096453020967771e-20,4.514035797864933e-21,2.279623371282619e-25,1.4442789734567216e-26,3.012236516689564e-28,1.0313680481525757e-15,5.59765357699574e-23,1.361242263249822e-15,2.1146705447124233e-17,5.448132146288702e-21,1.356676712525975e-22,1.4823155113369933e-17,1.367571397383394e-15,100000000.0,0.7,0.064,1.0,0.00052,0.028,2570.0,1.72e-05,2630.0,1.0,1.0590094341921771e-07,-3.176615032545502e-12,-5.0139168457810915e-11,-6.727344492972728e-14,-2.742419880394949e-16,-1.7291390693118403e-17,-5.422467379655895e-19,4.3525114479409654e-09,3.7465660654694935e-14,2.5182355051296125e-17,4.6111582344239925e-12,5.019152770857474e-17,2.785607326682218e-10,2.373706833463837e-15,2.480948287228412e-17,4.564820833584302e-12,3.3638058808076056e-12,9.11981845231095e-18,5.792089876414239e-19,3.674237588642742e-23,9.017880426924627e-21,2.3232924213058252e-24,5.793490302707257e-26,5.549019804726058e-14,9.428983519763093e-16,1.4680270462458818e-17,3.7821039416666774e-21,9.431263283489427e-23,1.2781498334035567e-13,2.7026207227693352e-15,6.946655204239362e-19,2.1764925865406264e-20,-9.490423324425355e-16
0.04,4.614927565501459e-09,1.9461352507707234e-07,5.257749649753441e-09,7.547701905117121e-14,7.547623662519909e-12,1.1915239178450182e-12,1.1955250486420337e-10,1.5799289238340831e-15,2.1638359034270739e-13,6.4435069505172014e-18,8.831268277441994e-16,4.0579910576481333e-19,5.539988806064658e-17,1.3536790626021254e-20,2.339069893080903e-18,1.3548967878141495e-13,1.338743271149174e-13,2.1434453257942804e-19,1.360667312993514e-20,9.182615500428104e-25,5.798680733531619e-26,1.6061819200116864e-27,1.6155798556030145e-15,2.2530192710605626e-22,3.059314590787382e-15,6.385503423492515e-17,1.6401298670174235e-20,5.461232924724488e-22,4.4826943904628066e-17,3.078359628539642e-15,100000000.0,0.7,0.064,1.0,0.00052,0.028,2570.0,1.72e-05,2630.0,1.0,8.613230739493166e-08,-5.248504466185823e-12,-8.313687374760062e-11,-1.5073938748568168e-13,-6.152151476364953e-16,-3.859264829452762e-17,-1.6311017943357873e-18,5.257749649753441e-09,6.216730252938574e-14,5.652011697562876e-17,7.651360311309015e-12,1.1251946697820783e-16,3.364959775842202e-10,3.924764304510353e-15,5.539988806064658e-17,7.547623662519909e-12,3.34735263127794e-12,2.0494211386858845e-17,1.2982047276753542e-18,1.1082831954857256e-22,2.717477748986691e-20,6.979744619134373e-24,2.3283279876700006e-25,6.065112635263707e-14,2.1133565334324414e-15,4.423800986734697e-17,1.1362374961412884e-20,3.790301375285322e-22,2.1133346255053324e-13,6.058740529595302e-15,1.5511968656979745e-18,6.549395700626529e-20,-2.134164430067484e-15
0.05,3.837201153571702e-09,1.9383468035031291e-07,5.976646690594165e-09,1.3966425023332197e-13,1.0992272311228132e-11,2.2106879667995687e-12,1.747491912453821e-10,3.68730525927249e-15,4.0037458444859394e-13,1.5052902031789655e-17,1.6359945603889084e-15,9.441489963891795e-19,1.0209776945325599e-16,3.9593325198246173e-20,5.450016022435011e-18,1.6889395215510085e-13,1.6666142122983644e-13,5.014216601329214e-19,3.1764992420047976e-20,2.692031567880143e-24,1.694358141159979e-25,5.869154646153142e-27,2.2330647869019854e-15,6.599812297643721e-22,5.675172262497647e-15,1.4930634580607621e-16,3.823175628862153e-20,1.5997113057219585e-21,1.0500471604590242e-16,5.719513723725416e-15,100000000.0,0.7,0.064,1.0,0.00052,0.028,2570.0,1.72e-05,2630.0,1.0,7.019461322082636e-08,-7.64099863564889e-12,-1.2147614843012842e-10,-2.788473159145706e-13,-1.1394200909681373e-15,-7.110614965547037e-17,-3.7998184603920626e-18,5.976646690594165e-09,9.086957944759868e-14,1.0470365186489014e-16,1.1183948239704455e-11,2.0819478391326883e-16,3.825053881980266e-10,5.715981601838628e-15,1.0209776945325599e-16,1.0992272311228132e-11,3.333956501951353e-12,3.80238330287328e-17,2.4022251039992147e-18,2.5890991494560213e-22,6.342165045919754e-20,1.623936273781962e-23,6.810051934072616e-25,6.238819442907139e-14,3.910599006531484e-15,1.0324454725958943e-16,2.6436171898886708e-20,1.1086131055504612e-21,3.077836247143043e-13,1.1210488364558437e-14,2.858737544690606e-18,1.5260044862818032e-19,-3.96336718485361e-15
0.06,3.2034599492642675e-09,1.9319938913365213e-07,6.545169612578221e-09,2.2902474875398785e-13,1.478470674051107e-11,3.634916140133668e-12,2.359138874713787e-10,7.321825054771477e-15,6.563618439365873e-13,2.9920010622348656e-17,2.6852319739831324e-15,1.868921186027022e-18,1.6669837758944356e-16,9.47166272254022e-20,1.0802196195656217e-17,2.0217704137507986e-13,1.9932233459329315e-13,9.980423715021672e-19,6.309428654934829e-20,6.4551953815445245e-24,4.0492744339297174e-25,1.6890529653339187e-26,2.8557695136195103e-15,1.5812823211784043e-21,9.328018343248275e-15,2.9699114135729353e-16,7.581157434865665e-20,3.832179942879909e-21,2.0930140159310905e-16,9.415787726766751e-15,100000000.0,0.7,0.064,1.0,0.00052,0.028,2570.0,1.72e-05,2630.0,1.0,5.730903180239292e-08,-1.0275927557355378e-11,-1.6397529040257983e-10,-4.57107773423763e-13,-1.870077626217167e-15,-1.160901628958336e-16,-7.531195244774755e-18,6.545169612578221e-09,1.226752214851169e-13,1.7185484633492047e-16,1.5098488798168236e-11,3.4130815884702536e-16,4.188908552050062e-10,7.688047505065755e-15,1.6669837758944356e-16,1.478470674051107e-11,3.323029492992832e-12,6.252055760977591e-17,3.939225678535516e-18,5.14624182701013e-22,1.259353909412405e-19,3.2145444399452506e-23,1.6291259882680637e-24,6.185307292681296e-14,6.412692965106642e-15,2.0501110153344162e-16,5.232979320871583e-20,2.6520655623092005e-21,4.1397178873408423e-13,1.8378131630217255e-14,4.667554572502585e-18,3.024614934783741e-19,-6.524002543003885e-15
0.07,2.686367601204363e-09,1.9268027573733037e-07,6.9921356465427995e-09,3.4565112632767627e-13,1.88329947079113e-11,5.5008899886727474e-12,3.016511821062534e-10,1.3005893762693134e-14,9.901658106294605e-13,5.320071035997579e-17,4.055785876853073e-15,3.3093166029496733e-18,2.504440328107464e-16,1.9712961868015283e-19,1.9150384500026755e-17,2.3536121270847447e-13,2.318978255455315e-13,1.7771441829414724e-18,1.1211172960310478e-19,1.3467217075839712e-23,8.419238096631449e-25,4.1171196562130034e-26,3.4652797367651226e-15,3.2962722017766133e-21,1.4109336970413321e-14,5.284186163455326e-16,1.3446314043742663e-19,7.986201049502636e-21,3.7324088270835953e-16,1.4264657153391982e-14,100000000.0,0.7,0.064,1.0,0.00052,0.028,2570.0,1.72e-05,2630.0,1.0,4.686651006060878e-08,-1.3090241696829262e-11,-2.0967808621004136e-10,-6.896222062777419e-13,-2.8247584473299414e-15,-1.744218188770933e-16,-1.3352312887932715e-17,6.9921356465427995e-09,1.5685861469525175e-13,2.5957029611859667e-16,1.9305675654800215e-11,5.148862215273194e-16,4.4749668137873917e-10,9.793157248113874e-15,2.504440328107464e-16,1.88329947079113e-11,3.314100742538538e-12,9.46153078040874e-17,5.945199372767656e-18,9.1505221818337e-22,2.2370137271631154e-19,5.69202455702209e-23,3.3906294412735185e-24,5.987058471779014e-14,9.678231537161402e-15,3.6416502535490085e-16,9.266086488246188e-20,5.519629323036618e-21,5.273238518209991e-13,2.7724642697605524e-14,7.012432918695971e-18,5.362107660007492e-19,-9.884993785899122e-15
0.08,2.264035589963579e-09,1.92255421509592e-07,7.340628582100103e-09,4.91063790352817e-13,2.3063308390973817e-11,7.83660499939147e-12,3.708357385820197e-10,2.1297187496645533e-14,1.405927654081856e-12,8.720412920864218e-17,5.765854248189999e-15,5.401765329620738e-18,3.5412642073126765e-16,3.704795186988587e-19,3.1293911035387405e-17,2.6846447569388135e-13,2.644173001054468e-13,2.9172563891730284e-18,1.8364710459040997e-19,2.537146028160544e-23,1.580739536622323e-24,8.878292622320181e-26,4.0502827302662346e-15,6.20489599192275e-21,2.0087814912879327e-14,8.66652629260214e-16,2.1983306244159537e-19,1.502788578507106e-20,6.136225902984973e-16,2.0341079812789268e-14,100000000.0,0.7,0.064,1.0,0.00052,0.028,2570.0,1.72e-05,2630.0,1.0,3.838887165864649e-08,-1.603313728385155e-11,-2.5781078174510286e-10,-9.793275988114457e-13,-4.016354648520984e-15,-2.4666551561639806e-16,-2.1821859843202503e-17,7.340628582100103e-09,1.9283458406265023e-13,3.6901467188415996e-16,2.373348726924926e-11,7.31082380122565e-16,4.698002292544065e-10,1.1992920363306383e-14,3.5412642073126765e-16,2.3063308390973817e-11,3.306793249778288e-12,1.347896059875046e-16,8.446297193940743e-18,1.499911022371002e-21,3.663116249379882e-19,9.291036366837742e-23,6.372247721558629e-24,5.702981989289482e-14,1.3749786129847196e-14,5.963212499047082e-16,1.5124942922903398e-19,1.0373426523544344e-20,6.457726349462168e-13,3.936597431424666e-14,9.915539780464002e-18,8.762295089908473e-19,-1.4099829530628344e-14
0.09,1.9188127075756947e-09,1.9190715252622382e-07,7.609267067053811e-09,6.66326802808733e-13,2.7416186680910665e-11,1.066309434630051e-11,4.425565661787129e-10,3.2777592571008836e-14,1.9064556997071198e-12,1.3434818381395356e-16,7.82826398078807e-15,8.286970172302122e-18,4.78182999270004e-16,6.441051568472813e-19,4.8059797203036096e-17,3.0150146414124646e-13,2.9690184769127397e-13,4.501081288642827e-18,2.8274956684201245e-19,4.42187393794149e-23,2.7455791828922338e-24,1.7435934373565426e-25,4.6044111404226535e-15,1.0805326481823886e-20,2.7313987049177688e-14,1.3358758996123124e-15,3.3777509310594093e-19,2.615899359172094e-20,9.482307433669817e-16,2.7701996139509718e-14,100000000.0,0.7,0.064,1.0,0.00052,0.028,2570.0,1.72e-05,2630.0,1.0,3.149690134726087e-08,-1.9063475042974698e-11,-3.0774354823172304e-10,-1.3282295836800848e-12,-5.4540058863174565e-15,-3.3313798512161133e-16,-3.3518266326127904e-17,7.609267067053811e-09,2.301294144129307e-13,5.010088947704365e-16,2.8323620235437627e-11,9.913569638477022e-16,4.86993092291444e-10,1.4256417074073546e-14,4.78182999270004e-16,2.7416186680910665e-11,3.3008030232156223e-12,1.8340522275285413e-16,1.1460821008089422e-17,2.310788761565473e-21,5.637745922129146e-19,1.4253588696145263e-22,1.107860869763709e-23,5.374681602697614e-14,1.865715047857796e-14,9.17772591984992e-16,2.3203516482363626e-19,1.8034944391660127e-20,7.676532270635541e-13,5.338075959170425e-14,1.3389123979536063e-17,1.3456743216850107e-18,-1.9209449577648152e-14
