Time,Population_of_Eggs,Population_of_Larvae,Population_of_Pupae,Ar,ep,Te,Me,K0,Tl,Tp,Mp,Ml,compartment,reaction_for_E,reaction_for_L,reaction_for_P
0.0,10000.0,5000.0,3000.0,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3510.0,-2310.5,-363.5
0.01,9964.972031785366,4977.082331297704,2996.3558752838317,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3495.603505063785,-2273.1956602205473,-365.3155666413878
0.02,9930.087733073007,4954.532900968536,2992.693873671172,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3481.2660582930057,-2236.8470887848916,-367.07563074993504
0.03,9895.346514595874,4932.342302938577,2989.0145428831092,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3466.987417498904,-2201.424244873366,-368.78164142946184
0.04,9860.747789504434,4910.501425951763,2985.3184163703577,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3452.767341486322,-2166.8982113614793,-370.43500336205204
0.05,9826.290973350493,4889.001441715494,2981.6060137891855,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3438.6055900470524,-2133.2411434595315,-372.0370785604981
0.06,9791.975484080178,4867.833791033167,2977.8778415525535,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3424.501923956953,-2100.426214601129,-373.58918841641037
0.07,9757.800742005029,4846.990159326322,2974.1343938325494,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3410.4561049640665,-2068.4275413894015,-375.09261732558616
0.08,9723.766169838122,4826.462508327913,2970.3761512590786,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3396.467895803468,-2037.2202293306018,-376.5486079928123
0.09,9689.87119267246,4806.243055075026,2966.603581769992,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3382.537060188381,-2006.7803067759378,-377.9583645397089
0.1,9656.115237967524,4786.324258150058,2962.817141164371,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3368.663362804652,-1977.0846758502903,-379.32305453901813
0.11,9622.497735538884,4766.69880671338,2959.0172735416163,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3354.846569306481,-1948.1110705709489,-380.643810635494
0.12,9589.018117547841,4747.35960953598,2955.204411740536,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3341.0864463121625,-1919.8380161315263,-381.9217321667935
0.13,9555.675818456815,4728.299781931944,2951.3789781411297,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3327.3827613857507,-1892.244784954296,-383.1578871907386
0.14,9522.470275019217,4709.5126348068225,2947.541385100964,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3313.735283032898,-1865.311358267018,-384.3533141031679
0.15,9489.400926321963,4690.991666932587,2943.6920348343137,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3300.1437807183265,-1839.018395326254,-385.5090226314545
0.16,9456.467213745778,4672.730552182151,2939.831320161788,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3286.6080248495145,-1813.3471931538097,-386.6259958033278
0.17,9423.66858095386,4654.723128502821,2935.959624959638,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3273.127786772036,-1788.2796508368447,-387.7051915792173
0.18,9391.004473880625,4636.963386894559,2932.077324608241,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3259.7028387649366,-1763.7982347365155,-388.7475444836681
0.19,9358.474340727018,4619.44547580408,2928.1847858663937,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3246.332954038804,-1739.8859758784351,-389.75396497322583
0.2,9326.077632036191,4602.163894293135,2924.282359714425,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3233.017906766874,-1716.5268497613715,-390.7253110863395
0.21,9293.813800579408,4585.1132394545475,2920.3703908000307,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3219.7574720381367,-1693.7052490986916,-391.66242554370126
0.22,9261.682301350525,4568.288208923561,2916.449217382692,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3206.5514258550656,-1671.405980433295,-392.56613539258024
0.23,9229.682591576104,4551.6836399997555,2912.519169914478,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3193.399545137778,-1649.614334293267,-393.4372462755705
0.24,9197.814130705607,4535.294502030052,2908.5805713617146,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3180.301607720004,-1628.3160606678125,-394.2765435620837
0.25,9166.076380401568,4519.115888791714,2904.6337375266494,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3167.257392345044,-1607.4973450675325,-395.0847934798412
0.26,9134.468804541602,4503.143055973401,2900.6789757383935,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3154.266678666598,-1587.1448746774768,-395.86273764144084
0.27,9102.990869227444,4487.3714857523055,2896.7165825640864,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3141.329247252479,-1567.2459569644634,-396.6110836025189
0.28,9071.642042731342,4471.79671155283,2892.7468501917724,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3128.4448795625817,-1547.788163061803,-397.3305305429865
0.29,9040.421795504297,4456.414379459301,2888.7700642559835,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3115.6133579522657,-1528.7594433717318,-398.02176028864005
0.3,9009.32960016802,4441.220247419007,2884.7865039128023,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3102.8344656690556,-1510.1481191060939,-398.6854374438135
0.31,8978.364931505674,4426.210179642909,2880.796442088563,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3090.107986848832,-1491.9428646736142,-399.3222102273602
0.32,8947.527266452738,4411.380141788902,2876.800145699905,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3077.4337065120753,-1474.1326919877924,-399.93271119390454
0.33,8916.816084101029,4396.726262227527,2872.797873453867,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3064.8114105655227,-1456.707063507864,-400.51754826636864
0.34,8886.230865679767,4382.244777958709,2868.7898778720883,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3052.2408857943838,-1439.6557799010784,-401.07731268046734
0.35,8855.771094539485,4367.931994655025,2864.776406797689,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3039.721919855728,-1422.968897073442,-401.6125848580306
0.36,8825.436256148765,4353.7843113852605,2860.7577025335536,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3027.254301277142,-1406.636769269208,-402.12393079718436
0.37,8795.225838085213,4339.798216271677,2856.734002045015,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3014.8378194530223,-1390.6500356578204,-402.61190272410295
0.38,8765.139330026435,4325.970282147285,2852.7055371625506,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-3002.4722646408645,-1374.9996072080635,-403.0770397447626
0.39,8735.176223746226,4312.29718375644,2848.672533891438,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2990.157427959699,-1359.6766949639182,-403.51986530223746
0.4,8705.336013106898,4298.7756989898535,2844.6352123832294,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2977.893101386935,-1344.6728074975827,-403.9408870013822
0.41,8675.618194051405,4285.402709249175,2840.593786943313,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2965.6790777551273,-1329.9797468082506,-404.3405965625818
0.42,8646.02226458155,4272.175142599048,2836.5484684101007,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2953.515150743017,-1315.589496046784,-404.71947825900725
0.43,8616.547724757318,4259.090003844592,2832.4994629309003,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2941.4011148752575,-1301.4942732401823,-405.07800446451995
0.44,8587.194076687962,4246.144370646999,2828.4469721456053,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2929.336765518752,-1287.6865202271983,-405.4166362374632
0.45,8557.960824523114,4233.3353897907555,2824.3911933641034,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2917.3218988789995,-1274.1588920986032,-405.73582388197246
