Time,VAC,TRAN,SVAC,Ts,REG,lamda,k1,P,k2_pop1,k3,k4,REG_50,gamma,Residual_error,k2_pop2,compartment,Removal_of_CyaA_E7_vaccine,Triggering_of_intermediate_transit_compartment_TRAN,Elimination_of_intermeidate_transit_compartment,Increase_in_vaccine_signal_to_reduce_tumor_size,Reduction_of_vaccine_signal,Increase_in_tumor_size,Reduction_of_tumor_size,REguilator_compartment_to_decrease_vaccine_response,Decrease_in_the_regulator_comparment
0.0,1.0,0.0,0.0,0.324,0.0,0.354,0.0907,0.844,0.0,1.08,0.039,3.18,5.24,0.206,0.0907,1.0,0.0907,0.0907,0.0,0.0,0.0,5.24,0.0,0.012636,0.0
0.1,0.990971008368877,0.008988107062737739,4.076104827846472e-05,0.8479989461521802,0.002281611154527646,0.354,0.0907,0.844,0.0,1.08,0.039,3.18,5.24,0.206,0.0907,1.0,0.08988107045905715,0.08988107045905715,0.000815221310590313,0.000815221310590313,3.6970270788567502e-06,5.24,3.7330552062931926e-05,0.03307195889993503,8.89828350265782e-05
0.2,0.9820235393558941,0.01781390726000389,0.00016157188008471477,1.3719870433740073,0.006593940809687348,0.354,0.0907,0.844,0.0,1.08,0.039,3.18,5.24,0.206,0.0907,1.0,0.08906953501957961,0.08906953501957961,0.001615721388482353,0.001615721388482353,1.465456952368363e-05,5.24,0.00023940848813379,0.053507494691586284,0.00025716369157780656
0.30000000000000004,0.9731568571067374,0.026479598137342648,0.0003602548788185542,1.8959411875378058,0.012929004062466927,0.354,0.0907,0.844,0.0,1.08,0.039,3.18,5.24,0.206,0.0907,1.0,0.08826532693958108,0.08826532693958108,0.002401699551056978,0.002401699551056978,3.267511750884287e-05,5.24,0.0007376638277844025,0.07394170631397443,0.0005042311584362102
0.4,0.9643702320432709,0.0349873519145402,0.0006346706653358014,2.419825408206002,0.02127872743312011,0.354,0.0907,0.844,0.0,1.08,0.039,3.18,5.24,0.206,0.0907,1.0,0.08746838004632468,0.08746838004632468,0.0031733528186487963,0.0031733528186487963,5.7564629345957184e-05,5.24,0.001658655577961696,0.09437319092003407,0.0008298703698916843
0.5,0.9556629413201964,0.04333931420500739,0.0009827191173370393,2.9435913163242033,0.031634905342475574,0.354,0.0907,0.844,0.0,1.08,0.039,3.18,5.24,0.206,0.0907,1.0,0.08667862877774181,0.08667862877774181,0.0039308757983941706,0.0039308757983941706,8.913262394246947e-05,5.24,0.0031241413368927563,0.11480006133664393,0.0012337613083565474
0.6000000000000001,0.9470342686579993,0.05153760463282485,0.0014023384268978315,3.467178611266537,0.04398915013248187,0.354,0.0907,0.844,0.0,1.08,0.039,3.18,5.24,0.206,0.0907,1.0,0.08589600816728055,0.08589600816728055,0.004674460740197214,0.004674460740197214,0.00012719209531963333,5.24,0.005251130422505047,0.13521996583939494,0.001715576855166793
0.7000000000000001,0.9384835042029134,0.05958431736477051,0.0018915043259139445,3.990515494653664,0.05833285261825261,0.354,0.0907,0.844,0.0,1.08,0.039,3.18,5.24,0.206,0.0907,1.0,0.08512045383120424,0.08512045383120424,0.0054042975849846854,0.0054042975849846854,0.00017155944236039476,5.24,0.008151923499939895,0.1556301042914929,0.002274981252111852
0.8,0.9300099445067465,0.06748152128011761,0.0024482296472604975,4.513519122709798,0.07465714077928826,0.354,0.0907,0.844,0.0,1.08,0.039,3.18,5.24,0.206,0.0907,1.0,0.0843519019667619,0.0843519019667619,0.0061205739801066675,0.0061205739801066675,0.00022205442900652712,5.24,0.011934141801479638,0.17602724578568213,0.002911628490392242
0.9,0.9216128924776894,0.07523126028270166,0.003070563595825488,5.0360963072546046,0.0929528182775852,0.354,0.0907,0.844,0.0,1.08,0.039,3.18,5.24,0.206,0.0907,1.0,0.08359028934772643,0.08359028934772643,0.006823475307641041,0.006823475307641041,0.0002785001181413718,5.24,0.016700746152361435,0.1964077559829296,0.0036251599128258225
