Time,_5mTHF,THF,DHF,_5_10_CH2THF,_5_10_CHTHF,_10fTHF,Ser,Gly,dUMP,GAR,AICAR,HCOOH,NADPH,Hcy,NE_k1,NE_k2,MS_Vmax,MS_Km_5mTHF,MS_Km_Hcy,MS_Kd,MTHFR_Vmax,MTHFR_Km_NADPH,MTHFR_Km_5_10_CH2THF,FTD_Vmax,FTD_Km_10fTHF,FTS_Vmax,FTS_Km_HCOOH,FTS_Km_THF,AICART_Vmax,AICART_Km_AICAR,AICART_Km_10fTHF,PGT_Vmax,PGT_Km_GAR,PGT_Km_10fTHF,TS_Vmax,TS_Km_dUMP,TS_Km_5_10_CH2THF,DHFR_Vmax,DHFR_Km_NADPH,DHFR_Km_DHF,MTCH_VmaxF,MTCH_Km_5_10_CHTHF,MTCH_VmaxR,MTCH_Km_10fTHF,SHMT_VmaxF,SHMT_Km_Ser,SHMT_Km_THF,SHMT_VmaxR,MTD_VmaxF,MTD_Km_5_10_CH2THF,MTD_VmaxR,MTD_Km_5_10_CHTHF,compartment,V_NE,V_MS,V_MTHFR,V_FTD,V_FTS,V_AICART,V_PGT,V_TS,V_DHFR,V_MTCH,V_SHMT,V_MTD
0.0,5.16,6.73,0.027,0.94,1.153,5.99,468.0,1850.0,20.0,10.0,2.1,900.0,50.0,1.0,0.15,12.0,500.0,25.0,0.1,1.0,6000.0,16.0,50.0,14000.0,20.0,2000.0,43.0,3.0,45000.0,100.0,5.9,16200.0,520.0,4.9,50.0,6.3,14.0,50.0,4.0,0.5,800000.0,250.0,20000.0,100.0,40000.0,600.0,50.0,25000.0,200000.0,2.0,594000.0,10.0,1.0,897.2700000000001,83.83155705744737,83.87764571510154,3226.625625240477,1320.2708549718323,466.28455916090127,168.12724154062062,2.3923323204096487,2.3719165085388996,2542.3663734335687,1731.0454131164402,2537.7059099439866
0.01,5.160353882098033,6.728462741624435,0.027136874102301353,0.9398739367711101,1.152798778408436,5.991373786995678,468.0,1850.0,20.0,10.0,2.1,900.0,50.0,1.0,0.15,12.0,500.0,25.0,0.1,1.0,6000.0,16.0,50.0,14000.0,20.0,2000.0,43.0,3.0,45000.0,100.0,5.9,16200.0,520.0,4.9,50.0,6.3,14.0,50.0,4.0,0.5,800000.0,250.0,20000.0,100.0,40000.0,600.0,50.0,25000.0,200000.0,2.0,594000.0,10.0,1.0,897.0639828780454,83.83624597373729,83.86660444729982,3227.1950573042423,1320.177857343145,466.3376187147324,168.14458932770023,2.3920316690422316,2.383321724808073,2541.483786327317,1730.6726311237453,2541.480990640506
0.02,5.160627057009733,6.728314970739447,0.02719568491039246,0.9398487074469651,1.152775360239371,5.9912382196540435,468.0,1850.0,20.0,10.0,2.1,900.0,50.0,1.0,0.15,12.0,500.0,25.0,0.1,1.0,6000.0,16.0,50.0,14000.0,20.0,2000.0,43.0,3.0,45000.0,100.0,5.9,16200.0,520.0,4.9,50.0,6.3,14.0,50.0,4.0,0.5,800000.0,250.0,20000.0,100.0,40000.0,600.0,50.0,25000.0,200000.0,2.0,594000.0,10.0,1.0,897.0443365604617,83.83986544359284,83.86439472639917,3227.13886757924,1320.1689162813136,466.3323832643527,168.142877616925,2.391971498382763,2.388220394494022,2541.4336693862806,1730.6415650239448,2541.431679354253
0.03,5.160848591277094,6.72820458659979,0.02722092806997231,0.9398299878658823,1.1527579877632579,5.991137918423965,468.0,1850.0,20.0,10.0,2.1,900.0,50.0,1.0,0.15,12.0,500.0,25.0,0.1,1.0,6000.0,16.0,50.0,14000.0,20.0,2000.0,43.0,3.0,45000.0,100.0,5.9,16200.0,520.0,4.9,50.0,6.3,14.0,50.0,4.0,0.5,800000.0,250.0,20000.0,100.0,40000.0,600.0,50.0,25000.0,200000.0,2.0,594000.0,10.0,1.0,897.0296593365811,83.84280064148518,83.86275516265101,3227.0972945158965,1320.1622371739343,466.3285096726533,168.14161115840756,2.3919268529992497,2.3903226983059946,2541.396443130844,1730.6183126146432,2541.3949254627805
0.04,5.161029162004111,6.728118598987566,0.027231693667056935,0.939815470923803,1.1527445176972786,5.991060556720151,468.0,1850.0,20.0,10.0,2.1,900.0,50.0,1.0,0.15,12.0,500.0,25.0,0.1,1.0,6000.0,16.0,50.0,14000.0,20.0,2000.0,43.0,3.0,45000.0,100.0,5.9,16200.0,520.0,4.9,50.0,6.3,14.0,50.0,4.0,0.5,800000.0,250.0,20000.0,100.0,40000.0,600.0,50.0,25000.0,200000.0,2.0,594000.0,10.0,1.0,897.0182252122357,83.84519306233544,83.86148368828461,3227.0652292561317,1320.157034143043,466.32552195125834,168.14063433103578,2.391892230649233,2.3912192188055053,2541.367506335683,1730.60017548871,2541.366311985934
0.05,5.161176738231809,6.728050065270376,0.027236206227935676,0.9398039305038554,1.1527338104941893,5.990999249271784,468.0,1850.0,20.0,10.0,2.1,900.0,50.0,1.0,0.15,12.0,500.0,25.0,0.1,1.0,6000.0,16.0,50.0,14000.0,20.0,2000.0,43.0,3.0,45000.0,100.0,5.9,16200.0,520.0,4.9,50.0,6.3,14.0,50.0,4.0,0.5,800000.0,250.0,20000.0,100.0,40000.0,600.0,50.0,25000.0,200000.0,2.0,594000.0,10.0,1.0,897.0091116454546,83.84714830895362,83.8604729137312,3227.039818107607,1320.152887165328,466.3231542201694,168.1398602069768,2.391864707142321,2.3915949978792064,2541.344471613973,1730.585708956844,2541.3435144526884
0.06,5.161297508700333,6.727994766218162,0.027237967309544506,0.9397946324460119,1.1527251841926294,5.990949941133243,468.0,1850.0,20.0,10.0,2.1,900.0,50.0,1.0,0.15,12.0,500.0,25.0,0.1,1.0,6000.0,16.0,50.0,14000.0,20.0,2000.0,43.0,3.0,45000.0,100.0,5.9,16200.0,520.0,4.9,50.0,6.3,14.0,50.0,4.0,0.5,800000.0,250.0,20000.0,100.0,40000.0,600.0,50.0,25000.0,200000.0,2.0,594000.0,10.0,1.0,897.0017578500997,83.84874838905527,83.85965853746488,3227.019380431633,1320.1495409750762,466.32124989203754,168.13923759088286,2.391842531561412,2.391741648474937,2541.325898568538,1730.574031041148,2541.3251233575793
0.07,5.161396422485623,6.7279498102748185,0.027238585767857707,0.9397870794572131,1.1527181770656245,5.990909924948778,468.0,1850.0,20.0,10.0,2.1,900.0,50.0,1.0,0.15,12.0,500.0,25.0,0.1,1.0,6000.0,16.0,50.0,14000.0,20.0,2000.0,43.0,3.0,45000.0,100.0,5.9,16200.0,520.0,4.9,50.0,6.3,14.0,50.0,4.0,0.5,800000.0,250.0,20000.0,100.0,40000.0,600.0,50.0,25000.0,200000.0,2.0,594000.0,10.0,1.0,896.995779433614,83.85005888108931,83.85899700395369,3227.0027941104563,1320.1468206266495,466.3197044165744,168.13873230056873,2.391824517895982,2.391793149138094,2541.310805190218,1730.5645351669816,2541.310173723563
0.08,5.161477486454599,6.727913094416027,0.02723877926483368,0.9397809131690286,1.1527124564828335,5.990877270212596,468.0,1850.0,20.0,10.0,2.1,900.0,50.0,1.0,0.15,12.0,500.0,25.0,0.1,1.0,6000.0,16.0,50.0,14000.0,20.0,2000.0,43.0,3.0,45000.0,100.0,5.9,16200.0,520.0,4.9,50.0,6.3,14.0,50.0,4.0,0.5,800000.0,250.0,20000.0,100.0,40000.0,600.0,50.0,25000.0,200000.0,2.0,594000.0,10.0,1.0,896.9908967881354,83.85113287701353,83.85845692538598,3226.989259000502,1320.1445988788707,466.31844324181156,168.13831996160584,2.3918098114589332,2.3918092621193945,2541.298480495099,1730.5567789662155,2541.2979648156324
0.09,5.16154393700858,6.727883053705573,0.027238799477294576,0.939775868964959,1.152707776899735,5.990850563943785,468.0,1850.0,20.0,10.0,2.1,900.0,50.0,1.0,0.15,12.0,500.0,25.0,0.1,1.0,6000.0,16.0,50.0,14000.0,20.0,2000.0,43.0,3.0,45000.0,100.0,5.9,16200.0,520.0,4.9,50.0,6.3,14.0,50.0,4.0,0.5,800000.0,250.0,20000.0,100.0,40000.0,600.0,50.0,25000.0,200000.0,2.0,594000.0,10.0,1.0,896.9869018226727,83.85201325887459,83.85801512522565,3226.9781894543157,1320.1427810447815,466.31741180060834,168.13798273348846,2.391797781154307,2.391810945261318,2541.2883974879123,1730.5504325064114,2541.287975890751
