AICAR,DHF,GAR,Gly,HCOOH,Hcy,NADPH,Ser,THF,_10fTHF,_5_10_CH2THF,_5_10_CHTHF,_5mTHF,dUMP,Time
2.1,0.027,10.0,1850.0,900.0,1.0,50.0,468.0,6.73,5.99,0.94,1.153,5.16,20.0,0.0
2.1,0.027136874102301353,10.0,1850.0,900.0,1.0,50.0,468.0,6.728462741624435,5.991373786995678,0.9398739367711101,1.152798778408436,5.160353882098033,20.0,0.01
2.1,0.02719568491039246,10.0,1850.0,900.0,1.0,50.0,468.0,6.728314970739447,5.9912382196540435,0.9398487074469651,1.152775360239371,5.160627057009733,20.0,0.02
2.1,0.02722092806997231,10.0,1850.0,900.0,1.0,50.0,468.0,6.72820458659979,5.991137918423965,0.9398299878658823,1.1527579877632579,5.160848591277094,20.0,0.03
2.1,0.027231693667056935,10.0,1850.0,900.0,1.0,50.0,468.0,6.728118598987566,5.991060556720151,0.939815470923803,1.1527445176972786,5.161029162004111,20.0,0.04
2.1,0.027236206227935676,10.0,1850.0,900.0,1.0,50.0,468.0,6.728050065270376,5.990999249271784,0.9398039305038554,1.1527338104941893,5.161176738231809,20.0,0.05
2.1,0.027237967309544506,10.0,1850.0,900.0,1.0,50.0,468.0,6.727994766218162,5.990949941133243,0.9397946324460119,1.1527251841926294,5.161297508700333,20.0,0.06
2.1,0.027238585767857707,10.0,1850.0,900.0,1.0,50.0,468.0,6.7279498102748185,5.990909924948778,0.9397870794572131,1.1527181770656245,5.161396422485623,20.0,0.07
2.1,0.02723877926483368,10.0,1850.0,900.0,1.0,50.0,468.0,6.727913094416027,5.990877270212596,0.9397809131690286,1.1527124564828335,5.161477486454599,20.0,0.08
2.1,0.027238799477294576,10.0,1850.0,900.0,1.0,50.0,468.0,6.727883053705573,5.990850563943785,0.939775868964959,1.152707776899735,5.16154393700858,20.0,0.09
2.1,0.02723869631885228,10.0,1850.0,900.0,1.0,50.0,468.0,6.7278584876444585,5.9908287348776685,0.9397717449027763,1.152703950968901,5.161598385287278,20.0,0.1
2.1,0.02723854454888004,10.0,1850.0,900.0,1.0,50.0,468.0,6.727838389815509,5.990810882084106,0.939768371450183,1.1527008213969885,5.161642990704292,20.0,0.11
2.1,0.02723843559610302,10.0,1850.0,900.0,1.0,50.0,468.0,6.727821909481805,5.990796241358851,0.9397656050898688,1.1526982550198155,5.161679553453491,20.0,0.12
2.1,0.02723837295986738,10.0,1850.0,900.0,1.0,50.0,468.0,6.7278083841405785,5.990784223462243,0.9397633345550809,1.1526961486150535,5.1617095362670735,20.0,0.13
2.1,0.027238313038554614,10.0,1850.0,900.0,1.0,50.0,468.0,6.727797299070195,5.990774374619608,0.9397614737396214,1.1526944223125979,5.1617341172193205,20.0,0.14
2.1,0.027238246687835626,10.0,1850.0,900.0,1.0,50.0,468.0,6.727788221259809,5.990766310664498,0.9397599500039611,1.152693008726552,5.161754262657266,20.0,0.15
2.1,0.027238158865568348,10.0,1850.0,900.0,1.0,50.0,468.0,6.7277808017245535,5.9907597226652936,0.939758704860974,1.1526918536016886,5.1617707582819,20.0,0.16
2.1,0.027238096081468283,10.0,1850.0,900.0,1.0,50.0,468.0,6.727774717719163,5.990754319703116,0.9397576837781031,1.1526909063358832,5.161784276382308,20.0,0.17
2.1,0.02723806516840916,10.0,1850.0,900.0,1.0,50.0,468.0,6.72776972095269,5.990749880509951,0.9397568450167122,1.1526901282051416,5.161795360147194,20.0,0.18
2.1,0.027238082399766564,10.0,1850.0,900.0,1.0,50.0,468.0,6.727765598085641,5.9907462140499,0.9397561526368803,1.1526894858629542,5.161804466964959,20.0,0.19
2.1,0.02723809187807628,10.0,1850.0,900.0,1.0,50.0,468.0,6.727762217073782,5.990743207730396,0.9397555848758735,1.1526889591347387,5.161811939307212,20.0,0.2
2.1,0.02723807924353244,10.0,1850.0,900.0,1.0,50.0,468.0,6.727759454704067,5.990740753229427,0.9397551211498065,1.1526885289282958,5.161818062744957,20.0,0.21
2.1,0.027238053130886147,10.0,1850.0,900.0,1.0,50.0,468.0,6.7277571991588285,5.990738750416594,0.9397547426215418,1.1526881777648006,5.161823076907456,20.0,0.22
2.1,0.02723802802264301,10.0,1850.0,900.0,1.0,50.0,468.0,6.727755354017665,5.990737112342271,0.9397544329953055,1.1526878905230282,5.161827182099216,20.0,0.23
2.1,0.02723800353921185,10.0,1850.0,900.0,1.0,50.0,468.0,6.72775384465094,5.990735772696066,0.939754179743167,1.152687655580472,5.161830543790311,20.0,0.24
2.1,0.027237976246309813,10.0,1850.0,900.0,1.0,50.0,468.0,6.727752611627056,5.990734678940839,0.9397539729110929,1.1526874637037081,5.161833296571233,20.0,0.25
2.1,0.02723797166688513,10.0,1850.0,900.0,1.0,50.0,468.0,6.727751590024361,5.990733771194685,0.9397538014108859,1.152687304600929,5.1618355611025475,20.0,0.26
2.1,0.02723794912770763,10.0,1850.0,900.0,1.0,50.0,468.0,6.727750758582618,5.990733034014757,0.9397536619720425,1.1526871752452694,5.161837421058013,20.0,0.27
2.1,0.027237950319478697,10.0,1850.0,900.0,1.0,50.0,468.0,6.727750066683271,5.990732418859511,0.9397535457892695,1.1526870674595715,5.161838950889383,20.0,0.28
2.1,0.02723795659543844,10.0,1850.0,900.0,1.0,50.0,468.0,6.727749492429535,5.990731907849379,0.9397534493227845,1.1526869779637423,5.161840215839663,20.0,0.29
2.1,0.027237962431377903,10.0,1850.0,900.0,1.0,50.0,468.0,6.727749018718091,5.9907314862500955,0.939753369741353,1.1526869041323484,5.1618412587273035,20.0,0.3
2.1,0.027237975926535218,10.0,1850.0,900.0,1.0,50.0,468.0,6.7277486293776585,5.99073113899798,0.939753304270224,1.1526868433896285,5.161842108038508,20.0,0.31
2.1,0.027237986203514104,10.0,1850.0,900.0,1.0,50.0,468.0,6.7277483056872205,5.990730850378495,0.9397532498455884,1.1526867928958666,5.16184281498982,20.0,0.32
2.1,0.02723799208107689,10.0,1850.0,900.0,1.0,50.0,468.0,6.72774804572543,5.99073061878519,0.9397532061533349,1.1526867523601807,5.161843384895265,20.0,0.33
2.1,0.027237995591312673,10.0,1850.0,900.0,1.0,50.0,468.0,6.727747833458119,5.990730429791682,0.9397531704865787,1.152686719270547,5.161843851402212,20.0,0.34
