Time,GLCi,ATP,G6P,ADP,F6P,F16bP,F26bP,AMP,DHAP,GAP,NAD,BPG,NADH,P3G,P2G,PEP,PYR,AcAld,GLCo,CO2,EtOH,Glycerol,Glycogen,Trehalose,Succinate,WGD_E,fV_HXT,fV_HXK,fV_TDH,fV_ENO,fV_PFK,fV_FBA,fV_PYK,fV_PGK,fV_GPM,fV_PGI,cyto,HXT,HXK,PGI,PFK,FBA,TPI,TDH,PGK,GPM,ENO,PYK,PDC,ADH,ATPase,AK,G3PDH,glycogen_branch,trehalose_synth,succinate_syn
0.0,0.097652231064563,2.52512746499271,2.67504014044787,1.28198768168719,0.624976405532373,6.22132076069411,0.02,0.292884853320091,1.00415254899644,0.0451809175780963,1.50329030201531,0.000736873499865602,0.0867096979846952,0.885688538360659,0.127695817386632,0.0632352144936527,1.81531251192736,0.178140579850657,50.0,1.0,50.0,0.15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.19916748499345,89.33230947730743,78.53230947734512,78.5323094773537,78.53230947746366,59.47126743500121,138.00357691092455,138.00357691092455,138.00357691093063,138.00357691093282,138.00357691093313,138.00357691093552,-130.37916009332736,99.74253486721204,4.007461029686965e-12,19.06104204400901,6.0,2.4,3.81220840880406
0.01,0.09524053759388659,2.530292468080529,2.668913368413001,1.2782680751570648,0.6239741004596768,6.220770844631379,0.02,0.2914394567623991,1.0044947587122506,0.045196322643619835,1.5033733893489598,0.0007399590130743981,0.0866266106510462,0.8855079383825962,0.12767941317225684,0.06339485197694698,1.8150751131298877,0.17825386004649096,50.0,1.0,50.0,0.15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.35516642266437,88.38667452470605,78.24987451420854,78.37943924076531,78.52392690917897,59.41498431441141,137.93649798828255,137.9361947475918,137.9573884232003,137.95953020099543,137.94323333191406,137.97480382111968,-130.33314536652074,99.9465524891809,-0.21408899627931532,19.055320080552143,6.0,2.4,3.814632604994906
0.02,0.09500067907232122,2.5354738364293348,2.6631410603023706,1.2751611049764904,0.6228517863554299,6.218382561889968,0.02,0.2893650585941677,1.0050571980227547,0.045221634240929676,1.5034288352938923,0.0007427872744174711,0.08657116470611369,0.8853301084163905,0.12766224792492478,0.06354576062284086,1.8147501692805357,0.17832660512237147,50.0,1.0,50.0,0.15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.37071087669791,88.39167574568283,78.08526786549717,78.17999404612553,78.50664084042556,59.39670094283065,137.90080130479205,137.9005362347968,137.9158664850068,137.91727900725445,137.90316915603634,137.93542190179355,-130.299571666738,100.15121653895872,-0.19614056021649162,19.053488269246245,6.0,2.4,3.816189349618749
0.03,0.09480751770773213,2.5399873459793816,2.6589443272070428,1.27247727328856,0.6220591766969269,6.2143713675926895,0.02,0.2875353807320512,1.005592656109993,0.045245731282212945,1.5034569930909427,0.0007452539856494406,0.0865430069090631,0.8851869498985593,0.12764910265320173,0.06367746156454639,1.814441862379303,0.17834442522857913,50.0,1.0,50.0,0.15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.38323290701776,88.40095730505641,77.95182281237724,78.01677168404339,78.48605997638093,59.38242736738175,137.86625588034426,137.86601941511069,137.87979531170527,137.8810804635544,137.868866559915,137.89805819899857,-130.26416784107056,100.32950016618557,-0.16969436146239048,19.05404372418851,6.0,2.4,3.816570699891593
0.04,0.09464530138119229,2.543834622429617,2.6560264411153063,1.2701948894968207,0.621530734861286,6.209113802564336,0.02,0.2859704880735549,1.006035422699931,0.045265656914319906,1.5034774210947413,0.0007473444343561613,0.08652257890526445,0.8850478594715866,0.12763553027188676,0.06378973154958784,1.8141675463828357,0.17834952054370173,50.0,1.0,50.0,0.15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.3937515368934,88.40849006320897,77.84582961947665,77.88760905708644,78.46442171417061,59.371071769914124,137.83375698907963,137.83357232765928,137.84788076284607,137.8493483541842,137.83911356504,137.86481539586964,-130.23097193410405,100.48146758596988,-0.14338527678765445,19.05476741036694,6.0,2.4,3.816679739635217
0.05,0.09451215656354912,2.5470296113142727,2.6541099526968934,1.2683056933405035,0.6212042473719159,6.202935510564575,0.02,0.2846646953452178,1.006360691136911,0.04528029493293494,1.5034969158777878,0.0007490504056971572,0.08650308412221816,0.8848965072801116,0.12761915024715062,0.06388219795019784,1.8139265214416522,0.17835623998542144,50.0,1.0,50.0,0.15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.40238689626719,88.41431256709377,77.76426128182743,77.7886674883757,78.44300295561602,59.361682260467205,137.80349516061563,137.80334226061905,137.819460460006,137.82129166355094,137.81302813917486,137.83560814730393,-130.20106381238256,100.60766964691378,-0.11797090480553152,19.054876735235165,6.0,2.4,3.8168235356880187
0.06,0.09440599996826178,2.549602654610183,2.652947333973191,1.2667914565433036,0.6210249799615721,6.196116086116868,0.02,0.28360588884650756,1.006565879984645,0.04528952923973593,1.5035169320212496,0.0007503788596985498,0.08648306797875631,0.8847229600513764,0.1275985484518698,0.06395524069900968,1.8137142160042328,0.17836741180145485,50.0,1.0,50.0,0.15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.40927305930552,88.4186106305379,77.70391391201265,77.71595750306511,78.42251666861232,59.35359573102323,137.77545081096721,137.7753392716262,137.79399753464048,137.79629598868388,137.7899395048526,137.80988204019482,-130.1744384674307,100.70930485710224,-0.0940059599139147,19.05422118583881,6.0,2.4,3.8170626125511333
0.07,0.09432453259261514,2.551593835223119,2.6523360286201165,1.2656279747919663,0.6209486729118107,6.188877628085522,0.02,0.2827781899849094,1.0066584507089946,0.04529369563845874,1.5035370314602654,0.0007513470048917398,0.08646296853974057,0.8845220624323193,0.12757302505783477,0.06400973949596281,1.813526088145359,0.1783818787824639,50.0,1.0,50.0,0.15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.41455839046982,88.42156058347011,77.66182753349923,77.66576265434846,78.40333530505161,59.34643446019618,137.74958907484185,137.74951788573014,137.77107904595138,137.7738915365829,137.76932792201504,137.78708637920911,-130.1508027215553,100.78795649131321,-0.07187095418404965,19.052886987588476,6.0,2.4,3.8173722059447273
0.08,0.09426508941181723,2.553054819529719,2.6520902735933953,1.264783763643091,0.6209353365918712,6.181418450878741,0.02,0.28216141682718493,1.006650915369104,0.04529335719888649,1.503556264435422,0.0007519820609530295,0.08644373556458382,0.8842915645494082,0.1275423252420099,0.06404707878048065,1.8133577680752901,0.1783973760603433,50.0,1.0,50.0,0.15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.41841525335009,88.42334799766643,77.63491512458,77.63422013672465,78.38567299269633,59.339927231834736,137.72583831715113,137.7257904205366,137.75032599096184,137.75365292239835,137.7507234934261,137.76669143039854,-130.12975934820443,100.8456653714239,-0.0518479167146495,19.051038096091748,6.0,2.4,3.8177038476913467
0.09,0.09422496294173392,2.5540424198850027,2.6520624159764092,1.2642240838567225,0.6209537879338701,6.173891135526273,0.02,0.2817334962582696,1.0065575182230981,0.045289154929494715,1.5035737335579182,0.0007523172657050524,0.08642626644208735,0.8840320158836954,0.12750661401845137,0.06406894895014212,1.8132056884893577,0.17841174969791812,50.0,1.0,50.0,0.15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,88.42101897157,88.42415696011197,77.62036399695077,77.61782927438526,78.36960097632333,59.33390544698341,137.7040980469542,137.70407902811885,137.7314272488022,137.73523740236473,137.73376304141308,137.7482647746311,-130.1109223894773,100.8846755854576,-0.03411601546171994,19.048843643397735,6.0,2.4,3.8180114435354477
