II,IIa,M,P2,Time
1.0,0.0,0.0,0.0,0.0
0.999949901254984,2.49988677403622e-09,4.999624764672604e-05,9.999748254221123e-08,0.01
0.9998998050198521,9.999048814476435e-09,9.998499116858571e-05,1.9998993033648274e-07,0.02
0.999849711294479,2.2496734925801953e-08,0.00014996623144237822,2.999773436352843e-07,0.03
0.9997996200787386,3.9992194951011344e-08,0.00019993996934372323,3.999597226908021e-07,0.04
0.9997495313725052,6.248467871916361e-08,0.00024990620574826536,4.999370677552446e-07,0.05
0.9996994451756531,8.997343609513689e-08,0.00029986494153161564,5.999093790808245e-07,0.06
0.9996493614880566,1.2245771704532402e-07,0.00034981617756927414,6.998766569197358e-07,0.07
0.99959928030959,1.599367716298168e-07,0.00039975991473663954,7.998389015241567e-07,0.08
0.9995492016401276,2.024098500016929e-07,0.0004496961539090108,8.997961131462523e-07,0.09
0.9994991254795438,2.498762024100376e-07,0.0004996248959615842,9.99748292038174e-07,0.1
0.9994490518277127,3.0233507919028556e-07,0.0005495461417694632,1.09969543845206e-06,0.11
0.9993989806845087,3.5978573076278757e-07,0.0005994598922076605,1.1996375526400378e-06,0.12
0.9993489120498062,4.22227407632981e-07,0.000649366148151098,1.2995746348542214e-06,0.13
0.9992988459234795,4.896593603931782e-07,0.0006992649104746039,1.3995066853467131e-06,0.14
0.9992487823054028,5.62080839723393e-07,0.0007491561800529125,1.4994337043696018e-06,0.15
0.9991987211954506,6.394910963915169e-07,0.0007990399577606643,1.5993556921749647e-06,0.16
0.9991486625934972,7.21889381253082e-07,0.0008489162444724053,1.6992726490148652e-06,0.17
0.999098606499417,8.092749452510644e-07,0.0008987850410625882,1.7991845751413545e-06,0.18
0.9990485529130841,9.016470394158088e-07,0.0009486463484055719,1.8990914708064716e-06,0.19
0.9989985018343732,9.990049148650416e-07,0.0009985001673756216,1.9989933362622425e-06,0.2
0.9989484532631585,1.1013478228039003e-06,0.0010483464988469088,2.09889017176068e-06,0.21
0.9988984071993144,1.2086750145249452e-06,0.0010981853436935116,2.198781977553786e-06,0.22
0.9988483636427153,1.3209857414081498e-06,0.001148016702789414,2.2986687538935483e-06,0.23
0.9987983225932356,1.4382792549208849e-06,0.0011978405770085064,2.3985505010319417e-06,0.24
0.9987482840507497,1.5605548066179068e-06,0.0012476569672245858,2.49842721922093e-06,0.25
