Time,II,M,IIa,P2,compartment,r1,r2,r3,r4
0.0,1.0,0.0,0.0,0.0,1.0,0.005,0.0,1e-05,0.0
0.01,0.999949901254984,4.999624764672604e-05,2.49988677403622e-09,9.999748254221123e-08,1.0,0.00499974950627492,4.999624764672605e-07,9.99949901254984e-06,2.4999370635552808e-12
0.02,0.9998998050198521,9.998499116858571e-05,9.999048814476435e-09,1.9998993033648274e-07,1.0,0.0049994990250992605,9.99849911685857e-07,9.998998050198521e-06,4.999748258412069e-12
0.03,0.999849711294479,0.00014996623144237822,2.2496734925801953e-08,2.999773436352843e-07,1.0,0.004999248556472395,1.4996623144237823e-06,9.99849711294479e-06,7.499433590882109e-12
0.04,0.9997996200787386,0.00019993996934372323,3.9992194951011344e-08,3.999597226908021e-07,1.0,0.004998998100393693,1.9993996934372324e-06,9.997996200787387e-06,9.998993067270053e-12
0.05,0.9997495313725052,0.00024990620574826536,6.248467871916361e-08,4.999370677552446e-07,1.0,0.004998747656862527,2.4990620574826536e-06,9.997495313725052e-06,1.2498426693881116e-11
0.06,0.9996994451756531,0.00029986494153161564,8.997343609513689e-08,5.999093790808245e-07,1.0,0.004998497225878266,2.9986494153161565e-06,9.996994451756531e-06,1.4997734477020613e-11
0.07,0.9996493614880566,0.00034981617756927414,1.2245771704532402e-07,6.998766569197358e-07,1.0,0.0049982468074402835,3.4981617756927414e-06,9.996493614880567e-06,1.7496916422993396e-11
0.08,0.99959928030959,0.00039975991473663954,1.599367716298168e-07,7.998389015241567e-07,1.0,0.0049979964015479505,3.997599147366395e-06,9.9959928030959e-06,1.999597253810392e-11
0.09,0.9995492016401276,0.0004496961539090108,2.024098500016929e-07,8.997961131462523e-07,1.0,0.004997746008200638,4.496961539090108e-06,9.995492016401278e-06,2.249490282865631e-11
0.1,0.9994991254795438,0.0004996248959615842,2.498762024100376e-07,9.99748292038174e-07,1.0,0.004997495627397719,4.996248959615842e-06,9.99499125479544e-06,2.4993707300954353e-11
0.11,0.9994490518277127,0.0005495461417694632,3.0233507919028556e-07,1.09969543845206e-06,1.0,0.004997245259138564,5.495461417694632e-06,9.994490518277127e-06,2.74923859613015e-11
0.12,0.9993989806845087,0.0005994598922076605,3.5978573076278757e-07,1.1996375526400378e-06,1.0,0.004996994903422544,5.994598922076605e-06,9.993989806845087e-06,2.9990938816000947e-11
0.13,0.9993489120498062,0.000649366148151098,4.22227407632981e-07,1.2995746348542214e-06,1.0,0.004996744560249031,6.49366148151098e-06,9.993489120498063e-06,3.248936587135554e-11
0.14,0.9992988459234795,0.0006992649104746039,4.896593603931782e-07,1.3995066853467131e-06,1.0,0.004996494229617398,6.9926491047460395e-06,9.992988459234795e-06,3.498766713366783e-11
0.15,0.9992487823054028,0.0007491561800529125,5.62080839723393e-07,1.4994337043696018e-06,1.0,0.0049962439115270145,7.491561800529125e-06,9.99248782305403e-06,3.748584260924005e-11
0.16,0.9991987211954506,0.0007990399577606643,6.394910963915169e-07,1.5993556921749647e-06,1.0,0.004995993605977253,7.990399577606644e-06,9.991987211954508e-06,3.998389230437412e-11
0.17,0.9991486625934972,0.0008489162444724053,7.21889381253082e-07,1.6992726490148652e-06,1.0,0.0049957433129674865,8.489162444724054e-06,9.991486625934974e-06,4.248181622537163e-11
0.18,0.999098606499417,0.0008987850410625882,8.092749452510644e-07,1.7991845751413545e-06,1.0,0.004995493032497085,8.987850410625881e-06,9.990986064994171e-06,4.497961437853386e-11
0.19,0.9990485529130841,0.0009486463484055719,9.016470394158088e-07,1.8990914708064716e-06,1.0,0.004995242764565421,9.48646348405572e-06,9.990485529130843e-06,4.747728677016179e-11
