data_set_value_component_environment_variable_time,data_set_value_component_y_variable_y,data_set_value_component_y_variable_r,data_set_value_component_y_variable_a,data_set_value_component_y_variable_k,data_set_value_component_v_variable_v,data_set_value_component_v_variable_u,data_set_value_component_v_variable_eta
0.0,0.0,1.0,0.2,10.0,1.0,0.5,1.0
0.1,0.0,1.0,0.2,10.0,0.9512289128756493,0.5,1.0
0.2,0.0,1.0,0.2,10.0,0.9048367931689617,0.5,1.0
0.30000000000000004,0.0,1.0,0.2,10.0,0.8607075514656368,0.5,1.0
0.4,0.0,1.0,0.2,10.0,0.81873046225609,0.5,1.0
0.5,0.0,1.0,0.2,10.0,0.7788007160222554,0.5,1.0
0.6000000000000001,0.0,1.0,0.2,10.0,0.7408184480850765,0.5,1.0
0.7000000000000001,0.0,1.0,0.2,10.0,0.704688463757804,0.5,1.0
0.8,0.0,1.0,0.2,10.0,0.6703203920102289,0.5,1.0
0.9,0.0,1.0,0.2,10.0,0.637628434437748,0.5,1.0
1.0,0.0,1.0,0.2,10.0,0.6065309076177141,0.5,1.0
