data_set_value_component_all_variable_t,data_set_value_component_all_variable_Ca,data_set_value_component_all_variable_L,data_set_value_component_all_variable_Ls,data_set_value_component_all_variable_ts,data_set_value_component_all_variable_Gd,data_set_value_component_all_variable_Gt,data_set_value_component_all_variable_R,data_set_value_component_all_variable_Rl,data_set_value_component_all_variable_Rg,data_set_value_component_all_variable_Rlg,data_set_value_component_all_variable_Rlgp,data_set_value_component_all_variable_IP3,data_set_value_component_all_variable_PIP2,data_set_value_component_all_variable_Pc,data_set_value_component_all_variable_Pcg,data_set_value_component_all_variable_P,data_set_value_component_all_variable_Pg,data_set_value_component_all_variable_J1,data_set_value_component_all_variable_kf1,data_set_value_component_all_variable_kr1,data_set_value_component_all_variable_Kd1,data_set_value_component_all_variable_J2,data_set_value_component_all_variable_kf2,data_set_value_component_all_variable_kr2,data_set_value_component_all_variable_Kd2,data_set_value_component_all_variable_J3,data_set_value_component_all_variable_kf3,data_set_value_component_all_variable_kr3,data_set_value_component_all_variable_J4,data_set_value_component_all_variable_kf4,data_set_value_component_all_variable_kr4,data_set_value_component_all_variable_Kd4,data_set_value_component_all_variable_J5,data_set_value_component_all_variable_kf5,data_set_value_component_all_variable_J6,data_set_value_component_all_variable_kf6,data_set_value_component_all_variable_J7,data_set_value_component_all_variable_kf7,data_set_value_component_all_variable_J8,data_set_value_component_all_variable_kf8,data_set_value_component_all_variable_kr8,data_set_value_component_all_variable_J9,data_set_value_component_all_variable_kf9,data_set_value_component_all_variable_kr9,data_set_value_component_all_variable_J10,data_set_value_component_all_variable_kf10,data_set_value_component_all_variable_kr10,data_set_value_component_all_variable_J11,data_set_value_component_all_variable_kf11,data_set_value_component_all_variable_kr11,data_set_value_component_all_variable_Kd11,data_set_value_component_all_variable_J12,data_set_value_component_all_variable_kf12,data_set_value_component_all_variable_J13,data_set_value_component_all_variable_kf13,data_set_value_component_all_variable_J14,data_set_value_component_all_variable_kf14,data_set_value_component_all_variable_Km14,data_set_value_component_all_variable_J15,data_set_value_component_all_variable_kf15,data_set_value_component_all_variable_Km15,data_set_value_component_all_variable_J16,data_set_value_component_all_variable_kf16,data_set_value_component_all_variable_Cpc,data_set_value_component_all_variable_Cc,data_set_value_component_all_variable_Cp,data_set_value_component_all_variable_Vc,data_set_value_component_all_variable_Rpc
0.0,0.1,0.0,0.1,10.0,10000.0,0.0,13.9,0.0,5.06,0.0,0.0,0.015,4000.0,9.09,0.0,90.9,0.0,0.0,0.0003,9e-09,3e-05,-0.04124999999999801,0.000275,7.562500000000001,27500.0,0.0,1.0,0.001,0.0,0.3,9e-06,3e-05,0.0,0.0004,0.0,1.0,0.0,0.15,2.7755575615628914e-17,0.0167,0.0167,0.0,0.0042,1.0,0.0,0.042,1.0,0.0,0.0334,0.00334,0.1,0.0,6.0,0.0,6.0,2.4510664230413033,0.444,19.8,0.0,3.8,5.0,0.01875,1.25,0.007655264031883095,6.512070121971074e-07,8.506656458678916e-05,2550.0,4.61
0.1,0.1,0.0,0.1,10.0,10000.002575581664,0.0,13.902575581664806,0.0,5.057424418335194,0.0,0.0,0.015001274690100054,4000.0,9.09,0.0,90.9,0.0,0.0,0.0003,9e-09,3e-05,-0.014679467096534893,0.000275,7.562500000000001,27500.0,0.0,1.0,0.001,0.0,0.3,9e-06,3e-05,0.0,0.0004,0.0,1.0,0.0,0.15,2.7755575615628914e-17,0.0167,0.0167,0.0,0.0042,1.0,0.0,0.042,1.0,0.0,0.0334,0.00334,0.1,0.0,6.0,0.0,6.0,2.4510664230413033,0.444,19.8,0.0,3.8,5.0,0.018751593362625066,1.25,0.007655264031883095,6.512070121971074e-07,8.506656458678916e-05,2550.0,4.61
0.2,0.1,0.0,0.1,10.0,10000.003489215818,0.0,13.903489215820823,0.0,5.056510784179177,0.0,0.0,0.01500239963524903,4000.0,9.09,0.0,90.9,0.0,0.0,0.0003,9e-09,3e-05,-0.005254120972281839,0.000275,7.562500000000001,27500.0,0.0,1.0,0.001,0.0,0.3,9e-06,3e-05,0.0,0.0004,0.0,1.0,0.0,0.15,2.7755575615628914e-17,0.0167,0.0167,0.0,0.0042,1.0,0.0,0.042,1.0,0.0,0.0334,0.00334,0.1,0.0,6.0,0.0,6.0,2.4510664230413033,0.444,19.8,0.0,3.8,5.0,0.01875299954406129,1.25,0.007655264031883095,6.512070121971074e-07,8.506656458678916e-05,2550.0,4.61
0.30000000000000004,0.1,0.0,0.1,10.0,10000.003816303337,0.0,13.903816303340045,0.0,5.0561836966599545,0.0,0.0,0.015003392398418585,4000.0,9.09,0.0,90.9,0.0,0.0,0.0003,9e-09,3e-05,-0.00187977998113098,0.000275,7.562500000000001,27500.0,0.0,1.0,0.001,0.0,0.3,9e-06,3e-05,0.0,0.0004,0.0,1.0,0.0,0.15,2.7755575615628914e-17,0.0167,0.0167,0.0,0.0042,1.0,0.0,0.042,1.0,0.0,0.0334,0.00334,0.1,0.0,6.0,0.0,6.0,2.4510664230413033,0.444,19.8,0.0,3.8,5.0,0.018754240498023232,1.25,0.007655264031883095,6.512070121971074e-07,8.506656458678916e-05,2550.0,4.61
0.4,0.1,0.0,0.1,10.0,10000.003933273336,0.0,13.903933273339357,0.0,5.056066726660642,0.0,0.0,0.015004268507560361,4000.0,9.09,0.0,90.9,0.0,0.0,0.0003,9e-09,3e-05,-0.0006730794961313791,0.000275,7.562500000000001,27500.0,0.0,1.0,0.001,0.0,0.3,9e-06,3e-05,0.0,0.0004,0.0,1.0,0.0,0.15,2.7755575615628914e-17,0.0167,0.0167,0.0,0.0042,1.0,0.0,0.042,1.0,0.0,0.0334,0.00334,0.1,0.0,6.0,0.0,6.0,2.4510664230413033,0.444,19.8,0.0,3.8,5.0,0.018755335634450452,1.25,0.007655264031883095,6.512070121971074e-07,8.506656458678916e-05,2550.0,4.61
0.5,0.1,0.0,0.1,10.0,10000.00397620804,0.0,13.903976208043533,0.0,5.0560237919564655,0.0,0.0,0.015005041681217274,4000.0,9.09,0.0,90.9,0.0,0.0,0.0003,9e-09,3e-05,-0.00023015114800983838,0.000275,7.562500000000001,27500.0,0.0,1.0,0.001,0.0,0.3,9e-06,3e-05,0.0,0.0004,0.0,1.0,0.0,0.15,2.7755575615628914e-17,0.0167,0.0167,0.0,0.0042,1.0,0.0,0.042,1.0,0.0,0.0334,0.00334,0.1,0.0,6.0,0.0,6.0,2.4510664230413033,0.444,19.8,0.0,3.8,5.0,0.018756302101521592,1.25,0.007655264031883095,6.512070121971074e-07,8.506656458678916e-05,2550.0,4.61
0.6000000000000001,0.1,0.0,0.1,10.0,10000.003993998695,0.0,13.903993998698692,0.0,5.0560060013013075,0.0,0.0,0.015005724018566861,4000.0,9.09,0.0,90.9,0.0,0.0,0.0003,9e-09,3e-05,-4.6616972916524446e-05,0.000275,7.562500000000001,27500.0,0.0,1.0,0.001,0.0,0.3,9e-06,3e-05,0.0,0.0004,0.0,1.0,0.0,0.15,2.7755575615628914e-17,0.0167,0.0167,0.0,0.0042,1.0,0.0,0.042,1.0,0.0,0.0334,0.00334,0.1,0.0,6.0,0.0,6.0,2.4510664230413033,0.444,19.8,0.0,3.8,5.0,0.01875715502320858,1.25,0.007655264031883095,6.512070121971074e-07,8.506656458678916e-05,2550.0,4.61
0.7000000000000001,0.1,0.0,0.1,10.0,10000.003996161313,0.0,13.903996161319105,0.0,5.056003838680895,0.0,0.0,0.015006326160135619,4000.0,9.09,0.0,90.9,0.0,0.0,0.0003,9e-09,3e-05,-2.430667855435331e-05,0.000275,7.562500000000001,27500.0,0.0,1.0,0.001,0.0,0.3,9e-06,3e-05,0.0,0.0004,0.0,1.0,0.0,0.15,2.7755575615628914e-17,0.0167,0.0167,0.0,0.0042,1.0,0.0,0.042,1.0,0.0,0.0334,0.00334,0.1,0.0,6.0,0.0,6.0,2.4510664230413033,0.444,19.8,0.0,3.8,5.0,0.018757907700169524,1.25,0.007655264031883095,6.512070121971074e-07,8.506656458678916e-05,2550.0,4.61
0.8,0.1,0.0,0.1,10.0,10000.003997625721,0.0,13.903997625725907,0.0,5.056002374274093,0.0,0.0,0.015006857547691856,4000.0,9.09,0.0,90.9,0.0,0.0,0.0003,9e-09,3e-05,-9.199382489555319e-06,0.000275,7.562500000000001,27500.0,0.0,1.0,0.001,0.0,0.3,9e-06,3e-05,0.0,0.0004,0.0,1.0,0.0,0.15,2.7755575615628914e-17,0.0167,0.0167,0.0,0.0042,1.0,0.0,0.042,1.0,0.0,0.0334,0.00334,0.1,0.0,6.0,0.0,6.0,2.4510664230413033,0.444,19.8,0.0,3.8,5.0,0.018758571934614818,1.25,0.007655264031883095,6.512070121971074e-07,8.506656458678916e-05,2550.0,4.61
0.9,0.1,0.0,0.1,10.0,10000.00399955199,0.0,13.903999551993662,0.0,5.056000448006338,0.0,0.0,0.015007326504745578,4000.0,9.09,0.0,90.9,0.0,0.0,0.0003,9e-09,3e-05,1.0672621129970139e-05,0.000275,7.562500000000001,27500.0,0.0,1.0,0.001,0.0,0.3,9e-06,3e-05,0.0,0.0004,0.0,1.0,0.0,0.15,2.7755575615628914e-17,0.0167,0.0167,0.0,0.0042,1.0,0.0,0.042,1.0,0.0,0.0334,0.00334,0.1,0.0,6.0,0.0,6.0,2.4510664230413033,0.444,19.8,0.0,3.8,5.0,0.01875915813093197,1.25,0.007655264031883095,6.512070121971074e-07,8.506656458678916e-05,2550.0,4.61
