Time,CDK2cycA,CyclinA,Cdk2,CDK2cycA_star_,basal_fluorescence,total_fluorescence,geometry,Binding,Activation
0.0,0.0,4e-07,1e-07,0.0,1.21210648148148,1.21210648148148,1e-12,7.599999999999999e-19,0.0
0.01,6.405250518072993e-09,3.9356725031764744e-07,9.356725031764763e-08,2.749995109411549e-11,1.21210648148148,1.3014487489350812,1e-12,5.395438401668676e-19,5.19215119843392e-21
0.02,1.0910856407842129e-08,3.889905102836241e-07,8.899051028362429e-08,9.863314510577714e-11,1.21210648148148,1.3650135101128043,1e-12,3.849414059108619e-19,8.815587597751732e-21
0.03,1.4083264394711806e-08,3.8571657578968787e-07,8.571657578968799e-08,2.0015827236020494e-10,1.21210648148148,1.4104840455096406,1e-12,2.761021680705034e-19,1.1338205795196062e-20
0.04,1.631552348193549e-08,3.833616655118153e-07,8.336166551181537e-08,3.2281064358278093e-10,1.21210648148148,1.4431906039807787,1e-12,1.9930758463013216e-19,1.3084715062337944e-20
0.05,1.7884359353892637e-08,3.8165560911797866e-07,8.165560911797886e-08,4.600320035166417e-10,1.21210648148148,1.4668854483919427,1e-12,1.4501311963329813e-19,1.4283746328755943e-20
0.06,1.8984208057432715e-08,3.80408596725019e-07,8.040859672501915e-08,6.071968176059273e-10,1.21210648148148,1.4842047919207029,1e-12,1.0656910601523959e-19,1.5095952523286294e-20
0.07,1.975205432558984e-08,3.794869110788232e-07,7.948691107882332e-08,7.61038819423823e-10,1.21210648148148,1.4970058045388122,1e-12,7.931924663374926e-20,1.5634521544285468e-20
0.08,2.028482001177044e-08,3.7879593882985826e-07,7.879593882985836e-08,9.192446281939626e-10,1.21210648148148,1.506602470910467,1e-12,5.998355058142828e-20,1.597953941166533e-20
0.09,2.0651132686110954e-08,3.782686941069751e-07,7.826869410697513e-08,1.0801763371547447e-09,1.21210648148148,1.5139251875201185,1e-12,4.624702032399797e-20,1.6187712654013014e-20
0.1,2.0899334848366258e-08,3.7785799127774426e-07,7.785799127774428e-08,1.2426814198852337e-09,1.21210648148148,1.5196293597404664,1e-12,3.648264838428669e-20,1.629898568084569e-20
0.11,2.1063984698725195e-08,3.7753008799175463e-07,7.75300879917547e-08,1.405938103344887e-09,1.21210648148148,1.524183541250323,1e-12,2.9529260421047066e-20,1.6341912036500482e-20
0.12,2.116960223726217e-08,3.772610388680901e-07,7.726103886809016e-08,1.5693656853208034e-09,1.21210648148148,1.5279202167562613,1e-12,2.4563960029113866e-20,1.6336749932170453e-20
0.13,2.1233307045184834e-08,3.770341361189871e-07,7.703413611898714e-08,1.7325611512405792e-09,1.21210648148148,1.531071556925306,1e-12,2.101280417297989e-20,1.629764206649427e-20
0.14,2.1267285920982066e-08,3.7683747882380533e-07,7.683747882380543e-08,1.8952401832658358e-09,1.21210648148148,1.53380287123351,1e-12,1.846744615911531e-20,1.6234654671679344e-20
0.15,2.1280300530999163e-08,3.7666250248861615e-07,7.666250248861625e-08,2.0572009643328167e-09,1.21210648148148,1.5362330444950039,1e-12,1.6634397378658115e-20,1.6155023394568937e-20
0.16,2.1278545567882108e-08,3.7650315312951284e-07,7.650315312951295e-08,2.2183034114954654e-09,1.21210648148148,1.5384461671096454,1e-12,1.5306249977567403e-20,1.6063862546485175e-20
0.17,2.1266342417324633e-08,3.763552058739506e-07,7.635520587395075e-08,2.3784525006248863e-09,1.21210648148148,1.5405009375652885,1e-12,1.433834486541793e-20,1.5964738342436863e-20
0.18,2.12467807530294e-08,3.7621563538041463e-07,7.621563538041472e-08,2.5375828450716446e-09,1.21210648148148,1.542439359148717,1e-12,1.3627241294994978e-20,1.5860199107507995e-20
0.19,2.1222025412255615e-08,3.7608231913844474e-07,7.608231913844486e-08,2.695651300631935e-09,1.21210648148148,1.5442908993279012,1e-12,1.310045020694443e-20,1.5752028885711823e-20
0.2,2.1193848618022713e-08,3.75953521651168e-07,7.595352165116819e-08,2.852624073007713e-09,1.21210648148148,1.5460797025437796,1e-12,1.2698669534165606e-20,1.564168731778717e-20
0.21,2.1163345660419935e-08,3.7582816495363136e-07,7.582816495363148e-08,3.0084836736441743e-09,1.21210648148148,1.547820738012617,1e-12,1.2385200129668713e-20,1.55300746157016e-20
0.22,2.113120721573855e-08,3.7570556499981945e-07,7.57055649998196e-08,3.1632223209037095e-09,1.21210648148148,1.5495234902243036,1e-12,1.2136858972404091e-20,1.5417756633652073e-20
0.23,2.1097934297067127e-08,3.7558522497143506e-07,7.558522497143518e-08,3.3168367281501446e-09,1.21210648148148,1.5511948719310196,1e-12,1.1936823356168912e-20,1.5305142525935944e-20
0.24,2.1063936280505004e-08,3.7546673467984736e-07,7.546673467984751e-08,3.469325756071333e-09,1.21210648148148,1.5528405529936429,1e-12,1.1771313484036909e-20,1.5192565749918833e-20
0.25,2.1029532853592007e-08,3.753497725558149e-07,7.534977255581506e-08,3.6206903550635364e-09,1.21210648148148,1.5544649866426197,1e-12,1.1629558488393575e-20,1.508028568219991e-20
0.26,2.0994941094797156e-08,3.7523411911551615e-07,7.523411911551632e-08,3.770933875277316e-09,1.21210648148148,1.5560712343355303,1e-12,1.1504232491180153e-20,1.4968476941540622e-20
0.27,2.096029192339748e-08,3.751196395367526e-07,7.511963953675283e-08,3.920061681242447e-09,1.21210648148148,1.557661188871478,1e-12,1.1390891913055626e-20,1.4857242977270106e-20
0.28,2.092573082407541e-08,3.7500618186980213e-07,7.500618186980234e-08,4.068078732681303e-09,1.21210648148148,1.559236939721259,1e-12,1.1284585111019223e-20,1.4746699305869824e-20
0.29,2.089125974837259e-08,3.7489373669056086e-07,7.489373669056107e-08,4.214993386471243e-09,1.21210648148148,1.560798630054974,1e-12,1.118516954090982e-20,1.463684285916243e-20
0.3,2.085689375147921e-08,3.747822814327244e-07,7.47822814327246e-08,4.360813617869168e-09,1.21210648148148,1.5623465797346126,1e-12,1.1092063088930895e-20,1.452768143479947e-20
0.31,2.0822676577342296e-08,3.7467176502075226e-07,7.467176502075244e-08,4.505546644015459e-09,1.21210648148148,1.5638814965412586,1e-12,1.1003723519706239e-20,1.4419246576662674e-20
0.32,2.0788647171038347e-08,3.745621411462544e-07,7.456214114625457e-08,4.649199734127538e-09,1.21210648148148,1.5654040223294077,1e-12,1.0918770211657906e-20,1.4311565898145136e-20
0.33,2.07548343629083e-08,3.74453373419837e-07,7.445337341983714e-08,4.7917803369286276e-09,1.21210648148148,1.5669146609665532,1e-12,1.0836160878644436e-20,1.4204658689375204e-20
