CDK2cycA,CDK2cycA_star_,Cdk2,CyclinA,Time
0.0,0.0,1e-07,4e-07,0.0
6.405250518072993e-09,2.749995109411549e-11,9.356725031764763e-08,3.9356725031764744e-07,0.01
1.0910856407842129e-08,9.863314510577714e-11,8.899051028362429e-08,3.889905102836241e-07,0.02
1.4083264394711806e-08,2.0015827236020494e-10,8.571657578968799e-08,3.8571657578968787e-07,0.03
1.631552348193549e-08,3.2281064358278093e-10,8.336166551181537e-08,3.833616655118153e-07,0.04
1.7884359353892637e-08,4.600320035166417e-10,8.165560911797886e-08,3.8165560911797866e-07,0.05
1.8984208057432715e-08,6.071968176059273e-10,8.040859672501915e-08,3.80408596725019e-07,0.06
1.975205432558984e-08,7.61038819423823e-10,7.948691107882332e-08,3.794869110788232e-07,0.07
2.028482001177044e-08,9.192446281939626e-10,7.879593882985836e-08,3.7879593882985826e-07,0.08
2.0651132686110954e-08,1.0801763371547447e-09,7.826869410697513e-08,3.782686941069751e-07,0.09
2.0899334848366258e-08,1.2426814198852337e-09,7.785799127774428e-08,3.7785799127774426e-07,0.1
2.1063984698725195e-08,1.405938103344887e-09,7.75300879917547e-08,3.7753008799175463e-07,0.11
2.116960223726217e-08,1.5693656853208034e-09,7.726103886809016e-08,3.772610388680901e-07,0.12
2.1233307045184834e-08,1.7325611512405792e-09,7.703413611898714e-08,3.770341361189871e-07,0.13
2.1267285920982066e-08,1.8952401832658358e-09,7.683747882380543e-08,3.7683747882380533e-07,0.14
2.1280300530999163e-08,2.0572009643328167e-09,7.666250248861625e-08,3.7666250248861615e-07,0.15
2.1278545567882108e-08,2.2183034114954654e-09,7.650315312951295e-08,3.7650315312951284e-07,0.16
2.1266342417324633e-08,2.3784525006248863e-09,7.635520587395075e-08,3.763552058739506e-07,0.17
2.12467807530294e-08,2.5375828450716446e-09,7.621563538041472e-08,3.7621563538041463e-07,0.18
2.1222025412255615e-08,2.695651300631935e-09,7.608231913844486e-08,3.7608231913844474e-07,0.19
2.1193848618022713e-08,2.852624073007713e-09,7.595352165116819e-08,3.75953521651168e-07,0.2
2.1163345660419935e-08,3.0084836736441743e-09,7.582816495363148e-08,3.7582816495363136e-07,0.21
