value_component_environment_variable_time,value_component_SERCA_variable_k_p1,value_component_SERCA_variable_k_p2,value_component_SERCA_variable_k_p3,value_component_SERCA_variable_k_m1,value_component_SERCA_variable_k_m2,value_component_SERCA_variable_k_m3,value_component_SERCA_variable_kdatp,value_component_SERCA_variable_kdcai,value_component_SERCA_variable_kdcasr,value_component_SERCA_variable_kdh1,value_component_SERCA_variable_kdhi,value_component_SERCA_variable_kdhsr,value_component_SERCA_variable_kdh,value_component_SERCA_variable_n,value_component_SERCA_variable_Ca_i,value_component_SERCA_variable_Ca_sr,value_component_SERCA_variable_H_i,value_component_SERCA_variable_ATP,value_component_SERCA_variable_ADP,value_component_SERCA_variable_P_i,value_component_SERCA_variable_T_ATP,value_component_SERCA_variable_T_Cai,value_component_SERCA_variable_T_Casr,value_component_SERCA_variable_T_H1,value_component_SERCA_variable_T_Hi,value_component_SERCA_variable_T_Hsr,value_component_SERCA_variable_T_H,value_component_SERCA_variable_a_p1,value_component_SERCA_variable_a_p2,value_component_SERCA_variable_a_m1,value_component_SERCA_variable_a_m2,value_component_SERCA_variable_s2,value_component_SERCA_variable_v_cycle
0.0,25900.0,2540.0,20.5,2.0,67200.0,149.0,7.722007722007723e-05,0.9,2.24,1.09e-05,0.00354,1.05e-08,7.24e-05,2.0,0.001,1.0,0.0001,0.01,0.02,1.0,129.5,0.0011111111111111111,0.4464285714285714,9.174311926605505,2.824858757062147e-06,0.9523809523809524,1.3812154696132597,104.53588152964251,4.97508870170041,94.2759531972268,0.10835025209983676,203.89527368066953,2.500599698171831
0.1,25900.0,2540.0,20.5,2.0,67200.0,149.0,7.722007722007723e-05,0.9,2.24,1.09e-05,0.00354,1.05e-08,7.24e-05,2.0,0.001,1.0,0.0001,0.02,0.02,1.0,259.0,0.0011111111111111111,0.4464285714285714,9.174311926605505,2.824858757062147e-06,0.9523809523809524,1.3812154696132597,104.57390370692342,4.97508870170041,94.2759531972268,0.05419483082704126,203.8791404366777,2.52676745834349
0.2,25900.0,2540.0,20.5,2.0,67200.0,149.0,7.722007722007723e-05,0.9,2.24,1.09e-05,0.00354,1.05e-08,7.24e-05,2.0,0.001,1.0,0.0001,0.030000000000000006,0.02,1.0,388.50000000000006,0.0011111111111111111,0.4464285714285714,9.174311926605505,2.824858757062147e-06,0.9523809523809524,1.3812154696132597,104.58658391323651,4.97508870170041,94.2759531972268,0.036134268181229154,203.87376008034494,2.535495196618736
0.30000000000000004,25900.0,2540.0,20.5,2.0,67200.0,149.0,7.722007722007723e-05,0.9,2.24,1.09e-05,0.00354,1.05e-08,7.24e-05,2.0,0.001,1.0,0.0001,0.04000000000000001,0.02,1.0,518.0000000000001,0.0011111111111111111,0.4464285714285714,9.174311926605505,2.824858757062147e-06,0.9523809523809524,1.3812154696132597,104.59292516962567,4.97508870170041,94.2759531972268,0.027102344295950605,203.87106941284884,2.5398600323140643
0.4,25900.0,2540.0,20.5,2.0,67200.0,149.0,7.722007722007723e-05,0.9,2.24,1.09e-05,0.00354,1.05e-08,7.24e-05,2.0,0.001,1.0,0.0001,0.04999999999999999,0.02,1.0,647.4999999999998,0.0011111111111111111,0.4464285714285714,9.174311926605505,2.824858757062147e-06,0.9523809523809524,1.3812154696132597,104.59673029257415,4.97508870170041,94.2759531972268,0.021682664230090992,203.86945485573145,2.5424792431119374
0.5,25900.0,2540.0,20.5,2.0,67200.0,149.0,7.722007722007723e-05,0.9,2.24,1.09e-05,0.00354,1.05e-08,7.24e-05,2.0,0.001,1.0,0.0001,0.06,0.02,1.0,776.9999999999999,0.0011111111111111111,0.4464285714285714,9.174311926605505,2.824858757062147e-06,0.9523809523809524,1.3812154696132597,104.59926719502305,4.97508870170041,94.2759531972268,0.018069325103497614,203.86837841905378,2.544225512571505
0.6000000000000001,25900.0,2540.0,20.5,2.0,67200.0,149.0,7.722007722007723e-05,0.9,2.24,1.09e-05,0.00354,1.05e-08,7.24e-05,2.0,0.001,1.0,0.0001,0.07,0.02,1.0,906.5,0.0011111111111111111,0.4464285714285714,9.174311926605505,2.824858757062147e-06,0.9523809523809524,1.3812154696132597,104.6010793435454,4.97508870170041,94.2759531972268,0.01548826127033082,203.86760950374293,2.545472911054
0.7000000000000001,25900.0,2540.0,20.5,2.0,67200.0,149.0,7.722007722007723e-05,0.9,2.24,1.09e-05,0.00354,1.05e-08,7.24e-05,2.0,0.001,1.0,0.0001,0.08000000000000002,0.02,1.0,1036.0000000000002,0.0011111111111111111,0.4464285714285714,9.174311926605505,2.824858757062147e-06,0.9523809523809524,1.3812154696132597,104.6024384961435,4.97508870170041,94.2759531972268,0.013552404704815396,203.86703279977556,2.5464084944556378
0.8,25900.0,2540.0,20.5,2.0,67200.0,149.0,7.722007722007723e-05,0.9,2.24,1.09e-05,0.00354,1.05e-08,7.24e-05,2.0,0.001,1.0,0.0001,0.09000000000000002,0.02,1.0,1165.5000000000002,0.0011111111111111111,0.4464285714285714,9.174311926605505,2.824858757062147e-06,0.9523809523809524,1.3812154696132597,104.60349563925048,4.97508870170041,94.2759531972268,0.012046703706147605,203.86658424188383,2.5471361909037067
0.9,25900.0,2540.0,20.5,2.0,67200.0,149.0,7.722007722007723e-05,0.9,2.24,1.09e-05,0.00354,1.05e-08,7.24e-05,2.0,0.001,1.0,0.0001,0.09999999999999998,0.02,1.0,1294.9999999999995,0.0011111111111111111,0.4464285714285714,9.174311926605505,2.824858757062147e-06,0.9523809523809524,1.3812154696132597,104.60434136912086,4.97508870170041,94.2759531972268,0.01084212099447189,203.86622538904254,2.547718360958132
