Time,Glci,ATP,G6P,FDP,PEP,Gly,EtOH,Carbo,Glco,VappGly,VratioVmax,parameter_4,parameter_5,parameter_6,parameter_7,extracellular,cytoplasm,Vin,Vhk,Vpol,Vpfk,Vgapd,Vpk,Vgol,Vatpase
0.0,0.0345,1.19,1.011,9.144,0.0095,0.0,0.0,0.0,1.0,0.05126024903774349,0.2332339156369834,14.31,8.25,2.0,68.5,1.0,1.0,15.959299999999999,15.976523221133363,0.014157081657647912,15.582294270866102,15.165059586542261,29.90407369595793,1.7646880698486802,29.869
0.01,0.03443152869656988,1.1823206538978175,1.01419309452537,9.139766705996898,0.009723112595933288,0.0,0.0,0.0,1.0,0.052606333368234934,0.23285295503876094,14.31,8.25,2.0,68.5,1.0,1.0,15.947485550256129,15.950427420155124,0.0145467170153586,15.666014160329103,15.147381953906063,30.298064846761104,1.7879381290385186,29.67624841283522
0.02,0.034409609923378465,1.1754373640310993,1.016487934165139,9.136446275281745,0.009691833518647443,0.0,0.0,0.0,1.0,0.053592745844072184,0.23271048161690464,14.31,8.25,2.0,68.5,1.0,1.0,15.938994643588984,15.940667990757968,0.01483252292769118,15.73389325172507,15.13201676129596,30.266977436806336,1.786103610369676,29.503477837180593
0.03,0.03439644244645889,1.169090763921344,1.0180816510441997,9.133897944918548,0.009664097284117722,0.0,0.0,0.0,1.0,0.054287270339466835,0.23261441205884006,14.31,8.25,2.0,68.5,1.0,1.0,15.93309789113646,15.934087226030545,0.015033896005493834,15.789993340618258,15.11836956314973,30.239344316189925,1.784472934937952,29.344178174425736
0.04,0.03438931068266087,1.1632947560433708,1.0191100982470473,9.13199497556534,0.009639673962014822,0.0,0.0,0.0,1.0,0.05473962351767643,0.23255115242494143,14.31,8.25,2.0,68.5,1.0,1.0,15.929292636485924,15.929753941108487,0.015165114210576869,15.835951763658333,15.10633587145484,30.21495640518702,1.7830337646084204,29.19869837668861
0.05,0.03438685788190624,1.1580484036958614,1.0196883534863261,9.130626579493544,0.009618314949407623,0.0,0.0,0.0,1.0,0.05499540869730615,0.23251390145194087,14.31,8.25,2.0,68.5,1.0,1.0,15.927153092100593,15.927202249457949,0.015239333326551988,15.87322039663479,15.095801653689218,30.193594610982064,1.7817731703573718,29.06701493276612
0.06,0.03438800621839342,1.1533381395123121,1.0199132730993217,9.12969707568335,0.009599752868043238,0.0,0.0,0.0,1.0,0.055095181510497096,0.23249720234813626,14.31,8.25,2.0,68.5,1.0,1.0,15.926320889532509,15.926058360847334,0.015268287723737013,15.90308822294212,15.08664628701583,30.1750178779039,1.780676927097236,28.948787301759037
0.07,0.03439185276216958,1.1491410459516165,1.0198654866967876,9.129124662433032,0.009583718576463032,0.0,0.0,0.0,1.0,0.055073970554977696,0.2324964319578443,14.31,8.25,2.0,68.5,1.0,1.0,15.926497699221885,15.926005589112336,0.015262132041503751,15.92668997707427,15.07874699127943,30.158980011136308,1.7797305064711253,28.843440253385577
0.08,0.03439764440288558,1.1454285222839404,1.0196130832234107,9.128838525194961,0.009569950503003508,0.0,0.0,0.0,1.0,0.054962054623041774,0.23250769110719569,14.31,8.25,2.0,68.5,1.0,1.0,15.927431592073379,15.926776840842905,0.015229654380835723,15.945031338983359,15.071982251134942,30.145235516231928,1.7789194214520583,28.750255909326906
0.09,0.03440477280478809,1.1421675990447335,1.019211835902913,9.12877886149274,0.009558201829159365,0.0,0.0,0.0,1.0,0.05478455054632568,0.23252778510835873,14.31,8.25,2.0,68.5,1.0,1.0,15.92891620715922,15.928153279922572,0.015178149218691818,15.95898736965183,15.066234112210129,30.133550281365277,1.7782298567201018,28.668406736022813
0.1,0.034412749347113566,1.1393230877302645,1.0187070567427645,9.128895499052813,0.009548238788883926,0.0,0.0,0.0,1.0,0.054561958139929236,0.23255410741707375,14.31,8.25,2.0,68.5,1.0,1.0,15.93078389005177,15.929956358069552,0.015113571474748289,15.969314304972274,15.061390509465452,30.1236959029689,1.7776483338089204,28.59700950202964
0.11,0.03442118981421223,1.1368585955156911,1.0181349554595298,9.129146779451792,0.009539845916662746,0.0,0.0,0.0,1.0,0.05431063521899345,0.2325845673299384,14.31,8.25,2.0,68.5,1.0,1.0,15.932900664799739,15.932042862100781,0.01504067249175782,15.976661683446498,15.057345892950005,30.11545897684248,1.7771622593892509,28.53515074744385
0.12,0.03442979279093604,1.1347379982003278,1.0175245146289513,9.12949803084298,0.00953282792616099,0.0,0.0,0.0,1.0,0.054043586790977385,0.23261748840024857,14.31,8.25,2.0,68.5,1.0,1.0,15.935159295872879,15.934297955417026,0.014963228451806622,15.981587405665296,15.054002240852162,30.10864368496835,1.7767600779210975,28.48192375482823
0.13,0.034438324722325456,1.132926313882011,1.016898705183307,9.129920564415928,0.009527007893872834,0.0,0.0,0.0,1.0,0.0537710078613906,0.23265153778244768,14.31,8.25,2.0,68.5,1.0,1.0,15.937474790821764,15.936630338097666,0.014884197972702847,15.984568314403583,15.051269563877112,30.103069598866924,1.7764311420261587,28.436450478438477
0.14,0.03444661302774159,1.1313898997834553,1.0162750090872612,9.130391212458045,0.00952222338839766,0.0,0.0,0.0,1.0,0.05350054645218199,0.23268569295830221,14.31,8.25,2.0,68.5,1.0,1.0,15.939782466377132,15.938969967643702,0.014805798909104674,15.98600633294297,15.049065781078733,30.098567360456656,1.7761654576083434,28.39788648456473
0.15,0.03445452873757147,1.1300973878143634,1.0156669179340554,9.130891064566924,0.009518329583634414,0.0,0.0,0.0,1.0,0.05323799826334943,0.2327191593173597,14.31,8.25,2.0,68.5,1.0,1.0,15.942032403643994,15.941262413239139,0.014729710394073756,15.986241422658356,15.047317072198974,30.094983949409528,1.7759539946889926,28.365444434140525
0.16,0.03446198183216066,1.1290195969677959,1.0150844263866552,9.131404978603086,0.00951520437468426,0.0,0.0,0.0,1.0,0.05298756031292849,0.2327513467528376,14.31,8.25,2.0,68.5,1.0,1.0,15.944187622369375,15.943467252569375,0.01465714695798965,15.98555854455916,15.045957232224,30.09219346277308,1.7757893235299234,28.338391883891678
0.17,0.034468914749684214,1.1281295481482418,1.0145345183648689,9.131921115975576,0.009512732644984485,0.0,0.0,0.0,1.0,0.05275207756721641,0.23278183747479164,14.31,8.25,2.0,68.5,1.0,1.0,15.946222282049984,15.945555867023227,0.014588930551201858,15.984193779210898,15.044927229408595,30.090072129011038,1.7756641401712907,28.316051658520873
0.18,0.034475295624937875,1.1274025562217227,1.014021746632027,9.132430406418173,0.009510816141660399,0.0,0.0,0.0,1.0,0.052533322609079405,0.23281035281070334,14.31,8.25,2.0,68.5,1.0,1.0,15.9481195374615,15.947509167533179,0.014525572027920498,15.982340954158317,15.044174826473556,30.0885159865867,1.7755723096735758,28.297804161165242
