I_a,I_h,R_h,S_a,S_h,Time
1000.0,0.0,0.0,100000.0,1000000.0,0.0
1000.0125749770893,0.05986720783739895,2.9955715647020123e-05,99994.98037684902,999999.8489996565,0.01
1000.0251491084343,0.11946961694432903,0.00011964611817017983,99989.96150728695,999999.697998627,0.02
1000.0377223941498,0.1788084017905065,0.000268806973373054,99984.94339115033,999999.5469969109,0.03
1000.0502948343502,0.23788473163661436,0.0004771752189441534,99979.9260282757,999999.3959945089,0.04
1000.0628664291506,0.2966997705584749,0.0007444889590262384,99974.90941849968,999999.2449914205,0.05
1000.0754371786658,0.355254677467233,0.0010704874596653103,99969.89356165886,999999.0939876459,0.06
1000.0880070830104,0.41355060613416306,0.0014549111432373097,99964.87845758993,999998.9429831853,0.07
1000.1005761422992,0.47158870521273016,0.001897501583482615,99959.86410612968,999998.7919780386,0.08
1000.1131443566469,0.5293701182616123,0.0023980015003272877,99954.85050711487,999998.6409722058,0.09
1000.1257117261681,0.5868959837672605,0.0029561547548073337,99949.83766038228,999998.4899656872,0.1
1000.1382782509775,0.6441674351662419,0.0035717063440420466,99944.82556576886,999998.3389584825,0.11
1000.1508439311895,0.701185600860869,0.0042444023977182225,99939.81422311148,999998.187950592,0.12
1000.1634087669189,0.757951604248353,0.004973990171531118,99934.8036322471,999998.0369420158,0.13
1000.1759727582803,0.8144665637474818,0.005760218041182775,99929.7937930128,999997.8859327537,0.14
1000.1885359053882,0.8707315928168589,0.006602835498278892,99924.78470524559,999997.7349228059,0.15
1000.201098208357,0.9267477999771879,0.007501593145315269,99919.77636878261,999997.5839121726,0.16
1000.2136596673016,0.9825162888334558,0.008456242690687302,99914.768783461,999997.4329008536,0.17
1000.226220282336,1.038038158097013,0.009466536943722485,99909.76194911798,999997.2818888491,0.18
1000.238780053575,1.0933145016075523,0.010532229809735979,99904.75586559078,999997.1308761591,0.19
1000.2513389811328,1.1483464083549833,0.011653076285109162,99899.75053271672,999996.9798627835,0.2
1000.2638970651241,1.2031349625012069,0.012828832452391244,99894.74595033315,999996.8288487226,0.21
1000.2764543056629,1.2576812434017859,0.014059255475423912,99889.74211827744,999996.6778339763,0.22
