Time,S_a,I_a,S_h,I_h,R_h,r_a,K_a,beta_a,mu_a,delta_a,pi_h,beta_h,mu_h,gamma,delta_h,M_a,m_a,compartment,Avian_population,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11
0.0,100000.0,1000.0,1000000.0,0.0,0.0,0.005,50000.0,2e-08,0.00034246,0.0004,30.0,6e-09,3.91e-05,0.1,0.3445,50000.0,800.0,1.0,1.0,-500.0,2.0,0.34246,0.4,30.0,6.0,39.1,0.0,0.0,0.0,0.0
0.01,99994.98037684902,1000.0125749770893,999999.8489996565,0.05986720783739895,2.9955715647020123e-05,0.005,50000.0,2e-08,0.00034246,0.0004,30.0,6e-09,3.91e-05,0.1,0.3445,50000.0,800.0,1.0,1.0,-499.92470817239695,1.9999247562287263,0.34246430642665404,0.40000502999083576,30.0,6.000074543849082,39.09999409588657,2.340807826442299e-06,0.020624253099983936,0.005986720783739895,1.1712684817984868e-09
0.02,99989.96150728695,1000.0251491084343,999999.697998627,0.11946961694432903,0.00011964611817017983,0.005,50000.0,2e-08,0.00034246,0.0004,30.0,6e-09,3.91e-05,0.1,0.3445,50000.0,800.0,1.0,1.0,-499.84943268643786,1.9998495233134246,0.34246861256367445,0.40001005964337377,30.0,6.000149082596797,39.09998819174632,4.671262022523266e-06,0.04115728303732135,0.011946961694432904,4.678163220454031e-09
0.03,99984.94339115033,1000.0377223941498,999999.5469969109,0.1788084017905065,0.000268806973373054,0.005,50000.0,2e-08,0.00034246,0.0004,30.0,6e-09,3.91e-05,0.1,0.3445,50000.0,800.0,1.0,1.0,-499.7741735374019,1.9997743012518794,0.34247291841110056,0.4000150889576599,30.0,6.000223616243835,39.099982287579216,6.991408510008804e-06,0.061599494416829485,0.01788084017905065,1.0510352658886411e-08
0.04,99979.9260282757,1000.0502948343502,999999.3959945089,0.23788473163661436,0.0004771752189441534,0.005,50000.0,2e-08,0.00034246,0.0004,30.0,6e-09,3.91e-05,0.1,0.3445,50000.0,800.0,1.0,1.0,-499.6989307205696,1.9996990900418727,0.34247722396897157,0.4000201179337401,30.0,6.000298144790884,39.0999763833853,9.301293006991621e-06,0.08195129004881364,0.023788473163661436,1.8657551060716397e-08
0.05,99974.90941849968,1000.0628664291506,999999.2449914205,0.2966997705584749,0.0007444889590262384,0.005,50000.0,2e-08,0.00034246,0.0004,30.0,6e-09,3.91e-05,0.1,0.3445,50000.0,800.0,1.0,1.0,-499.6237042312232,1.9996238896811898,0.34248152923732694,0.4000251465716603,30.0,6.000372668238639,39.09997047916455,1.1600961028836369e-05,0.1022130709573946,0.029669977055847493,2.910951829792592e-08
0.06,99969.89356165886,1000.0754371786658,999999.0939876459,0.355254677467233,0.0010704874596653103,0.005,50000.0,2e-08,0.00034246,0.0004,30.0,6e-09,3.91e-05,0.1,0.3445,50000.0,800.0,1.0,1.0,-499.5484940646459,1.9995487001676133,0.3424858342162059,0.4000301748714663,30.0,6.000447186587788,39.09996457491696,1.389045788896881e-05,0.12238523638746175,0.0355254677467233,4.1856059672913635e-08
0.07,99964.87845758993,1000.0880070830104,999998.9429831853,0.41355060613416306,0.0014549111432373097,0.005,50000.0,2e-08,0.00034246,0.0004,30.0,6e-09,3.91e-05,0.1,0.3445,50000.0,800.0,1.0,1.0,-499.47330021612316,1.9994735214989297,0.3424901389056478,0.4000352028332042,30.0,6.000521699839024,39.09995867064254,1.6169828699845776e-05,0.14246818381321916,0.04135506061341631,5.6887025700578816e-08
0.08,99959.86410612968,1000.1005761422992,999998.7919780386,0.47158870521273016,0.001897501583482615,0.005,50000.0,2e-08,0.00034246,0.0004,30.0,6e-09,3.91e-05,0.1,0.3445,50000.0,800.0,1.0,1.0,-499.3981226809429,1.999398353672925,0.3424944433056918,0.4000402304569197,30.0,6.000596207993038,39.09995276634131,1.843911837381775e-05,0.16246230894578553,0.047158870521273016,7.419231191417026e-08
0.09,99954.85050711487,1000.1131443566469,999998.6409722058,0.5293701182616123,0.0023980015003272877,0.005,50000.0,2e-08,0.00034246,0.0004,30.0,6e-09,3.91e-05,0.1,0.3445,50000.0,800.0,1.0,1.0,-499.3229614543938,1.999323196687385,0.3424987474163773,0.40004525774265876,30.0,6.000670711050518,39.09994686201325,2.0698371624029043e-05,0.1823680057411254,0.05293701182616123,9.376185866279696e-08
