Time,x,y,y0,beta_x,psi,alpha_x,alpha_xy,beta_y,alpha_y,alpha_0,compartment,R1,R2,R3,R4,R5,R6
0.0,0.0,0.0,0.0,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,0.0,0.0,0.0,0.0
0.01,0.0029999999999548504,2.000402201969568e-09,5.997999547583628e-06,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.9203861138618838e-11,0.0011999999999819403,5.997999547583628e-07,2.000402201969568e-10
0.02,0.005999999998729654,1.5982138687589157e-08,2.3984010209596683e-05,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,3.0685706273674277e-10,0.002399999999491862,2.3984010209596685e-06,1.5982138687589159e-09
0.03,0.008999999990614425,5.391829928387703e-08,5.394604161202722e-05,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.5528470177562852e-09,0.0035999999962457703,5.394604161202722e-06,5.391829928387704e-09
0.04,0.011999999960615453,1.277439834019825e-07,9.587212851300814e-05,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,4.905368946536483e-09,0.004799999984246181,9.587212851300816e-06,1.277439834019825e-08
0.05,0.014999999879764383,2.4937500242147804e-07,0.00014975031309393281,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.1970000020282923e-08,0.005999999951905754,1.4975031309393281e-05,2.4937500242147804e-08
0.06,0.017999999700602533,4.307042750709115e-07,0.000215568648404441,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,2.4808565831438843e-08,0.007199999880241014,2.15568648404441e-05,4.307042750709115e-08
0.07,0.020999999353441753,6.836010706462104e-07,0.000293315199041582,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,4.593799053306403e-08,0.008399999741376701,2.9331519904158198e-05,6.836010706462105e-08
0.08,0.02399999874132383,1.0199104625690687e-06,0.0003829780415973171,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,7.83291194173461e-08,0.009599999496529532,3.8297804159731713e-05,1.0199104625690688e-07
0.09,0.026999997735084134,1.4514533208811799e-06,0.00048454526456636596,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.2540555640439106e-07,0.010799999094033653,4.84545264566366e-05,1.45145332088118e-07
0.1,0.029999996168067096,1.9900267309546927e-06,0.0005980049678020643,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.9104254176957398e-07,0.011999998467226838,5.9800496780206425e-05,1.9900267309546927e-07
0.11,0.03299999382865163,2.6474044511081127e-06,0.000723345261836158,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,2.7956585775524027e-07,0.013199997531460653,7.23345261836158e-05,2.647404451108113e-07
0.12,0.035999990469526844,3.435336026771076e-06,0.0008605542690124797,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,3.957506055148191e-07,0.014399996187810737,8.605542690124798e-05,3.4353360267710765e-07
0.13,0.03899998577853817,4.365548182335636e-06,0.0010096201211824993,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,5.448202144851615e-07,0.01559999431141527,0.00010096201211824994,4.3655481823356365e-07
0.14,0.04199997940273119,5.449743456308454e-06,0.0011705309617046444,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,7.324451613283972e-07,0.016799991761092477,0.00011705309617046445,5.449743456308453e-07
0.15,0.04499997084085442,6.699603247429239e-06,0.0013432749383667042,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,9.6474224249475e-07,0.01799998833634177,0.00013432749383667043,6.699603247429239e-07
0.16,0.047999959629438406,8.12678290077269e-06,0.0015278402154222112,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.2482728036937584e-06,0.019199983851775362,0.00015278402154222112,8.126782900772691e-07
0.17,0.05099994526128419,9.742913738207315e-06,0.0017242149683910511,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.5900418154687578e-06,0.020399978104513675,0.00017242149683910512,9.742913738207316e-07
0.18,0.05399992722103471,1.1559602080723831e-05,0.0019323873863833216,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.9974965474022668e-06,0.021599970888413884,0.00019323873863833218,1.1559602080723833e-06
0.19,0.05699990447829426,1.3588441482225885e-05,0.0021523456389788333,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,2.4785275727864537e-06,0.022799961791317706,0.00021523456389788335,1.3588441482225885e-06
0.2,0.05999987625962401,1.5840993883823986e-05,0.002384077926723534,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,3.04146455314848e-06,0.023999950503849607,0.0002384077926723534,1.5840993883823986e-06
0.21,0.06299984191828231,1.8328792694915135e-05,0.002627572472633658,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,3.695075335464388e-06,0.025199936767312928,0.0002627572472633658,1.8328792694915137e-06
0.22,0.06599980069057033,2.1063348629998126e-05,0.0028828175062857796,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,4.448565796658797e-06,0.026399920276228134,0.00028828175062857794,2.106334862999813e-06
0.23,0.06899975159304479,2.4056152213284946e-05,0.003149801256666336,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,5.3115792864036355e-06,0.027599900637217917,0.00031498012566663364,2.405615221328495e-06
0.24,0.0719996927273383,2.7318690870218586e-05,0.0034285119053467975,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,6.2941995147804176e-06,0.028799877090935323,0.00034285119053467975,2.7318690870218588e-06
0.25,0.07499962340420792,3.086239638535647e-05,0.003718937729528241,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,7.4069379400099935e-06,0.029999849361683168,0.0003718937729528241,3.086239638535647e-06
0.26,0.07799954240835205,3.4698687681490087e-05,0.004021066985174365,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,8.660741636244957e-06,0.031199816963340822,0.00040210669851743655,3.469868768149009e-06
0.27,0.08099944846931412,3.883895910944479e-05,0.0043348879387200435,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.0066989654359268e-05,0.03239977938772565,0.00043348879387200437,3.883895910944479e-06
0.28,0.08399933960589441,4.329459670863155e-05,0.004660388818788283,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.1637496102491458e-05,0.033599735842357766,0.00046603888187882837,4.329459670863156e-06
0.29,0.08699921409963912,4.807695386703635e-05,0.004997557887815701,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.338450304875766e-05,0.03479968563985565,0.0004997557887815701,4.807695386703635e-06
0.3,0.08999907031625672,5.3197355693660885e-05,0.00534638342887948,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.5320680178280658e-05,0.03599962812650269,0.000534638342887948,5.319735569366089e-06
0.31,0.09299890633294254,5.866710822820066e-05,0.005706853718238172,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.7459126089404915e-05,0.037199562533177015,0.0005706853718238172,5.8667108228200666e-06
0.32,0.09599872006604157,6.449749518442691e-05,0.006078957032884613,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,1.9813366352546123e-05,0.03839948802641663,0.0006078957032884613,6.449749518442691e-06
0.33,0.09899850916027783,7.069978064468383e-05,0.006462681635789015,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,2.2397353221703574e-05,0.03959940366411113,0.0006462681635789015,7.069978064468384e-06
0.34,0.10199827128764506,7.72852014979314e-05,0.006858015816627311,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,2.5225462236500222e-05,0.04079930851505803,0.0006858015816627312,7.72852014979314e-06
0.35000000000000003,0.10499800389348753,8.42649737181698e-05,0.007264947857635941,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,2.8312492923344055e-05,0.04199920155739501,0.0007264947857635942,8.42649737181698e-06
0.36,0.10799770425699133,9.165029077114839e-05,0.007683466042050972,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,3.1673667192863186e-05,0.043199081702796537,0.0007683466042050972,9.165029077114839e-06
0.37,0.11099736963178661,9.945231993607162e-05,0.00811355865504796,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,3.53246269333851e-05,0.04439894785271464,0.000811355865504796,9.945231993607163e-06
0.38,0.11399699703241004,0.00010768220768536644,0.008555213981059767,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,3.928143459184666e-05,0.04559879881296402,0.0008555213981059767,1.0768220768536645e-05
0.39,0.11699658325203609,0.00011635107914913904,0.009008420303459738,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,4.356057189803676e-05,0.046798633300814435,0.0009008420303459738,1.1635107914913904e-05
0.4,0.11999612495280716,0.0001254700357227206,0.009473165904987394,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,4.817893787013364e-05,0.04799844998112287,0.0009473165904987394,1.2547003572272061e-05
0.41000000000000003,0.12299561863984844,0.0001350501556265029,0.009949439066709352,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,5.3153847803806506e-05,0.04919824745593938,0.0009949439066709352,1.350501556265029e-05
0.42,0.12599506073086533,0.0001451024919463685,0.010437228067056494,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,5.8503031311944315e-05,0.05039802429234613,0.0010437228067056495,1.4510249194636851e-05
0.43,0.1289944473505454,0.0001556380780767298,0.010936521182439698,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,6.424463317826816e-05,0.051597778940218164,0.0010936521182439698,1.556380780767298e-05
0.44,0.13199377449040137,0.00016666792333339732,0.011447306685769328,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,7.039721051920624e-05,0.05279750979616055,0.0011447306685769328,1.6666792333339732e-05
0.45,0.13499303796219858,0.0001782030141189166,0.011969572846158776,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,7.697973199978598e-05,0.05399721518487943,0.0011969572846158778,1.782030141189166e-05
0.46,0.13799223334456537,0.0001902543150401737,0.012503307920992517,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,8.401157707466913e-05,0.05519689333782615,0.0012503307920992517,1.902543150401737e-05
0.47000000000000003,0.14099135604817353,0.000202832767381716,0.013048500165418433,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,9.1512534157286e-05,0.05639654241926942,0.0013048500165418434,2.02832767381716e-05
0.48,0.1439904013105541,0.00021594928914830884,0.013605137831499808,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,9.950279938302041e-05,0.057596160524221646,0.0013605137831499809,2.1594928914830886e-05
0.49,0.14698936415540276,0.00022961477589942202,0.014173209162148977,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,0.0001080029757124523,0.05879574566216111,0.001417320916214898,2.2961477589942202e-05
0.5,0.14998823929355148,0.00024384010143872932,0.014752702372931397,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,0.00011703407194865921,0.0599952957174206,0.0014752702372931399,2.4384010143872933e-05
0.51,0.15298702072802872,0.00025863612159648323,0.015343605580964387,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,0.00012661750302623404,0.06119480829121149,0.0015343605580964389,2.5863612159648323e-05
0.52,0.1559857032050379,0.000274013660968593,0.01594590706514708,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,0.00013677508350071305,0.062394281282015164,0.0015945907065147082,2.74013660968593e-05
0.53,0.15898428091644215,0.00028998352462281525,0.01655959503369108,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,0.00014752903084727577,0.06359371236657686,0.0016559595033691081,2.8998352462281525e-05
0.54,0.1619827478659875,0.00030655649481502666,0.01718465768970316,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,0.00015890196290017076,0.064793099146395,0.0017184657689703162,3.065564948150267e-05
0.55,0.164981097869303,0.000323743330989224,0.01782108323118524,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,0.00017091689655829547,0.06599243914772121,0.001782108323118524,3.2374333098922406e-05
0.56,0.16797932455390074,0.00034155476977752426,0.018468859851034407,0.3,1.0,0.0,3.2,0.4,0.1,0.1,1.0,0.3,0.0,0.00018359724648125313,0.0671917298215603,0.0018468859851034408,3.415547697775243e-05
