Time,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm,KK_PP_norm,KKK_P_norm,rel_K_PP_max,K_PP_norm_max,compartment,r1a,r1b,r2a,r2b,r3a,r3b,r4a,r4b,r5a,r5b,r6a,r6b,r7a,r7b,r8a,r8b,r9a,r9b,r10a,r10b
0.0,3e-05,0.0003,0.003,0.0,1.2,0.0,0.0,1.2,0.0,0.0,0.12,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.900049,4e-12,3.6000000000000003e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,2.9717363323585248e-05,0.0002999999444798666,0.0029994118168969013,8.34103732288365e-08,1.19999965389603,1.2396479916999072e-07,1.5781408399691156e-15,1.199999999999998,3.940143815554499e-16,3.77395966903299e-32,0.12,0.000299999941366759,2.826366764147463e-07,5.552013333298061e-11,2.2208051948424952e-07,1.3841702335451804e-14,2.112602159197521e-15,3.8543265320026202e-31,5.2815046532778395e-19,5.863324009010971e-11,2.489865525986548e-33,4.349994915522033e-17,3.352455184693036e-32,3.0760592913599716e-15,0.00010183989863314293,3.724747413410865e-32,0.900049,4e-12,1.8695643703027286e-16,1.6958200584884778e-16,6.678034935099526e-20,3.331207999978836e-20,2.671213643332202e-16,1.332483116905497e-16,1.1357778587609127e-19,3.5179944054065825e-20,3.305477926275567e-23,8.305021401271081e-24,1.5768783586402196e-27,3.168902791966704e-28,6.30751473633323e-24,1.2675612955185126e-24,1.6302693365348375e-25,2.6099969493132197e-26,2.25598115635116e-39,2.312595919201572e-40,1.662108709576642e-41,1.4939193155919287e-42
0.02,2.970375110693683e-05,0.0002999998571293843,0.002998959667058604,1.724587149765475e-07,1.1999987118954552,7.161330653777392e-07,4.7289915240725275e-14,1.199999999999854,3.785323641268156e-14,4.151326610634613e-28,0.11999999999999293,0.0002999995111316139,2.9624889306315883e-07,1.4287061572659792e-10,5.714822130312201e-07,2.497122650224882e-13,1.0114622833931269e-13,2.031567076815652e-27,2.5286524418998733e-17,4.88868360624221e-10,5.117765824562799e-29,7.0833455831416546e-15,3.885919327575744e-28,1.2371785842038246e-13,0.00024800489477606516,4.317453080416448e-28,0.900049,4e-12,1.7857207028230835e-16,1.7774933583789532e-16,1.212279899787671e-19,8.572236943595874e-20,4.849116154892778e-16,3.42889327818732e-16,5.660372616994908e-19,2.933210163745326e-19,3.441861938155502e-22,1.498273590134929e-22,4.157589116329292e-26,1.517191465139924e-26,1.6630385615186608e-22,6.068773700358762e-23,1.3919546128201085e-23,4.250007349884993e-24,5.9413651200819946e-36,1.2189402460893912e-36,1.6855708236307293e-37,3.0706594947376793e-38
0.03,2.970313507830729e-05,0.0002999997682064952,0.0029985142781524614,2.61451113898852e-07,1.199997233678113,1.8377125312882464e-06,3.005085419877123e-13,1.1999999999986963,4.2378092306548573e-13,5.909349825792027e-26,0.11999999999989996,0.0002999985657430829,2.968649216926893e-07,2.31793504828821e-10,9.271728761991901e-07,1.1422453619798444e-12,7.800801436421302e-13,1.9253843548625287e-25,1.9501925375394006e-16,1.4342567217976217e-09,9.893715924960862e-27,1.0007245873092176e-13,5.748934515240092e-26,9.006530874031573e-13,0.0003962476187364449,6.387357260815902e-26,0.900049,4e-12,1.7814214553716897e-16,1.7811895301561358e-16,1.746649913706497e-19,1.390761028972926e-19,6.986587279632205e-16,5.56303725719514e-16,1.3446904614596842e-18,8.60554033078573e-19,1.2365407361368574e-21,6.853472171879066e-22,2.435969741070708e-25,1.1701155225236403e-25,9.74392915354174e-22,4.680480861852781e-22,1.433713678327105e-22,6.004347523855305e-23,3.938760879587124e-34,1.1552306129175173e-34,2.2428649608801562e-35,5.9362295549765174e-36
0.04,2.9703146767085698e-05,0.00029999967924552046,0.0029980694050944267,3.504030024636975e-07,1.1999952233726265,3.4906951377890077e-06,1.0664421380770623e-12,1.1999999999942308,2.12712378380275e-12,1.6380537479947601e-24,0.11999999999942876,0.000299997089817985,2.9685323291428735e-07,3.2075447958034874e-10,1.283014752634102e-06,3.1630844176012826e-12,3.0713830776763897e-12,4.059052366705657e-24,7.678392950225149e-16,2.9101812468913957e-09,3.2955927998575833e-25,5.712930878655255e-13,1.6396775233170978e-24,3.448827545877112e-12,0.0005445275792047247,1.8217647298281515e-24,0.900049,4e-12,1.7809644248114383e-16,1.7811193974857242e-16,2.28030465634897e-19,1.9245268774820925e-19,9.121188652669936e-16,7.698088515804611e-16,2.442684782979133e-18,1.7461087481348372e-18,2.994749577306024e-21,1.8978506505607696e-21,8.190145745160449e-25,4.607035770135089e-25,3.276092416139455e-21,1.842829846605834e-21,6.782435635011442e-22,3.427758527193153e-22,6.638386323789309e-33,2.435431420023394e-33,5.88530231042287e-34,1.97735567991455e-34
0.05,2.9703188826870847e-05,0.0002999995903205446,0.0029976247461884946,4.393151428841494e-07,1.1999926821661313,5.674187833981709e-06,2.7917430380218166e-12,1.199999999982307,7.0640317927373926e-12,1.947024732105265e-23,0.11999999999794372,0.0002999950831464739,2.9681117312913604e-07,4.09679455468954e-10,1.6387110324954392e-06,6.78354441007315e-12,8.57328620574223e-12,3.9421042057710796e-23,2.1432902792600332e-15,4.916851382460097e-09,4.425913928591554e-24,2.056324790042557e-12,1.991346770803682e-23,9.472643778402274e-12,0.0006927462858552345,2.2124870654860815e-23,0.900049,4e-12,1.7806935159506898e-16,1.780867038774816e-16,2.81369778266053e-19,2.4580767328137236e-19,1.125473207005727e-15,9.832266194972635e-16,3.858802974700157e-18,2.950110829476058e-18,5.900899910104816e-21,4.0701266460438896e-21,2.0640625717037586e-24,1.28597416755602e-24,8.256394858861805e-21,5.1439717234453386e-21,2.156940386430312e-21,1.2337948740255341e-21,5.523122107633107e-32,2.3652625234626477e-32,6.690170356790197e-33,2.6555483571549324e-33
0.06,2.9703232355087692e-05,0.0002999995014351352,0.002997180286752798,5.281875889350245e-07,1.1999896111029955,8.387158746451339e-06,6.063873129528599e-12,1.1999999999566568,1.8276462652618743e-11,1.3831840594720497e-22,0.11999999999438095,0.0002999925467029229,2.967676449122917e-07,4.985648648851632e-10,1.994246975299278e-06,1.2473194066632632e-11,1.9448014283597915e-11,2.39432187153328e-22,4.8618941907115934e-15,7.453292214875789e-09,3.4280475924525055e-23,5.6190802286267965e-12,1.4383240155977498e-22,2.126395775629723e-11,0.0008408990027625743,1.5980507901211489e-22,0.900049,4e-12,1.7804318292265183e-16,1.7806058694737503e-16,3.34685134447836e-19,2.9913891893109793e-19,1.3387302925627088e-15,1.1965481851795668e-15,5.592365118873053e-18,4.4719753289254734e-18,1.023605618523416e-20,7.483916439979579e-21,4.359330457615874e-24,2.9171365144269558e-24,1.7437782450527214e-20,1.1668808570158749e-20,5.401253935670133e-21,3.3714481371760778e-21,2.996452908361944e-31,1.436593122919968e-31,4.582454929683448e-32,2.0568285554715033e-32
0.07,2.970327588798238e-05,0.00029999941258945583,0.002996736025959633,6.17020360202502e-07,1.1999860112197587,1.1628569598861585e-05,1.1610557688591714e-11,1.1999999999087372,4.00401254767683e-11,6.977659750448727e-22,0.11999999998719632,0.0002999894815458188,2.9672411201759823e-07,5.874105440807497e-10,2.3496214576719658e-06,2.0699934273433125e-11,3.841956986124355e-11,1.0640931024233513e-21,9.604583608439798e-15,1.0518444576285701e-08,1.844242893438719e-22,1.2803710517161316e-11,7.351585536572868e-22,4.169977677875653e-11,0.0009889855181996483,8.167983672636566e-22,0.900049,4e-12,1.7801704055958072e-16,1.7803446721055894e-16,3.879766560174904e-19,3.524463264484498e-19,1.5518903289199368e-15,1.4097728746031794e-15,7.642727514556408e-18,6.3110667457714204e-18,1.6280296246057882e-20,1.2419960564059874e-20,8.169430560769916e-24,5.762750165063879e-24,3.267893498425564e-20,2.3051741916746132e-20,1.1537033916501349e-20,7.682226310296789e-21,1.2210968853718657e-30,6.384558614540107e-31,2.2427309437947987e-31,1.1065457360632313e-31
0.08,2.9703319430086582e-05,0.00029999932378348837,0.0029962919637226922,7.058134744357396e-07,1.1999818835515854,1.5397382070569737e-05,2.0299247746810738e-11,1.1999999998276345,7.792863728078538e-11,2.7588982449556932e-21,0.11999999997433439,0.0002999858887440613,2.966805699134011e-07,6.762165114445119e-10,2.7048340864359396e-06,3.1930014290057733e-11,6.87715752317743e-11,3.785881208799429e-21,1.719214474269358e-14,1.4111238746293682e-08,7.664899848235721e-22,2.5665627002272294e-11,2.9378235248160532e-21,7.424001260592805e-11,0.0011370058624317883,3.2640706503935377e-21,0.900049,4e-12,1.7799092726898548e-16,1.7800834194804064e-16,4.412443533252781e-19,4.0572990686670716e-19,1.7649530780963866e-15,1.6229004518615637e-15,1.0009246131310742e-17,8.46674324777621e-18,2.4312710371738913e-20,1.915800857403464e-20,1.4042664659035467e-23,1.0315286845616148e-23,5.617344403163141e-20,4.1262945139064577e-20,2.2006369685413253e-20,1.5399376201363376e-20,4.0560421336563976e-30,2.2715287252796576e-30,8.64377166401354e-31,4.598939908941433e-31
0.09,2.970336294018687e-05,0.0002999992350172201,0.0029958480999326105,7.94566949434392e-07,1.1999772291326343,1.9692558178859047e-05,3.313658399474098e-11,1.1999999997000144,1.3885119025718063e-10,9.090541686025141e-21,0.11999999995321013,0.0002999817693715471,2.9663705981311003e-07,7.649827796836876e-10,3.059884447329554e-06,4.662803648486952e-11,1.1434512570659657e-10,1.1407591596235421e-20,2.8584659670677056e-14,1.8230599868035322e-08,2.6276764796983147e-21,4.67898837663852e-11,9.76518180476954e-21,1.2292524531034663e-10,0.0012849600581821266,1.0849611304239592e-20,0.900049,4e-12,1.7796481781600418e-16,1.7798223588786603e-16,4.944882401909225e-19,4.589896678102126e-19,1.977918316972874e-15,1.8359306683977325e-15,1.2691273862963878e-17,1.0938359920821194e-17,3.4611401624019555e-20,2.7976821890921715e-20,2.2610688588278918e-23,1.7150795802406233e-23,9.044852771103675e-20,6.860707542395794e-20,3.857464103762827e-20,2.807393025983112e-20,1.1559661557166051e-29,6.844554957741253e-30,2.7868541197716982e-30,1.5766058878189888e-30
