E1,E1_KKK,E2,E2_P_KKK,K,KK,KKK,KKK_P_norm,KKPase,KKPase_PP_KK,KKPase_P_KK,KK_PP_norm,KPase,KPase_PP_K,KPase_P_K,K_PP_norm,PP_K,PP_KK,PP_KK_K,PP_KK_P_K,P_K,P_KK,P_KKK,P_KKK_KK,P_KKK_P_KK,rel_K_PP_max,Time
3e-05,0.0,0.0003,0.0,1.2,1.2,0.003,0.0,0.0003,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9717363323585248e-05,2.826366764147463e-07,0.0002999999444798666,5.552013333298061e-11,1.199999999999998,1.19999965389603,0.0029994118168969013,0.00010183989863314293,0.000299999941366759,5.2815046532778395e-19,5.863324009010971e-11,3.0760592913599716e-15,0.12,2.489865525986548e-33,4.349994915522033e-17,3.352455184693036e-32,3.77395966903299e-32,1.5781408399691156e-15,2.112602159197521e-15,3.8543265320026202e-31,3.940143815554499e-16,1.2396479916999072e-07,8.34103732288365e-08,2.2208051948424952e-07,1.3841702335451804e-14,3.724747413410865e-32,0.01
2.970375110693683e-05,2.9624889306315883e-07,0.0002999998571293843,1.4287061572659792e-10,1.199999999999854,1.1999987118954552,0.002998959667058604,0.00024800489477606516,0.0002999995111316139,2.5286524418998733e-17,4.88868360624221e-10,1.2371785842038246e-13,0.11999999999999293,5.117765824562799e-29,7.0833455831416546e-15,3.885919327575744e-28,4.151326610634613e-28,4.7289915240725275e-14,1.0114622833931269e-13,2.031567076815652e-27,3.785323641268156e-14,7.161330653777392e-07,1.724587149765475e-07,5.714822130312201e-07,2.497122650224882e-13,4.317453080416448e-28,0.02
2.970313507830729e-05,2.968649216926893e-07,0.0002999997682064952,2.31793504828821e-10,1.1999999999986963,1.199997233678113,0.0029985142781524614,0.0003962476187364449,0.0002999985657430829,1.9501925375394006e-16,1.4342567217976217e-09,9.006530874031573e-13,0.11999999999989996,9.893715924960862e-27,1.0007245873092176e-13,5.748934515240092e-26,5.909349825792027e-26,3.005085419877123e-13,7.800801436421302e-13,1.9253843548625287e-25,4.2378092306548573e-13,1.8377125312882464e-06,2.61451113898852e-07,9.271728761991901e-07,1.1422453619798444e-12,6.387357260815902e-26,0.03
2.9703146767085698e-05,2.9685323291428735e-07,0.00029999967924552046,3.2075447958034874e-10,1.1999999999942308,1.1999952233726265,0.0029980694050944267,0.0005445275792047247,0.000299997089817985,7.678392950225149e-16,2.9101812468913957e-09,3.448827545877112e-12,0.11999999999942876,3.2955927998575833e-25,5.712930878655255e-13,1.6396775233170978e-24,1.6380537479947601e-24,1.0664421380770623e-12,3.0713830776763897e-12,4.059052366705657e-24,2.12712378380275e-12,3.4906951377890077e-06,3.504030024636975e-07,1.283014752634102e-06,3.1630844176012826e-12,1.8217647298281515e-24,0.04
2.9703188826870847e-05,2.9681117312913604e-07,0.0002999995903205446,4.09679455468954e-10,1.199999999982307,1.1999926821661313,0.0029976247461884946,0.0006927462858552345,0.0002999950831464739,2.1432902792600332e-15,4.916851382460097e-09,9.472643778402274e-12,0.11999999999794372,4.425913928591554e-24,2.056324790042557e-12,1.991346770803682e-23,1.947024732105265e-23,2.7917430380218166e-12,8.57328620574223e-12,3.9421042057710796e-23,7.0640317927373926e-12,5.674187833981709e-06,4.393151428841494e-07,1.6387110324954392e-06,6.78354441007315e-12,2.2124870654860815e-23,0.05
2.9703232355087692e-05,2.967676449122917e-07,0.0002999995014351352,4.985648648851632e-10,1.1999999999566568,1.1999896111029955,0.002997180286752798,0.0008408990027625743,0.0002999925467029229,4.8618941907115934e-15,7.453292214875789e-09,2.126395775629723e-11,0.11999999999438095,3.4280475924525055e-23,5.6190802286267965e-12,1.4383240155977498e-22,1.3831840594720497e-22,6.063873129528599e-12,1.9448014283597915e-11,2.39432187153328e-22,1.8276462652618743e-11,8.387158746451339e-06,5.281875889350245e-07,1.994246975299278e-06,1.2473194066632632e-11,1.5980507901211489e-22,0.06
2.970327588798238e-05,2.9672411201759823e-07,0.00029999941258945583,5.874105440807497e-10,1.1999999999087372,1.1999860112197587,0.002996736025959633,0.0009889855181996483,0.0002999894815458188,9.604583608439798e-15,1.0518444576285701e-08,4.169977677875653e-11,0.11999999998719632,1.844242893438719e-22,1.2803710517161316e-11,7.351585536572868e-22,6.977659750448727e-22,1.1610557688591714e-11,3.841956986124355e-11,1.0640931024233513e-21,4.00401254767683e-11,1.1628569598861585e-05,6.17020360202502e-07,2.3496214576719658e-06,2.0699934273433125e-11,8.167983672636566e-22,0.07
2.9703319430086582e-05,2.966805699134011e-07,0.00029999932378348837,6.762165114445119e-10,1.1999999998276345,1.1999818835515854,0.0029962919637226922,0.0011370058624317883,0.0002999858887440613,1.719214474269358e-14,1.4111238746293682e-08,7.424001260592805e-11,0.11999999997433439,7.664899848235721e-22,2.5665627002272294e-11,2.9378235248160532e-21,2.7588982449556932e-21,2.0299247746810738e-11,6.87715752317743e-11,3.785881208799429e-21,7.792863728078538e-11,1.5397382070569737e-05,7.058134744357396e-07,2.7048340864359396e-06,3.1930014290057733e-11,3.2640706503935377e-21,0.08
2.970336294018687e-05,2.9663705981311003e-07,0.0002999992350172201,7.649827796836876e-10,1.1999999997000144,1.1999772291326343,0.0029958480999326105,0.0012849600581821266,0.0002999817693715471,2.8584659670677056e-14,1.8230599868035322e-08,1.2292524531034663e-10,0.11999999995321013,2.6276764796983147e-21,4.67898837663852e-11,9.76518180476954e-21,9.090541686025141e-21,3.313658399474098e-11,1.1434512570659657e-10,1.1407591596235421e-20,1.3885119025718063e-10,1.9692558178859047e-05,7.94566949434392e-07,3.059884447329554e-06,4.662803648486952e-11,1.0849611304239592e-20,0.09
2.97034064552142e-05,2.965935447857791e-07,0.0002999991462906286,8.537093711924538e-10,1.1999999995100885,1.1999720489960168,0.0029954044345195164,0.0014328481410251235,0.00029997712450737326,4.488094760391339e-14,2.2875447745682846e-08,1.923744975887325e-10,0.1199999999206984,7.76283074600044e-21,7.930160268012603e-11,2.814098891199221e-20,2.6006355948390222e-20,5.126786293212872e-11,1.7953665319652178e-10,3.022437282777387e-20,2.3107354287618416e-10,2.451306026133489e-05,8.832808028937594e-07,3.414772166478049e-06,6.525695839544864e-11,3.126606319432854e-20,0.1
2.9703449938613816e-05,2.9655006138616243e-07,0.0002999990576037005,9.42396299242761e-10,1.1999999992396038,1.1999663441738229,0.0029949609673764754,0.0015806701344287793,0.0002999719552353463,6.731799979761346e-14,2.8044697335590142e-08,2.877829977688876e-10,0.1199999998731283,2.0385993395489353e-20,1.2687167300595733e-10,7.240802985042546e-20,6.650364242502121e-20,7.597650035683761e-11,2.69295778893736e-10,7.229341281564146e-20,3.642291006046255e-10,2.985785102568349e-05,9.719550525947154e-07,3.769496835153296e-06,8.827809525129413e-11,8.044898650009662e-20,0.11
2.9703493390610438e-05,2.965066093895419e-07,0.00029999896895641814,1.0310435816622436e-09,1.1999999988678343,1.1999601156970854,0.002994517698415163,0.001728426067901871,0.00029996626264425734,9.727041310918118e-14,3.373725847207759e-08,4.149199516994058e-10,0.11999999980628064,4.866955242676223e-20,1.937193334989493e-10,1.699398675640376e-19,1.5525828865008294e-19,1.0868349693189007e-10,3.8912317453517115e-10,1.591159174571789e-19,5.49323465042297e-10,3.5725893535339585e-05,1.0605897162655368e-06,4.124058064482543e-06,1.1615112196158627e-10,1.8881179531785225e-19,0.12
2.9703536850836037e-05,2.964631491639479e-07,0.0002999988803487586,1.1196512411613654e-09,1.1999999983715834,1.1999533645957694,0.0029940746275671907,0.001876115977418407,0.00029996004782781565,1.362498326507125e-13,3.9952035934348095e-08,5.80126364760628e-10,0.119999999715387,1.0733143767181853e-19,2.8461298212714556e-10,3.6939535023424505e-19,3.359429826092756e-19,1.5094691580399318e-10,5.45068471749312e-10,3.267969973015481e-19,7.987352869352022e-10,4.211615122108776e-05,1.1491848115798104e-06,4.478455486753636e-06,1.4933407534018094e-10,4.1041693311613597e-19,0.13
2.970358025412779e-05,2.964197458721982e-07,0.0002999987917807123,1.2082192874445985e-09,1.1999999977251876,1.1999460918987972,0.0029936317547112966,0.0020237398817106013,0.0002999533118842346,1.859043590570619e-13,4.668792986094751e-08,7.903127384481714e-10,0.11999999959513004,2.2154621133285307e-19,4.048699259394619e-10,7.531078985173391e-19,6.821832668879542e-19,2.044613301806741e-10,7.437280509646964e-10,6.333770804004343e-19,1.1262148488800749e-09,4.9027587929221444e-05,1.237740356335729e-06,4.832688683856141e-06,1.8828335693653833e-10,8.367409980093741e-19,0.14
2.9703623659875692e-05,2.9637634012429385e-07,0.00029999870325225406,1.2967477456614222e-09,1.1999999969005213,1.1999382986339828,0.0029931890797891473,0.0021712978199715975,0.00029994605591676074,2.480179987521967e-13,5.394383522111624e-08,1.0529569455613746e-09,0.11999999943964469,4.322258270024346e-19,5.603552712176572e-10,1.453597148739519e-18,1.3120907514849889e-18,2.7105731363270935e-10,9.922430018741084e-10,1.1680779318284039e-18,1.5468809150586338e-09,5.6459167877300924e-05,1.326256368170973e-06,5.186757301082814e-06,2.334537342604411e-10,1.6150200141764715e-18,0.15
2.970366704087158e-05,2.9633295912840415e-07,0.0002999986147633695,1.3852366302131547e-09,1.199999995867006,1.1999299858280748,0.0029927466026987244,0.0023187898171475535,0.0002999382810331127,3.2451008011302227e-13,6.171864237699424e-08,1.3761019942792289e-09,0.11999999924251939,8.032012376668867e-19,7.574805655556351e-10,2.67602026643515e-18,2.4080230820552947e-18,3.5270090388918787e-10,1.2982969771018883e-09,2.063883236335677e-18,2.077217017934559e-09,6.440985571818364e-05,1.4147328648249252e-06,5.540660942352858e-06,2.852983441833426e-10,2.9731939777002696e-18,0.16
2.9703710410572552e-05,2.962895894274305e-07,0.0002999985263140392,1.4736859605404216e-09,1.1999999945916173,1.1999211545067137,0.002992304323358582,0.0024662159048536286,0.0002999299883457124,4.1743466347405054e-13,7.001123685282569e-08,1.768353769941474e-09,0.11999999899679792,1.4310188907904866e-18,1.0032020397503004e-09,4.728534869447193e-18,4.2432229525461464e-18,4.514930612014934e-10,1.6701140245515256e-09,3.513273054672244e-18,2.735066897215967e-09,7.287861652134327e-05,1.5031698639816906e-06,5.8943992333588725e-06,3.4426869469252913e-10,5.25364160112082e-18,0.17
2.9703753756275112e-05,2.9624624372487295e-07,0.00029999843790424693,1.5620957528334535e-09,1.1999999930388952,1.1999118056944404,0.002991862241674103,0.00261357611039537,0.0002999211789715149,5.289799781122455e-13,7.882049950503095e-08,2.2388789033321537e-09,0.11999999869498117,2.4569589654469815e-18,1.3050187888262831e-09,8.059314663709615e-18,7.21421863100456e-18,5.696691570699728e-10,2.1164565411629004e-09,5.787595934357292e-18,3.539629860644863e-09,8.186441580092306e-05,1.591567383352511e-06,6.2479717884046606e-06,4.1081466741664295e-10,8.954306558542496e-18,0.18
2.9703797083452475e-05,2.962029165475085e-07,0.0002999983495339742,1.6504660255319472e-09,1.1999999911709505,1.1999019404146751,0.002991420357559889,0.0027608704640500223,0.0002999118540320301,6.614678350219872e-13,8.814530650193509e-08,2.7974025555939465e-09,0.11999999832902916,4.082637589102602e-18,1.6709708092176904e-09,1.3304661931126408e-17,1.1882956728249092e-17,7.095984430253197e-10,2.6466231465910984e-09,9.26129256820216e-18,4.511455810575326e-09,9.136621951696467e-05,1.6799254406222426e-06,6.601378232401362e-06,4.853845199145672e-10,1.4782152895149494e-17,0.19
2.9703840390647612e-05,2.961596093523724e-07,0.00029999826120320354,1.73879679621167e-09,1.1999999889474766,1.1998915596897148,0.00299097867092708,0.0029080989949440707,0.00029990201465323745,8.173530305258937e-13,9.798452940941994e-08,3.4542061762427775e-09,0.11999999789036302,6.589743499895539e-18,2.109636941315111e-09,2.1349248098417814e-17,1.9029354218205844e-17,8.737835128307866e-10,3.270446531188851e-09,1.4441164405889507e-17,5.672440062072657e-09,0.00010138299409373348,1.7682440534780964e-06,6.9546181884104525e-06,5.684248881628846e-10,2.372009534860637e-17,0.2
2.9703883678464855e-05,2.9611632153512977e-07,0.00029999817291191704,1.827088082699243e-09,1.199999986325758,1.1998806645407207,0.002990537181687898,0.003055261732529097,0.00029989166196554476,9.992227500448316e-13,1.0833703523240574e-07,4.220125277623047e-09,0.11999999736986718,1.0364394029760063e-17,2.630132782598611e-09,3.340043292159224e-17,2.971612547615063e-17,1.0648597687917443e-09,3.998291319604211e-09,2.2001651967133224e-17,7.045818105616436e-09,0.00011191370642952777,1.8565232396009623e-06,7.307691282099573e-06,6.60380788906632e-10,3.7109571725086344e-17,0.21
2.970392694760167e-05,2.96073052398315e-07,0.0002999980846600969,1.9153399028283076e-09,1.1999999832606774,1.1998692559877118,0.00299009588975465,0.0032023587062587015,0.00029988079710374367,1.209796076070314e-12,1.1920168646013856e-07,5.106547635895014e-09,0.11999999675789097,1.5920812895461633e-17,3.24210898579467e-09,5.106107373543727e-17,4.535247558706311e-17,1.2855949903083398e-09,4.841052343865923e-09,3.2823676609066835e-17,8.656161342357171e-09,0.00012295732390682173,1.944763016667707e-06,7.660597140763995e-06,7.616956219684446e-10,5.673143766110209e-17,0.22
2.9703970197044648e-05,2.960298029553384e-07,0.0002999979964477255,2.0035522742162402e-09,1.1999999797047294,1.1998573350495532,0.00298965479503882,0.0033493899452929484,0.0002998694212069475,1.4519232136148841e-12,1.3057734112917095e-07,6.125410394367071e-09,0.11999999604425145,2.3945399017482813e-17,3.955748504476838e-09,7.646290933871825e-17,6.781009218897908e-17,1.5388886391129083e-09,5.810151862863463e-09,4.805048828076824e-17,1.0529370187482931e-08,0.00013451281440821439,2.0329634023528594e-06,8.013335392429493e-06,8.728111731444307e-10,8.495416287193058e-17,0.23
2.9704013427108392e-05,2.959865728915956e-07,0.000299997908274785,2.091725214641067e-09,1.1999999756080268,1.199844902743948,0.0029892138974526,0.0034963554789965642,0.0002998575354185574,1.7285850330093257e-12,1.424628528574046e-07,7.289198391515359e-09,0.11999999521823496,3.53299469341315e-17,4.7817649855375764e-09,1.1236617729707977e-16,9.950946582236417e-17,1.827771458291397e-09,6.9175379573588885e-09,6.913512430429634e-17,1.2692670052551648e-08,0.00014657914632454415,2.12112441432548e-06,8.365905667357406e-06,9.941676160719046e-10,1.2484451101782211e-16,0.24
2.970405663863623e-05,2.9594336136375783e-07,0.00029999782014125773,2.1798587419425316e-09,1.1999999709183105,1.1998319600874296,0.0029887731969084888,0.0036432553368076852,0.0002998451408862101,2.0428924793458525e-12,1.5485707089726503e-07,8.610942034467517e-09,0.1199999942685992,5.121914609456211e-17,5.731400724778833e-09,1.6230459782969648e-16,1.435463713010737e-16,2.155404962314941e-09,8.175682488656476e-09,9.791024378120337e-17,1.517460623587069e-08,0.00015915528856630658,2.209246070250251e-06,8.71830759764517e-06,1.1262035149747318e-09,1.8032862414123728e-16,0.25
2.9704099830462167e-05,2.9590016953781846e-07,0.00029999773204712597,2.2679528737075285e-09,1.1999999655809592,1.1998185080953512,0.002988332693318011,0.003790089547822249,0.00029983223876171844,2.3980858684070793e-12,1.677588401955204e-07,1.0104214718283284e-08,0.11999999318357571,7.307255581784963e-17,6.816424196534806e-09,2.3077295204694433e-16,2.0385498663848361e-16,2.5250808181077653e-09,9.597578621295999e-09,1.3666775770138765e-16,1.8005037743902537e-08,0.00017224021057789542,2.297328387790875e-06,9.070540815964184e-06,1.2693558274624368e-09,2.564004315842186e-16,0.26
2.970414300311239e-05,2.9585699688759626e-07,0.00029999764399237194,2.3560076277293425e-09,1.1999999595389985,1.199804547781877,0.0029878923865935833,0.003936858141400296,0.0002998188302010396,2.7975344217848017e-12,1.8116700142573784e-07,1.1783131152958641e-08,0.11999999195087145,1.0271785418076323e-16,8.049128436551936e-09,3.2338641863554907e-16,2.8534584818189566e-16,2.940220443814647e-09,1.1196739217080233e-08,1.8823368935786568e-16,2.121513325334118e-08,0.00018583288234541115,2.3853713846055693e-06,9.422604957394213e-06,1.4240599064272191e-09,3.592986811113051e-16,0.27
2.9704186156593692e-05,2.9581384340629245e-07,0.0002999975559769779,2.4440230217335863e-09,1.199999952733112,1.1997900801599746,0.0029874522766474006,0.004083561146803726,0.0002998049163642126,3.244735512106061e-12,1.950803910516631e-07,1.3662344634317766e-08,0.11999999055767144,1.424426947325526e-16,9.442328414339374e-09,4.471566632635651e-16,3.9414530118372564e-16,3.4043743543034866e-09,1.2987194215285565e-08,2.560801407079584e-16,2.4837364545565805e-08,0.0001999322744114025,2.473375078350075e-06,9.77449965832286e-06,1.5907495031880529e-09,4.968136882142695e-16,0.28
2.9704229291464944e-05,2.9577070853504407e-07,0.0002999974680009262,2.5319990735111945e-09,1.1999999451016468,1.1997751062414066,0.0029870123633919756,0.004230198593371613,0.0002997904984153225,3.743314258776622e-12,2.0949784136303773e-07,1.575704564399523e-08,0.11999998899064013,1.9504866712582915e-16,1.1009359683182656e-08,6.10656025748154e-16,5.377385637719556e-16,3.921221825448679e-09,1.4983489288671647e-08,3.4441514376908444e-16,2.8905503134607767e-08,0.00021453735788183747,2.561339486676426e-06,1.0126224556974795e-05,1.769856769514323e-09,6.784697563667689e-16,0.29
2.9704272406775534e-05,2.9572759322445517e-07,0.00029999738006419906,2.6199358006629847e-09,1.199999936580627,1.1997596270367203,0.0029865726467390974,0.004376770510183059,0.00029977557752243684,4.297022698940102e-12,2.2441818054031507e-07,1.8082958844159726e-08,0.11999998723592425,2.6398323344991525e-16,1.2764075489894765e-08,8.244137717598035e-16,7.253132926618489e-16,4.494570173371164e-09,1.7200682958590254e-08,4.583312776489794e-16,3.345461304431398e-08,0.00022964710444209544,2.649264627235809e-06,1.0477779292385866e-05,1.961812260704388e-09,9.15965432726222e-16,0.3
2.9704315502457126e-05,2.9568449754286587e-07,0.00029999729216677887,2.7078332208964587e-09,1.1999999271037616,1.1997436435552402,0.00298613312660104,0.004523276926448507,0.00029976015485756947,4.909739289873458e-12,2.3984023269107735e-07,2.0656341316121357e-08,0.11999998527915459,3.534286348316338e-16,1.4720845073913814e-08,1.101177062725678e-15,9.679838404391797e-16,5.12835433203456e-09,1.965434490410006e-08,6.039211051464056e-16,3.852104656092438e-08,0.00024526048636537394,2.737150517675648e-06,1.0829163505587353e-05,2.167044937769189e-09,1.2234634589068795e-15,0.31
