Time,FA,HETE,PGH2,PGE2,PGF2a,PGD2,PGJ2,dPGJ2,AA,LPS,DG,GPCho,dPGD2,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,DNA,DGperDNA,onepmol,t0,t1,t2,t3,t4,t5,t6,timevalue,zero,LPSactivity,LPSslope,LPSint,LPSslopezero,LPSslope1,LPSslope3,LPSintzero,LPSint1,LPSint3,DGactivity,DGint,DGslope,DGslopezero,DGslope1,DGslope2,DGslope3,DGslope4,DGslope5,DGslope6,DGintzero,DGint1,DGint2,DGint3,DGint4,DGint5,DGint6,GPChoratio,GPChoint,GPChoslope,GPChoslopezero,GPChoslope1,GPChoslope2,GPChoslope3,GPChoslope4,GPChoslope5,GPChoslope6,GPChointzero,GPChoint1,GPChoint2,GPChoint3,GPChoint4,GPChoint5,GPChoint6,c1,r2,r3,r7,r5,r11,r10,r8,r4,r9,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r1,r6,r12
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.5,0.0,1.0,0.0,355.637,1e-15,1e-15,1e-15,1e-15,0.33,1e-15,0.007,0.187,0.024,0.111,0.098,0.204,1e-15,0.061,1e-15,3.116,0.054,0.029,0.014,0.034,0.116,1.0,1.0,1.0,0.0,0.5,1.0,2.0,4.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.6667,0.0,0.0,1.3335,0.0,1.0,1.0,1.0,0.3014,-0.1572,0.0439,-0.0913,0.0976,0.0711,0.0846,1.0,1.2292,1.0282,1.2987,0.543,0.7549,0.5927,1.0,315.3137,-158.43,-158.43,112.28,24.31,-39.93,5.48,27.08,-4.874,315.3137,179.96,267.93,396.41,214.77,41.93,425.43,1.0,1e-15,1e-15,1e-15,1e-15,2.775,0.6,0.17500000000000002,2.5e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.0,0.001747949741575088,0.033429000871123875,3.420342397833332e-05,1.0227494424893998e-05,0.0005222957952595902,9.415993715461185e-08,8.009855890386256e-12,24.999851168798873,0.5,-1.0015047242497796e-17,0.9999671110802931,5.056990452028053e-08,355.637,1e-15,1e-15,1e-15,1e-15,0.33,1e-15,0.007,0.187,0.024,0.111,0.098,0.204,1e-15,0.061,1e-15,3.116,0.054,0.029,0.014,0.034,0.116,1.0,1.0,1.0,0.0,0.5,1.0,2.0,4.0,8.0,12.0,0.01,0.0,0.02,2.0,0.0,2.0,-0.6667,0.0,0.0,1.3335,0.0,1.003014,1.0,0.3014,0.3014,-0.1572,0.0439,-0.0913,0.0976,0.0711,0.0846,1.0,1.2292,1.0282,1.2987,0.543,0.7549,0.5927,0.9949754799743875,315.3137,-158.43,-158.43,112.28,24.31,-39.93,5.48,27.08,-4.874,315.3137,179.96,267.93,396.41,214.77,41.93,425.43,1.0,1e-15,1.0030140000000002e-15,9.949427563057163e-16,9.979415137732218e-16,2.774983479736675,0.6018048172853193,0.1749989581815921,2.4999851168798875e-14,0.00032686660167454144,0.00681951617770927,3.420342397833332e-20,0.0020391690531385565,1.0227494424894e-20,0.104164766714422,2.8203972944017867e-05,1.5146578062528116e-05,7.079786632839274e-10,3.2014378632568033e-09,9.291432832848056e-13,7.1127400000000005,0.006566622191617728,0.048999708290845795
0.02,1.0,0.0034950895662820363,0.06629440548982538,0.0001360071273906021,4.0668797896210085e-05,0.002076289787340633,7.496352456877224e-07,1.276235315123653e-10,25.07033574177318,0.5,-2.006028946952231e-17,0.9998688929108104,4.026222244756435e-07,355.637,1e-15,1e-15,1e-15,1e-15,0.33,1e-15,0.007,0.187,0.024,0.111,0.098,0.204,1e-15,0.061,1e-15,3.116,0.054,0.029,0.014,0.034,0.116,1.0,1.0,1.0,0.0,0.5,1.0,2.0,4.0,8.0,12.0,0.02,0.0,0.04,2.0,0.0,2.0,-0.6667,0.0,0.0,1.3335,0.0,1.006028,1.0,0.3014,0.3014,-0.1572,0.0439,-0.0913,0.0976,0.0711,0.0846,1.0,1.2292,1.0282,1.2987,0.543,0.7549,0.5927,0.9899509599487747,315.3137,-158.43,-158.43,112.28,24.31,-39.93,5.48,27.08,-4.874,315.3137,179.96,267.93,396.41,214.77,41.93,425.43,1.0,1e-15,1.006028e-15,9.898211703599753e-16,9.957878123749054e-16,2.7828072673368234,0.6053150334149902,0.17549235019241227,2.5070335741773183e-14,0.0006535817488947408,0.013524058719924376,1.3600712739060212e-19,0.004043958734879348,4.0668797896210086e-20,0.20657336750629587,0.00011211964851639418,6.0212403832878364e-05,5.6367111426590095e-09,2.5487598353382563e-08,1.4804329655434376e-11,14.225480000000001,0.013065639448751677,0.09827571610775088
0.03,1.0,0.005246366248319557,0.09871334370650564,0.00030438093172106844,9.101586683816297e-05,0.004645397330705069,2.5186154023997547e-06,6.435432517864428e-10,25.211348190132558,0.5,-3.0135627987081845e-17,0.9997060277831982,1.3527931757724175e-06,355.637,1e-15,1e-15,1e-15,1e-15,0.33,1e-15,0.007,0.187,0.024,0.111,0.098,0.204,1e-15,0.061,1e-15,3.116,0.054,0.029,0.014,0.034,0.116,1.0,1.0,1.0,0.0,0.5,1.0,2.0,4.0,8.0,12.0,0.03,0.0,0.06,2.0,0.0,2.0,-0.6667,0.0,0.0,1.3335,0.0,1.009042,1.0,0.3014,0.3014,-0.1572,0.0439,-0.0913,0.0976,0.0711,0.0846,1.0,1.2292,1.0282,1.2987,0.543,0.7549,0.5927,0.9849264399231622,315.3137,-158.43,-158.43,112.28,24.31,-39.93,5.48,27.08,-4.874,315.3137,179.96,267.93,396.41,214.77,41.93,425.43,1.0,1e-15,1.0090420000000002e-15,9.846368989142313e-16,9.935399857542137e-16,2.798459649104714,0.6105434208112257,0.1764794373309279,2.521134819013256e-14,0.0009810704884357572,0.02013752211612715,3.043809317210685e-19,0.006021513966096844,9.101586683816298e-20,0.30759077898947157,0.00025085145585807374,0.00013471652259044702,1.8939104460813844e-08,8.563292368159167e-08,7.465101720722736e-11,21.33822,0.019495810598501778,0.14824272735797944
0.04,1.0,0.007006695981999632,0.13080349406635564,0.0005385339888585676,0.00016103222215868953,0.008216701678985031,5.945137241495983e-06,2.026335196296865e-09,25.422778240083257,0.5,-4.024111189820931e-17,0.9994792101823163,3.193399540230221e-06,355.637,1e-15,1e-15,1e-15,1e-15,0.33,1e-15,0.007,0.187,0.024,0.111,0.098,0.204,1e-15,0.061,1e-15,3.116,0.054,0.029,0.014,0.034,0.116,1.0,1.0,1.0,0.0,0.5,1.0,2.0,4.0,8.0,12.0,0.04,0.0,0.08,2.0,0.0,2.0,-0.6667,0.0,0.0,1.3335,0.0,1.012056,1.0,0.3014,0.3014,-0.1572,0.0439,-0.0913,0.0976,0.0711,0.0846,1.0,1.2292,1.0282,1.2987,0.543,0.7549,0.5927,0.9799019198975497,315.3137,-158.43,-158.43,112.28,24.31,-39.93,5.48,27.08,-4.874,315.3137,179.96,267.93,396.41,214.77,41.93,425.43,1.0,1e-15,1.012056e-15,9.793915969553383e-16,9.91199142048232e-16,2.8219283846492416,0.6175026061090968,0.1779594476805828,2.5422778240083258e-14,0.0013102521486339311,0.026683912789536548,5.385339888585676e-19,0.007979013138047693,1.6103222215868953e-19,0.4075836875107642,0.0004437018906651917,0.0002382843486905659,4.4707593563223095e-08,2.0213466621086344e-07,2.350548827704363e-10,28.450960000000002,0.025855938159620936,0.19931458140225275
0.05,1.0,0.008780982527589062,0.16268256727047598,0.0008379156466318841,0.00025055320806149483,0.012780964154981995,1.1567072136458527e-05,4.929781387146862e-09,25.704511675989604,0.5,-5.037674099695392e-17,0.9991891463497117,6.213505078720338e-06,355.637,1e-15,1e-15,1e-15,1e-15,0.33,1e-15,0.007,0.187,0.024,0.111,0.098,0.204,1e-15,0.061,1e-15,3.116,0.054,0.029,0.014,0.034,0.116,1.0,1.0,1.0,0.0,0.5,1.0,2.0,4.0,8.0,12.0,0.05,0.0,0.1,2.0,0.0,2.0,-0.6667,0.0,0.0,1.3335,0.0,1.01507,1.0,0.3014,0.3014,-0.1572,0.0439,-0.0913,0.0976,0.0711,0.0846,1.0,1.2292,1.0282,1.2987,0.543,0.7549,0.5927,0.9748773998719371,315.3137,-158.43,-158.43,112.28,24.31,-39.93,5.48,27.08,-4.874,315.3137,179.96,267.93,396.41,214.77,41.93,425.43,1.0,1e-15,1.01507e-15,9.740869169736674e-16,9.887664068124603e-16,2.853200796034846,0.6262050880067224,0.17993158173192722,2.5704511675989607e-14,0.0016420437326591546,0.0331872437231771,8.379156466318841e-19,0.009923636603499035,2.5055320806149485e-19,0.5069188796148032,0.0006901720643690278,0.0003706479604944779,8.698907110208473e-08,3.9328045263958996e-07,5.718546409090361e-10,35.563700000000004,0.03214486826013103,0.2519042144246981
0.06,1.0,0.010574113120494647,0.1944683928228245,0.0012022154501429324,0.00035948599244470014,0.018332621120197592,1.9918112631951022e-05,1.0188915485336979e-08,26.056430191813067,0.5,-6.054250686882168e-17,0.9988365538480648,1.0699986864244863e-05,355.637,1e-15,1e-15,1e-15,1e-15,0.33,1e-15,0.007,0.187,0.024,0.111,0.098,0.204,1e-15,0.061,1e-15,3.116,0.054,0.029,0.014,0.034,0.116,1.0,1.0,1.0,0.0,0.5,1.0,2.0,4.0,8.0,12.0,0.06,0.0,0.12,2.0,0.0,2.0,-0.6667,0.0,0.0,1.3335,0.0,1.018084,1.0,0.3014,0.3014,-0.1572,0.0439,-0.0913,0.0976,0.0711,0.0846,1.0,1.2292,1.0282,1.2987,0.543,0.7549,0.5927,0.9698528798463244,315.3137,-158.43,-158.43,112.28,24.31,-39.93,5.48,27.08,-4.874,315.3137,179.96,267.93,396.41,214.77,41.93,425.43,1.0,1e-15,1.018084e-15,9.68724508245324e-16,9.862429222524323e-16,2.8922637512912504,0.6366632322096435,0.18239501134269148,2.605643019181307e-14,0.001977359153532499,0.03967155213585619,1.2022154501429325e-18,0.011862571962192293,3.5948599244470018e-19,0.6059635120359211,0.00098996154049067,0.0005316460124857302,1.497998160994281e-07,6.772158294863347e-07,1.1819141962990895e-09,42.67644,0.03836149052651482,0.3064236190557217
0.07,1.0,0.012390955969859575,0.22627895666287917,0.0016313635072258694,0.00048780967618028415,0.024869786505931857,3.1529758606175364e-05,1.881871047182018e-08,26.47841131157203,0.5,-7.073841690644353e-17,0.9984221611268402,1.693860156827011e-05,355.637,1e-15,1e-15,1e-15,1e-15,0.33,1e-15,0.007,0.187,0.024,0.111,0.098,0.204,1e-15,0.061,1e-15,3.116,0.054,0.029,0.014,0.034,0.116,1.0,1.0,1.0,0.0,0.5,1.0,2.0,4.0,8.0,12.0,0.07,0.0,0.14,2.0,0.0,2.0,-0.6667,0.0,0.0,1.3335,0.0,1.021098,1.0,0.3014,0.3014,-0.1572,0.0439,-0.0913,0.0976,0.0711,0.0846,1.0,1.2292,1.0282,1.2987,0.543,0.7549,0.5927,0.9648283598207119,315.3137,-158.43,-158.43,112.28,24.31,-39.93,5.48,27.08,-4.874,315.3137,179.96,267.93,396.41,214.77,41.93,425.43,1.0,1e-15,1.0210980000000001e-15,9.6330601612866e-16,9.836298464569425e-16,2.9391036555844954,0.648889268002166,0.18534887918100423,2.6478411311572034e-14,0.0023171087663637407,0.04616090715922735,1.6313635072258695e-18,0.013803016356435629,4.878096761802842e-19,0.7050852289615315,0.0013429684713203202,0.0007212238086720239,2.3714042195578153e-07,1.0720117926099625e-06,2.182970414731141e-09,49.78918,0.04450473794514409,0.36328380319476833
0.08,1.0,0.014236362543520118,0.2582323147729477,0.0021255306898155476,0.0006355753533271977,0.032394251836015985,4.693330399395057e-05,3.2013483582050484e-08,26.970328514498647,0.5,-8.096446713996603e-17,0.9979467070895297,2.5215052274418526e-05,355.637,1e-15,1e-15,1e-15,1e-15,0.33,1e-15,0.007,0.187,0.024,0.111,0.098,0.204,1e-15,0.061,1e-15,3.116,0.054,0.029,0.014,0.034,0.116,1.0,1.0,1.0,0.0,0.5,1.0,2.0,4.0,8.0,12.0,0.08,0.0,0.16,2.0,0.0,2.0,-0.6667,0.0,0.0,1.3335,0.0,1.024112,1.0,0.3014,0.3014,-0.1572,0.0439,-0.0913,0.0976,0.0711,0.0846,1.0,1.2292,1.0282,1.2987,0.543,0.7549,0.5927,0.9598038397950993,315.3137,-158.43,-158.43,112.28,24.31,-39.93,5.48,27.08,-4.874,315.3137,179.96,267.93,396.41,214.77,41.93,425.43,1.0,1e-15,1.024112e-15,9.578330813754059e-16,9.809283526335297e-16,2.9937064651093497,0.6628952898153656,0.18879229960149052,2.697032851449865e-14,0.002662199795638262,0.052679392213681335,2.1255306898155478e-18,0.01575217120114981,6.355753533271978e-19,0.8046518928325052,0.001749289599144863,0.0009394333032444635,3.530107318418594e-07,1.5957323357943194e-06,3.7135640955178563e-09,56.901920000000004,0.05057358669662143,0.4228947511073388
0.09,1.0,0.01611516601197074,0.29044660880596596,0.0026851287868481077,0.0008029061568516395,0.040911485510500896,6.666182201346139e-05,5.11469651640681e-08,27.532051196325927,0.5,-9.122065619909985e-17,0.9974109406626835,3.581605469824753e-05,355.637,1e-15,1e-15,1e-15,1e-15,0.33,1e-15,0.007,0.187,0.024,0.111,0.098,0.204,1e-15,0.061,1e-15,3.116,0.054,0.029,0.014,0.034,0.116,1.0,1.0,1.0,0.0,0.5,1.0,2.0,4.0,8.0,12.0,0.09,0.0,0.18,2.0,0.0,2.0,-0.6667,0.0,0.0,1.3335,0.0,1.027126,1.0,0.3014,0.3014,-0.1572,0.0439,-0.0913,0.0976,0.0711,0.0846,1.0,1.2292,1.0282,1.2987,0.543,0.7549,0.5927,0.9547793197694868,315.3137,-158.43,-158.43,112.28,24.31,-39.93,5.48,27.08,-4.874,315.3137,179.96,267.93,396.41,214.77,41.93,425.43,1.0,1e-15,1.0271260000000001e-15,9.523073394565612e-16,9.781396283466598e-16,3.056057682792178,0.6786932548098592,0.1927243583742815,2.7532051196325928e-14,0.0030135360442385285,0.05925110819641705,2.685128786848108e-18,0.017717243137163923,8.029061568516395e-19,0.9050316330393899,0.002209220217567048,0.001186433079804526,5.014247657754655e-07,2.266501948457687e-06,5.9330479590318996e-09,64.01465999999999,0.05656705596371971,0.4856653831031894
