value_component_environment_variable_time,value_component_a_variable_a,value_component_a_variable_ainf,value_component_a_variable_w,value_component_a_variable_ka,value_component_a_variable_th0,value_component_a_variable_n,value_component_a_variable_wi,value_component_a_variable_noise,value_component_s_variable_s,value_component_s_variable_sinf,value_component_s_variable_taus,value_component_s_variable_ks,value_component_s_variable_ths
0.0,0.1,0.051173700917091634,0.8,-0.05,0.17,0.01,0.0,0.0,0.3,0.8807970779778823,250.0,0.05,0.2
0.1,0.09530115613893093,0.05010658700691083,0.8,-0.05,0.17,0.01,0.0,0.0,0.3002342217878252,0.8903163833527692,250.0,0.05,0.2
0.2,0.09095242761432647,0.049137749128528925,0.8,-0.05,0.17,0.01,0.0,0.0,0.3004718832081916,0.8985258552858746,250.0,0.05,0.2
0.30000000000000004,0.08692999910077115,0.048257420703786025,0.8,-0.05,0.17,0.01,0.0,0.0,0.3007125121706229,0.9056293513161748,250.0,0.05,0.2
0.4,0.08321052636636964,0.047456734214893236,0.8,-0.05,0.17,0.01,0.0,0.0,0.30095569444026143,0.9117980512171386,250.0,0.05,0.2
0.5,0.0797723436975743,0.046727865574219624,0.8,-0.05,0.17,0.01,0.0,0.0,0.30120108338614654,0.917173843842358,250.0,0.05,0.2
0.6000000000000001,0.07659513867736001,0.04606384803164019,0.8,-0.05,0.17,0.01,0.0,0.0,0.3014483838522764,0.9218748339889616,250.0,0.05,0.2
0.7000000000000001,0.07365995754623413,0.04545847906800315,0.8,-0.05,0.17,0.01,0.0,0.0,0.3016973458255933,0.9259994317718575,250.0,0.05,0.2
0.8,0.07094909275530943,0.044906216948891554,0.8,-0.05,0.17,0.01,0.0,0.0,0.30194775591755996,0.9296299034003839,250.0,0.05,0.2
0.9,0.06844601783177869,0.044402100619618995,0.8,-0.05,0.17,0.01,0.0,0.0,0.30219943105060837,0.932835224647975,250.0,0.05,0.2
1.0,0.06613532166664722,0.043941680224157946,0.8,-0.05,0.17,0.01,0.0,0.0,0.30245221282341933,0.9356734189143509,250.0,0.05,0.2
