_1_task1,x_1_task1,y_2_task1,z_3_task1
0.0,200000000.0,100000000.0,400000000.0
0.8,199015586.75595367,99799886.182857,398601315.4657852
1.6,198037713.73311472,99601976.28595786,397213847.91783184
2.4000000000000004,197066503.610506,99406315.26914491,395837820.70046425
3.2,196101931.86213607,99212895.88726614,394473195.46791226
4.0,195143928.92230633,99021697.97437313,393119864.8926818
4.800000000000001,194192452.98242855,98832709.23797633,391777763.99804735
5.6000000000000005,193247462.22104788,98645917.44451049,390446827.98530835
6.4,192308872.8134054,98461297.95853758,389126926.7739606
7.2,191376641.40960264,98278837.9688719,387817993.1008511
8.0,190450680.51988798,98098511.68069068,386519891.2228201
8.8,189531000.07716355,97920322.02253634,385232636.55108416
9.600000000000001,188617569.5426722,97744259.95516877,383956181.69908845
10.4,187710252.0157944,97570284.80608618,382690314.22009146
11.200000000000001,186809058.42753243,97398399.86963987,381435051.08337086
12.0,185913948.72547072,97228593.27711649,380190330.13837457
12.8,185024845.30979523,97060841.74481876,378956031.0086896
13.600000000000001,184141694.8136165,96895129.35622951,377732070.8966157
14.4,183264456.772184,96731444.11727917,376518387.0121806
15.200000000000001,182393079.3852063,96569770.48234323,375314899.0496764
16.0,181527506.8189001,96410091.4403659,374121520.5906829
16.8,180667690.32142326,96252392.55327237,372938175.94938344
17.6,179813578.53166077,96096658.43499787,371764785.48563695
18.400000000000002,178965134.9284209,95942877.26535676,370601292.9255941
19.200000000000003,178122304.93987575,95791032.88678336,369447613.5736664
20.0,177285037.04496586,95641109.87477984,368303667.5378715
20.8,176453281.207866,95493093.16173479,367169377.26481164
21.6,175626987.39275107,95346967.68003674,366044665.201089
22.400000000000002,174806126.34237128,95202723.42148662,364929486.5360983
23.200000000000003,173990647.99295092,95060345.31166725,363823763.67239726
24.0,173180499.42777225,94919817.58149354,362727414.51688975
24.8,172375633.20888624,94781125.79591551,361640365.60990036
25.6,171576001.89834374,94644255.51988322,360562543.49175364
26.400000000000002,170781573.37287953,94509195.85188368,359493898.8549267
27.200000000000003,169992306.42132318,94375933.79356341,358434368.05973846
28.0,169208148.4983178,94244453.73144694,357383869.59183246
28.8,168429054.60382262,94114741.79297969,356342333.83625734
29.6,167654979.73779687,93986784.1056071,355309691.17806166
30.400000000000002,166885888.61367464,93860568.91373694,354285887.3714946
31.200000000000003,166121746.45743278,93736084.57348089,353270868.98177904
32.0,165362502.05256426,93613315.8574629,352264556.5579247
32.800000000000004,164608112.47717234,93492249.34604073,351266883.77313524
33.6,163858534.80936027,93372871.61957213,350277784.3006145
34.4,163113731.96089986,93255170.46598421,349297201.06684285
35.2,162373674.0556132,93139135.16609842,348325088.4379455
36.0,161638311.18257487,93024750.85354365,347361369.001235
36.800000000000004,160907602.25880575,92912004.48933361,346405979.3467782
37.6,160181506.20132667,92800883.03448197,345458856.0646421
38.400000000000006,159459984.96845675,92691374.05444658,344519940.577719
39.2,158743013.04364824,92583467.60399811,343589194.2121702
40.0,158030541.58559737,92477149.10221872,342666541.2295691
40.800000000000004,157322531.22572178,92372405.85085066,341751920.9442732
41.6,156618942.59543923,92269225.15163614,340845272.6706401
42.400000000000006,155919737.3192025,92167594.49436374,339946537.303268
43.2,155224898.72827545,92067505.47933805,339055690.27932584
44.0,154534376.7128427,91968943.37428486,338172653.8203885
44.800000000000004,153848134.01718342,91871895.88104898,337297370.6030608
45.6,153166133.3908604,91776350.7024757,336429783.3123556
46.400000000000006,152488337.58872005,91682295.5424109,335569834.6416936
47.2,151814709.37089235,91589718.10570097,334717467.29290354
48.0,151145211.50279096,91498606.09819284,333872623.97622204
48.800000000000004,150479806.75511312,91408947.22673398,333035247.41029364
49.6,149818473.3356989,91320731.99720402,332205305.0188953
50.400000000000006,149161182.96252435,91233949.73881373,331382753.83955586
51.2,148507889.3480227,91148586.51613663,330567522.0941789
52.0,147858557.85822284,91064630.50676355,329759556.6547155
52.800000000000004,147213154.02375233,90982069.91817212,328958804.6564879
53.6,146571643.53983748,90900892.98772676,328165213.49819
54.400000000000006,145933992.26630324,90821087.98267868,327378730.841887
55.2,145300166.2275733,90742643.20016588,326599304.61301565
56.0,144670131.61267003,90665546.96721314,325826883.0003841
56.800000000000004,144043875.19172958,90589790.98343164,325061447.47298837
57.6,143421352.03368345,90515361.76108186,324302928.2310233
58.400000000000006,142802530.1172303,90442247.9290173,323551276.34905976
59.2,142187377.9547877,90370438.20641257,322806443.7619673
60.0,141575864.33229414,90299921.36016236,322068382.84413195
60.800000000000004,140967958.30920914,90230686.20488152,321337046.409456
61.6,140363629.21851313,90162721.602905,320612387.71135837
62.400000000000006,139762846.66670755,90096016.46428789,319894360.44277424
63.2,139165581.91009006,90030559.64516322,319182921.04428303
64.0,138571806.38118464,89966340.05656971,318478026.23280936
64.8,137981489.39876142,89903346.83357368,317779629.16113657
65.60000000000001,137394601.9273304,89841569.05761907,317087685.7228889
66.4,136811115.22281358,89780995.85654859,316402152.28121215
67.2,136231000.83254495,89721616.4046038,315722985.6687731
68.0,135654230.59527063,89663419.92242502,315050143.18775994
68.8,135080776.64114866,89606395.67705141,314383582.60988176
69.60000000000001,134510611.39174914,89550532.98192097,313723262.1763692
70.4,133943702.48589744,89495819.64786558,313069133.2075107
71.2,133380025.29273058,89442245.80301383,312421158.32780564
72.0,132819553.06753431,89389800.88763027,311779297.12803036
72.8,132262258.94857511,89338474.26369514,311143509.0736062
73.60000000000001,131708116.33602901,89288255.33058108,310513754.05650526
74.4,131157098.8919815,89239133.52505328,309889992.395251
75.2,130609180.54042757,89191098.32126933,309272184.83491766
76.0,130064335.46727169,89144139.23077935,308660292.5471305
76.80000000000001,129522536.15753885,89098245.22935636,308054274.2789037
77.60000000000001,128983754.52919865,89053405.08809334,307454087.9996413
78.4,128447967.69712317,89009609.05658196,306859699.27390754
79.2,127915150.44635119,88966846.6649711,306271070.32803184
80.0,127385277.7932852,88925107.47188221,305688163.77052397
80.80000000000001,126858324.98569149,88884381.06440927,305110942.59207356
81.60000000000001,126334267.50270009,88844657.05811891,304539370.1655503
82.4,125813081.05480477,88805925.09705023,303973410.24600405
83.2,125294741.5838631,88768174.853715,303413026.9706647
84.0,124779222.49366406,88731394.9832581,302858181.0741495
84.80000000000001,124266501.17490597,88695575.58752897,302308838.8057017
85.60000000000001,123756554.41955866,88660706.48337634,301764965.6623144
86.4,123249358.82756846,88626777.35623486,301226526.94454676
87.2,122744891.21259595,88593777.91334672,300693488.3110175
88.0,122243128.602016,88561697.88376154,300165815.7784052
88.80000000000001,121744048.2369177,88530527.0183364,299643475.7214479
89.60000000000001,121247627.57210441,88500255.08973588,299126434.8729435
90.4,120753843.71891004,88470871.61396688,298614659.6636518
91.2,120262673.37186354,88442365.81372768,298108116.13541377
92.0,119774095.46495605,88414727.94593707,297606773.08804154
92.80000000000001,119288088.15103878,88387947.7921206,297110598.50079936
93.60000000000001,118804629.78594738,88362015.15024883,296619560.6982995
94.4,118323698.92850189,88336919.83473723,296133628.35050225
95.2,117845274.34050673,88312651.67644632,295652770.47271585
96.0,117369334.98675074,88289200.52268158,295176956.4255965
96.80000000000001,116895860.03500712,88266556.23719345,294706155.9151483
97.60000000000001,116424827.30640848,88244707.95940414,294240337.270558
98.4,115956216.72624329,88223645.75400522,293779471.2792145
99.2,115490008.2755296,88203359.6317404,293323528.9102042
100.0,115026181.76964872,88183839.44358498,292872481.06829685
100.80000000000001,114564717.21606916,88165075.05175005,292426298.9914996
101.60000000000001,114105594.81434658,88147056.3296824,291984954.2510569
102.4,113648794.95612377,88129773.16206454,291548418.7514507
103.2,113194298.22513068,88113215.44481474,291116664.73040044
104.0,112742084.25454918,88097372.60198098,290689663.51703364
104.80000000000001,112292130.41106817,88082233.02935962,290267384.10170186
105.60000000000001,111844420.44487005,88067787.75170848,289849802.5368863
106.4,111398935.4108927,88054026.5842577,289436892.07032
107.2,110955656.55270413,88040939.35201155,289028626.27921635
108.0,110514565.30452532,88028515.89060357,288624979.0724673
108.80000000000001,110075643.2932529,88016746.04715197,288225924.6928422
109.60000000000001,109638872.34048203,88005619.68111467,287831437.7191853
110.4,109204234.46452908,87995126.66514467,287441493.0686151
111.2,108771711.88245448,87985256.88594517,287056065.998722
112.0,108341287.01208542,87976000.24512494,286675132.1097672
112.80000000000001,107912942.4740387,87967346.66005336,286298667.34688056
113.60000000000001,107486661.09374347,87959286.06471586,285926648.0022595
114.4,107062425.90346403,87951808.41056895,285559050.717367
115.2,106640220.14432254,87944903.66739562,285195852.4851301
116.0,106220027.26832189,87938561.82416044,284837030.6521383
116.80000000000001,105801830.94036838,87932772.88986485,284482562.9208419
117.60000000000001,105385615.0402946,87927526.8944024,284132427.3517504
118.4,104971363.6648821,87922813.88941395,283786602.36563087
119.2,104559061.12988424,87918623.94914289,283445066.7457064
120.0,104148680.33940999,87914942.24206547,283107787.1827131
120.80000000000001,103740206.49791245,87911759.07862832,282774743.6675876
121.60000000000001,103333629.57749723,87909066.71933696,282445921.4249028
122.4,102928933.86247495,87906854.94435318,282121299.7163879
123.2,102526103.78724553,87905113.5272435,281800858.0926244
124.0,102125123.93529366,87903832.23455152,281484576.39200264
124.80000000000001,101725979.03818408,87903000.82537039,281172434.73967797
125.60000000000001,101328653.97455706,87902609.05091515,280864413.54652745
126.4,100933133.76912369,87902646.65409519,280560493.50810623
127.2,100539403.59166141,87903103.36908661,280260655.6036037
128.0,100147448.75600927,87903968.92090462,279964881.0948003
128.8,99757254.71906336,87905233.02497599,279673151.5250234
129.6,99368807.07977226,87906885.3867114,279385448.7181044
130.4,98982089.78351887,87908914.91940391,279101753.0766829
131.20000000000002,98597084.27864194,87911309.37684762,278822042.7827996
132.0,98213780.41967198,87914060.10243498,278546304.1301719
132.8,97832164.00543845,87917156.60118037,278274519.71468604
133.6,97452220.94249552,87920588.35317998,278006672.3797435
134.4,97073937.24306329,87924344.81272496,277742745.2142187
135.20000000000002,96697299.02296881,87928415.40741475,277482721.55041593
136.0,96322292.49958748,87932789.53727022,277226584.9620273
136.8,95948903.989784,87937456.57384692,276974319.2620898
137.6,95577119.90785374,87942405.85934831,276725908.50094277
138.4,95206926.7634638,87947626.70573898,276481336.96418536
139.20000000000002,94838311.15959427,87953108.39385788,276240589.1706338
140.0,94471259.79047936,87958840.17253155,276003649.8702791
140.8,94105759.43954861,87964811.25768727,275770504.0422439
141.6,93741800.83840005,87971012.40856756,275541143.5558549
142.4,93379368.75710891,87977431.87991014,275315550.0706611
143.20000000000002,93018450.09223011,87984058.72557788,275093708.9956857
144.0,92659032.18426451,87990882.11125483,274875606.58733046
144.8,92301102.46989588,87997891.17235097,274661229.3507399
145.6,91944648.48052132,88005075.01335609,274450564.03877515
146.4,91589657.84078135,88012422.70719354,274243597.65098816
147.20000000000002,91236118.26709032,88019923.29457419,274040317.4325955
148.0,90884017.5661666,88027565.78335017,273840710.87345237
148.8,90533343.63356282,88035339.14786881,273644765.7070267
149.6,90184084.45219618,88043232.3283264,273452469.9093732
150.4,89836228.09087871,88051234.23012209,273263811.6981071
151.20000000000002,89489762.70284748,88059333.72321166,273078779.53137845
152.0,89144679.53178848,88067520.92688088,272897365.6475081
152.8,88800967.8008848,88075785.02527833,272719560.0486705
153.60000000000002,88458614.00176646,88084113.96349066,272545349.6644926
154.4,88117606.90650602,88092496.58967932,272374724.25328094
155.20000000000002,87777935.38769814,88100921.72335248,272207673.8363488
156.0,87439588.41779096,88109378.15506126,272044188.6979334
156.8,87102555.06841731,88117854.64609596,271884259.38511294
157.60000000000002,86766824.50972606,88126339.92818221,271727876.70772374
158.4,86432386.00971341,88134822.70317729,271575031.738277
159.20000000000002,86099228.93355414,88143291.64276618,271425715.8118761
160.0,85767342.742933,88151735.38815793,271279920.52613354
160.8,85436716.9953759,88160142.5497818,271137637.7410879
