Time,x,y,z,a,A,b,B,c,C,epsilon,g,G,h,compartment,Normal_Cells_Growth,Normal_Cells_Removal,Leukemic_Cells_Growth,Leukemic_Cells_Removal,Donor_Cells_Growth,Donor_Cells_Removal
0.0,200000000.0,100000000.0,400000000.0,0.23,0.45,2.2e-08,2.2e-08,0.01,0.01,1.0,2.0,2.0,2.0,1.0,764966.7424309615,2000000.0,748337.030638984,1000000.0,2243902.442390244,4000000.0
0.8,199015586.75595367,99799886.182857,398601315.4657852,0.23,0.45,2.2e-08,2.2e-08,0.01,0.01,1.0,2.0,2.0,2.0,1.0,763596.6276470927,1990155.8675595368,749189.4172701915,997998.8618285701,2244442.1166273626,3986013.154657852
1.6,198037713.73311472,99601976.28595786,397213847.91783184,0.23,0.45,2.2e-08,2.2e-08,0.01,0.01,1.0,2.0,2.0,2.0,1.0,762222.8694297827,1980377.1373311472,750043.9366365029,996019.7628595786,2244987.2235291908,3972138.4791783183
2.4000000000000004,197066503.610506,99406315.26914491,395837820.70046425,0.23,0.45,2.2e-08,2.2e-08,0.01,0.01,1.0,2.0,2.0,2.0,1.0,760845.6137744519,1970665.03610506,750900.4829586678,994063.152691449,2245537.852103738,3958378.2070046426
3.2,196101931.86213607,99212895.88726614,394473195.46791226,0.23,0.45,2.2e-08,2.2e-08,0.01,0.01,1.0,2.0,2.0,2.0,1.0,759464.9117119819,1961019.3186213607,751759.016457252,992128.9588726615,2246094.02501554,3944731.9546791227
4.0,195143928.92230633,99021697.97437313,393119864.8926818,0.23,0.45,2.2e-08,2.2e-08,0.01,0.01,1.0,2.0,2.0,2.0,1.0,758080.7594668051,1951439.2892230633,752619.517216564,990216.9797437313,2246655.788558159,3931198.648926818
4.800000000000001,194192452.98242855,98832709.23797633,391777763.99804735,0.23,0.45,2.2e-08,2.2e-08,0.01,0.01,1.0,2.0,2.0,2.0,1.0,756693.1871632813,1941924.5298242855,753481.9525304023,988327.0923797633,2247223.174175741,3917777.6399804736
5.6000000000000005,193247462.22104788,98645917.44451049,390446827.98530835,0.23,0.45,2.2e-08,2.2e-08,0.01,0.01,1.0,2.0,2.0,2.0,1.0,755302.2245644535,1932474.6222104789,754346.2895386561,986459.1744451049,2247796.2139424426,3904468.2798530837
6.4,192308872.8134054,98461297.95853758,389126926.7739606,0.23,0.45,2.2e-08,2.2e-08,0.01,0.01,1.0,2.0,2.0,2.0,1.0,753907.8506213079,1923088.728134054,755212.5140349569,984612.9795853758,2248374.95968796,3891269.267739606
7.2,191376641.40960264,98278837.9688719,387817993.1008511,0.23,0.45,2.2e-08,2.2e-08,0.01,0.01,1.0,2.0,2.0,2.0,1.0,752510.0923442716,1913766.4140960264,756080.5931269022,982788.379688719,2248959.444991063,3878179.931008511
