Time,cLc,cLm,cLn,cP7c,cP7m,cP7n,cP9c,cP9m,cP9n,cPn,cTc,cTm,cTn,cXc,cXm,cXn,cYc,cYm,cYn,q1,n1,g1,m1,k1,p1,r1,r2,m2,k2,m3,k3,n2,g2,g3,m4,k4,p2,p3,r5,r6,m10,k8,m11,k9,n4,n5,g5,g6,m12,k10,r3,r4,m5,m6,k5,m7,m8,k6,n3,g4,m9,k7,p4,r7,r8,m13,k11,m14,k12,p5,k13,q3,m15,g7,g8,n6,g9,m16,k14,p6,r9,r10,m17,k15,m18,k16,n7,g10,m19,k17,p7,r11,r12,m20,k18,m21,k19,q4,n8,a,b,c,d,e,f,h,i,j,k,ld,lmax,Day_in_hours,cytoplasm,nucleus,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31a,R31b,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45
0.0,0.0659,0.1951,0.3952,0.0861,0.0772,2.7182,0.0077,0.0011,0.0073,0.0,0.7852,0.1234,4.5209,2.5615,1.6104,14.5474,7.6795,1.1149,9.7016,13.4334,3.2016,9.041,6.8248,13.0594,0.6926,25.6818,3.9781,9.4099,30.5639,13.7795,33.514,11.6086,16.6598,13.4112,12.1232,1.3722,0.5403,6.9124,29.4607,4.5034,8.5523,12.528,23.5996,15.0626,1.7832,7.4615,1.5987,16.489,5.9504,11.5688,51.1965,8.9147,7.2129,9.5754,34.2078,1.1032,2.2006,56.7596,2.4751,20.5277,4.2193,14.9114,6.0042,35.7842,27.9229,7.5959,26.9638,8.1796,21.8348,0.5,1.2,1.0,1.2,0.2778,0.9187,11.0924,20.3795,9.3186,51.261,9.8416,24.5689,0.5024,3.6143,32.939,6.7455,24.451,0.1031,5.8418,1.9234,9.8065,1.5323,25.7542,27.2451,3.7484,25.9739,0.0193,21.6441,6.274,3.5262,1.2497,4.2126,1.4509,1.3058,2.4146,2.1349,1.4176,2.0074,1.7615,3.8877,1.0,1.0,24.0,1.0,1.0,0.0,0.0782498740052738,0.10045784299671809,0.13512626,1.6924306199999999,1.57214512,0.020245395333955824,0.1605953074681797,1.0729093970663215,1.000269376838727,0.06667302,40.199491800000004,40.30246723,0.2148602314748664,0.16234679123048934,0.301397000938822,0.41126031788303935,11.13172896,75.46358305,65.51276116,1.4517854435203288,11.594489059101655,0.6945749551585985,0.523041459511026,6.69408258,274.8047639,270.89680663999997,1.6838093960448342,2.5163052016083,0.0,0.0,0.0,0.010672253075901854,0.014012877740162298,0.75977152,2.11538229,1.36562368,0.009422870180559635,0.6748677951503907,0.00010286134924266643,0.0002157245401525348,0.0016855300000000002,0.19830734000000003,0.19888923,0.0011108892446962467,6.507200458168986e-06
0.01,0.06584434237456752,0.1948781441499812,0.39479863854323255,0.08610543744808531,0.07716652742007238,2.718946841049711,0.007709611300423234,0.0010988704276006513,0.007296053829594009,0.0,0.7847480031129934,0.12412888893184784,4.518249725183,2.5587888277246797,1.609301624007712,14.530967490241725,7.6905362119854495,1.1166162334929834,9.715533614638867,13.4334,3.2016,9.041,6.8248,13.0594,0.6926,25.6818,3.9781,9.4099,30.5639,13.7795,33.514,11.6086,16.6598,13.4112,12.1232,1.3722,0.5403,6.9124,29.4607,4.5034,8.5523,12.528,23.5996,15.0626,1.7832,7.4615,1.5987,16.489,5.9504,11.5688,51.1965,8.9147,7.2129,9.5754,34.2078,1.1032,2.2006,56.7596,2.4751,20.5277,4.2193,14.9114,6.0042,35.7842,27.9229,7.5959,26.9638,8.1796,21.8348,0.5,1.2,1.0,1.2,0.2778,0.9187,11.0924,20.3795,9.3186,51.261,9.8416,24.5689,0.5024,3.6143,32.939,6.7455,24.451,0.1031,5.8418,1.9234,9.8065,1.5323,25.7542,27.2451,3.7484,25.9739,0.0193,21.6441,6.274,3.5262,1.2497,4.2126,1.4509,1.3058,2.4146,2.1349,1.4176,2.0074,1.7615,3.8877,1.0,1.0,24.0,1.0,1.0,0.0,0.07818126879273193,0.10034528804435973,0.13497260263827698,1.691001231995168,1.5705484639888334,0.02022833329539992,0.1604341073181762,1.0788169395953342,1.005687558015942,0.0670668386898774,40.17635114137437,40.278840825088885,0.21473932187903763,0.16225863651921765,0.30119437707109314,0.4110071410228968,11.12413654579091,75.38371001694847,65.43875899555458,1.4505094451335376,11.587822944826971,0.6954855724231401,0.5237757369154223,6.704387189138571,275.1996859169297,271.2858735681996,1.6856921931869668,2.5188062898145587,0.0,0.0,0.0,0.010653186521765,0.014006811132076923,0.7594420962573843,2.115515882118263,1.3659988929433746,0.009423463708785744,0.6750346632475132,0.0001024558271334787,0.00021550304089414126,0.001683799156212478,0.19855487135336006,0.19878171619267174,0.0011122754683350051,6.503684037790159e-06
0.02,0.06578609350672009,0.19465672351440588,0.39440011188871593,0.08611008447625682,0.0771329269332543,2.719689547672886,0.007716468879573246,0.0010977390548177278,0.007294832670540255,0.0,0.7842964531087749,0.12486264713047701,4.515604989414756,2.556074016021028,1.608203750697013,14.514542137309371,7.7015979621591715,1.1183342100710938,9.729500377483632,13.4334,3.2016,9.041,6.8248,13.0594,0.6926,25.6818,3.9781,9.4099,30.5639,13.7795,33.514,11.6086,16.6598,13.4112,12.1232,1.3722,0.5403,6.9124,29.4607,4.5034,8.5523,12.528,23.5996,15.0626,1.7832,7.4615,1.5987,16.489,5.9504,11.5688,51.1965,8.9147,7.2129,9.5754,34.2078,1.1032,2.2006,56.7596,2.4751,20.5277,4.2193,14.9114,6.0042,35.7842,27.9229,7.5959,26.9638,8.1796,21.8348,0.5,1.2,1.0,1.2,0.2778,0.9187,11.0924,20.3795,9.3186,51.261,9.8416,24.5689,0.5024,3.6143,32.939,6.7455,24.451,0.1031,5.8418,1.9234,9.8065,1.5323,25.7542,27.2451,3.7484,25.9739,0.0193,21.6441,6.274,3.5262,1.2497,4.2126,1.4509,1.3058,2.4146,2.1349,1.4176,2.0074,1.7615,3.8877,1.0,1.0,24.0,1.0,1.0,0.0,0.07811282667112636,0.10023295013399172,0.1348192467060775,1.6895052962208839,1.5689630851045009,0.0202104768360691,0.1602740419435215,1.084759167316862,1.0111366058018203,0.06746328824459673,40.153233361583396,40.255263799135726,0.21461852870580334,0.16217065844859643,0.30099217526290234,0.4107540463874387,11.116547606318033,75.30372976379068,65.36478906115903,1.4492312742564417,11.581152331535124,0.6963959098414965,0.52451056112614,6.714702264108861,275.5955217974962,271.6758660904377,1.6875781441950908,2.5213111121080285,0.0,0.0,0.0,0.0106342691680734,0.014000721334046382,0.7591114137063155,2.115630054488706,1.3663720287508578,0.009423970958050804,0.6752005984845798,0.00010205434531121542,0.000215281188545147,0.0016820655536972041,0.1987314828183053,0.1987484455921363,0.0011132645262021178,6.502595866432753e-06
0.03,0.06572589062785017,0.19443574153192517,0.3940037849604362,0.0861140724426072,0.0770991988833102,2.720427941765888,0.007721645347801714,0.0010966059041743828,0.007295266605999776,0.0,0.7838455668581545,0.12560135370316966,4.512965652486734,2.553356723749633,1.6071063878259308,14.498122911484439,7.712685622372133,1.1200539377291174,9.743500482237687,13.4334,3.2016,9.041,6.8248,13.0594,0.6926,25.6818,3.9781,9.4099,30.5639,13.7795,33.514,11.6086,16.6598,13.4112,12.1232,1.3722,0.5403,6.9124,29.4607,4.5034,8.5523,12.528,23.5996,15.0626,1.7832,7.4615,1.5987,16.489,5.9504,11.5688,51.1965,8.9147,7.2129,9.5754,34.2078,1.1032,2.2006,56.7596,2.4751,20.5277,4.2193,14.9114,6.0042,35.7842,27.9229,7.5959,26.9638,8.1796,21.8348,0.5,1.2,1.0,1.2,0.2778,0.9187,11.0924,20.3795,9.3186,51.261,9.8416,24.5689,0.5024,3.6143,32.939,6.7455,24.451,0.1031,5.8418,1.9234,9.8065,1.5323,25.7542,27.2451,3.7484,25.9739,0.0193,21.6441,6.274,3.5262,1.2497,4.2126,1.4509,1.3058,2.4146,2.1349,1.4176,2.0074,1.7615,3.8877,1.0,1.0,24.0,1.0,1.0,0.0,0.07804455295483682,0.10012083103224767,0.13466619458501136,1.6879591779263223,1.5673864569511113,0.020192021294267587,0.16011485634168732,1.090736330249357,1.0166170082898918,0.06786241140582257,40.13014956365351,40.23173490222349,0.21449790998118792,0.162082852400669,0.300790384827849,0.4105010358049937,11.108962195207964,75.22367643137082,65.29084671957902,1.4479514746929678,11.57447679768825,0.6973060099891395,0.5252459350364398,6.725027852913167,275.99228484808884,272.0667896154747,1.689467305221366,2.5238196903389487,0.0,0.0,0.0,0.01061547059794052,0.013994608408284075,0.7587794757299856,2.115728034435172,1.366742997943182,0.009424406266896964,0.6753655612252367,0.00010165623955733705,0.00021505898752190338,0.0016803292269664068,0.1988647986163549,0.1987602682071245,0.0011140111197363444,6.502982545099819e-06
0.04,0.06566425292294048,0.19421519777356974,0.39360913910829365,0.08611751538380633,0.07706534454852644,2.7211619065885624,0.00772583322961454,0.0010954710100492798,0.007296664967870346,0.0,0.7833954715001684,0.12634504538608318,4.510331611568959,2.5506378523885025,1.6060095387254147,14.48170901319727,7.723799283381755,1.121775408958542,9.757533882313854,13.4334,3.2016,9.041,6.8248,13.0594,0.6926,25.6818,3.9781,9.4099,30.5639,13.7795,33.514,11.6086,16.6598,13.4112,12.1232,1.3722,0.5403,6.9124,29.4607,4.5034,8.5523,12.528,23.5996,15.0626,1.7832,7.4615,1.5987,16.489,5.9504,11.5688,51.1965,8.9147,7.2129,9.5754,34.2078,1.1032,2.2006,56.7596,2.4751,20.5277,4.2193,14.9114,6.0042,35.7842,27.9229,7.5959,26.9638,8.1796,21.8348,0.5,1.2,1.0,1.2,0.2778,0.9187,11.0924,20.3795,9.3186,51.261,9.8416,24.5689,0.5024,3.6143,32.939,6.7455,24.451,0.1031,5.8418,1.9234,9.8065,1.5323,25.7542,27.2451,3.7484,25.9739,0.0193,21.6441,6.274,3.5262,1.2497,4.2126,1.4509,1.3058,2.4146,2.1349,1.4176,2.0074,1.7615,3.8877,1.0,1.0,24.0,1.0,1.0,0.0,0.07797645056999768,0.10000893054354873,0.1345134459779744,1.6863762107163727,1.565816516286703,0.020173125823055506,0.15995634225024472,1.0967485741424685,1.0221289369582724,0.06826422802210075,40.10710625665837,40.2082532176538,0.21437749973168063,0.16199521499946537,0.30058899793675536,0.41024811008391554,11.101380335485556,75.14357657786195,65.21692837003259,1.446670469741855,11.567796013614227,0.6982159027045742,0.5259818549090279,6.7353639104688785,276.3899783163894,272.45864284246153,1.6913596844030339,2.5263320032349834,0.0,0.0,0.0,0.010596766003821555,0.01398847258637798,0.7584462949087778,2.1158126237131993,1.3671117418700935,0.00942478208311302,0.6755295255488073,0.00010126096971540413,0.0002148364445655291,0.0016785902286985113,0.19897265416213877,0.19879836671612436,0.001114615130853317,6.504228621322829e-06
0.05,0.06560157709415411,0.1939950917770893,0.3932157785115298,0.08612050431606588,0.0770313650258592,2.7218913493030774,0.0077294635711424595,0.0010943344027133375,0.0072985978635318124,0.0,0.7829462426721988,0.1270937580226194,4.507702814436226,2.547918067559553,1.6049132065936096,14.465299877480938,7.734939001069491,1.1234986162445384,9.771600557706314,13.4334,3.2016,9.041,6.8248,13.0594,0.6926,25.6818,3.9781,9.4099,30.5639,13.7795,33.514,11.6086,16.6598,13.4112,12.1232,1.3722,0.5403,6.9124,29.4607,4.5034,8.5523,12.528,23.5996,15.0626,1.7832,7.4615,1.5987,16.489,5.9504,11.5688,51.1965,8.9147,7.2129,9.5754,34.2078,1.1032,2.2006,56.7596,2.4751,20.5277,4.2193,14.9114,6.0042,35.7842,27.9229,7.5959,26.9638,8.1796,21.8348,0.5,1.2,1.0,1.2,0.2778,0.9187,11.0924,20.3795,9.3186,51.261,9.8416,24.5689,0.5024,3.6143,32.939,6.7455,24.451,0.1031,5.8418,1.9234,9.8065,1.5323,25.7542,27.2451,3.7484,25.9739,0.0193,21.6441,6.274,3.5262,1.2497,4.2126,1.4509,1.3058,2.4146,2.1349,1.4176,2.0074,1.7615,3.8877,1.0,1.0,24.0,1.0,1.0,0.0,0.07790852170309001,0.09989724845535806,0.13436100056481204,1.684766582616647,1.5642516884967166,0.020153912029698948,0.1597983407246739,1.102796053210632,1.0276725551715225,0.06866875745962127,40.08410731296723,40.184818279854625,0.21425731820890812,0.1619077445516505,0.30038801062900217,0.4099952700023313,11.093802049257667,75.06344981295173,65.14303146824766,1.4453885721280628,11.561109743837369,0.6991256003877035,0.5267183170072288,6.745710391655457,276.78860420207087,272.85142521277766,1.6932552838998796,2.528848034305079,0.0,0.0,0.0,0.010578136468721274,0.013982314067052266,0.7581118820384958,2.115886058490991,1.367478213889866,0.009425108341660026,0.6756924708785108,0.00010086812427340167,0.0002146135656116551,0.0016768486052776471,0.19906615070391714,0.1988510286517106,0.0011151387287195989,6.505951018797637e-06
0.06,0.06553814815215636,0.19377542309742435,0.39282341936911536,0.0861231083573909,0.07699726123183585,2.722616199275886,0.007732769408375675,0.001093196108433189,0.007300832876609235,0.0,0.7824979192362879,0.1278475270705198,4.505079245413033,2.545197827551096,1.60381739455997,14.448895145451775,7.746104808877815,1.1252235522077472,9.785700509216975,13.4334,3.2016,9.041,6.8248,13.0594,0.6926,25.6818,3.9781,9.4099,30.5639,13.7795,33.514,11.6086,16.6598,13.4112,12.1232,1.3722,0.5403,6.9124,29.4607,4.5034,8.5523,12.528,23.5996,15.0626,1.7832,7.4615,1.5987,16.489,5.9504,11.5688,51.1965,8.9147,7.2129,9.5754,34.2078,1.1032,2.2006,56.7596,2.4751,20.5277,4.2193,14.9114,6.0042,35.7842,27.9229,7.5959,26.9638,8.1796,21.8348,0.5,1.2,1.0,1.2,0.2778,0.9187,11.0924,20.3795,9.3186,51.261,9.8416,24.5689,0.5024,3.6143,32.939,6.7455,24.451,0.1031,5.8418,1.9234,9.8065,1.5323,25.7542,27.2451,3.7484,25.9739,0.0193,21.6441,6.274,3.5262,1.2497,4.2126,1.4509,1.3058,2.4146,2.1349,1.4176,2.0074,1.7615,3.8877,1.0,1.0,24.0,1.0,1.0,0.0,0.07784076789155638,0.09978578456378892,0.1342088580372761,1.6831376132140492,1.5626908445922778,0.02013446728320681,0.1596407378021919,1.1088789280196691,1.033248021953148,0.06907601887620185,40.06115472218061,40.16142994908357,0.2141373758277132,0.1618204405795234,0.30018742173805957,0.4097425163229091,11.086227358156338,74.98330963813457,65.06915439802752,1.4441059972541817,11.55441783596504,0.7000351027323048,0.5274553176555665,6.756067252165756,277.1881637018455,273.2451367488147,1.6951541020275496,2.531367770787171,0.0,0.0,0.0,0.010559568432196438,0.01397613301633047,0.7577762461392357,2.1159500369219013,1.367842378516205,0.009425392587176949,0.6758543816006676,0.00010047740776776803,0.000214390355810711,0.0016751043969521753,0.1991512898971888,0.19891192180650627,0.0011156155237666153,6.507942631804182e-06
0.07,0.06547416939116854,0.1935561913081228,0.39243185984451756,0.0861253797475735,0.07696303395047052,2.723336402908668,0.007735873305106161,0.0010920561505575479,0.007303247764914769,0.0,0.7820505214239195,0.12860638798172666,4.50246090755362,2.542477446267267,1.6027221057355714,14.432494602072962,7.757296729658929,1.1269502094956965,9.799833748042698,13.4334,3.2016,9.041,6.8248,13.0594,0.6926,25.6818,3.9781,9.4099,30.5639,13.7795,33.514,11.6086,16.6598,13.4112,12.1232,1.3722,0.5403,6.9124,29.4607,4.5034,8.5523,12.528,23.5996,15.0626,1.7832,7.4615,1.5987,16.489,5.9504,11.5688,51.1965,8.9147,7.2129,9.5754,34.2078,1.1032,2.2006,56.7596,2.4751,20.5277,4.2193,14.9114,6.0042,35.7842,27.9229,7.5959,26.9638,8.1796,21.8348,0.5,1.2,1.0,1.2,0.2778,0.9187,11.0924,20.3795,9.3186,51.261,9.8416,24.5689,0.5024,3.6143,32.939,6.7455,24.451,0.1031,5.8418,1.9234,9.8065,1.5323,25.7542,27.2451,3.7484,25.9739,0.0193,21.6441,6.274,3.5262,1.2497,4.2126,1.4509,1.3058,2.4146,2.1349,1.4176,2.0074,1.7615,3.8877,1.0,1.0,24.0,1.0,1.0,0.0,0.07777319019778804,0.09967453867432499,0.13405701810000584,1.6814945234701122,1.5611331816474754,0.02011485390288023,0.15948345243403994,1.1149973617903381,1.0388554947962094,0.06948603142652691,40.038249520079695,40.13808825256825,0.21401767801944457,0.16173330322847213,0.299987231529117,0.4094898498044553,11.078656283686563,74.90316530124608,64.99529619097538,1.4428228927211078,11.547720195721736,0.7009444028433107,0.5281928531933178,6.766434447854061,277.588657633461,273.63977776322145,1.6970561352828295,2.5338912017734248,0.0,0.0,0.0,0.010541052249239612,0.013969929576219628,0.7574393949269507,2.1160058424801584,1.3682042088213147,0.009425640521944756,0.6760152459087875,0.00010008860932734225,0.0002141668197409518,0.0016733576394993305,0.1992312282743651,0.19897771567987937,0.0011160631931822708,6.510094530589174e-06
0.08,0.06540979409955791,0.19333739599480593,0.39204094825832964,0.08612735969911228,0.07692868388498153,2.724051917730729,0.007738851175746354,0.0010909145506600962,0.007305766809885879,0.0,0.7816040627240459,0.12937037629922496,4.499847810824249,2.5397571546412987,1.6016273432328811,14.41609811503422,7.76851478274282,1.1286785807148658,9.814000288866385,13.4334,3.2016,9.041,6.8248,13.0594,0.6926,25.6818,3.9781,9.4099,30.5639,13.7795,33.514,11.6086,16.6598,13.4112,12.1232,1.3722,0.5403,6.9124,29.4607,4.5034,8.5523,12.528,23.5996,15.0626,1.7832,7.4615,1.5987,16.489,5.9504,11.5688,51.1965,8.9147,7.2129,9.5754,34.2078,1.1032,2.2006,56.7596,2.4751,20.5277,4.2193,14.9114,6.0042,35.7842,27.9229,7.5959,26.9638,8.1796,21.8348,0.5,1.2,1.0,1.2,0.2778,0.9187,11.0924,20.3795,9.3186,51.261,9.8416,24.5689,0.5024,3.6143,32.939,6.7455,24.451,0.1031,5.8418,1.9234,9.8065,1.5323,25.7542,27.2451,3.7484,25.9739,0.0193,21.6441,6.274,3.5262,1.2497,4.2126,1.4509,1.3058,2.4146,2.1349,1.4176,2.0074,1.7615,3.8877,1.0,1.0,24.0,1.0,1.0,0.0,0.07770578938070322,0.09956351059850643,0.1339054804660026,1.6798412501060263,1.5595780962664612,0.020095118879107098,0.15932642371220718,1.1211515181954554,1.0444951303689178,0.06989881431447124,40.01539239725162,40.11479327915493,0.21389822841198633,0.16164633287390065,0.2997874407955741,0.40923727120647274,11.071088847362967,74.8230236057409,64.9214562512451,1.4415393671876484,11.541016762271852,0.7018534913333191,0.5289309199454955,6.776811934328197,277.9900866886256,274.03534866598716,1.6989613795494987,2.536418316970169,0.0,0.0,0.0,0.010522580673032718,0.013963703874083534,0.7571013353224342,2.1160544877115197,1.368563683467918,0.009425856644549141,0.6761750544830994,9.970157002488973e-05,0.00021394296163256745,0.0016716083659764655,0.19930792095040675,0.19904634731202175,0.0011164926859821593,6.5123392425143465e-06
0.09,0.06534513579146592,0.1931190367518624,0.39165057282276056,0.08612908025913811,0.07689421167454066,2.724762710538098,0.007741748656421608,0.0010897713288954166,0.00730834448975923,0.0,0.7811585525061858,0.1301395276556579,4.497239969482274,2.5370371202010626,1.600533110168172,14.399705615208706,7.7797589852731805,1.1304086584055755,9.828200148349028,13.4334,3.2016,9.041,6.8248,13.0594,0.6926,25.6818,3.9781,9.4099,30.5639,13.7795,33.514,11.6086,16.6598,13.4112,12.1232,1.3722,0.5403,6.9124,29.4607,4.5034,8.5523,12.528,23.5996,15.0626,1.7832,7.4615,1.5987,16.489,5.9504,11.5688,51.1965,8.9147,7.2129,9.5754,34.2078,1.1032,2.2006,56.7596,2.4751,20.5277,4.2193,14.9114,6.0042,35.7842,27.9229,7.5959,26.9638,8.1796,21.8348,0.5,1.2,1.0,1.2,0.2778,0.9187,11.0924,20.3795,9.3186,51.261,9.8416,24.5689,0.5024,3.6143,32.939,6.7455,24.451,0.1031,5.8418,1.9234,9.8065,1.5323,25.7542,27.2451,3.7484,25.9739,0.0193,21.6441,6.274,3.5262,1.2497,4.2126,1.4509,1.3058,2.4146,2.1349,1.4176,2.0074,1.7615,3.8877,1.0,1.0,24.0,1.0,1.0,0.0,0.07763856594594618,0.0994527001522532,0.1337542448543399,1.6781807083692695,1.5580251437462238,0.02007529700970628,0.1591696067479979,1.1273415609418047,1.0501670844918942,0.07031438679235195,39.992583833382945,40.09154515594362,0.2137790295313595,0.1615595300340847,0.2995880506586657,0.40898478128971705,11.063525070726472,74.74288948710745,64.84763426753089,1.4402554995367955,11.534307500403413,0.7027623572284253,0.52966951421216,6.787199666798756,278.39245148081255,274.43184992233506,1.7008698303269667,2.5389491064265886,0.0,0.0,0.0,0.01050414836136799,0.01395745602567835,0.7567620736161593,2.1160967599787384,1.3689207857743402,0.00942604445312164,0.676333800074265,9.931617202336313e-05,0.000213718785437478,0.0016698566072664467,0.19938254324721338,0.1991165764579392,0.001116910584190909,6.514636203249585e-06
