value_component_environment_variable_time,value_component_membrane_variable_u,value_component_membrane_variable_Cm,value_component_membrane_variable_Vm,value_component_membrane_variable_V_0,value_component_membrane_variable_V_fi,value_component_p_variable_p,value_component_p_variable_u_c,value_component_q_variable_q,value_component_q_variable_u_v,value_component_fast_inward_current_variable_J_fi,value_component_fast_inward_current_variable_tau_d,value_component_fast_inward_current_variable_g_fi_max,value_component_fast_inward_current_v_gate_variable_v,value_component_fast_inward_current_v_gate_variable_tau_v_minus,value_component_fast_inward_current_v_gate_variable_tau_v1_minus,value_component_fast_inward_current_v_gate_variable_tau_v2_minus,value_component_fast_inward_current_v_gate_variable_tau_v_plus,value_component_slow_outward_current_variable_J_so,value_component_slow_outward_current_variable_tau_0,value_component_slow_outward_current_variable_tau_r,value_component_slow_inward_current_variable_J_si,value_component_slow_inward_current_variable_tau_si,value_component_slow_inward_current_variable_u_csi,value_component_slow_inward_current_variable_k,value_component_slow_inward_current_w_gate_variable_w,value_component_slow_inward_current_w_gate_variable_tau_w_minus,value_component_slow_inward_current_w_gate_variable_tau_w_plus,value_component_stimulus_protocol_variable_Istim,value_component_stimulus_protocol_variable_IstimStart,value_component_stimulus_protocol_variable_IstimEnd,value_component_stimulus_protocol_variable_IstimAmplitude,value_component_stimulus_protocol_variable_IstimPeriod,value_component_stimulus_protocol_variable_IstimPulseDuration
0.0,0.0,1.0,-85.0,-85.0,15.0,0.0,0.13,0.0,0.04,0.0,0.25,4.0,1.0,19.6,1250.0,19.6,3.33,0.0,12.5,33.33,-1.4275646718382287e-09,29.0,0.85,10.0,1.0,41.0,870.0,0.0,10.0,50000.0,-0.2,1000.0,1.0
0.1,1.413642051566e-10,1.0,-84.99999998586358,-85.0,15.0,0.0,0.13,0.0,0.04,0.0,0.25,4.0,1.0,19.6,1250.0,19.6,3.33,1.1309136412528001e-11,12.5,33.33,-1.427564675666584e-09,29.0,0.85,10.0,1.0,41.0,870.0,0.0,10.0,50000.0,-0.2,1000.0,1.0
0.2,2.8158727925858363e-10,1.0,-84.99999997184128,-85.0,15.0,0.0,0.13,0.0,0.04,0.0,0.25,4.0,1.0,19.6,1250.0,19.6,3.33,2.252698234068669e-11,12.5,33.33,-1.4275646794949392e-09,29.0,0.85,10.0,1.0,41.0,870.0,0.0,10.0,50000.0,-0.2,1000.0,1.0
0.30000000000000004,4.2106460537242823e-10,1.0,-84.99999995789354,-85.0,15.0,0.0,0.13,0.0,0.04,0.0,0.25,4.0,1.0,19.6,1250.0,19.6,3.33,3.3685168429794255e-11,12.5,33.33,-1.4275646833232944e-09,29.0,0.85,10.0,1.0,41.0,870.0,0.0,10.0,50000.0,-0.2,1000.0,1.0
0.4,5.592271735550051e-10,1.0,-84.99999994407729,-85.0,15.0,0.0,0.13,0.0,0.04,0.0,0.25,4.0,1.0,19.6,1250.0,19.6,3.33,4.473817388440041e-11,12.5,33.33,-1.4275646871516497e-09,29.0,0.85,10.0,1.0,41.0,870.0,0.0,10.0,50000.0,-0.2,1000.0,1.0
0.5,6.94588377958742e-10,1.0,-84.99999993054116,-85.0,15.0,0.0,0.13,0.0,0.04,0.0,0.25,4.0,1.0,19.6,1250.0,19.6,3.33,5.556707023669936e-11,12.5,33.33,-1.427564690980005e-09,29.0,0.85,10.0,1.0,41.0,870.0,0.0,10.0,50000.0,-0.2,1000.0,1.0
0.6000000000000001,8.290570906306306e-10,1.0,-84.99999991709429,-85.0,15.0,0.0,0.13,0.0,0.04,0.0,0.25,4.0,1.0,19.6,1250.0,19.6,3.33,6.632456725045045e-11,12.5,33.33,-1.4275646948083601e-09,29.0,0.85,10.0,1.0,41.0,870.0,0.0,10.0,50000.0,-0.2,1000.0,1.0
0.7000000000000001,9.626333115706734e-10,1.0,-84.99999990373666,-85.0,15.0,0.0,0.13,0.0,0.04,0.0,0.25,4.0,1.0,19.6,1250.0,19.6,3.33,7.701066492565388e-11,12.5,33.33,-1.4275646986367154e-09,29.0,0.85,10.0,1.0,41.0,870.0,0.0,10.0,50000.0,-0.2,1000.0,1.0
0.8,1.0953170407788682e-09,1.0,-84.9999998904683,-85.0,15.0,0.0,0.13,0.0,0.04,0.0,0.25,4.0,1.0,19.6,1250.0,19.6,3.33,8.762536326230946e-11,12.5,33.33,-1.4275647024650706e-09,29.0,0.85,10.0,1.0,41.0,870.0,0.0,10.0,50000.0,-0.2,1000.0,1.0
0.9,1.2271082782552156e-09,1.0,-84.99999987728917,-85.0,15.0,0.0,0.13,0.0,0.04,0.0,0.25,4.0,1.0,19.6,1250.0,19.6,3.33,9.816866226041725e-11,12.5,33.33,-1.427564706293426e-09,29.0,0.85,10.0,1.0,41.0,870.0,0.0,10.0,50000.0,-0.2,1000.0,1.0
1.0,1.3580070239997172e-09,1.0,-84.9999998641993,-85.0,15.0,0.0,0.13,0.0,0.04,0.0,0.25,4.0,1.0,19.6,1250.0,19.6,3.33,1.0864056191997737e-10,12.5,33.33,-1.4275647101217813e-09,29.0,0.85,10.0,1.0,41.0,870.0,0.0,10.0,50000.0,-0.2,1000.0,1.0
