Time,PX,PY,PZ,X,Y,Z,beta,alpha0,alpha,eff,n,KM,tau_mRNA,tau_prot,t_ave,kd_mRNA,kd_prot,k_tl,a_tr,ps_a,ps_0,a0_tr,cell,Reaction1,Reaction2,Reaction3,Reaction4,Reaction5,Reaction6,Reaction7,Reaction8,Reaction9,Reaction10,Reaction11,Reaction12
0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.2,0.21640425613334452,216.18785187721116,20.0,2.0,40.0,2.0,10.0,2.8853900817779268,0.34657359027997264,0.06931471805599453,6.931471805599453,29.97,0.5,0.0005,0.03,1.0,0.0,6.931471805599453,0.0,0.0,138.62943611198907,0.0,0.0,0.0,0.0,30.0,30.0,30.0
0.01,0.010382806967612972,1.393797888259796,0.010380716815019495,0.29948073562465577,20.23028599218084,0.2993599623430697,0.2,0.21640425613334452,216.18785187721116,20.0,2.0,40.0,2.0,10.0,2.8853900817779268,0.34657359027997264,0.06931471805599453,6.931471805599453,29.97,0.5,0.0005,0.03,1.0,0.10379211376512426,7.011282848700752,0.10375025693531509,2.075842275302485,140.22565697401504,2.0750051387063015,0.0007196813375899086,0.09661070765176831,0.0007195364592521977,29.999997981534097,29.999997980721176,29.96365544321875
0.02,0.041473725306281156,2.8025590572999857,0.04144014699317561,0.5979252258419102,20.45977513443237,0.5969543094250412,0.2,0.21640425613334452,216.18785187721116,20.0,2.0,40.0,2.0,10.0,2.8853900817779268,0.34657359027997264,0.06931471805599453,6.931471805599453,29.97,0.5,0.0005,0.03,1.0,0.2072250922389943,7.090817724661136,0.20688859825053826,4.144501844779886,141.81635449322272,4.137771965010765,0.0028747395763366436,0.19425859089202233,0.0028724121050309366,29.999967833125204,29.999967780975496,29.85359713096196
0.03,0.09318671184472299,4.226218003699761,0.0930162111421474,0.8953364580153135,20.688469583775653,0.8920488507130827,0.2,0.21640425613334452,216.18785187721116,20.0,2.0,40.0,2.0,10.0,2.8853900817779268,0.34657359027997264,0.06931471805599453,6.931471805599453,29.97,0.5,0.0005,0.03,1.0,0.3102999707629212,7.170077181047139,0.3091605728967564,6.2059994152584235,143.4015436209428,6.183211457935128,0.00645921065808218,0.2929391093696169,0.006447392449954804,29.99983793781036,29.99983734314215,29.66913612614875
0.04,0.16543595915202847,5.664709387845721,0.16489604706143135,1.1917164587770788,20.916370529584928,1.183910967400282,0.2,0.21640425613334452,216.18785187721116,20.0,2.0,40.0,2.0,10.0,2.8853900817779268,0.34657359027997264,0.06931471805599453,6.931471805599453,29.97,0.5,0.0005,0.03,1.0,0.4130174517141072,7.249061630064461,0.41031227454375135,8.260349034282145,144.98123260128924,8.206245490875027,0.01146714686494588,0.3926477340876715,0.011429723010611119,29.9994906927372,29.99948735212811,29.4107518981542
0.05,0.25813581391543844,7.117967951288497,0.25681657020864374,1.4870658558712564,21.143477736000325,1.4718211814537334,0.2,0.21640425613334452,216.18785187721116,20.0,2.0,40.0,2.0,10.0,2.8853900817779268,0.34657359027997264,0.06931471805599453,6.931471805599453,29.97,0.5,0.0005,0.03,1.0,0.5153777526520616,7.3277709899703,0.5100943511065315,10.307555053041234,146.555419799406,10.201887022130629,0.017892611161703285,0.49337994167516713,0.017801168156119665,29.998764635999148,29.998751912022126,29.080101875094602
0.06,0.37120066466411683,8.585928401540293,0.3684658178182394,1.7813834533287758,21.369789080532883,1.7550848370121,0.2,0.21640425613334452,216.18785187721116,20.0,2.0,40.0,2.0,10.0,2.8853900817779268,0.34657359027997264,0.06931471805599453,6.931471805599453,29.97,0.5,0.0005,0.03,1.0,0.6173804590854899,7.406204525166037,0.6082660532092241,12.347609181709798,148.12409050332073,12.165321064184482,0.025729669413391026,0.5951312064017212,0.025540104275342708,29.997457129051792,29.997419244560447,28.67998478196946
0.07,0.5045448023699649,10.068525266470868,0.49948509233192195,2.0746658484322498,21.59530011233415,2.033042894109192,0.2,0.21640425613334452,216.18785187721116,20.0,2.0,40.0,2.0,10.0,2.8853900817779268,0.34657359027997264,0.06931471805599453,6.931471805599453,29.97,0.5,0.0005,0.03,1.0,0.7190243917224104,7.484360693105143,0.7045989750046089,14.380487834448207,149.68721386210288,14.09197950009218,0.0349723807228916,0.6978969900850853,0.034621668348159565,29.995327555964522,29.995232429309116,28.214259398305757
0.08,0.6580822538979377,11.565692716591345,0.6494718007507891,2.366907066891707,21.820003602252555,2.305082075828432,0.2,0.21640425613334452,216.18785187721116,20.0,2.0,40.0,2.0,10.0,2.8853900817779268,0.34657359027997264,0.06931471805599453,6.931471805599453,29.97,0.5,0.0005,0.03,1.0,0.8203074800316983,7.562236988354604,0.7988805709098719,16.406149600633967,151.24473976709209,15.977611418197437,0.04561478588658896,0.8016727297727985,0.045017954754360004,29.992100986075716,29.991890210440975,27.68772359026763
0.09,0.8317265940722931,13.077364359076217,0.8179829688594499,2.658098259804129,22.043889124957072,2.5706430979720865,0.2,0.21640425613334452,216.18785187721116,20.0,2.0,40.0,2.0,10.0,2.8853900817779268,0.34657359027997264,0.06931471805599453,6.931471805599453,29.97,0.5,0.0005,0.03,1.0,0.9212266572172645,7.639829797770017,0.8909170077926175,18.42453314434529,152.79659595540033,17.81834015585235,0.0576508943677936,0.9064538234648796,0.05669825886109812,29.987472231903155,29.987047899449067,27.10596120393238
