data_set_value_component_environment_variable_time,data_set_value_component_y0_variable_y0,data_set_value_component_y0_variable_g0,data_set_value_component_y0_variable_r0,data_set_value_component_y0_variable_h0,data_set_value_component_y0_variable_S0,data_set_value_component_y1_variable_y1,data_set_value_component_y1_variable_g1,data_set_value_component_y1_variable_r1,data_set_value_component_y1_variable_h1,data_set_value_component_y1_variable_S1,data_set_value_component_y2_variable_y2,data_set_value_component_y2_variable_g2,data_set_value_component_y2_variable_r2,data_set_value_component_y2_variable_h2,data_set_value_component_y2_variable_S2,data_set_value_component_y3_variable_y3,data_set_value_component_y3_variable_g3,data_set_value_component_y3_variable_r3,data_set_value_component_y3_variable_h3,data_set_value_component_y3_variable_S3,data_set_value_component_y4_variable_y4,data_set_value_component_y4_variable_g4,data_set_value_component_y4_variable_r4,data_set_value_component_y4_variable_h4,data_set_value_component_y4_variable_S4,data_set_value_component_model_parameters_variable_a00,data_set_value_component_model_parameters_variable_a02,data_set_value_component_model_parameters_variable_a10,data_set_value_component_model_parameters_variable_a11,data_set_value_component_model_parameters_variable_a12,data_set_value_component_model_parameters_variable_a20,data_set_value_component_model_parameters_variable_a21,data_set_value_component_model_parameters_variable_a22,data_set_value_component_model_parameters_variable_a23,data_set_value_component_model_parameters_variable_a24,data_set_value_component_model_parameters_variable_a32,data_set_value_component_model_parameters_variable_a33,data_set_value_component_model_parameters_variable_a42,data_set_value_component_model_parameters_variable_a44,data_set_value_component_model_parameters_variable_c0,data_set_value_component_model_parameters_variable_e0,data_set_value_component_model_parameters_variable_e1,data_set_value_component_model_parameters_variable_e2,data_set_value_component_model_parameters_variable_epsilon
0.0,0.4,-0.13765553319278517,0.2656560624518214,-0.518172,0.01,1.4,-0.05095599999999999,1.0,-0.05095599999999999,0.01,1.17,-0.013637749999999994,1.0,-0.013637749999999994,0.01,0.95,0.001953239332040199,1.0,0.001953239332040199,0.01,0.65,6.967662874805426e-05,1.0,6.967662874805426e-05,0.01,-0.00843,-0.44,0.082,-0.004,-0.0668,0.0,0.031,-0.0957,0.0576,0.000325,0.00869,-0.00857,0.000139,-0.000143,0.443,0.0,0.0,0.0,0.5
0.1,0.42549701517086846,-0.24199943173929103,0.46737293331691276,-0.5177865778872519,0.01,1.395021677257088,-0.04875418560523838,1.0,-0.04875418560523838,0.01,1.168635541021276,-0.013650281379590718,1.0,-0.013650281379590718,0.01,0.9501947159684504,0.0019410784163913502,1.0,0.0019410784163913502,0.01,0.6500069581320572,6.948600150149539e-05,1.0,6.948600150149539e-05,0.01,-0.00843,-0.44,0.082,-0.004,-0.0668,0.0,0.031,-0.0957,0.0576,0.000325,0.00869,-0.00857,0.000139,-0.000143,0.443,0.0,0.0,0.0,0.5
0.2,0.44050342057388653,-0.33802341337322683,0.6534223402867962,-0.5173122994614228,0.01,1.3902199290215866,-0.04741324367406354,1.0,-0.04741324367406354,0.01,1.167270126422693,-0.013657317589272275,1.0,-0.013657317589272275,0.01,0.9503882151583654,0.001928903361951393,1.0,0.001928903361951393,0.01,0.6500138971951256,6.929524401881766e-05,1.0,6.929524401881766e-05,0.01,-0.00843,-0.44,0.082,-0.004,-0.0668,0.0,0.031,-0.0957,0.0576,0.000325,0.00869,-0.00857,0.000139,-0.000143,0.443,0.0,0.0,0.0,0.5
0.30000000000000004,0.4479160089309633,-0.39324694315603625,0.7609653691863976,-0.5167737706335896,0.01,1.3855182747243995,-0.046695359511355304,1.0,-0.046695359511355304,0.01,1.1659041788143218,-0.013661270044493943,1.0,-0.013661270044493943,0.01,0.9505804962846744,0.001916717561582189,1.0,0.001916717561582189,0.01,0.6500208171785137,6.910441503607543e-05,1.0,6.910441503607543e-05,0.01,-0.00843,-0.44,0.082,-0.004,-0.0668,0.0,0.031,-0.0957,0.0576,0.000325,0.00869,-0.00857,0.000139,-0.000143,0.443,0.0,0.0,0.0,0.5
0.4,0.45142077113736157,-0.4192995814286599,0.8122778445372231,-0.5162021643807685,0.01,1.38087037092436,-0.046298111682955126,1.0,-0.046298111682955126,0.01,1.164537925636547,-0.013663597213926971,1.0,-0.013663597213926971,0.01,0.9507715583760493,0.0019045228916864678,1.0,0.0019045228916864678,0.01,0.650027718076821,6.891354616401341e-05,1.0,6.891354616401341e-05,0.01,-0.00843,-0.44,0.082,-0.004,-0.0668,0.0,0.031,-0.0957,0.0576,0.000325,0.00869,-0.00857,0.000139,-0.000143,0.443,0.0,0.0,0.0,0.5
0.5,0.453113421269211,-0.4313425005205652,0.8365589284777334,-0.5156152015560566,0.01,1.376253799793959,-0.04604957015897731,1.0,-0.04604957015897731,0.01,1.1631714895789935,-0.013665005839390263,1.0,-0.013665005839390263,0.01,0.9509614006031842,0.0018923204140319843,1.0,0.0018923204140319843,0.01,0.6500345998869929,6.872265445483891e-05,1.0,6.872265445483891e-05,0.01,-0.00843,-0.44,0.082,-0.004,-0.0668,0.0,0.031,-0.0957,0.0576,0.000325,0.00869,-0.00857,0.000139,-0.000143,0.443,0.0,0.0,0.0,0.5
0.6000000000000001,0.45396014977423493,-0.43704002420693616,0.8485867057723975,-0.5150210594085789,0.01,1.3716581811871489,-0.04587047070033315,1.0,-0.04587047070033315,0.01,1.161804943968141,-0.01366582476565163,1.0,-0.01366582476565163,0.01,0.9511500222213625,0.0018801108066449422,1.0,0.0018801108066449422,0.01,0.6500414626072936,6.853175010010948e-05,1.0,6.853175010010948e-05,0.01,-0.00843,-0.44,0.082,-0.004,-0.0668,0.0,0.031,-0.0957,0.0576,0.000325,0.00869,-0.00857,0.000139,-0.000143,0.443,0.0,0.0,0.0,0.5
0.7000000000000001,0.45440203751539693,-0.43979285604553,0.8549237633437905,-0.5144234783291152,0.01,1.3670786142261258,-0.04572462842475803,1.0,-0.04572462842475803,0.01,1.1604383389837736,-0.013666210761701622,1.0,-0.013666210761701622,0.01,0.9513374225435528,0.0018678945680375115,1.0,0.0018678945680375115,0.01,0.6500483062368254,6.834084007435308e-05,1.0,6.834084007435308e-05,0.01,-0.00843,-0.44,0.082,-0.004,-0.0668,0.0,0.031,-0.0957,0.0576,0.000325,0.00869,-0.00857,0.000139,-0.000143,0.443,0.0,0.0,0.0,0.5
0.8,0.45464716317229753,-0.44114347823673195,0.858549388770147,-0.513824229574795,0.01,1.36251273001758,-0.045594974009219344,1.0,-0.045594974009219344,0.01,1.1590717136119375,-0.013666241031177832,1.0,-0.013666241031177832,0.01,0.9515236009277367,0.001855672110406796,1.0,0.001855672110406796,0.01,0.6500551307753013,6.81499297963184e-05,1.0,6.81499297963184e-05,0.01,-0.00843,-0.44,0.082,-0.004,-0.0668,0.0,0.031,-0.0957,0.0576,0.000325,0.00869,-0.00857,0.000139,-0.000143,0.443,0.0,0.0,0.0,0.5
0.9,0.45479475523846447,-0.4418072640922605,0.8608465750581813,-0.5132241643203383,0.01,1.3579593793745994,-0.04547336834896634,1.0,-0.04547336834896634,0.01,1.1577051012129047,-0.013665954426192978,1.0,-0.013665954426192978,0.01,0.9517085567707806,0.0018434438030776985,1.0,0.0018434438030776985,0.01,0.6500619362229334,6.795902390282491e-05,1.0,6.795902390282491e-05,0.01,-0.00843,-0.44,0.082,-0.004,-0.0668,0.0,0.031,-0.0957,0.0576,0.000325,0.00869,-0.00857,0.000139,-0.000143,0.443,0.0,0.0,0.0,0.5
1.0,0.4548954514380571,-0.44214227141520873,0.8625084084762653,-0.5126237229342625,0.01,1.3534179493258387,-0.045355658747139795,1.0,-0.045355658747139795,0.01,1.156338532451454,-0.013665372916169524,1.0,-0.013665372916169524,0.01,0.9518922895051213,0.0018312099954013578,1.0,0.0018312099954013578,0.01,0.6500687225803722,6.776812665602155e-05,1.0,6.776812665602155e-05,0.01,-0.00843,-0.44,0.082,-0.004,-0.0668,0.0,0.031,-0.0957,0.0576,0.000325,0.00869,-0.00857,0.000139,-0.000143,0.443,0.0,0.0,0.0,0.5
