Ca_ER,Ca_cyt,Ca_mit,G_alpha,PLC,Time
10.0,0.01,0.001,0.01,0.01,0.0
10.002986984557358,5.942267091480105e-06,0.001000031637617287,0.013499859079178785,0.010570077434683325,0.01
10.00301260769462,6.350513618921228e-06,0.0010000315766847075,0.016999857247224963,0.011336451700688633,0.02
10.003040225321712,6.883552310376157e-06,0.0010000315110401865,0.020499854830960552,0.01229696194807325,0.03
10.00307029705133,7.524850865170208e-06,0.0010000314396040252,0.023999851723806715,0.013449470872254211,0.04
10.003103272724237,8.273221917800844e-06,0.0010000313613233458,0.02749984779953161,0.014791865159321373,0.05
10.003139597212158,9.127492323038249e-06,0.0010000312751613605,0.030999842912672045,0.016322055295357834,0.06
10.003179710471484,1.008650284326973e-05,0.001000031180097846,0.034499836899206465,0.018037975374781197,0.07
10.003224047595141,1.1149108039788819e-05,0.001000031075129584,0.03799982957719018,0.0199375829130665,0.08
10.003273038867192,1.2314176081698416e-05,0.0010000309592708046,0.041499820747408205,0.022018858647740707,0.09
10.003327109813162,1.3580588809312919e-05,0.0010000308315535808,0.04499981019396186,0.0242798063525889,0.1
10.00338668124234,1.4947241438130445e-05,0.0010000306910282891,0.048499797684857675,0.026718452695529825,0.11
10.003452169313762,1.6413042429511626e-05,0.0010000305367638739,0.051999782972591134,0.02933284696996302,0.12
10.003523985646918,1.7976913265320497e-05,0.001000030367847981,0.05549976579492501,0.03212106061359698,0.13
10.003602537222102,1.9637788665743513e-05,0.001000030183387894,0.05899974587492771,0.03508118774677148,0.14
10.00368822653616,2.1394616195855394e-05,0.001000029982510446,0.062499722921859804,0.03821134446757358,0.15
10.003781451663126,2.3246356103048613e-05,0.0010000297643622245,0.0659996966316868,0.041509668601060444,0.16
10.003882606252445,2.5191981327887338e-05,0.0010000295281100539,0.06949966668739771,0.0449743197546387,0.17
10.003992079617882,2.723047727786206e-05,0.0010000292729412173,0.07299963275969544,0.04860347894222022,0.18
10.004110256753382,2.9360841777225066e-05,0.001000028998063618,0.076499594507202,0.05239534852900663,0.19
10.004237518405798,3.158208487242206e-05,0.0010000287027061093,0.07999955157711976,0.05634815193805047,0.2
10.004374241101205,3.389322878952021e-05,0.0010000283861188867,0.08349950360565499,0.06046013357066334,0.21
10.004520797139087,3.6293307929558133e-05,0.0010000280475736228,0.08699945021806624,0.06472955884499522,0.22
10.004677554877329,3.8781368114644785e-05,0.0010000276863627248,0.09049939102988076,0.06915471284732123,0.23
10.004844878675339,4.135646669694692e-05,0.0010000273017999205,0.09399932564695017,0.07373390064325211,0.24
10.005023128541639,4.401767361482973e-05,0.0010000268932225838,0.09749925366488468,0.07846544908123834,0.25
10.005212660796392,4.676406950439347e-05,0.001000026459988584,0.10099917467090795,0.08334770351816827,0.26
10.005413827662197,4.95947468701639e-05,0.0010000260014788839,0.10449908824313948,0.08837902990354057,0.27
10.005626977525134,5.2508809350554566e-05,0.0010000255170964647,0.10799899395143223,0.09355781350468267,0.28
10.005852454998735,5.5505371550765786e-05,0.0010000250062664202,0.11149889135781259,0.09888245862775287,0.29
10.00609060083396,5.858355929157499e-05,0.0010000244684366863,0.11499878001642262,0.10435138909057554,0.3
10.006341752087403,6.174250915864449e-05,0.0010000239030775715,0.11849865947420134,0.10996304742151732,0.31
10.006606242073348,6.498136861281014e-05,0.0010000233096822454,0.1219985292709184,0.11571589512026036,0.32
10.006884400470689,6.829929574209533e-05,0.0010000226877665498,0.1254983889396738,0.12160841215805467,0.33
10.007176553327959,7.16954591823881e-05,0.0010000220368692164,0.12899823800706536,0.1276390969744888,0.34
10.007483023123767,7.516903804493257e-05,0.0010000213565518631,0.1324980759935346,0.1338064662037508,0.35000000000000003
10.007804128802503,7.871922170441283e-05,0.0010000206463990629,0.13599790241361517,0.14010905451916522,0.36
10.008140185817808,8.234520981294034e-05,0.001000019906018384,0.13949771677620695,0.14654541443946112,0.37
10.008491506173506,8.604621204307721e-05,0.0010000191350404255,0.1429975185848309,0.15311411614625922,0.38
10.0088583984645,8.982144813215578e-05,0.001000018333118845,0.1464973073378792,0.15981374730039907,0.39
10.009241167917232,9.367014760574012e-05,0.0010000174999303794,0.1499970825288562,0.16664291285980182,0.4
10.009640116429821,9.759154984253794e-05,0.0010000166351748576,0.15349684364661353,0.17360023489741694,0.41000000000000003
10.010055542611681,0.0001015849037812933,0.0010000157385752087,0.15699659017557588,0.1806843524213965,0.42
10.010487741822839,0.00010564946800652818,0.0010000148098774616,0.16049632159596197,0.18789392119502524,0.43
10.010937006212767,0.00010978451043786762,0.0010000138488507405,0.16399603738399648,0.19522761355889387,0.44
10.011403624758897,0.00011398930843777071,0.001000012855287252,0.16749573701211715,0.20268411825305835,0.45
10.011887883304649,0.00011826314848212785,0.0010000118290022695,0.170995419949174,0.21026214024131495,0.46
10.012390064597142,0.00012260532629125286,0.0010000107698341103,0.1744950856606235,0.21796040053562624,0.47000000000000003
10.012910448324442,0.00012701514648050323,0.0010000096776441078,0.17799473360871534,0.22577763602259937,0.48
10.013449311152447,0.00013149192271589625,0.0010000085523165798,0.18149436325267465,0.2337125992902499,0.49
10.014006926761367,0.00013603497734342168,0.0010000073937587906,0.18499397404887702,0.2417640584567536,0.5
10.014583565881797,0.00014064364157068837,0.0010000062019009102,0.1884935654510195,0.2499307969996109,0.51
10.01517949633042,0.00014531725507355224,0.001000004976695968,0.19199313691028452,0.2582116135867416,0.52
10.015794983045284,0.00015005516620524568,0.001000003718119802,0.19549268787550012,0.2666053219081015,0.53
