Time,G_alpha,PLC,Ca_cyt,Ca_ER,Ca_mit,k1,k2,k3,K4,k5,K6,k7,k8,K9,k10,K11,k12,k13,k14,K15,k16,K17,k18,K19,k20,K21,cytoplasm,ER,mit
0.0,0.01,0.01,0.01,10.0,0.001,0.35,0.0,0.0001,0.783,1.24,0.7,5.82,32.24,29.09,0.93,2.667,0.76,0.0,149.0,0.16,20.9,0.05,79.0,2.0,1.5,1.5,1.0,1.0,1.0
0.01,0.013499859079178785,0.010570077434683325,5.942267091480105e-06,10.002986984557358,0.001000031637617287,0.35,0.0,0.0001,0.783,1.24,0.7,5.82,32.24,29.09,0.93,2.667,0.76,0.0,149.0,0.16,20.9,0.05,79.0,2.0,1.5,1.5,1.0,1.0,1.0
0.02,0.016999857247224963,0.011336451700688633,6.350513618921228e-06,10.00301260769462,0.0010000315766847075,0.35,0.0,0.0001,0.783,1.24,0.7,5.82,32.24,29.09,0.93,2.667,0.76,0.0,149.0,0.16,20.9,0.05,79.0,2.0,1.5,1.5,1.0,1.0,1.0
0.03,0.020499854830960552,0.01229696194807325,6.883552310376157e-06,10.003040225321712,0.0010000315110401865,0.35,0.0,0.0001,0.783,1.24,0.7,5.82,32.24,29.09,0.93,2.667,0.76,0.0,149.0,0.16,20.9,0.05,79.0,2.0,1.5,1.5,1.0,1.0,1.0
0.04,0.023999851723806715,0.013449470872254211,7.524850865170208e-06,10.00307029705133,0.0010000314396040252,0.35,0.0,0.0001,0.783,1.24,0.7,5.82,32.24,29.09,0.93,2.667,0.76,0.0,149.0,0.16,20.9,0.05,79.0,2.0,1.5,1.5,1.0,1.0,1.0
0.05,0.02749984779953161,0.014791865159321373,8.273221917800844e-06,10.003103272724237,0.0010000313613233458,0.35,0.0,0.0001,0.783,1.24,0.7,5.82,32.24,29.09,0.93,2.667,0.76,0.0,149.0,0.16,20.9,0.05,79.0,2.0,1.5,1.5,1.0,1.0,1.0
0.06,0.030999842912672045,0.016322055295357834,9.127492323038249e-06,10.003139597212158,0.0010000312751613605,0.35,0.0,0.0001,0.783,1.24,0.7,5.82,32.24,29.09,0.93,2.667,0.76,0.0,149.0,0.16,20.9,0.05,79.0,2.0,1.5,1.5,1.0,1.0,1.0
0.07,0.034499836899206465,0.018037975374781197,1.008650284326973e-05,10.003179710471484,0.001000031180097846,0.35,0.0,0.0001,0.783,1.24,0.7,5.82,32.24,29.09,0.93,2.667,0.76,0.0,149.0,0.16,20.9,0.05,79.0,2.0,1.5,1.5,1.0,1.0,1.0
0.08,0.03799982957719018,0.0199375829130665,1.1149108039788819e-05,10.003224047595141,0.001000031075129584,0.35,0.0,0.0001,0.783,1.24,0.7,5.82,32.24,29.09,0.93,2.667,0.76,0.0,149.0,0.16,20.9,0.05,79.0,2.0,1.5,1.5,1.0,1.0,1.0
0.09,0.041499820747408205,0.022018858647740707,1.2314176081698416e-05,10.003273038867192,0.0010000309592708046,0.35,0.0,0.0001,0.783,1.24,0.7,5.82,32.24,29.09,0.93,2.667,0.76,0.0,149.0,0.16,20.9,0.05,79.0,2.0,1.5,1.5,1.0,1.0,1.0
