E,T,Time
1000.0,100.0,0.0
999.8990080772222,100.41486318181771,0.01
999.7980322957553,100.83145766031355,0.02
999.6970726358514,101.24979070088611,0.03
999.5961290776992,101.66986959959401,0.04
999.4952016014225,102.09170168320819,0.05
999.3942901870817,102.51529430959543,0.06
999.2933948146704,102.94065486833715,0.07
999.1925154641189,103.36779077956157,0.08
999.0916521152928,103.79670949447878,0.09
998.990804747993,104.22741849560856,0.1
998.8899733419546,104.65992529691516,0.11
998.789157876847,105.09423744394216,0.12
998.6883583322739,105.53036251394717,0.13
998.5875746877729,105.96830811603665,0.14
998.4868069228148,106.4080818913007,0.15
998.3860550168029,106.8496915133937,0.16
998.2853189490693,107.29314469035727,0.17
998.1845986988808,107.73844916145384,0.18
998.083894245437,108.18561269839702,0.19
997.9832055678694,108.63464310574659,0.2
997.8825326452405,109.08554822105421,0.21
997.7818754565445,109.53833591500882,0.22
997.6812339807061,109.99301409158224,0.23
997.5806081965807,110.4495906881747,0.24
997.4799980829538,110.90807367576035,0.25
997.3794036185415,111.36847105881091,0.26
997.278824781992,111.8307908746009,0.27
997.1782615518813,112.2950411949963,0.28
997.0777139067146,112.76123012605478,0.29
996.977181824926,113.22936580804176,0.3
996.8766652848783,113.6994564155704,0.31
996.7761642648627,114.17151015774195,0.32
996.6756787430986,114.64553527828583,0.33
996.5752086977332,115.1215400556999,0.34
996.4747541068411,115.59953280339052,0.35
996.3743149484243,116.07952186994308,0.36
996.2738912004097,116.56151563975529,0.37
996.1734828406529,117.045522532213,0.38
996.0730898469346,117.53155100215044,0.39
995.9727121969624,118.01960954006647,0.4
995.8723498683693,118.50970667226784,0.41
995.7720028387135,119.00185096101264,0.42
995.6716710854788,119.49605100465342,0.43
995.5713545860734,119.99231543778072,0.44
995.4710533178305,120.49065293136623,0.45
995.3707672580065,120.99107219316743,0.46
995.2704963837797,121.49358196885994,0.47
995.1702406722532,121.99819104024678,0.48
995.0700001004536,122.50490822604344,0.49
