Time,T,E,a,b,k,s,m,d,Tumor,tumor_growth,tumor_death,tumor_killing,immune_cell_death,immune_cell_growth,immune_stimulation
0.0,100.0,1000.0,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,51.4,5.2428e-06,10.0,20.0,10.0,-0.1
0.01,100.41486318181771,999.8990080772222,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,51.6132396754543,5.286391128388731e-06,10.040472209170952,19.997980161544444,10.0,-0.1004047220917095
0.02,100.83145766031355,999.7980322957553,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,51.827369237401165,5.3303457706445805e-06,10.081109296229425,19.99596064591511,10.0,-0.10081109296229425
0.03,101.24979070088611,999.6970726358514,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,52.04239242025546,5.374666966926731e-06,10.12191193686685,19.993941452717028,10.0,-0.1012191193686685
0.04,101.66986959959401,999.5961290776992,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,52.25831297419132,5.419357782892419e-06,10.162880809558862,19.991922581553982,10.0,-0.10162880809558862
0.05,102.09170168320819,999.4952016014225,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,52.47513466516901,5.464421309903062e-06,10.204016595569046,19.989904032028452,10.0,-0.10204016595569045
0.06,102.51529430959543,999.3942901870817,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,52.69286127513205,5.5098606652675425e-06,10.245319978985789,19.987885803741634,10.0,-0.1024531997898579
0.07,102.94065486833715,999.2933948146704,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,52.91149660232529,5.5556789925133046e-06,10.286791646782596,19.985867896293406,10.0,-0.10286791646782595
0.08,103.36779077956157,999.1925154641189,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,53.13104446069465,5.6018794614669214e-06,10.328432288699888,19.983850309282378,10.0,-0.10328432288699887
0.09,103.79670949447878,999.0916521152928,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,53.35150868016209,5.648465268518286e-06,10.370242597296992,19.98183304230586,10.0,-0.10370242597296991
0.1,104.22741849560856,998.990804747993,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,53.572893106742804,5.695439636854124e-06,10.412223267973385,19.97981609495986,10.0,-0.10412223267973385
0.11,104.65992529691516,998.8899733419546,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,53.7952016026144,5.742805816683355e-06,10.454374998980654,19.97779946683909,10.0,-0.10454374998980653
0.12,105.09423744394216,998.789157876847,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,54.018438046186276,5.790567085464315e-06,10.49669849143444,19.975783157536938,10.0,-0.10496698491434439
0.13,105.53036251394717,998.6883583322739,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,54.24260633216885,5.838726748133806e-06,10.539194449326365,19.973767166645477,10.0,-0.10539194449326363
0.14,105.96830811603665,998.5875746877729,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,54.46771037164284,5.88728813733804e-06,10.581863579535968,19.97175149375546,10.0,-0.10581863579535968
0.15,106.4080818913007,998.4868069228148,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,54.69375409212856,5.936254613665436e-06,10.624706591842624,19.969736138456298,10.0,-0.10624706591842623
0.16,106.8496915133937,998.3860550168029,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,54.92074143788436,5.985629565931298e-06,10.66772419898195,19.967721100336057,10.0,-0.10667724198981948
0.17,107.29314469035727,998.2853189490693,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,55.14867637084364,6.035416411605385e-06,10.710917116826195,19.965706378981388,10.0,-0.10710917116826194
0.18,107.73844916145384,998.1845986988808,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,55.377562868987276,6.085618596682511e-06,10.754286064066557,19.963691973977618,10.0,-0.10754286064066557
0.19,108.18561269839702,998.083894245437,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,55.60740492697607,6.136239596044622e-06,10.797831762334472,19.96167788490874,10.0,-0.10797831762334469
0.2,108.63464310574659,997.9832055678694,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,55.83820655635375,6.187282913732737e-06,10.841554936239444,19.959664111357387,10.0,-0.10841554936239442
0.21,109.08554822105421,997.8825326452405,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,56.06997178562187,6.238752083193075e-06,10.88545631338201,19.95765065290481,10.0,-0.10885456313382008
0.22,109.53833591500882,997.7818754565445,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,56.30270466031453,6.290650667525167e-06,10.929536624366648,19.95563750913089,10.0,-0.10929536624366645
0.23,109.99301409158224,997.6812339807061,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,56.53640924307327,6.342982259732035e-06,10.973796602814696,19.953624679614123,10.0,-0.10973796602814698
0.24,110.4495906881747,997.5806081965807,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,56.77108961372179,6.395750482972403e-06,11.018236985377271,19.951612163931614,10.0,-0.11018236985377271
0.25,110.90807367576035,997.4799980829538,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,57.00674986934082,6.448958990814983e-06,11.062858511748153,19.949599961659075,10.0,-0.11062858511748151
0.26,111.36847105881091,997.3794036185415,0.514,1.02e-09,0.0001,10.0,-1e-06,0.02,1.0,57.24339412422881,6.502611467468928e-06,11.107661924654563,19.94758807237083,10.0,-0.11107661924654562
