data_set_value_component_temporalExistence_variable_time,data_set_value_component_Device_TFgenerator_variable_alphaTF,data_set_value_component_Device_TFgenerator_variable_JTF,data_set_value_component_BioEnv_TFSAssociation_interface_variable_Jgain_TF,data_set_value_component_BioEnv_TFSAssociation_interface_variable_Jgain_TFS,data_set_value_component_BioEnv_TFSAssociation_variable_TFS,data_set_value_component_BioEnv_TFSAssociation_variable_TF,data_set_value_component_BioEnv_TFSAssociation_variable_s,data_set_value_component_BioEnv_TFSAssociation_variable_betaTFS,data_set_value_component_BioEnv_TFSAssociation_variable_kd,data_set_value_component_BioEnv_TFSAssociation_variable_deltaTFS,data_set_value_component_BioEnv_TFSAssociation_variable_deltaTF,data_set_value_component_BioEnv_TFSAssociation_variable_Jassociation,data_set_value_component_Device_PhzMSgenerator_variable_gammaPhzMS,data_set_value_component_Device_PhzMSgenerator_variable_betaPhzMS,data_set_value_component_Device_PhzMSgenerator_variable_JPhzMS,data_set_value_component_Device_PhzMSgenerator_variable_gammaTF,data_set_value_component_Device_PhzMSgenerator_variable_betaTF,data_set_value_component_Device_PhzMSgenerator_variable_feedbackOn,data_set_value_component_Device_PhzMSgenerator_variable_JTF,data_set_value_component_BioEnv_PhzMStoPYO_interface_variable_Jgain_PhzMS,data_set_value_component_BioEnv_PhzMStoPYO_interface_variable_Jgain_PYO,data_set_value_component_BioEnv_PhzMStoPYO_variable_PhzMS,data_set_value_component_BioEnv_PhzMStoPYO_variable_PYO,data_set_value_component_BioEnv_PhzMStoPYO_variable_deltaPhzMS,data_set_value_component_BioEnv_PhzMStoPYO_variable_alphaPYO,data_set_value_component_BioEnv_PhzMStoPYO_variable_deltaPYO,data_set_value_component_BioEnv_PhzMStoPYO_variable_JPYOformation
0.0,0.05,0.05,0.05,0.0,0.0,8.6207,5.0,1000000.0,4000000.0,0.0003851,0.0058,43103500.0,5.0,0.1,0.0,4.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,8.0225e-06,1.3,0.58,0.0
0.1,0.05,0.05,0.08815589937058307,0.0,4.792837431914835,3.8342699530200584,5.0,1000000.0,4000000.0,0.0003851,0.0058,0.0374409519135952,5.0,0.1,0.04894227505804384,4.0,0.07,1.0,0.038155899370583064,0.04894227505804384,0.0,0.004893294282425215,0.0003117779089168138,8.0225e-06,1.3,0.58,0.006361282567152779
0.2,0.05,0.05,0.08816878480367515,0.0,4.796396815925773,3.837117460228527,5.0,1000000.0,4000000.0,0.0003851,0.0058,0.03743954002857208,5.0,0.1,0.048960826169560455,4.0,0.07,1.0,0.03816878480367515,0.048960826169560455,0.0,0.00978844355543301,0.001223780723990428,8.0225e-06,1.3,0.58,0.012724976622062912
0.30000000000000004,0.05,0.05,0.08818165880751902,0.0,4.799955921843185,3.8399647449621743,5.0,1000000.0,4000000.0,0.0003851,0.0058,0.037438131868839264,5.0,0.1,0.048979362357585016,4.0,0.07,1.0,0.03818165880751902,0.048979362357585016,0.0,0.014685443286625003,0.002703307003328905,8.0225e-06,1.3,0.58,0.019091076272612504
0.4,0.05,0.05,0.08819452139515796,0.0,4.803514749102786,3.842811806769571,5.0,1000000.0,4000000.0,0.0003851,0.0058,0.03743670880794525,5.0,0.1,0.04899788363701297,4.0,0.07,1.0,0.038194521395157964,0.04899788363701297,0.0,0.019584291965989646,0.004718221532444946,8.0225e-06,1.3,0.58,0.02545957955578654
0.5,0.05,0.05,0.08820737257963937,0.0,4.807073297146948,3.8456586452046153,5.0,1000000.0,4000000.0,0.0003851,0.0058,0.03743528574705124,5.0,0.1,0.04901639002275441,4.0,0.07,1.0,0.03820737257963937,0.04901639002275441,0.0,0.02448498809740195,0.007238565403911794,8.0225e-06,1.3,0.58,0.031830484526622536
0.6000000000000001,0.05,0.05,0.08822021237399978,0.0,4.810631565420582,3.8485052598232365,5.0,1000000.0,4000000.0,0.0003851,0.0058,0.03743385523557663,5.0,0.1,0.049034881529712714,4.0,0.07,1.0,0.03822021237399978,0.049034881529712714,0.0,0.029387530190854178,0.010236010449207937,8.0225e-06,1.3,0.58,0.03820378924811043
0.7000000000000001,0.05,0.05,0.08823304079125803,0.0,4.814189553369229,3.851351650181868,5.0,1000000.0,4000000.0,0.0003851,0.0058,0.03743242099881172,5.0,0.1,0.04905335817277454,4.0,0.07,1.0,0.03823304079125803,0.04905335817277454,0.0,0.03429191675723175,0.013683741955663228,8.0225e-06,1.3,0.58,0.04457949178440127
0.8,0.05,0.05,0.08824585784441698,0.0,4.817747260439541,3.8541978158378285,5.0,1000000.0,4000000.0,0.0003851,0.0058,0.03743097931146622,5.0,0.1,0.04907181996681233,4.0,0.07,1.0,0.038245857844416975,0.04907181996681233,0.0,0.03919814630945919,0.01755661290610924,8.0225e-06,1.3,0.58,0.05095759020229695
0.9,0.05,0.05,0.0882586635464632,0.0,4.821304686079177,3.8570437563492477,5.0,1000000.0,4000000.0,0.0003851,0.0058,0.037429530173540115,5.0,0.1,0.04909026692668385,4.0,0.07,1.0,0.0382586635464632,0.04909026692668385,0.0,0.044106217362264465,0.021830980215776043,8.0225e-06,1.3,0.58,0.057338082570943805
1.0,0.05,0.05,0.08827145791036636,0.0,4.824861829736632,3.8598894712749217,5.0,1000000.0,4000000.0,0.0003851,0.0058,0.037428081035614014,5.0,0.1,0.04910869906723125,4.0,0.07,1.0,0.03827145791036637,0.04910869906723125,0.0,0.04901612843174821,0.026484510264363034,8.0225e-06,1.3,0.58,0.06372096696127268
