data_set_value_component_environment_variable_time,data_set_value_component_glucose_dynamics_variable_G,data_set_value_component_glucose_dynamics_variable_R0,data_set_value_component_glucose_dynamics_variable_SI,data_set_value_component_glucose_dynamics_variable_EG0,data_set_value_component_insulin_dynamics_variable_I,data_set_value_component_insulin_dynamics_variable_alpha,data_set_value_component_insulin_dynamics_variable_sigma,data_set_value_component_insulin_dynamics_variable_k,data_set_value_component_beta_cell_dynamics_variable_beta,data_set_value_component_beta_cell_dynamics_variable_d0,data_set_value_component_beta_cell_dynamics_variable_r1,data_set_value_component_beta_cell_dynamics_variable_r2
0.0,600.0,846.0,0.72,1.44,0.0,2000.0,43.2,432.0,0.0,0.06,0.00084,2.4e-06
0.1,598.3235063149802,846.0,0.72,1.44,0.0,2000.0,43.2,432.0,0.0,0.06,0.00084,2.4e-06
0.2,596.8718331226997,846.0,0.72,1.44,0.0,2000.0,43.2,432.0,0.0,0.06,0.00084,2.4e-06
0.30000000000000004,595.6150275983453,846.0,0.72,1.44,0.0,2000.0,43.2,432.0,0.0,0.06,0.00084,2.4e-06
0.4,594.5267745419366,846.0,0.72,1.44,0.0,2000.0,43.2,432.0,0.0,0.06,0.00084,2.4e-06
0.5,593.5844676837077,846.0,0.72,1.44,0.0,2000.0,43.2,432.0,0.0,0.06,0.00084,2.4e-06
0.6000000000000001,592.7685464079917,846.0,0.72,1.44,0.0,2000.0,43.2,432.0,0.0,0.06,0.00084,2.4e-06
0.7000000000000001,592.0619912504485,846.0,0.72,1.44,0.0,2000.0,43.2,432.0,0.0,0.06,0.00084,2.4e-06
0.8,591.450110017062,846.0,0.72,1.44,0.0,2000.0,43.2,432.0,0.0,0.06,0.00084,2.4e-06
0.9,590.9202269320334,846.0,0.72,1.44,0.0,2000.0,43.2,432.0,0.0,0.06,0.00084,2.4e-06
1.0,590.4613835574,846.0,0.72,1.44,0.0,2000.0,43.2,432.0,0.0,0.06,0.00084,2.4e-06
