T,C0,C1,C2,C3,C4,IK,O0,O1,O2,O3,O4
2.5,0.86795688,0.12516236,0.006768899,0.00016273627,1.469155e-06,0.0,1.6876073e-05,1.5533971e-05,9.4152401e-06,3.3179181e-06,4.7072265e-07
2.55,0.8679595,0.12516285,0.0067689512,0.00016273974,1.4692823e-06,0.0,1.7221895e-05,1.583925e-05,9.5894138e-06,3.3807473e-06,4.8003432e-07
2.5999999,0.86796218,0.12516335,0.0067690043,0.00016274322,1.4694093e-06,0.0,1.7566746e-05,1.6143669e-05,9.7630909e-06,3.4433938e-06,4.8931827e-07
2.6500001,0.86796492,0.12516385,0.0067690574,0.00016274671,1.4695361e-06,0.0,1.7910628e-05,1.6447229e-05,9.9362733e-06,3.505859e-06,4.9857482e-07
2.7,0.86796778,0.12516437,0.0067691114,0.00016275019,1.4696627e-06,0.0,1.8253542e-05,1.6749933e-05,1.0108964e-05,3.5681439e-06,5.078042e-07
2.75,0.86797065,0.1251649,0.0067691654,0.00016275368,1.469789e-06,0.0,1.859549e-05,1.7051785e-05,1.0281164e-05,3.6302497e-06,5.170067e-07
2.8,0.86797363,0.12516543,0.0067692203,0.00016275718,1.4699151e-06,0.0,1.8936476e-05,1.7352784e-05,1.0452874e-05,3.6921774e-06,5.2618242e-07
2.8499999,0.86797667,0.12516597,0.0067692753,0.00016276068,1.470041e-06,0.0,1.9276502e-05,1.7652934e-05,1.0624099e-05,3.753928e-06,5.3533165e-07
2.9000001,0.86797982,0.12516652,0.0067693307,0.00016276419,1.4701666e-06,0.0,1.9615569e-05,1.7952238e-05,1.0794837e-05,3.8155022e-06,5.4445451e-07
2.95,0.86798298,0.12516709,0.0067693871,0.0001627677,1.470292e-06,0.0,1.9953679e-05,1.8250696e-05,1.0965092e-05,3.8769008e-06,5.5355122e-07
3.0,0.86798626,0.12516767,0.0067694434,0.00016277122,1.4704171e-06,0.0,2.0290838e-05,1.8548313e-05,1.1134865e-05,3.9381248e-06,5.6262178e-07
3.05,0.8679896,0.12516825,0.0067695002,0.00016277474,1.4705421e-06,0.0,2.0627043e-05,1.8845089e-05,1.1304158e-05,3.9991746e-06,5.7166648e-07
3.0999999,0.867993,0.12516885,0.0067695579,0.00016277826,1.4706668e-06,0.0,2.0962301e-05,1.9141027e-05,1.1472971e-05,4.0600507e-06,5.8068531e-07
3.1500001,0.86799645,0.12516944,0.0067696157,0.00016278178,1.4707913e-06,0.0,2.1296612e-05,1.9436131e-05,1.1641308e-05,4.1207545e-06,5.8967845e-07
3.2,0.86799997,0.12517005,0.0067696739,0.00016278532,1.4709155e-06,0.0,2.1629981e-05,1.9730402e-05,1.1809168e-05,4.1812859e-06,5.9864601e-07
3.25,0.86800355,0.12517068,0.0067697326,0.00016278886,1.4710396e-06,0.0,2.1962409e-05,2.0023841e-05,1.1976553e-05,4.2416455e-06,6.0758811e-07
3.3,0.86800724,0.1251713,0.0067697922,0.00016279241,1.4711634e-06,0.0,2.2293898e-05,2.0316451e-05,1.2143465e-05,4.3018345e-06,6.1650479e-07
3.3499999,0.868011,0.12517194,0.0067698518,0.00016279596,1.471287e-06,0.0,2.262445e-05,2.0608237e-05,1.2309906e-05,4.3618534e-06,6.2539618e-07
3.4000001,0.86801475,0.1251726,0.0067699119,0.00016279951,1.4714104e-06,0.0,2.2954071e-05,2.0899197e-05,1.2475877e-05,4.4217018e-06,6.3426234e-07
3.45,0.86801863,0.12517326,0.0067699724,0.00016280306,1.4715336e-06,0.0,2.3282762e-05,2.1189337e-05,1.2641379e-05,4.4813814e-06,6.4310342e-07
3.5,0.86802262,0.12517393,0.0067700334,0.00016280662,1.4716566e-06,0.0,2.3610524e-05,2.1478658e-05,1.2806413e-05,4.540892e-06,6.5191944e-07
3.55,0.86802661,0.12517461,0.0067700949,0.00016281019,1.4717792e-06,0.0,2.393736e-05,2.1767162e-05,1.2970981e-05,4.6002347e-06,6.6071055e-07
3.5999999,0.86803067,0.1251753,0.0067701563,0.00016281377,1.4719018e-06,0.0,2.4263276e-05,2.2054852e-05,1.3135084e-05,4.6594091e-06,6.6947678e-07
3.6500001,0.86803484,0.125176,0.0067702187,0.00016281733,1.4720241e-06,0.0,2.4588269e-05,2.2341728e-05,1.3298724e-05,4.7184167e-06,6.7821816e-07
