data_generator_IPULSE,data_generator_T,data_generator_VR
0.0,0.0,0.0
0.0,10.0,38.249531
0.0,20.0,-70.710999
0.0,30.0,-66.560005
0.0,40.0,-60.410736
0.0,50.0,-56.164577
0.0,60.0,-53.035458
0.0,70.0,-37.031189
0.0,80.0,-62.090363
0.0,90.0,-67.584946
0.0,100.0,-61.268272
0.0,110.0,-57.163254
0.0,120.0,-53.465641
0.0,130.0,-47.705853
0.0,140.0,-29.57029
0.0,150.0,-69.547546
0.0,160.0,-62.249298
0.0,170.0,-57.312244
0.0,180.0,-53.959698
0.0,190.0,-50.636063
0.0,200.0,-1.802775
0.0,210.0,-69.832863
0.0,220.0,-62.822971
0.0,230.0,-58.284821
0.0,240.0,-54.342503
0.0,250.0,-51.631557
0.0,260.0,22.020935
0.0,270.0,-70.99691
0.0,280.0,-64.570312
0.0,290.0,-58.409492
0.0,300.0,-54.232624
0.0,310.0,-51.259224
0.0,320.0,7.0876646
0.0,330.0,-70.541573
0.0,340.0,-63.521755
0.0,350.0,-57.627167
0.0,360.0,-53.837448
0.0,370.0,-50.096306
0.0,380.0,-23.587322
0.0,390.0,-69.757187
0.0,400.0,-62.492767
0.0,410.0,-57.372131
0.0,420.0,-54.257069
0.0,430.0,-51.19001
0.0,440.0,4.1293068
0.0,450.0,-70.614685
0.0,460.0,-64.37439
0.0,470.0,-58.653027
0.0,480.0,-54.535206
0.0,490.0,-51.759205
0.0,500.0,27.765198
0.0,510.0,-70.945999
0.0,520.0,-64.308769
0.0,530.0,-58.2103
0.0,540.0,-54.237083
0.0,550.0,-51.113419
0.0,560.0,17.640223
0.0,570.0,-70.947723
0.0,580.0,-65.129372
0.0,590.0,-58.923412
0.0,600.0,-54.860035
0.0,610.0,-52.09763
0.0,620.0,28.977627
0.0,630.0,-70.89904
0.0,640.0,-66.180443
0.0,650.0,-60.037426
0.0,660.0,-55.868141
0.0,670.0,-52.919319
0.0,680.0,1.4379176
0.0,690.0,-66.389526
0.0,700.0,-67.958656
0.0,710.0,-61.488575
0.0,720.0,-57.596188
0.0,730.0,-53.84343
0.0,740.0,-50.882336
0.0,750.0,-1.4289105
0.0,760.0,-69.843819
0.0,770.0,-62.617123
0.0,780.0,-57.199493
0.0,790.0,-54.08876
0.0,800.0,-50.798843
0.0,810.0,10.325506
0.0,820.0,-70.759453
0.0,830.0,-64.767395
