Time,Ti,Tm,I,u,a1,a4,d1,d2,d3,c1,c3,c2,c4,k,k1,k2,k3,k4,alpha,p,n,gamma,d,compartment,Increase_in_the_population_of_tumor_cell_during_interphase,Decrease_in_the_population_of_tumor_cell_during_interphase,Increase_in_population_of_tumor_cell_during_mitosis,Decrease_in_the_population_of_tumor_cell_during_mitosis,induction_of_immune_response_due_to_tumor_cell_formation,Decrease_in_the_popoulation_of_immune_response,Decrease_in_drug
0.0,1.3,1.2,0.9,0.0,1.0,0.8,0.29,0.11,0.4,0.9,0.9,0.085,0.085,0.029,0.0,0.57,0.0,0.061,0.2,0.1,3.0,0.0,1.4414414414414414,1.0,1.92,2.4960000000000004,1.3,2.412,0.11786255924170617,0.45225000000000004,0.0
0.06,1.2650375045993227,1.136734517721809,0.8803962970135598,0.0,1.0,0.8,0.29,0.11,0.4,0.9,0.9,0.085,0.085,0.029,0.0,0.57,0.0,0.061,0.2,0.1,3.0,0.0,1.4414414414414414,1.0,1.8187752283548944,2.4065525312745146,1.2650375045993227,2.2647805953469686,0.11578681056250194,0.4350483776853272,0.0
0.12,1.2296387300751856,1.0797140969471768,0.8616666429777189,0.0,1.0,0.8,0.29,0.11,0.4,0.9,0.9,0.085,0.085,0.029,0.0,0.57,0.0,0.061,0.2,0.1,3.0,0.0,1.4414414414414414,1.0,1.727542555115483,2.3184837993407994,1.2296387300751856,2.132975175499586,0.1137897638206884,0.41902417178601287,0.0
0.18,1.1942543202944615,1.0280708105063843,0.8437482375214787,0.0,1.0,0.8,0.29,0.11,0.4,0.9,0.9,0.085,0.085,0.029,0.0,0.57,0.0,0.061,0.2,0.1,3.0,0.0,1.4414414414414414,1.0,1.644913296810215,2.232507275637629,1.1942543202944615,2.014374613578497,0.11186482215740307,0.40406903642782555,0.0
0.24,1.1592239818653831,0.9810799901707241,0.8265840237243153,0.0,1.0,0.8,0.29,0.11,0.4,0.9,0.9,0.085,0.085,0.029,0.0,0.57,0.0,0.061,0.2,0.1,3.0,0.0,1.4414414414414414,1.0,1.5697279842731586,2.149115040865785,1.1592239818653831,1.907146529488525,0.11000598135217826,0.39008635776194434,0.0
0.3,1.124798899889788,0.9381356312606036,0.8101220915545084,0.0,1.0,0.8,0.29,0.11,0.4,0.9,0.9,0.085,0.085,0.029,0.0,0.57,0.0,0.061,0.2,0.1,3.0,0.0,1.4414414414414414,1.0,1.501017010016966,2.068628772498897,1.124798899889788,1.809766717295509,0.10820777323754091,0.3769898577056313,0.0
0.36,1.091161516750381,0.8987284172499451,0.7943151149050919,0.0,1.0,0.8,0.29,0.11,0.4,0.9,0.9,0.085,0.085,0.029,0.0,0.57,0.0,0.061,0.2,0.1,3.0,0.0,1.4414414414414414,1.0,1.4379654675999123,1.9912427605947567,1.091161516750381,1.7209603101146596,0.10646521254138229,0.3647023537062628,0.0
0.42,1.0584408434244095,0.8624283274931166,0.779119867047929,0.0,1.0,0.8,0.29,0.11,0.4,0.9,0.9,0.085,0.085,0.029,0.0,0.57,0.0,0.061,0.2,0.1,3.0,0.0,1.4414414414414414,1.0,1.3798853239889866,1.9170563964873257,1.0584408434244095,1.6396555324610642,0.10477375173823043,0.35315468475414635,0.0
0.48,1.0267239956127936,0.8288710337362537,0.7644967943925945,0.0,1.0,0.8,0.29,0.11,0.4,0.9,0.9,0.085,0.085,0.029,0.0,0.57,0.0,0.061,0.2,0.1,3.0,0.0,1.4414414414414414,1.0,1.326193653978006,1.8460981181649443,1.0267239956127936,1.5649475639141222,0.10312924153625908,0.3422847687622476,0.0
0.54,0.9960659916353712,0.7977461964036537,0.750409634105085,0.0,1.0,0.8,0.29,0.11,0.4,0.9,0.9,0.085,0.085,0.029,0.0,0.57,0.0,0.061,0.2,0.1,3.0,0.0,1.4414414414414414,1.0,1.276393914245846,1.778345015410118,0.9960659916353712,1.4960682239011747,0.10152789586088873,0.3320367794432412,0.0
