Time,BCG,Effector_cells,Tumor_infected_cells,Tumor_uninfected_cells,mu1,mu2,p1,p2,p3,p4,p5,alpha,beta,r,b,mu,Bladder,BCG_production,Effector_cell_activation_recruitment,Effector_cell_inactivation_death,Tumor_growth,Tumor_infection,Infected_tumor_cell_death,BCG_killing
0.0,0.0,0.05,0.0,0.55,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.0,0.0205,0.06543735,0.0,0.0,0.0
0.02,0.03754046521824716,0.04959347025452542,5.915274426538553e-05,0.5512510709386461,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.00018900919235508636,0.020333331605125012,0.06558491591026507,0.005897853171701716,3.2269488495188416e-06,0.03986766764967489
0.04,0.07417681350644235,0.04919456835402101,0.00023495659126254408,0.5523881795837527,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.00043235061485424545,0.020169807700912878,0.06571903472629476,0.011677702569341955,1.2714446898002302e-05,0.07873818390935004
0.06,0.10993109723333447,0.04880430359112098,0.0005249196744088806,0.5534134289809789,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.000728992635388477,0.02000984132737705,0.0658399559302372,0.01733864345938919,2.8180173065883728e-05,0.11663748553768534
0.08,0.14482487054502569,0.048423656457130516,0.0009265396241468272,0.554328943228996,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.0010779013356626119,0.01985383374673287,0.06594793131369896,0.022879975971112562,4.935308009896527e-05,0.1535910577671766
0.1,0.17887919459848062,0.04805357884687462,0.0014373074209695779,0.5551368634272393,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.0014780416248489794,0.019702174530515034,0.06604321450819607,0.028301193981210518,7.597454202883558e-05,0.18962392645061002
0.12,0.2121146428890236,0.04769499427168454,0.002054710738256726,0.5558393441116091,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.001928378151483751,0.019555241649641335,0.06612606057317298,0.03360197423427237,0.0001077993585802356,0.22476065123593908
0.14,0.24455130716153337,0.04734879809719328,0.0027762372930932692,0.5564385496482454,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.002427876282120172,0.019413401574346425,0.066196725579055,0.03878216578139066,0.00014459664896662876,0.25902532024552855
0.16,0.2762088035349596,0.04701585779589295,0.0035993778963904844,0.5569366509056094,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.0029755029815857906,0.0192770093798341,0.06625546622306629,0.04384177970755066,0.00018615062326341286,0.2924415458211763
0.18,0.30710627905747223,0.04669701322170988,0.0045216291503337586,0.5573358222459768,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.0035702275659309918,0.0191464088606297,0.06630253948262621,0.04878097920828862,0.00023226123383848478,0.3250324615244934
0.2,0.3372624182689701,0.04639307688498659,0.005540496143778981,0.5576382385188366,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.0042110225053644205,0.01902193264483524,0.06633820226885179,0.0536000699400018,0.000282744729937241,0.3568207198954311
0.22,0.36669544939407084,0.04610483420814843,0.006653495469809521,0.5578460717598924,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.004896864440732621,0.01890390230025748,0.06636271104520011,0.05829949055336259,0.0003374341360942581,0.387828490518066
0.24,0.39542315194817895,0.045833043861055696,0.00785815697895385,0.5579614890495662,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.005626734595744014,0.018792628472793286,0.06637632158267986,0.06287980383971846,0.00039617957883179806,0.4180774602818262
0.26,0.42346286482145173,0.04557843812398397,0.009152025109983666,0.5579866507582498,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.006399619015667416,0.01868841103586398,0.06637928876048058,0.06734168831373137,0.00045884851120299187,0.44758883479903866
0.28,0.45083149320188953,0.045341723178103505,0.010532661460097511,0.557923707630124,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.007214509484252852,0.01859153921008319,0.06637186622943839,0.07168592978803262,0.000525325922277663,0.47638333915780345
0.3,0.477545515738639,0.04512357941879761,0.011997646533573124,0.5577747986951194,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.008070404052927492,0.01850229169197561,0.06635430617294387,0.07591341336402975,0.0005955144318159836,0.5044812194955429
0.32,0.5036209911693689,0.0449246617387228,0.013544581827991493,0.5575420488887316,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.008966307777743933,0.018420936770147393,0.06632685903316876,0.08002511559478395,0.0006693343327164666,0.5319022445103742
0.34,0.529073568521262,0.04474560000094098,0.015171089907620798,0.5572275683718996,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.009901232464753256,0.018347732518947554,0.06628977343753413,0.08402209775192972,0.0007467234726431842,0.5586657113564155
0.36,0.5539184934856335,0.044586999317155984,0.016874816461287797,0.556833450208455,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.010874197456587995,0.01828292691232406,0.06624329593125045,0.08790549857063434,0.0008276371730402288,0.5847904478491385
0.38,0.5781706152177889,0.04444944035205738,0.018653432046510657,0.5563617683221932,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.011884230287512555,0.018226757948188864,0.06618767074257706,0.09167652737423232,0.0009120480766237843,0.6102948155608332
0.4,0.6018443963110263,0.04433347978000391,0.0205046319549831,0.5558145770576615,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.012930366408429114,0.01817945383486012,0.06612313973694957,0.09533645824818894,0.000999945854789932,0.6351967167792307
0.42,0.6249539197506027,0.0442396505998895,0.022426137617370223,0.555193909475566,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.01401164972035035,0.018141233119432186,0.06604994222162702,0.09888662383529861,0.0010913369417472469,0.6595135985641002
0.44,0.6475128964068434,0.04416846247723167,0.02441569758632361,0.5545017760282972,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.015127132915708165,0.018112304827133073,0.06596831479490518,0.10232840955176412,0.0011862442049666675,0.68326245774243
0.46,0.6695346739886006,0.044120402159082556,0.02647108774932946,0.5537401638703348,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.01627587745109664,0.018092868630335112,0.06587849126994551,0.10566324842602587,0.0012847065407976573,0.7064598478333847
0.48,0.6910322443865449,0.04409593380941325,0.028590112175576863,0.5529110356910631,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.017456953860534315,0.018083114984941726,0.06578070254202409,0.10889261587281004,0.001386778463507731,0.729121884522344
0.5,0.7120182511936469,0.04409549935383129,0.030770603779191746,0.5520163287179821,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.01866944199369088,0.018083225270488015,0.06567517647561927,0.11201802478617276,0.001492529652968583,0.7512642516129289
0.52,0.732504998406489,0.04411951889017283,0.03301042431835318,0.5510579542817253,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.019912430935262647,0.018093371957088718,0.06556213785750953,0.1150410211880602,0.0016020444432148242,0.7729022085494154
0.54,0.7525044577731643,0.04416839102961233,0.035307464959380315,0.5500377969432783,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.021185019225986146,0.018113718743896823,0.06544180829799022,0.11796317983091101,0.0017154213104492698,0.7940505967012287
0.56,0.7720282762704781,0.044242493247292715,0.037659646684648,0.5489577137702547,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.022486315018984293,0.018144420701382436,0.06531440614942594,0.12078610008961818,0.0018327723305550658,0.8147238460199977
0.58,0.7910877844543058,0.044342182275692706,0.040064920116968196,0.5478195341213385,1.0,0.41,1.25,0.285,1.1,0.085,0.003,0.52,0.0155,0.12,1.9,0.41,1.0,1.9,0.023815435953242935,0.018185624431006072,0.06518014648450587,0.1235114023357193,0.0019542225897564384,0.8349359828722392
