_1_task1,cAMP_1_task1
0.0,4.7107e-07
1.0,4.712791204909826e-07
2.0,4.714807004761975e-07
3.0,4.716613894605484e-07
4.0,4.718217448904866e-07
5.0,4.7196273599730265e-07
6.0,4.720855992606549e-07
7.0,4.7219172792366874e-07
8.0,4.722825821501674e-07
9.0,4.72359626751877e-07
10.0,4.7242429847553437e-07
11.0,4.7247797619131e-07
12.0,4.7252196271945546e-07
13.0,4.7255746781404214e-07
14.0,4.7258560181393874e-07
15.0,4.726073775006584e-07
16.0,4.726237090898995e-07
17.0,4.7263541265886665e-07
18.0,4.726432257913713e-07
19.0,4.726477878289411e-07
20.0,4.72649672489756e-07
21.0,4.726493675968443e-07
22.0,4.726473067893946e-07
23.0,4.726438553747941e-07
24.0,4.726393276300146e-07
25.0,4.7263400913173745e-07
26.0,4.726281100569795e-07
27.0,4.7262181388584116e-07
28.0,4.7261529584826245e-07
29.0,4.7260864854800587e-07
30.0,4.726020145077306e-07
31.0,4.725954448416083e-07
32.0,4.725890135264791e-07
33.0,4.7258277721787887e-07
34.0,4.725767578336651e-07
35.0,4.7257100189289145e-07
36.0,4.7256551049780795e-07
37.0,4.7256031616528554e-07
38.0,4.7255541371156e-07
39.0,4.7255078825922107e-07
40.0,4.725464518181965e-07
41.0,4.7254239834865383e-07
42.0,4.7253860070580574e-07
43.0,4.725350547450816e-07
44.0,4.725317598141378e-07
45.0,4.7252868830440005e-07
46.0,4.725258278877391e-07
47.0,4.725231775007443e-07
48.0,4.7252071551263016e-07
49.0,4.725184285532182e-07
50.0,4.7251631123524705e-07
51.0,4.7251434823711283e-07
52.0,4.725125280247455e-07
53.0,4.725108438458342e-07
54.0,4.7250928303181586e-07
55.0,4.725078354176428e-07
56.0,4.725064911176739e-07
57.0,4.725052436937702e-07
58.0,4.7250408600166334e-07
59.0,4.7250300911296893e-07
60.0,4.725020058387742e-07
61.0,4.725010698242055e-07
62.0,4.7250019769204456e-07
63.0,4.724993830651525e-07
64.0,4.7249862143268026e-07
65.0,4.724979088432338e-07
66.0,4.724972406846653e-07
67.0,4.724966135675043e-07
68.0,4.724960251073632e-07
69.0,4.724954730512109e-07
70.0,4.7249495481174374e-07
71.0,4.7249446505535245e-07
72.0,4.724940037674688e-07
73.0,4.7249356940463796e-07
74.0,4.724931607695662e-07
75.0,4.7249277191559154e-07
76.0,4.7249240240560744e-07
77.0,4.724920523934478e-07
78.0,4.724917210623203e-07
79.0,4.724914078563634e-07
80.0,4.724911124806462e-07
81.0,4.724908319161366e-07
82.0,4.7249056196924677e-07
83.0,4.724903052953528e-07
84.0,4.724900614791565e-07
85.0,4.7248983026446506e-07
86.0,4.7248961155419077e-07
87.0,4.7248940510933975e-07
88.0,4.7248920496475506e-07
89.0,4.7248901424950545e-07
90.0,4.724888326340141e-07
91.0,4.724886598694086e-07
92.0,4.7248849578752116e-07
93.0,4.7248834030088816e-07
94.0,4.724881911173019e-07
95.0,4.724880480706718e-07
96.0,4.724879115770257e-07
97.0,4.7248778138677347e-07
98.0,4.724876572897002e-07
99.0,4.7248753911496575e-07
100.0,4.724874262996249e-07
101.0,4.724873179275048e-07
102.0,4.724872143411367e-07
103.0,4.7248711533483375e-07
104.0,4.7248702072538833e-07
105.0,4.724869303520721e-07
106.0,4.7248684406758063e-07
107.0,4.724867607841238e-07
108.0,4.72486681000422e-07
109.0,4.724866045804081e-07
110.0,4.7248653140619415e-07
111.0,4.724864613780711e-07
112.0,4.724863944145092e-07
113.0,4.7248633045215777e-07
114.0,4.7248626944584525e-07
115.0,4.724862113685791e-07
116.0,4.724861549491422e-07
117.0,4.724861007934339e-07
118.0,4.724860489485501e-07
119.0,4.724859993603171e-07
120.0,4.724859519865224e-07
121.0,4.724859067969147e-07
122.0,4.7248586377320364e-07
123.0,4.724858229090601e-07
124.0,4.72485784210116e-07
125.0,4.724857465942357e-07
126.0,4.7248571040455487e-07
127.0,4.724856758252856e-07
128.0,4.7248564280948793e-07
129.0,4.7248561131588975e-07
130.0,4.72485581308887e-07
131.0,4.7248555275854334e-07
132.0,4.724855256405905e-07
133.0,4.7248549993642827e-07
134.0,4.724854751750944e-07
135.0,4.7248545136680585e-07
136.0,4.724854286382864e-07
137.0,4.7248540694440455e-07
138.0,4.7248538624259205e-07
139.0,4.7248536649284336e-07
140.0,4.7248534765771635e-07
141.0,4.724853297023317e-07
142.0,4.7248531259437335e-07
143.0,4.72485296221487e-07
144.0,4.724852805314972e-07
145.0,4.724852655400328e-07
146.0,4.724852512143145e-07
147.0,4.7248523752344534e-07
148.0,4.724852244384101e-07
149.0,4.724852119320762e-07
150.0,4.7248519997919303e-07
151.0,4.7248518855639205e-07
152.0,4.7248517760788515e-07
153.0,4.724851670926e-07
154.0,4.72485157024198e-07
155.0,4.724851473838933e-07
156.0,4.7248513815463985e-07
157.0,4.72485129321131e-07
158.0,4.7248512086979997e-07
159.0,4.724851127888196e-07
160.0,4.7248510506810234e-07
161.0,4.724850976993003e-07
162.0,4.724850906758052e-07
163.0,4.724850839927485e-07
164.0,4.7248507764700125e-07
165.0,4.7248507135887153e-07
166.0,4.7248506532432686e-07
167.0,4.724850595369351e-07
168.0,4.7248505398989746e-07
169.0,4.724850486776529e-07
170.0,4.72485043595879e-07
171.0,4.7248503874149144e-07
172.0,4.724850341126443e-07
173.0,4.7248502970873e-07
174.0,4.7248502553037897e-07
175.0,4.7248502157946017e-07
176.0,4.7248501785908077e-07
177.0,4.7248501423089587e-07
178.0,4.724850106510589e-07
179.0,4.7248500722858456e-07
180.0,4.724850039607132e-07
181.0,4.724850008454015e-07
182.0,4.724849978813225e-07
183.0,4.724849950678657e-07
184.0,4.7248499240513656e-07
185.0,4.724849898939572e-07
186.0,4.724849875358658e-07
187.0,4.72484985333117e-07
188.0,4.7248498328868167e-07
189.0,4.724849813950724e-07
190.0,4.72484979429798e-07
191.0,4.7248497756448013e-07
192.0,4.724849757960533e-07
193.0,4.724849741217292e-07
194.0,4.724849725389962e-07
195.0,4.724849710456198e-07
196.0,4.7248496963964215e-07
197.0,4.7248496831938243e-07
198.0,4.724849670834367e-07
199.0,4.72484965930678e-07
200.0,4.724849648602562e-07
201.0,4.72484963871598e-07
202.0,4.7248496291119025e-07
203.0,4.7248496197245354e-07
204.0,4.7248496108531205e-07
205.0,4.7248496024669183e-07
206.0,4.724849594536225e-07
207.0,4.724849587032371e-07
208.0,4.7248495799277173e-07
209.0,4.7248495731956604e-07
210.0,4.724849566810629e-07
211.0,4.7248495607480856e-07
212.0,4.724849554984526e-07
213.0,4.724849549497479e-07
214.0,4.724849544258827e-07
215.0,4.724849539195077e-07
216.0,4.724849534334994e-07
217.0,4.7248495296593464e-07
218.0,4.724849525149905e-07
219.0,4.72484952078945e-07
220.0,4.7248495165617643e-07
221.0,4.7248495124516397e-07
222.0,4.724849508444871e-07
223.0,4.7248495045282595e-07
224.0,4.724849500689613e-07
225.0,4.724849496917744e-07
226.0,4.724849493202471e-07
227.0,4.7248494895346185e-07
228.0,4.7248494859060157e-07
229.0,4.724849482309499e-07
230.0,4.7248494787389083e-07
231.0,4.724849475189092e-07
232.0,4.724849471655903e-07
233.0,4.724849468136197e-07
234.0,4.7248494646278413e-07
235.0,4.7248494613055245e-07
236.0,4.724849458163756e-07
237.0,4.7248494550910735e-07
238.0,4.724849452093743e-07
239.0,4.724849449179169e-07
240.0,4.7248494463558917e-07
241.0,4.7248494436335945e-07
242.0,4.7248494410230966e-07
243.0,4.7248494385363577e-07
244.0,4.724849436186476e-07
245.0,4.724849433987688e-07
246.0,4.724849431955369e-07
247.0,4.724849430106034e-07
248.0,4.724849428457337e-07
249.0,4.724849427028069e-07
250.0,4.724849425838161e-07
251.0,4.724849424908685e-07
252.0,4.724849424261849e-07
253.0,4.724849423920999e-07
254.0,4.724849423910624e-07
255.0,4.7248494241575833e-07
256.0,4.7248494226681065e-07
257.0,4.7248494211988596e-07
258.0,4.7248494197487614e-07
259.0,4.7248494183169353e-07
260.0,4.724849416902715e-07
261.0,4.7248494155056404e-07
262.0,4.724849414125458e-07
263.0,4.724849412762124e-07
264.0,4.724849411415801e-07
265.0,4.724849410086859e-07
266.0,4.724849408775874e-07
267.0,4.7248494074836333e-07
268.0,4.724849406211129e-07
269.0,4.7248494049595603e-07
270.0,4.7248494037303355e-07
271.0,4.72484940252507e-07
272.0,4.724849401345586e-07
273.0,4.724849400193914e-07
274.0,4.7248493990722917e-07
275.0,4.7248493979831646e-07
276.0,4.7248493969871407e-07
277.0,4.724849396098371e-07
278.0,4.724849395272141e-07
279.0,4.724849394513346e-07
280.0,4.724849393827141e-07
281.0,4.724849393218935e-07
282.0,4.7248493926943973e-07
283.0,4.7248493922594517e-07
284.0,4.724849391920279e-07
285.0,4.724849391683318e-07
286.0,4.7248493915552634e-07
287.0,4.724849391543068e-07
288.0,4.72484939165394e-07
289.0,4.7248493918953466e-07
290.0,4.72484939227501e-07
291.0,4.7248493928009095e-07
292.0,4.724849393481283e-07
293.0,4.7248493943246234e-07
294.0,4.7248493953396806e-07
295.0,4.7248493965354646e-07
296.0,4.724849397921237e-07
297.0,4.7248493993318036e-07
298.0,4.7248493999704087e-07
299.0,4.7248494006814706e-07
300.0,4.724849401460936e-07
301.0,4.7248494023047484e-07
302.0,4.7248494032088555e-07
303.0,4.7248494041692024e-07
304.0,4.724849405181735e-07
305.0,4.724849406242399e-07
306.0,4.7248494073471403e-07
307.0,4.7248494084919053e-07
308.0,4.7248494096726385e-07
309.0,4.7248494108852864e-07
310.0,4.7248494121257947e-07
311.0,4.7248494133901094e-07
