_1_task1,mRNA_ptsG_1_task1,mRNA_ptsH_2_task1,mRNA_ptsI_3_task1
0.0,4.5559e-07,1.1411e-07,1.0038e-08
1.0,4.555775532401311e-07,1.1410828836726261e-07,1.0037881234277262e-08
2.0,4.555860267917563e-07,1.1410875601406122e-07,1.0037932774890938e-08
3.0,4.556103009356726e-07,1.1411108676067811e-07,1.0038131104097283e-08
4.0,4.5564603658992727e-07,1.1411496784881262e-07,1.0038452656849371e-08
5.0,4.556889369915029e-07,1.1412006211549337e-07,1.0038871907107383e-08
6.0,4.5573607228114466e-07,1.14126102921072e-07,1.0039368503599255e-08
7.0,4.557853594560875e-07,1.141328695460405e-07,1.0039925458345746e-08
8.0,4.5583527750816927e-07,1.1414017565026714e-07,1.0040528308910597e-08
9.0,4.558846585853705e-07,1.1414785963282156e-07,1.0041164421494846e-08
10.0,4.559326948820201e-07,1.1415578755568251e-07,1.0041823217587117e-08
11.0,4.559787691412903e-07,1.1416384319386492e-07,1.0042495448187664e-08
12.0,4.560225862097432e-07,1.1417193862903774e-07,1.004317398435088e-08
13.0,4.560639704050918e-07,1.1418000088842865e-07,1.0043852836231707e-08
14.0,4.5610282826231986e-07,1.141879695459782e-07,1.004452697852603e-08
15.0,4.561391361463817e-07,1.1419579575596536e-07,1.0045192281126207e-08
16.0,4.561729189069687e-07,1.1420344013231258e-07,1.004584535323299e-08
17.0,4.5620426296328734e-07,1.1421087428024167e-07,1.0046483655278546e-08
18.0,4.562332680714763e-07,1.1421807517020183e-07,1.0047105083931017e-08
19.0,4.5626008963224693e-07,1.1422503012538233e-07,1.0047708339703619e-08
20.0,4.56284857304367e-07,1.1423172775770835e-07,1.00482922547622e-08
21.0,4.563077393477935e-07,1.1423816485497968e-07,1.004885630292788e-08
22.0,4.5632887076385e-07,1.142443383719002e-07,1.0049400002463105e-08
23.0,4.5634840085467805e-07,1.1425025015054524e-07,1.0049923265876313e-08
24.0,4.5636645962000066e-07,1.1425590312391119e-07,1.0050426115837889e-08
25.0,4.563831708123184e-07,1.1426130087720119e-07,1.0050908643238753e-08
26.0,4.5639865503366265e-07,1.1426645098241292e-07,1.0051371270921517e-08
27.0,4.5641302314131363e-07,1.1427136128568034e-07,1.0051814461107526e-08
28.0,4.56426373540594e-07,1.1427603848941602e-07,1.00522386036728e-08
29.0,4.5643880165486306e-07,1.1428049375024956e-07,1.0052644457998263e-08
30.0,4.564503892182874e-07,1.1428473341143189e-07,1.0053032414783457e-08
31.0,4.564612126119375e-07,1.1428876851761447e-07,1.0053403257749084e-08
32.0,4.564713405939394e-07,1.1429260765064388e-07,1.0053757584335142e-08
33.0,4.5648083404699284e-07,1.1429625932470408e-07,1.00540960008309e-08
34.0,4.564897462384038e-07,1.1429973306476482e-07,1.0054419209713105e-08
35.0,4.564981298428914e-07,1.1430303664356054e-07,1.0054727774905798e-08
36.0,4.565060248596203e-07,1.1430617890442021e-07,1.0055022368608511e-08
37.0,4.5651347777951507e-07,1.1430916738003354e-07,1.0055303549074366e-08
38.0,4.5652052089062835e-07,1.1431201001023545e-07,1.0055571931827789e-08
39.0,4.5652718113890606e-07,1.1431471450428467e-07,1.0055828124229173e-08
40.0,4.5653349264219316e-07,1.1431728767223743e-07,1.0056072650400731e-08
41.0,4.5653948133542685e-07,1.1431973624940683e-07,1.0056306043645752e-08
42.0,4.5654516392080393e-07,1.1432206695138821e-07,1.0056528852666976e-08
43.0,4.565505635556865e-07,1.1432428579817099e-07,1.005674155911669e-08
44.0,4.565557028651871e-07,1.1432639840228354e-07,1.0056944613397248e-08
45.0,4.5656059273173555e-07,1.1432841035081653e-07,1.0057138486355118e-08
46.0,4.565652485921547e-07,1.1433032680782614e-07,1.0057323605988812e-08
47.0,4.5656968945037547e-07,1.143321526517942e-07,1.0057500369804274e-08
48.0,4.565739233905669e-07,1.1433389238450903e-07,1.0057669167664243e-08
49.0,4.565779611974371e-07,1.1433555030096307e-07,1.0057830366711501e-08
50.0,4.5658181790530283e-07,1.1433713078099422e-07,1.0057984330364614e-08
51.0,4.5658550020304414e-07,1.1433863746288117e-07,1.0058131381358276e-08
52.0,4.565890163657755e-07,1.143400739276248e-07,1.005827183335978e-08
53.0,4.5659238059713323e-07,1.1434144439983382e-07,1.0058406035229646e-08
54.0,4.565955965021037e-07,1.1434275163497935e-07,1.0058534244605752e-08
55.0,4.565986700945762e-07,1.1434399858221101e-07,1.0058656727397748e-08
56.0,4.5660160636135495e-07,1.143451879451187e-07,1.0058773731505266e-08
57.0,4.566044153498004e-07,1.1434632304614435e-07,1.0058885539925271e-08
58.0,4.566071041864355e-07,1.1434740669326756e-07,1.0058992401124005e-08
59.0,4.5660967500554695e-07,1.1434844088587826e-07,1.005909451096653e-08
60.0,4.5661213171991835e-07,1.1434942777618382e-07,1.0059192071783223e-08
