IIA_1_task1,IIA_P_2_task1,_1_task1
9.622323510893712e-05,7.023704774790538e-06,144.0
9.62232318956275e-05,7.023707990702207e-06,145.0
9.62232288272749e-05,7.023711061514237e-06,146.0
9.622322589834963e-05,7.023713992783397e-06,147.0
9.622322310381089e-05,7.023716789578219e-06,148.0
9.622322043910674e-05,7.023719456478987e-06,149.0
9.622321790017401e-05,7.023721997577741e-06,150.0
9.622321548343842e-05,7.023724416478282e-06,151.0
9.622321316127807e-05,7.023726740610543e-06,152.0
9.622321091573983e-05,7.02372898781932e-06,153.0
9.622320876716472e-05,7.023731137998158e-06,154.0
9.622320671182642e-05,7.023733194886197e-06,155.0
9.622320474638554e-05,7.023735161835368e-06,156.0
9.622320286788954e-05,7.0237370418103846e-06,157.0
9.622320107377282e-05,7.023738837388751e-06,158.0
9.622319936185662e-05,7.02374055076076e-06,159.0
9.622319773034908e-05,7.023742183729491e-06,160.0
9.622319617784527e-05,7.02374373771081e-06,161.0
9.622319470332711e-05,7.023745213733371e-06,162.0
9.622319330616342e-05,7.0237466124386185e-06,163.0
9.622319198610992e-05,7.023747934080781e-06,164.0
9.622319066957348e-05,7.023749251879372e-06,165.0
9.622318940891195e-05,7.02375051375521e-06,166.0
9.622318820278382e-05,7.023751721047036e-06,167.0
9.62231870496763e-05,7.02375287526166e-06,168.0
9.622318594833067e-05,7.023753977650834e-06,169.0
9.622318489774221e-05,7.023755029211235e-06,170.0
9.622318389716031e-05,7.023756030684485e-06,171.0
9.622318294608834e-05,7.023756982557133e-06,172.0
9.622318204428383e-05,7.023757885060664e-06,173.0
9.622318119175824e-05,7.0237587381714975e-06,174.0
9.622318038877719e-05,7.02375954161099e-06,175.0
9.622317963586028e-05,7.023760294845432e-06,176.0
9.622317890119666e-05,7.023761029919905e-06,177.0
9.622317817452627e-05,7.023761757164732e-06,178.0
9.622317748046739e-05,7.023762451765931e-06,179.0
9.622317681808507e-05,7.023763114659239e-06,180.0
9.622317618657919e-05,7.023763746645439e-06,181.0
9.62231755852845e-05,7.023764348390355e-06,182.0
9.622317501367062e-05,7.023764920424857e-06,183.0
9.622317447134196e-05,7.023765463144856e-06,184.0
9.622317395803787e-05,7.02376597681131e-06,185.0
9.62231734736325e-05,7.023766461550218e-06,186.0
9.622317301813488e-05,7.023766917352623e-06,187.0
9.62231725916889e-05,7.023767344074615e-06,188.0
9.622317219282749e-05,7.0237677431872e-06,189.0
9.622317178651759e-05,7.023768149806917e-06,190.0
9.622317139931944e-05,7.023768537311792e-06,191.0
9.622317103052567e-05,7.0237689064120045e-06,192.0
9.62231706794952e-05,7.0237692577515835e-06,193.0
9.62231703456531e-05,7.023769591908411e-06,194.0
9.622317002849065e-05,7.023769909394222e-06,195.0
9.622316972756538e-05,7.0237702106546e-06,196.0
9.622316944250101e-05,7.023770496068983e-06,197.0
9.622316917298743e-05,7.023770765950661e-06,198.0
9.62231689187808e-05,7.0237710205467715e-06,199.0
9.622316867970347e-05,7.0237712600383095e-06,200.0
9.622316845564398e-05,7.023771484540118e-06,201.0
9.622316823783576e-05,7.023771702766177e-06,202.0
9.622316802522476e-05,7.0237719157671885e-06,203.0
9.622316782275995e-05,7.023772118628965e-06,204.0
9.622316763000343e-05,7.0237723117892674e-06,205.0
9.622316744655505e-05,7.023772495647976e-06,206.0
9.62231672720524e-05,7.023772670567082e-06,207.0
9.622316710617088e-05,7.0237728368706945e-06,208.0
9.62231669486236e-05,7.023772994845033e-06,209.0
9.622316679916148e-05,7.023773144738435e-06,210.0
9.622316665757318e-05,7.023773286761352e-06,211.0
9.622316652368512e-05,7.023773421086349e-06,212.0
9.622316639736151e-05,7.023773547848106e-06,213.0
9.622316627697631e-05,7.023773668671264e-06,214.0
9.622316615032455e-05,7.023773795758398e-06,215.0
9.62231660283954e-05,7.023773918119803e-06,216.0
9.62231659109994e-05,7.023774035943288e-06,217.0
9.622316579797857e-05,7.023774149385096e-06,218.0
9.622316568920636e-05,7.0237742585698965e-06,219.0
9.622316558458766e-05,7.0237743635907935e-06,220.0
9.622316548405883e-05,7.0237744645093185e-06,221.0
9.62231653875877e-05,7.0237745613554344e-06,222.0
9.622316529517345e-05,7.023774654127534e-06,223.0
9.622316520684684e-05,7.02377474279244e-06,224.0
9.622316512266996e-05,7.023774827285405e-06,225.0
9.622316504273643e-05,7.023774907510114e-06,226.0
9.622316496717129e-05,7.02377498333868e-06,227.0
9.6223164896131e-05,7.023775054611648e-06,228.0
9.622316482980351e-05,7.023775121137993e-06,229.0
9.62231647684082e-05,7.023775182695117e-06,230.0
9.62231647121959e-05,7.023775239028859e-06,231.0
9.622316466144888e-05,7.023775289853482e-06,232.0
9.622316461648086e-05,7.023775334851682e-06,233.0
9.622316457763703e-05,7.023775373674586e-06,234.0
9.62231645279296e-05,7.023775423470991e-06,235.0
9.622316446829676e-05,7.023775483293748e-06,236.0
9.622316441027305e-05,7.023775541498885e-06,237.0
9.622316435389709e-05,7.023775598047746e-06,238.0
9.62231642992257e-05,7.023775652883376e-06,239.0
9.622316424633408e-05,7.023775705930534e-06,240.0
9.62231641953157e-05,7.0237757570956805e-06,241.0
9.622316414628228e-05,7.023775806266987e-06,242.0
9.622316409936389e-05,7.02377585331433e-06,243.0
9.622316405470887e-05,7.023775898089294e-06,244.0
9.62231640124839e-05,7.023775940425171e-06,245.0
9.622316397287386e-05,7.023775980136959e-06,246.0
9.622316393608204e-05,7.0237760170213665e-06,247.0
9.622316390232994e-05,7.023776050856803e-06,248.0
9.622316387185741e-05,7.023776081403392e-06,249.0
9.622316384492256e-05,7.02377610840296e-06,250.0
9.62231638218018e-05,7.023776131579043e-06,251.0
9.622316380278984e-05,7.023776150636881e-06,252.0
9.622316378819972e-05,7.023776165263424e-06,253.0
9.622316377836274e-05,7.0237761751273294e-06,254.0
9.622316377244698e-05,7.023776181060179e-06,255.0
9.622316374664934e-05,7.023776206859567e-06,256.0
9.622316372203664e-05,7.023776231463329e-06,257.0
9.622316369865303e-05,7.023776254827235e-06,258.0
9.622316367654976e-05,7.023776276899907e-06,259.0
9.622316365578527e-05,7.023776297622807e-06,260.0
9.622316363642515e-05,7.023776316930247e-06,261.0
9.622316361854211e-05,7.023776334749385e-06,262.0
9.622316360221607e-05,7.023776351000222e-06,263.0
9.622316358753405e-05,7.023776365595609e-06,264.0
9.622316357459028e-05,7.023776378441239e-06,265.0
9.622316356348608e-05,7.0237763894356555e-06,266.0
9.622316355432998e-05,7.023776398470244e-06,267.0
9.622316354723763e-05,7.023776405429237e-06,268.0
9.622316354233189e-05,7.023776410189715e-06,269.0
9.622316353974266e-05,7.023776412621603e-06,270.0
9.622316353960713e-05,7.023776412587671e-06,271.0
9.622316354206953e-05,7.023776409943536e-06,272.0
9.622316354728131e-05,7.023776404537663e-06,273.0
9.622316355540109e-05,7.02377639621136e-06,274.0
9.622316356659458e-05,7.023776384798782e-06,275.0
9.622316357288799e-05,7.023776378311939e-06,276.0
9.622316357287435e-05,7.023776378165102e-06,277.0
9.622316357345756e-05,7.023776377422757e-06,278.0
9.622316357460405e-05,7.023776376119433e-06,279.0
9.622316357628045e-05,7.023776374289485e-06,280.0
9.622316357845366e-05,7.023776371967091e-06,281.0
9.62231635810907e-05,7.023776369186255e-06,282.0
9.622316358415886e-05,7.023776365980805e-06,283.0
9.622316358762564e-05,7.023776362384393e-06,284.0
9.622316359145874e-05,7.023776358430494e-06,285.0
9.622316359562604e-05,7.023776354152411e-06,286.0
9.622316360009565e-05,7.023776349583269e-06,287.0
9.622316360483589e-05,7.023776344756016e-06,288.0
9.62231636098153e-05,7.023776339703428e-06,289.0
9.622316361500261e-05,7.023776334458104e-06,290.0
9.622316362036676e-05,7.023776329052465e-06,291.0
9.622316362587693e-05,7.02377632351876e-06,292.0
9.622316363150245e-05,7.023776317889059e-06,293.0
9.62231636372129e-05,7.02377631219526e-06,294.0
9.622316364297808e-05,7.0237763064690816e-06,295.0
9.622316364876795e-05,7.023776300742072e-06,296.0
9.622316365334518e-05,7.023776296207714e-06,297.0
9.622316365927192e-05,7.023776290271646e-06,298.0
9.622316366509418e-05,7.023776284451529e-06,299.0
9.622316367078571e-05,7.023776278773742e-06,300.0
9.622316367632029e-05,7.023776273264665e-06,301.0
9.622316368167164e-05,7.023776267950677e-06,302.0
9.622316368681355e-05,7.0237762628581546e-06,303.0
9.622316369171976e-05,7.02377625801348e-06,304.0
9.622316369636402e-05,7.023776253443032e-06,305.0
9.622316370072008e-05,7.023776249173187e-06,306.0
9.622316370476172e-05,7.0237762452303274e-06,307.0
9.622316370846267e-05,7.023776241640832e-06,308.0
9.62231637117967e-05,7.023776238431079e-06,309.0
9.622316371473757e-05,7.023776235627447e-06,310.0
9.622316371725902e-05,7.023776233256317e-06,311.0
9.622316371933482e-05,7.023776231344067e-06,312.0
9.622316372093869e-05,7.023776229917077e-06,313.0
9.622316372204444e-05,7.023776229001725e-06,314.0
9.622316372262578e-05,7.023776228624391e-06,315.0
9.622316372265649e-05,7.0237762288114535e-06,316.0
9.62231637293973e-05,7.023776222180045e-06,317.0
9.622316374473982e-05,7.023776206806562e-06,318.0
9.622316376016056e-05,7.0237761913571245e-06,319.0
9.622316377564343e-05,7.0237761758478275e-06,320.0
9.622316379117228e-05,7.023776160294766e-06,321.0
9.622316380673099e-05,7.023776144714037e-06,322.0
9.622316382230341e-05,7.023776129121739e-06,323.0
9.622316383787342e-05,7.023776113533965e-06,324.0
9.62231638534249e-05,7.023776097966814e-06,325.0
9.622316386894168e-05,7.023776082436381e-06,326.0
9.622316388440768e-05,7.023776066958762e-06,327.0
9.622316389980672e-05,7.023776051550056e-06,328.0
9.62231639151227e-05,7.023776036226356e-06,329.0
9.622316393033948e-05,7.0237760210037605e-06,330.0
9.622316394544091e-05,7.023776005898365e-06,331.0
9.62231639604109e-05,7.023775990926266e-06,332.0
9.622316397523328e-05,7.0237759761035605e-06,333.0
9.622316398989193e-05,7.023775961446344e-06,334.0
9.622316400437073e-05,7.0237759469707135e-06,335.0
9.622316401865352e-05,7.023775932692765e-06,336.0
9.62231640327242e-05,7.0237759186285955e-06,337.0
9.622316404656662e-05,7.0237759047942995e-06,338.0
9.622316406016465e-05,7.023775891205976e-06,339.0
9.622316407350217e-05,7.023775877879719e-06,340.0
9.622316408656304e-05,7.023775864831627e-06,341.0
9.622316409933112e-05,7.0237758520777945e-06,342.0
9.622316411179028e-05,7.023775839634319e-06,343.0
9.622316412392442e-05,7.023775827517297e-06,344.0
9.622316413571735e-05,7.023775815742824e-06,345.0
9.6223164147153e-05,7.0237758043269965e-06,346.0
9.622316415821518e-05,7.023775793285912e-06,347.0
9.622316416888781e-05,7.023775782635665e-06,348.0
9.622316417915474e-05,7.0237757723923535e-06,349.0
9.622316418899982e-05,7.023775762572074e-06,350.0
9.622316419840694e-05,7.02377575319092e-06,351.0
9.622316420735995e-05,7.023775744264991e-06,352.0
9.622316421584274e-05,7.0237757358103845e-06,353.0
9.622316422383916e-05,7.023775727843193e-06,354.0
9.622316423133309e-05,7.023775720379514e-06,355.0
9.62231642383084e-05,7.023775713435445e-06,356.0
9.622316424474895e-05,7.023775707027083e-06,357.0
9.62231642506386e-05,7.023775701170522e-06,358.0
9.622316425596124e-05,7.0237756958818596e-06,359.0
9.622316426070072e-05,7.023775691177193e-06,360.0
9.622316426484092e-05,7.023775687072617e-06,361.0
9.62231642683657e-05,7.0237756835842295e-06,362.0
9.622316427125895e-05,7.023775680728125e-06,363.0
9.62231642735045e-05,7.023775678520402e-06,364.0
9.622316427508624e-05,7.023775676977156e-06,365.0
9.622316427598805e-05,7.023775676114482e-06,366.0
9.622316427619378e-05,7.023775675948478e-06,367.0
9.62231642756873e-05,7.023775676495241e-06,368.0
9.622316427445248e-05,7.0237756777708645e-06,369.0
9.62231642724732e-05,7.023775679791448e-06,370.0
9.622316426973332e-05,7.0237756825730865e-06,371.0
9.622316426621668e-05,7.023775686131876e-06,372.0
9.622316426190721e-05,7.023775690483913e-06,373.0
9.622316425678873e-05,7.023775695645295e-06,374.0
9.622316425084512e-05,7.023775701632117e-06,375.0
9.622316424406025e-05,7.023775708460477e-06,376.0
9.622316423641798e-05,7.023775716146469e-06,377.0
9.622316422790221e-05,7.023775724706191e-06,378.0
9.622316421849677e-05,7.023775734155739e-06,379.0
9.622316420818555e-05,7.0237757445112095e-06,380.0
9.62231641969524e-05,7.023775755788699e-06,381.0
9.622316418478121e-05,7.0237757680043035e-06,382.0
9.622316417165583e-05,7.023775781174119e-06,383.0
9.622316415756015e-05,7.023775795314242e-06,384.0
9.622316414247801e-05,7.02377581044077e-06,385.0
9.622316414597801e-05,7.023775807047026e-06,386.0
9.622316415055029e-05,7.023775802587479e-06,387.0
9.622316415500521e-05,7.023775798248074e-06,388.0
9.622316415933962e-05,7.023775794031928e-06,389.0
9.622316416355042e-05,7.023775789942155e-06,390.0
9.62231641676345e-05,7.023775785981873e-06,391.0
9.622316417158876e-05,7.0237757821541964e-06,392.0
9.622316417541009e-05,7.0237757784622416e-06,393.0
9.622316417909534e-05,7.023775774909125e-06,394.0
9.622316418264147e-05,7.023775771497961e-06,395.0
9.622316418604531e-05,7.0237757682318666e-06,396.0
9.622316418930377e-05,7.023775765113958e-06,397.0
9.622316419241374e-05,7.02377576214735e-06,398.0
9.622316419537213e-05,7.02377575933516e-06,399.0
9.62231641981758e-05,7.023775756680503e-06,400.0
9.622316420082166e-05,7.023775754186494e-06,401.0
9.622316420330658e-05,7.023775751856251e-06,402.0
9.622316420562747e-05,7.023775749692888e-06,403.0
9.622316420778119e-05,7.023775747699522e-06,404.0
9.622316420976467e-05,7.0237757458792685e-06,405.0
9.622316421157477e-05,7.023775744235244e-06,406.0
9.622316421320841e-05,7.023775742770563e-06,407.0
9.622316421466245e-05,7.023775741488342e-06,408.0
9.62231642159338e-05,7.023775740391698e-06,409.0
9.622316421701933e-05,7.023775739483745e-06,410.0
9.622316421791593e-05,7.023775738767602e-06,411.0
9.622316421862053e-05,7.02377573824638e-06,412.0
9.622316421912996e-05,7.0237757379232e-06,413.0
9.622316421944116e-05,7.023775737801175e-06,414.0
9.6223164219551e-05,7.0237757378834214e-06,415.0
9.622316421945637e-05,7.023775738173055e-06,416.0
9.622316421915416e-05,7.023775738673192e-06,417.0
9.622316421864125e-05,7.023775739386949e-06,418.0
9.622316421791457e-05,7.023775740317441e-06,419.0
9.622316421697096e-05,7.023775741467783e-06,420.0
9.622316421580732e-05,7.023775742841093e-06,421.0
9.622316421442058e-05,7.023775744440486e-06,422.0
9.622316421280757e-05,7.023775746269076e-06,423.0
9.622316421096522e-05,7.023775748329983e-06,424.0
9.622316420889041e-05,7.023775750626319e-06,425.0
9.622316420658003e-05,7.023775753161202e-06,426.0
9.622316420403099e-05,7.0237757559377474e-06,427.0
9.622316420124013e-05,7.023775758959072e-06,428.0
9.622316419820438e-05,7.0237757622282885e-06,429.0
9.622316419492063e-05,7.023775765748517e-06,430.0
9.622316419138575e-05,7.023775769522869e-06,431.0
9.622316418759665e-05,7.023775773554465e-06,432.0
9.62231641835502e-05,7.023775777846419e-06,433.0
9.622316417924331e-05,7.023775782401845e-06,434.0
9.622316417467284e-05,7.023775787223862e-06,435.0
9.622316416983572e-05,7.023775792315584e-06,436.0
9.622316416472881e-05,7.023775797680127e-06,437.0
9.622316415934903e-05,7.023775803320608e-06,438.0
9.622316415369322e-05,7.023775809240142e-06,439.0
9.622316414775832e-05,7.023775815441844e-06,440.0
9.622316414154118e-05,7.0237758219288325e-06,441.0
9.622316413503873e-05,7.02377582870422e-06,442.0
9.622316412824783e-05,7.023775835771126e-06,443.0
9.622316412116539e-05,7.023775843132663e-06,444.0
9.622316411378826e-05,7.02377585079195e-06,445.0
9.62231641061134e-05,7.023775858752102e-06,446.0
9.622316409813763e-05,7.023775867016233e-06,447.0
9.622316408985788e-05,7.02377587558746e-06,448.0
9.622316408127102e-05,7.0237758844689e-06,449.0
9.622316407237396e-05,7.023775893663667e-06,450.0
9.622316406316357e-05,7.023775903174879e-06,451.0
9.622316405363677e-05,7.02377591300565e-06,452.0
9.622316404379041e-05,7.023775923159099e-06,453.0
9.62231640365231e-05,7.023775930666423e-06,454.0
9.622316403302885e-05,7.023775934304689e-06,455.0
9.622316402950634e-05,7.02377593796709e-06,456.0
9.622316402595676e-05,7.02377594165234e-06,457.0
9.622316402238132e-05,7.023775945359151e-06,458.0
9.622316401878117e-05,7.023775949086239e-06,459.0
9.622316401515752e-05,7.023775952832317e-06,460.0
9.622316401151156e-05,7.0237759565960995e-06,461.0
9.622316400784447e-05,7.023775960376298e-06,462.0
9.622316400415744e-05,7.023775964171628e-06,463.0
9.622316400045166e-05,7.023775967980804e-06,464.0
9.622316399672832e-05,7.02377597180254e-06,465.0
9.62231639929886e-05,7.023775975635548e-06,466.0
9.62231639892337e-05,7.023775979478542e-06,467.0
9.62231639854648e-05,7.023775983330237e-06,468.0
9.62231639816831e-05,7.023775987189346e-06,469.0
9.622316397788974e-05,7.023775991054584e-06,470.0
9.622316397408598e-05,7.023775994924663e-06,471.0
9.622316397027296e-05,7.023775998798299e-06,472.0
9.622316396645188e-05,7.023776002674204e-06,473.0
9.622316396262394e-05,7.023776006551093e-06,474.0
9.622316395879031e-05,7.0237760104276775e-06,475.0
9.62231639549522e-05,7.0237760143026745e-06,476.0
9.622316395111077e-05,7.023776018174797e-06,477.0
9.622316394726722e-05,7.023776022042757e-06,478.0
9.622316394342275e-05,7.02377602590527e-06,479.0
9.622316393957854e-05,7.02377602976105e-06,480.0
9.622316393573576e-05,7.023776033608809e-06,481.0
9.622316393189562e-05,7.023776037447263e-06,482.0
9.622316392805931e-05,7.023776041275124e-06,483.0
9.6223163924228e-05,7.0237760450911075e-06,484.0
9.622316392040289e-05,7.023776048893926e-06,485.0
9.622316391658517e-05,7.023776052682294e-06,486.0
9.622316391277603e-05,7.023776056454926e-06,487.0
9.622316390897665e-05,7.023776060210534e-06,488.0
9.62231639051882e-05,7.023776063947833e-06,489.0
9.622316390141192e-05,7.023776067665537e-06,490.0
9.622316389764896e-05,7.023776071362359e-06,491.0
9.62231638939005e-05,7.023776075037013e-06,492.0
9.622316389016774e-05,7.023776078688213e-06,493.0
9.622316388645188e-05,7.0237760823146726e-06,494.0
9.62231638827541e-05,7.023776085915106e-06,495.0
9.622316387907558e-05,7.023776089488228e-06,496.0
9.622316387541753e-05,7.023776093032751e-06,497.0
9.622316387178111e-05,7.023776096547389e-06,498.0
9.622316386816752e-05,7.023776100030855e-06,499.0
9.622316386457794e-05,7.023776103481866e-06,500.0
8.439679668384514e-06,9.414725666990101e-05,501.0
8.44233680344342e-06,9.418673844898024e-05,502.0
8.445211075476504e-06,9.42279477110942e-05,503.0
8.448224896520207e-06,9.426991573762333e-05,504.0
8.451313911659563e-06,9.431187069979641e-05,505.0
8.454425520454522e-06,9.4353205024814e-05,506.0
8.457517271535105e-06,9.439344621362858e-05,507.0
8.460555515308008e-06,9.44322344465257e-05,508.0
8.463514153434119e-06,9.446930349036944e-05,509.0
8.46637349405023e-06,9.45044644221079e-05,510.0
8.469119281630991e-06,9.453759239347372e-05,511.0
8.47174171615772e-06,9.456861396052992e-05,512.0
8.474234735483632e-06,9.459749801508196e-05,513.0
8.476595431196985e-06,9.462424857514843e-05,514.0
8.478823296035918e-06,9.464889564576584e-05,515.0
8.480919836553358e-06,9.467149077325582e-05,516.0
8.482888132706582e-06,9.469210182779153e-05,517.0
8.48473245737779e-06,9.471080868611114e-05,518.0
8.486457993947666e-06,9.47276999961121e-05,519.0
8.488070572933801e-06,9.474287026509542e-05,520.0
8.489576471459835e-06,9.475641770645665e-05,521.0
8.490982198567973e-06,9.476844153150518e-05,522.0
8.492294409102865e-06,9.477904165173394e-05,523.0
8.493519744504982e-06,9.478831654574921e-05,524.0
8.494664759911968e-06,9.479636260702755e-05,525.0
8.49573585124099e-06,9.480327328000669e-05,526.0
8.496739180236862e-06,9.480913851369718e-05,527.0
8.497680647295148e-06,9.481404440824573e-05,528.0
8.49856586137779e-06,9.481807290488005e-05,529.0
8.499400113694948e-06,9.48213015962174e-05,530.0
8.500188367426915e-06,9.482380363983383e-05,531.0
