Mlc_Mlcsite_ptsGp1_1_task1,_1_task1
2.4149e-11,0.0
2.4148203353619962e-11,1.0
2.4148289533271198e-11,2.0
2.414829440991177e-11,3.0
2.4148167661299987e-11,4.0
2.4147870933923757e-11,5.0
2.4147393268226396e-11,6.0
2.4146739513469286e-11,7.0
2.414592318202474e-11,8.0
2.4144961824764632e-11,9.0
2.414387605100314e-11,10.0
2.4142686766259843e-11,11.0
2.414141610525797e-11,12.0
2.4140084790126847e-11,13.0
2.4138711590368244e-11,14.0
2.4137313372990737e-11,15.0
2.4135904961517815e-11,16.0
2.4134499144793518e-11,17.0
2.41331072295144e-11,18.0
2.4131738437886045e-11,19.0
2.4130400565183154e-11,20.0
2.4129099664132817e-11,21.0
2.4127840563956767e-11,22.0
2.412662673196035e-11,23.0
2.4125460562730775e-11,24.0
2.4124344068791842e-11,25.0
2.412327761065628e-11,26.0
2.412226118188902e-11,27.0
2.4121294891687223e-11,28.0
2.412037701136577e-11,29.0
2.4119507347783232e-11,30.0
2.4118683709469767e-11,31.0
2.411790468693025e-11,32.0
2.4117168692367123e-11,33.0
2.4116473537472642e-11,34.0
2.4115817741580472e-11,35.0
2.4115199050653194e-11,36.0
2.4114615941259934e-11,37.0
2.4114066342312895e-11,38.0
2.411354814277654e-11,39.0
2.4113059803296567e-11,40.0
2.4112599603886062e-11,41.0
2.411216559309935e-11,42.0
2.411175627352704e-11,43.0
2.4111370302996963e-11,44.0
2.4111006055777545e-11,45.0
2.4110662190076313e-11,46.0
2.4110337563071138e-11,47.0
2.4110030924814827e-11,48.0
2.4109741168353705e-11,49.0
2.4109467236394077e-11,50.0
2.4109208189318426e-11,51.0
2.4108963137087664e-11,52.0
2.4108731031396014e-11,53.0
2.4108511210772067e-11,54.0
2.4108302971562223e-11,55.0
2.4108105681256788e-11,56.0
2.410791853962908e-11,57.0
2.4107740891901584e-11,58.0
2.4107572310021444e-11,59.0
2.410741232699707e-11,60.0
2.4107260480736915e-11,61.0
2.410711601303824e-11,62.0
2.410697870897125e-11,63.0
2.4106848213555336e-11,64.0
2.4106724215267574e-11,65.0
2.4106606196568513e-11,66.0
2.4106493818973526e-11,67.0
2.410638687856505e-11,68.0
2.410628512735762e-11,69.0
2.410618829731717e-11,70.0
2.410609595240519e-11,71.0
2.4106007983312805e-11,72.0
2.4105924187404066e-11,73.0
2.4105844383732692e-11,74.0
2.410576817521429e-11,75.0
2.4105695427449428e-11,76.0
2.41056260391531e-11,77.0
2.4105559869270515e-11,78.0
2.4105496794458487e-11,79.0
2.4105436709085478e-11,80.0
2.410537936789098e-11,81.0
2.4105324467661814e-11,82.0
2.410527207015076e-11,83.0
2.4105222079213817e-11,84.0
2.41051744110514e-11,85.0
2.4105128994208353e-11,86.0
2.4105085751275516e-11,87.0
2.4105044259423547e-11,88.0
2.410500465133221e-11,89.0
2.4104966852103167e-11,90.0
2.410493079441653e-11,91.0
2.4104896418530867e-11,92.0
2.4104863672283206e-11,93.0
2.4104832349497202e-11,94.0
2.410480239619515e-11,95.0
2.4104773801430084e-11,96.0
2.4104746509065046e-11,97.0
2.4104720467619363e-11,98.0
2.4104695630268635e-11,99.0
2.4104671918991374e-11,100.0
