value_component_environment_variable_time,value_component_uninfected_variable_lambda,value_component_uninfected_variable_d,value_component_uninfected_variable_x,value_component_infected_variable_beta,value_component_infected_variable_a,value_component_infected_variable_p,value_component_infected_variable_y,value_component_virus_variable_k,value_component_virus_variable_u,value_component_virus_variable_v,value_component_CTL_variable_c,value_component_CTL_variable_b,value_component_CTL_variable_z
0.0,1.0,0.01,100.0,0.02,0.5,1.0,0.0,1.0,1.0,10.0,1.0,0.05,1.0
0.1,1.0,0.01,98.1097332902749,0.02,0.5,1.0,1.7499403145854882,1.0,1.0,9.136857846356069,1.0,0.05,1.0903788330096054
0.2,1.0,0.01,96.40039777764052,0.02,0.5,1.0,3.0409402533730288,1.0,1.0,8.499896076602042,1.0,0.05,1.3837466742013613
0.30000000000000004,1.0,0.01,94.82697128090868,0.02,0.5,1.0,3.8667413525513443,1.0,1.0,8.024255631334539,1.0,0.05,1.9528237583028059
0.4,1.0,0.01,93.35937736641276,0.02,0.5,1.0,4.161408791222903,1.0,1.0,7.647380141592024,1.0,0.05,2.9166080863852573
0.5,1.0,0.01,91.98104827832768,0.02,0.5,1.0,3.883194149018758,1.0,1.0,7.306571930457596,1.0,0.05,4.359078182193672
0.6000000000000001,1.0,0.01,90.68723403327954,0.02,0.5,1.0,3.157683133454051,1.0,1.0,6.94814993726353,1.0,0.05,6.183512845787589
0.7000000000000001,1.0,0.01,89.48090661399212,0.02,0.5,1.0,2.3039653752475147,1.0,1.0,6.5457572067672,1.0,0.05,8.081434585433374
0.8,1.0,0.01,88.36653161295698,0.02,0.5,1.0,1.6095363472855448,1.0,1.0,6.106622427896227,1.0,0.05,9.759744659293576
0.9,1.0,0.01,87.34537784756422,0.02,0.5,1.0,1.1530219500972307,1.0,1.0,5.6548414414768295,1.0,0.05,11.129072002742085
1.0,1.0,0.01,86.4146529670911,0.02,0.5,1.0,0.8756159624882044,1.0,1.0,5.211926963738159,1.0,0.05,12.241670741669813
