Time,D_Dendritic_Cells,H_CD4_T_Cells,L_CD8_T_Cells,T_Tumor_Cells,a_1,a_2,a_3,b_1__1,b_2__1,b_3__1,e,alpha_1,alpha_2,beta_1,beta_2,beta_3,u_1,u_2,compartment,Tumor_Growth,Tumor_Death_CD8,Tumor_Death_Chemotherapy,CD8_Activation,CD8_Inactivation,CD8_Death,DC_Growth,DC_Inactivation,DC_Immunotherapy,CD4_Growth,CD4_Inactivation
0.0,10.0,5.0,10.0,1000000.0,0.431,0.234,0.017,1.02e-09,1.25e-05,0.0005,1.04e-08,4.2e-08,8e-10,2e-05,2e-05,2e-05,0.0,0.0,1.0,430560.38,0.42,0.0,0.003,0.008,1.04e-07,2.3397075000000003,0.002,0.0,0.08478750000000002,0.001
0.03,10.070377803153638,5.0025142557877995,9.999848658993756,1013000.5403592726,0.431,0.234,0.017,1.02e-09,1.25e-05,0.0005,1.04e-08,4.2e-08,8e-10,2e-05,2e-05,2e-05,0.0,0.0,1.0,436152.10799778445,0.4254537879930081,0.0,0.0030145327888552636,0.008103881676057297,1.0399842605353506e-07,2.3561717743488395,0.0020140450794085283,0.0,0.08483002858291804,0.0010004877094467355
0.06,10.141250712517738,5.005029772887421,9.99969461983194,1026169.8580917753,0.431,0.234,0.017,1.02e-09,1.25e-05,0.0005,1.04e-08,4.2e-08,8e-10,2e-05,2e-05,2e-05,0.0,0.0,1.0,441816.2781727259,0.4309781787777493,0.0,0.0030291635896074302,0.008209108167195224,1.0399682404625218e-07,2.3727518452035596,0.0020281882037666093,0.0,0.08487257839335251,0.0010009753858408205
0.09,10.212622377023715,5.00754655217813,9.999537843551806,1039510.2187070108,0.431,0.234,0.017,1.02e-09,1.25e-05,0.0005,1.04e-08,4.2e-08,8e-10,2e-05,2e-05,2e-05,0.0,0.0,1.0,447553.8590259793,0.43657411437022187,0.0,0.003043893103856105,0.008315697416575656,1.0399519357293879e-07,2.3894485655802886,0.002042430078819053,0.0,0.08491514944601426,0.0010014630250370518
0.12,10.284496251179958,5.010064594284851,9.999378292559372,1053023.804982384,0.431,0.234,0.017,1.02e-09,1.25e-05,0.0005,1.04e-08,4.2e-08,8e-10,2e-05,2e-05,2e-05,0.0,0.0,1.0,453365.7832949801,0.4422425018377432,0.0,0.0030587219942473866,0.008423666701671299,1.0399353424261748e-07,2.4062627430014243,0.002056771371279142,0.0,0.08495774175131178,0.0010019506229682446
0.15,10.356875885059493,5.012583899850871,9.999215927996428,1066712.872189424,0.431,0.234,0.017,1.02e-09,1.25e-05,0.0005,1.04e-08,4.2e-08,8e-10,2e-05,2e-05,2e-05,0.0,0.0,1.0,459253.01471190975,0.44798427837220284,0.0,0.003073650941719526,0.008533033873756245,1.0399184565116285e-07,2.423195207335483,0.00207121276628338,0.0,0.08500035531996394,0.0010024381754361457
0.18,10.429764876001263,5.015104469525476,9.999050710245543,1080579.7186856982,0.431,0.234,0.017,1.02e-09,1.25e-05,0.0005,1.04e-08,4.2e-08,8e-10,2e-05,2e-05,2e-05,0.0,0.0,1.0,465216.5353489854,0.45380039895124874,0.0,0.0030886806359807758,0.00864381712288093,1.0399012738655365e-07,2.4402467994978423,0.002085754957821489,0.0,0.08504299016279093,0.0010029256781592863
0.21,10.50316674794985,5.017626303933766,9.99888260022361,1094626.6107219667,0.431,0.234,0.017,1.02e-09,1.25e-05,0.0005,1.04e-08,4.2e-08,8e-10,2e-05,2e-05,2e-05,0.0,0.0,1.0,471257.3132765498,0.45969180481096383,0.0,0.0031038117517630114,0.008756034377351693,1.0398837904232554e-07,2.457418343223439,0.002100398624866459,0.0,0.08508564629020364,0.0010034131268965528
0.24,10.57708513646101,5.02014940372299,9.998711557392713,1108855.8980488533,0.431,0.234,0.017,1.02e-09,1.25e-05,0.0005,1.04e-08,4.2e-08,8e-10,2e-05,2e-05,2e-05,0.0,0.0,1.0,477376.3522752281,0.4656594718987741,0.0,0.0031190449852060522,0.008869704226643316,1.0398660019688423e-07,2.4747106883466734,0.002115144467949188,0.0,0.08512832371298738,0.0010039005172568641
0.27,10.65152368729912,5.022673769536993,9.9985375408389,1123269.951174388,0.431,0.234,0.017,1.02e-09,1.25e-05,0.0005,1.04e-08,4.2e-08,8e-10,2e-05,2e-05,2e-05,0.0,0.0,1.0,483574.6648469938,0.4717043845631626,0.0,0.0031343810338939496,0.008984845420250718,1.0398479042472456e-07,2.492124687079176,0.0021299931890919007,0.0,0.08517102244186975,0.0010043878448020493
0.3,10.726486033797553,5.025199402010575,9.998360509512986,1137871.1473587994,0.431,0.234,0.017,1.02e-09,1.25e-05,0.0005,1.04e-08,4.2e-08,8e-10,2e-05,2e-05,2e-05,0.0,0.0,1.0,489853.26618781046,0.4778275296759909,0.0,0.003149820592393097,0.00910147675573316,1.0398294929893507e-07,2.5096611887134253,0.002144945487323281,0.0,0.08521374248742505,0.0010048751050698163
0.32999999999999996,10.801975855219922,5.027726301784077,9.998180421599665,1152661.9072697065,0.431,0.234,0.017,1.02e-09,1.25e-05,0.0005,1.04e-08,4.2e-08,8e-10,2e-05,2e-05,2e-05,0.0,0.0,1.0,496213.1899445559,0.48402991198748374,0.0,0.0031653643637182278,0.009219617371190167,1.0398107638463652e-07,2.52732105327551,0.0021600020702050426,0.0,0.08525648386032128,0.001005362293513185
