T,BBS,HHS,NNS,VVS,ZZS
0.0,0.203517,0.98786002,0.024569999,-71.813271,0.00141
0.5,0.20337264,0.98355722,0.024833629,-71.487167,0.0014103147
1.0,0.20295759,0.98072875,0.025405535,-71.170616,0.0014112688
1.5,0.20229732,0.97871083,0.026107093,-70.863281,0.0014128801
2.0,0.20141542,0.97713625,0.026862895,-70.564819,0.0014151655
2.5,0.20033365,0.97580194,0.027640987,-70.274895,0.0014181416
3.0,0.19907209,0.97459579,0.0284277,-69.993179,0.0014218247
3.5,0.19764924,0.9734562,0.029217085,-69.719337,0.0014262302
4.0,0.19608209,0.97234923,0.030006465,-69.453049,0.0014313734
4.5,0.19438629,0.97125649,0.030794568,-69.193993,0.0014372689
5.0,0.1925762,0.97016799,0.031580754,-68.941849,0.0014439311
5.5,0.19066501,0.96907848,0.032364666,-68.696304,0.001451374
6.0,0.18866479,0.96798515,0.033146117,-68.457062,0.0014596113
6.5,0.1865866,0.9668867,0.033925015,-68.223801,0.0014686565
7.0,0.18444058,0.9657824,0.034701336,-67.996246,0.0014785227
7.5,0.182236,0.96467203,0.03547512,-67.774101,0.0014892229
8.0,0.17998129,0.9635554,0.036246464,-67.557076,0.0015007703
8.5,0.1776842,0.96243244,0.037015516,-67.344894,0.0015131781
9.0,0.17535175,0.961303,0.037782472,-67.137299,0.0015264592
9.5,0.17299035,0.96016705,0.038547572,-66.934006,0.0015406272
10.0,0.17060585,0.95902425,0.039311115,-66.734756,0.0015556957
10.5,0.16820353,0.95787448,0.040073432,-66.539307,0.0015716784
11.0,0.1657882,0.95671719,0.040834907,-66.347389,0.0015885901
11.5,0.16336423,0.95555204,0.041595969,-66.158768,0.0016064458
12.0,0.16093554,0.95437849,0.042357083,-65.973198,0.0016252609
12.5,0.15850568,0.95319587,0.043118771,-65.790443,0.0016450522
13.0,0.15607785,0.95200348,0.043881591,-65.610268,0.0016658371
13.5,0.15365493,0.95080042,0.044646151,-65.432426,0.001687634
14.0,0.15123951,0.94958586,0.045413114,-65.256699,0.0017104626
14.5,0.14883386,0.94835871,0.046183188,-65.082855,0.0017343441
15.0,0.14644003,0.94711787,0.046957139,-64.91066,0.0017593008
15.5,0.14405981,0.94586194,0.047735795,-64.739876,0.0017853572
16.0,0.14169481,0.94458961,0.048520043,-64.570274,0.0018125396
16.5,0.13934641,0.94329923,0.049310848,-64.401627,0.0018408763
17.0,0.13701582,0.94198918,0.050109249,-64.233673,0.0018703982
17.5,0.13470404,0.9406575,0.05091637,-64.066177,0.0019011388
18.0,0.13241197,0.93930215,0.051733438,-63.898888,0.0019331347
18.5,0.13014032,0.93792075,0.052561782,-63.731529,0.0019664261
19.0,0.12788968,0.93651074,0.053402867,-63.563831,0.0020010569
19.5,0.12566049,0.93506932,0.054258291,-63.3955,0.0020370751
20.0,0.1234531,0.93359327,0.055129815,-63.226227,0.0020745341
20.5,0.12126773,0.93207914,0.056019392,-63.055683,0.0021134927
21.0,0.11910449,0.93052286,0.056929193,-62.883511,0.0021540157
21.5,0.11696338,0.92892009,0.057861648,-62.709332,0.002196176
22.0,0.11484433,0.9272657,0.058819477,-62.532715,0.0022400543
22.5,0.11274715,0.92555398,0.059805758,-62.353207,0.0022857413
23.0,0.11067156,0.92377847,0.060823996,-62.170284,0.0023333384
23.5,0.10861722,0.92193156,0.061878193,-61.983368,0.0023829613
24.0,0.10658364,0.92000467,0.062972963,-61.791805,0.0024347405
24.5,0.10457028,0.91798759,0.064113662,-61.594841,0.0024888252
25.0,0.10257651,0.91586846,0.065306559,-61.391621,0.0025453873
25.5,0.10060156,0.91363335,0.066559054,-61.181126,0.0026046245
26.0,0.098644592,0.91126543,0.067879967,-60.962173,0.0026667686
26.5,0.096704617,0.90874439,0.069279924,-60.733341,0.0027320916
27.0,0.094780542,0.90604568,0.070771903,-60.492912,0.0028009159
27.5,0.0928711,0.9031387,0.072371915,-60.238789,0.0028736298
28.0,0.090974867,0.89998507,0.074100055,-59.968346,0.0029507044
28.5,0.089090206,0.89653593,0.07598199,-59.678253,0.0030327225
29.0,0.087215215,0.89272755,0.078051135,-59.364197,0.0031204158
29.5,0.085347697,0.88847506,0.080352031,-59.020447,0.0032147232
30.0,0.083485045,0.88366222,0.082945786,-58.639153,0.0033168814
30.5,0.08162412,0.87812442,0.085919119,-58.209179,0.0034285686
31.0,0.079761066,0.87161857,0.089400448,-57.713997,0.0035521565
31.5,0.077890992,0.86376578,0.093590699,-57.127594,0.0036911722
32.0,0.076007493,0.85393161,0.098828204,-56.405663,0.0038512398
32.5,0.074101649,0.84093946,0.10574516,-55.463688,0.0040422808
33.0,0.07216011,0.82223481,0.11572882,-54.109146,0.0042848079
33.5,0.070160158,0.79044992,0.13284321,-51.735851,0.0046358034
34.0,0.068054862,0.70140517,0.18175513,-44.211712,0.0054483851
34.5,0.065839842,0.028705958,0.89140564,-7.868886,0.010766448
35.0,0.063817769,0.27944309,0.51839709,-53.09494,0.013289201
35.5,0.062179603,0.52243763,0.27819717,-54.678669,0.013494531
36.0,0.06058355,0.64791691,0.1866817,-53.634888,0.013706151
36.5,0.058937278,0.6941554,0.16357009,-51.282185,0.014027503
37.0,0.057181034,0.63997734,0.20165347,-42.97736,0.014891027
37.5,0.055318121,0.023382191,0.8884995,-14.233385,0.020406945
38.0,0.053649593,0.29121876,0.50172263,-52.965218,0.022607263
38.5,0.052320622,0.52560955,0.27367565,-54.271534,0.022769285
39.0,0.0510167,0.64494199,0.18788211,-53.139896,0.022945957
