data_set_value_component_environment_variable_time,data_set_value_component_T_variable_T,data_set_value_component_LT_variable_LT,data_set_value_component_RT_variable_RT,data_set_value_component_m_variable_m,data_set_value_component_Lm_variable_Lm,data_set_value_component_Rm_variable_Rm,data_set_value_component_SL_variable_SL,data_set_value_component_model_parameters_variable_k1,data_set_value_component_model_parameters_variable_k2,data_set_value_component_model_parameters_variable_k3,data_set_value_component_model_parameters_variable_k4,data_set_value_component_model_parameters_variable_k5,data_set_value_component_model_parameters_variable_k6,data_set_value_component_model_parameters_variable_k7,data_set_value_component_model_parameters_variable_k8,data_set_value_component_model_parameters_variable_k9,data_set_value_component_model_parameters_variable_k10,data_set_value_component_model_parameters_variable_k11
0.0,500.0,0.0,10000.0,500.0,1000.0,1000.0,0.0,8.38e-10,0.006,5.9413,0.35,2.52e-09,2244.0,0.35,19200000000.0,8730000000.0,3110.0,13.9
0.1,379.086600281293,91.70956574767898,8900.185968240865,499.02530947449196,508.74482524949315,1078.794843050374,5.021971194403947e-11,8.38e-10,0.006,5.9413,0.35,2.52e-09,2244.0,0.35,19200000000.0,8730000000.0,3110.0,13.9
0.2,325.1965965423982,121.81711087787556,8030.784177548408,497.23671182178515,385.0606248066275,1158.418310012915,4.9336502159189576e-11,8.38e-10,0.006,5.9413,0.35,2.52e-09,2244.0,0.35,19200000000.0,8730000000.0,3110.0,13.9
0.30000000000000004,289.4056177572644,127.96377533107653,7236.813315728086,495.32171383361685,357.430013109144,1223.5168055896627,5.3948960505244554e-11,8.38e-10,0.006,5.9413,0.35,2.52e-09,2244.0,0.35,19200000000.0,8730000000.0,3110.0,13.9
0.4,261.50236533197733,124.42759557800073,6464.544134721686,493.5224163783804,359.7581081330281,1266.2521874905092,6.175137414822382e-11,8.38e-10,0.006,5.9413,0.35,2.52e-09,2244.0,0.35,19200000000.0,8730000000.0,3110.0,13.9
0.5,238.58448525419283,117.31224284622803,5698.298550987065,491.9290719407375,371.9442137629395,1282.3848622185117,7.213266972108593e-11,8.38e-10,0.006,5.9413,0.35,2.52e-09,2244.0,0.35,19200000000.0,8730000000.0,3110.0,13.9
0.6000000000000001,219.57954625544917,109.33813915104301,4937.238622916352,490.56367668050876,387.0919123976406,1269.489867283045,8.528601506321768e-11,8.38e-10,0.006,5.9413,0.35,2.52e-09,2244.0,0.35,19200000000.0,8730000000.0,3110.0,13.9
0.7000000000000001,203.93531063624417,101.71446536777694,4187.205269692508,489.417379986211,402.6164794876971,1226.3037849185391,1.0193267337230271e-10,8.38e-10,0.006,5.9413,0.35,2.52e-09,2244.0,0.35,19200000000.0,8730000000.0,3110.0,13.9
0.8,191.26210096820944,94.95065544306905,3457.3890041477475,488.46936708582615,417.4824335177136,1152.4518141321867,1.2346451286909944e-10,8.38e-10,0.006,5.9413,0.35,2.52e-09,2244.0,0.35,19200000000.0,8730000000.0,3110.0,13.9
0.9,181.23078774765574,89.2269235224725,2758.5764077544372,487.6963933817333,431.2672664754253,1048.2705999143402,1.5243935638647621e-10,8.38e-10,0.006,5.9413,0.35,2.52e-09,2244.0,0.35,19200000000.0,8730000000.0,3110.0,13.9
1.0,173.54369949549383,84.56957057699165,2102.0232436777965,487.07745345978367,443.8143655485186,914.5806246305324,1.939056778033313e-10,8.38e-10,0.006,5.9413,0.35,2.52e-09,2244.0,0.35,19200000000.0,8730000000.0,3110.0,13.9
