G2_c,G2_n,G4_c,G4_n,GG_c,GG_n,G_c,G_n,PPase,R,R_act,R_inact,S22_c,S22_n,S24_c,S24_n,S2_c,S2_n,S4_c,S4_n,SB,TGFb_c,pG_c,pG_n,pS2_c,pS2_n,Time
0.0,0.0,0.0,0.0,0.0,0.0,60.5899176013587,28.514773357617,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5899176013587,28.514773357617,50.78103407,50.78093897,0.0,0.0659999824780232,0.0,0.0,0.0,0.0,0.0
3.8358271740437635e-22,5.744252887700253e-26,2.4428104253282364e-12,4.1503058381250865e-16,3.835827174043762e-22,5.744252887700253e-26,60.589917542211204,28.51477347827837,1.0,0.9999510057502303,4.899424976980144e-05,0.0,3.835827174043762e-22,5.744252887700255e-26,2.4428104253282356e-12,4.1503058381250865e-16,60.589917542211204,28.51477347827837,50.781034067510895,50.7809389756392,0.0,0.0659999824780232,5.9901870447949315e-09,1.550416591672681e-13,5.990187044794931e-09,1.5504165916726802e-13,0.01
6.423854663056388e-21,1.2134045032275912e-24,1.700714489928756e-11,4.4380810005882476e-15,6.423854663056389e-21,1.2134045032275918e-24,60.5899174710886,28.514773598920616,1.0,0.9999020139008037,9.798609919634667e-05,0.0,6.4238546630563845e-21,1.2134045032275907e-24,1.7007144899287553e-11,4.438081000588246e-15,60.5899174710886,28.514773598920616,50.78103406499775,50.780938981277906,0.0,0.0659999824780232,2.3951462242412083e-08,1.079216226670787e-12,2.395146224241209e-08,1.0792162266707869e-12,0.02
4.0221370735040217e-20,9.381144378772244e-24,5.409564230232385e-11,1.8972266374516255e-14,4.0221370735040217e-20,9.381144378772247e-24,60.589917387991356,28.51477371954308,1.0,0.9998530244516767,0.0001469755483234652,0.0,4.022137073504022e-20,9.381144378772247e-24,5.4095642302323874e-11,1.8972266374516245e-14,60.589917387991356,28.51477371954308,50.781034062439765,50.780938986916134,0.0,0.0659999824780232,5.387291047559916e-08,3.4320922556528835e-12,5.387291047559918e-08,3.4320922556528835e-12,0.03
1.561706243708094e-19,4.37387130916617e-23,1.2485847397828357e-10,5.5270811896078664e-14,1.561706243708094e-19,4.37387130916617e-23,60.58991729292035,28.51477384014505,1.0,0.9998040374027459,0.00019596259725417926,0.0,1.5617062437080945e-19,4.37387130916617e-23,1.2485847397828357e-10,5.5270811896078664e-14,60.58991729292035,28.51477384014505,50.78103405981462,50.780938992553864,0.0,0.0659999824780232,9.574255097635019e-08,7.920131584373117e-12,9.574255097635022e-08,7.920131584373117e-12,0.04
4.530396095756118e-19,1.488244317606816e-22,2.3994365874357626e-10,1.2826504310873957e-13,4.530396095756115e-19,1.4882443176068155e-22,60.58991718587638,28.514773960725854,1.0,0.9997550527539014,0.0002449472460985621,0.0,4.530396095756119e-19,1.4882443176068165e-22,2.399436587435763e-10,1.2826504310873955e-13,60.58991718587638,28.514773960725854,50.78103405710102,50.780938998191075,0.0,0.0659999824780232,1.495488825404098e-07,1.5217434779032066e-11,1.495488825404098e-07,1.5217434779032066e-11,0.05
1.0862695637714447e-18,4.0866928400069413e-22,4.100158542102492e-10,2.566624456076176e-13,1.0862695637714445e-18,4.086692840006939e-22,60.58991706686034,28.514774081284816,1.0,0.9997060705050315,0.00029392949496863174,0.0,1.0862695637714447e-18,4.0866928400069413e-22,4.1001585421024935e-10,2.566624456076177e-13,60.58991706686034,28.514774081284816,50.781034054277626,50.780939003827775,0.0,0.0659999824780232,2.1528037568036983e-07,2.599866755797529e-11,2.152803756803699e-07,2.599866755797529e-11,0.06
2.295039465157811e-18,9.750757842136766e-22,6.464418874240625e-10,4.644883625215955e-13,2.2950394651578104e-18,9.750757842136764e-22,60.58991693587312,28.51477420182121,1.0,0.9996570906560157,0.0003429093439844492,0.0,2.295039465157811e-18,9.750757842136766e-22,6.464418874240626e-10,4.644883625215956e-13,60.58991693587312,28.51477420182121,50.78103405132169,50.78093900946395,0.0,0.0659999824780232,2.9292473687101936e-07,4.098238551031957e-11,2.9292473687101936e-07,4.0982385510319577e-11,0.07
4.415052828917493e-18,2.09692630553706e-21,9.60661353400753e-10,7.80546722366786e-13,4.4150528289174925e-18,2.0969263055370593e-21,60.58991679291565,28.51477432233431,1.0,0.9996081132067332,0.00039188679326716103,0.0,4.415052828917493e-18,2.09692630553706e-21,9.606613534007532e-10,7.805467223667862e-13,60.58991679291565,28.51477432233431,50.781034048210316,50.78093901509958,0.0,0.0659999824780232,3.8246959050243004e-07,6.089114472566502e-11,3.824695905024301e-07,6.089114472566502e-11,0.08
8.113829628650648e-18,4.509819193065767e-21,1.3636533877507312e-09,1.2457521654589612e-12,8.113829628650653e-18,4.5098191930657655e-21,60.58991663798886,28.514774442823416,1.0,0.9995591381570667,0.0004408618429335518,0.0,8.11382962865065e-18,4.5098191930657655e-21,1.3636533877507317e-09,1.2457521654589608e-12,60.58991663798886,28.514774442823416,50.78103404492151,50.780939020734635,0.0,0.0659999824780232,4.839030513581041e-07,8.641670435288246e-11,4.839030513581042e-07,8.641670435288244e-11,0.09
1.387039446499743e-17,8.672496378903776e-21,1.866678928583578e-09,1.894155596067399e-12,1.3870394464997431e-17,8.672496378903773e-21,60.58991647109362,28.514774563287805,1.0,0.999510165506897,0.000489834493103091,0.0,1.387039446499743e-17,8.672496378903776e-21,1.866678928583578e-09,1.8941555960673988e-12,60.58991647109362,28.514774563287805,50.78103404143275,50.780939026369104,0.0,0.0659999824780232,5.972129338104102e-07,1.1826960063247447e-10,5.972129338104102e-07,1.1826960063247447e-10,0.1
