Time,PPase,S2_n,pS2_n,G_n,pG_n,S22_n,S24_n,S4_n,G2_n,G4_n,GG_n,S22_c,S24_c,S4_c,S2_c,pS2_c,G_c,pG_c,G2_c,G4_c,GG_c,TGFb_c,R_act,R,R_inact,SB,kin,kex,kphos,kdephos,kin_CIF,kon,koff,CIF,K_diss,kon_SB,koff_SB,k_TGFb,K_dissSB,ntoN,SB_0,SB_add,t_SB,nucleus,cytosol,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_24,reaction_25,reaction_26
0.0,1.0,28.514773357617,0.0,28.514773357617,0.0,0.0,0.0,50.78093897,0.0,0.0,0.0,0.0,0.0,50.78103407,60.5899176013587,0.0,60.5899176013587,0.0,0.0,0.0,0.0,0.0659999824780232,0.0,1.0,0.0,0.0,5.93e-15,1.26e-14,0.0004037081673984,0.00656639,3.36347821e-14,0.00183925592901392,0.016,5.67197,8.699169999999988,0.146422317103884,100.0,0.07423555020288,682.9559999999985,602214150000000.0,0.0,10000.0,2700.0,1e-12,2.27e-12,5.639429999396455e-19,1.2067070082861902e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1121967178684836e-14,0.0,0.0,0.0,1.2067070082861902e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.0,28.51477347827837,1.5504165916726802e-13,28.51477347827837,1.550416591672681e-13,5.744252887700255e-26,4.1503058381250865e-16,50.7809389756392,5.744252887700253e-26,4.1503058381250865e-16,5.744252887700253e-26,3.835827174043762e-22,2.4428104253282356e-12,50.781034067510895,60.589917542211204,5.990187044794931e-09,60.589917542211204,5.9901870447949315e-09,3.8358271740437635e-22,2.4428104253282364e-12,3.835827174043762e-22,0.0659999824780232,4.899424976980144e-05,0.9999510057502303,0.0,0.0,5.93e-15,1.26e-14,0.0004037081673984,0.00656639,3.36347821e-14,0.00183925592901392,0.016,5.67197,8.699169999999988,0.146422317103884,100.0,0.07423555020288,682.9559999999985,602214150000000.0,0.0,10000.0,2700.0,1e-12,2.27e-12,5.638947991499413e-19,1.206519900496112e-17,3.5519855650728427e-23,2.7204382105970175e-18,1.2699294802062653e-21,1.447411762041871e-26,8.216339636752352e-26,1.290172111722207e-35,1.497988227114452e-31,-8.748685823656554e-40,1.018064000339357e-27,1.1121422266246954e-14,0.0,2.720438210597018e-18,1.0180640003393576e-27,1.206519900496112e-17,3.551985565072843e-23,1.4979882271144525e-31,-8.74868582365655e-40,1.4979882271144523e-31,-8.74868582365655e-40,1.2699294802062655e-21,1.4474117620418723e-26,1.290172111722207e-35,1.2901721117222076e-35,8.216339636752355e-26
0.02,1.0,28.514773598920616,1.0792162266707869e-12,28.514773598920616,1.079216226670787e-12,1.2134045032275907e-24,4.438081000588246e-15,50.780938981277906,1.2134045032275912e-24,4.4380810005882476e-15,1.2134045032275918e-24,6.4238546630563845e-21,1.7007144899287553e-11,50.78103406499775,60.5899174710886,2.395146224241209e-08,60.5899174710886,2.3951462242412083e-08,6.423854663056388e-21,1.700714489928756e-11,6.423854663056389e-21,0.0659999824780232,9.798609919634667e-05,0.9999020139008037,0.0,0.0,5.93e-15,1.26e-14,0.0004037081673984,0.00656639,3.36347821e-14,0.00183925592901392,0.016,5.67197,8.699169999999988,0.146422317103884,100.0,0.07423555020288,682.9559999999985,602214150000000.0,0.0,10000.0,2700.0,1e-12,2.27e-12,5.638464586119501e-19,1.2063257155609606e-17,1.4201857297304764e-22,5.4407431341563314e-18,5.077486341204135e-21,1.0072686149704195e-25,5.720316128306633e-25,2.160649518339704e-34,2.394913208970964e-30,-1.7272276575227893e-38,7.086554638648788e-27,1.1120877380505607e-14,0.0,5.440743134156331e-18,7.08655463864879e-27,1.2063257155609606e-17,1.420185729730476e-22,2.3949132089709628e-30,-1.7272276575227908e-38,2.3949132089709635e-30,-1.72722765752279e-38,5.0774863412041336e-21,1.0072686149704198e-25,2.1606495183397054e-34,2.1606495183397054e-34,5.7203161283066345e-25
0.03,1.0,28.51477371954308,3.4320922556528835e-12,28.51477371954308,3.4320922556528835e-12,9.381144378772247e-24,1.8972266374516245e-14,50.780938986916134,9.381144378772244e-24,1.8972266374516255e-14,9.381144378772247e-24,4.022137073504022e-20,5.4095642302323874e-11,50.781034062439765,60.589917387991356,5.387291047559918e-08,60.589917387991356,5.387291047559916e-08,4.0221370735040217e-20,5.409564230232385e-11,4.0221370735040217e-20,0.0659999824780232,0.0001469755483234652,0.9998530244516767,0.0,0.0,5.93e-15,1.26e-14,0.0004037081673984,0.00656639,3.36347821e-14,0.00183925592901392,0.016,5.67197,8.699169999999988,0.146422317103884,100.0,0.07423555020288,682.9559999999985,602214150000000.0,0.0,10000.0,2700.0,1e-12,2.27e-12,5.637978551371527e-19,1.2061244545965008e-17,3.1942311475788187e-22,8.160914771499194e-18,1.1419978574331564e-20,3.202509194993076e-25,1.8194951413982056e-24,1.3528370404363947e-33,1.2115923961655218e-29,-1.2843324132149924e-37,2.2536456266596536e-26,1.1120332521460315e-14,0.0,8.160914771499196e-18,2.2536456266596536e-26,1.2061244545965008e-17,3.1942311475788177e-22,1.2115923961655209e-29,-1.2843324132149924e-37,1.2115923961655212e-29,-1.284332413214992e-37,1.1419978574331561e-20,3.202509194993076e-25,1.3528370404363945e-33,1.3528370404363945e-33,1.819495141398205e-24
0.04,1.0,28.51477384014505,7.920131584373117e-12,28.51477384014505,7.920131584373117e-12,4.37387130916617e-23,5.5270811896078664e-14,50.780938992553864,4.37387130916617e-23,5.5270811896078664e-14,4.37387130916617e-23,1.5617062437080945e-19,1.2485847397828357e-10,50.78103405981462,60.58991729292035,9.574255097635022e-08,60.58991729292035,9.574255097635019e-08,1.561706243708094e-19,1.2485847397828357e-10,1.561706243708094e-19,0.0659999824780232,0.00019596259725417926,0.9998040374027459,0.0,0.0,5.93e-15,1.26e-14,0.0004037081673984,0.00656639,3.36347821e-14,0.00183925592901392,0.016,5.67197,8.699169999999988,0.146422317103884,100.0,0.07423555020288,682.9559999999985,602214150000000.0,0.0,10000.0,2700.0,1e-12,2.27e-12,5.637488562978915e-19,1.2059161190012252e-17,5.676535336317936e-22,1.0880953126733898e-17,2.0294461085033888e-20,7.388491704111151e-25,4.199587565598088e-24,5.2527649211331255e-33,3.826605058406699e-29,-5.8444567277440225e-37,5.200667283431179e-26,1.1119787689109928e-14,0.0,1.0880953126733896e-17,5.200667283431179e-26,1.2059161190012252e-17,5.676535336317934e-22,3.826605058406697e-29,-5.8444567277440225e-37,3.8266050584066973e-29,-5.8444567277440225e-37,2.0294461085033885e-20,7.388491704111151e-25,5.2527649211331234e-33,5.2527649211331234e-33,4.199587565598088e-24
0.05,1.0,28.514773960725854,1.5217434779032066e-11,28.514773960725854,1.5217434779032066e-11,1.4882443176068165e-22,1.2826504310873955e-13,50.780938998191075,1.488244317606816e-22,1.2826504310873957e-13,1.4882443176068155e-22,4.530396095756119e-19,2.399436587435763e-10,50.78103405710102,60.58991718587638,1.495488825404098e-07,60.58991718587638,1.495488825404098e-07,4.530396095756118e-19,2.3994365874357626e-10,4.530396095756115e-19,0.0659999824780232,0.0002449472460985621,0.9997550527539014,0.0,0.0,5.93e-15,1.26e-14,0.0004037081673984,0.00656639,3.36347821e-14,0.00183925592901392,0.016,5.67197,8.699169999999988,0.146422317103884,100.0,0.07423555020288,682.9559999999985,602214150000000.0,0.0,10000.0,2700.0,1e-12,2.27e-12,5.636993359269086e-19,1.2057007101180906e-17,8.866331337864144e-22,1.3600858204360536e-17,3.169810869230871e-20,1.4192431283589941e-24,8.070452678116949e-24,1.5237888550744778e-32,9.335935220513421e-29,-1.955273821820654e-36,9.992361155868836e-26,1.1119242883453218e-14,0.0,1.3600858204360536e-17,9.992361155868836e-26,1.2057007101180906e-17,8.866331337864144e-22,9.335935220513421e-29,-1.9552738218206528e-36,9.335935220513421e-29,-1.9552738218206535e-36,3.169810869230871e-20,1.4192431283589941e-24,1.5237888550744767e-32,1.5237888550744775e-32,8.070452678116947e-24
0.06,1.0,28.514774081284816,2.599866755797529e-11,28.514774081284816,2.599866755797529e-11,4.0866928400069413e-22,2.566624456076177e-13,50.780939003827775,4.0866928400069413e-22,2.566624456076176e-13,4.086692840006939e-22,1.0862695637714447e-18,4.1001585421024935e-10,50.781034054277626,60.58991706686034,2.152803756803699e-07,60.58991706686034,2.1528037568036983e-07,1.0862695637714447e-18,4.100158542102492e-10,1.0862695637714445e-18,0.0659999824780232,0.00029392949496863174,0.9997060705050315,0.0,0.0,5.93e-15,1.26e-14,0.0004037081673984,0.00656639,3.36347821e-14,0.00183925592901392,0.016,5.67197,8.699169999999988,0.146422317103884,100.0,0.07423555020288,682.9559999999985,602214150000000.0,0.0,10000.0,2700.0,1e-12,2.27e-12,5.636491676549979e-19,1.2054782293102488e-17,1.2762850445733628e-21,1.6320630008987514e-17,4.562808961429595e-20,2.4241466736626777e-24,1.3790793913907103e-23,3.6536440079314594e-32,1.9345873678802923e-28,-5.2954989692307666e-36,1.7071739066601336e-25,1.1118698104488948e-14,0.0,1.6320630008987514e-17,1.7071739066601336e-25,1.2054782293102488e-17,1.2762850445733626e-21,1.9345873678802914e-28,-5.295498969230763e-36,1.9345873678802916e-28,-5.2954989692307666e-36,4.5628089614295946e-20,2.4241466736626777e-24,3.653644007931459e-32,3.6536440079314594e-32,1.3790793913907098e-23
0.07,1.0,28.51477420182121,4.0982385510319577e-11,28.51477420182121,4.098238551031957e-11,9.750757842136766e-22,4.644883625215956e-13,50.78093900946395,9.750757842136766e-22,4.644883625215955e-13,9.750757842136764e-22,2.295039465157811e-18,6.464418874240626e-10,50.78103405132169,60.58991693587312,2.9292473687101936e-07,60.58991693587312,2.9292473687101936e-07,2.295039465157811e-18,6.464418874240625e-10,2.2950394651578104e-18,0.0659999824780232,0.0003429093439844492,0.9996570906560157,0.0,0.0,5.93e-15,1.26e-14,0.0004037081673984,0.00656639,3.36347821e-14,0.00183925592901392,0.016,5.67197,8.699169999999988,0.146422317103884,100.0,0.07423555020288,682.9559999999985,602214150000000.0,0.0,10000.0,2700.0,1e-12,2.27e-12,5.635982164291725e-19,1.205248678031728e-17,1.7365273115877146e-21,1.904026854567016e-17,6.208138457770234e-20,3.820287877272491e-24,2.1742932023821074e-23,7.719315232148352e-32,3.581616286220532e-28,-1.25120793595557e-35,2.6910632639110737e-25,1.1118153352215778e-14,0.0,1.904026854567016e-17,2.6910632639110733e-25,1.205248678031728e-17,1.7365273115877146e-21,3.581616286220532e-28,-1.2512079359555698e-35,3.581616286220532e-28,-1.25120793595557e-35,6.208138457770234e-20,3.8202878772724905e-24,7.71931523214835e-32,7.719315232148352e-32,2.1742932023821072e-23
0.08,1.0,28.51477432233431,6.089114472566502e-11,28.51477432233431,6.089114472566502e-11,2.09692630553706e-21,7.805467223667862e-13,50.78093901509958,2.09692630553706e-21,7.80546722366786e-13,2.0969263055370593e-21,4.415052828917493e-18,9.606613534007532e-10,50.781034048210316,60.58991679291565,3.824695905024301e-07,60.58991679291565,3.8246959050243004e-07,4.415052828917493e-18,9.60661353400753e-10,4.4150528289174925e-18,0.0659999824780232,0.00039188679326716103,0.9996081132067332,0.0,0.0,5.93e-15,1.26e-14,0.0004037081673984,0.00656639,3.36347821e-14,0.00183925592901392,0.016,5.67197,8.699169999999988,0.146422317103884,100.0,0.07423555020288,682.9559999999985,602214150000000.0,0.0,10000.0,2700.0,1e-12,2.27e-12,5.635463466915743e-19,1.2050120577466542e-17,2.2672774432558667e-21,2.1759773819524394e-17,8.105495426292512e-20,5.6746919961197045e-24,3.2311635293525425e-23,1.4849933986062847e-31,6.105873501517637e-28,-2.6731353732987285e-35,3.9983500381515955e-25,1.1117608626632363e-14,0.0,2.1759773819524394e-17,3.9983500381515955e-25,1.2050120577466542e-17,2.2672774432558663e-21,6.105873501517636e-28,-2.6731353732987274e-35,6.105873501517637e-28,-2.6731353732987285e-35,8.105495426292511e-20,5.6746919961197045e-24,1.4849933986062842e-31,1.4849933986062847e-31,3.231163529352542e-23
0.09,1.0,28.514774442823416,8.641670435288244e-11,28.514774442823416,8.641670435288246e-11,4.5098191930657655e-21,1.2457521654589608e-12,50.780939020734635,4.509819193065767e-21,1.2457521654589612e-12,4.5098191930657655e-21,8.11382962865065e-18,1.3636533877507317e-09,50.78103404492151,60.58991663798886,4.839030513581042e-07,60.58991663798886,4.839030513581041e-07,8.113829628650648e-18,1.3636533877507312e-09,8.113829628650653e-18,0.0659999824780232,0.0004408618429335518,0.9995591381570667,0.0,0.0,5.93e-15,1.26e-14,0.0004037081673984,0.00656639,3.36347821e-14,0.00183925592901392,0.016,5.67197,8.699169999999988,0.146422317103884,100.0,0.07423555020288,682.9559999999985,602214150000000.0,0.0,10000.0,2700.0,1e-12,2.27e-12,5.634934281854907e-19,1.2047683698888609e-17,2.8684562440787118e-21,2.4479145835424264e-17,1.0254588004564627e-19,8.051314107900201e-24,4.5866184556922666e-23,2.729068915561885e-31,9.773583190745669e-28,-5.842182560134526e-35,5.674457832957237e-25,1.1117063927737396e-14,0.0,2.4479145835424264e-17,5.674457832957238e-25,1.2047683698888609e-17,2.868456244078711e-21,9.773583190745663e-28,-5.842182560134525e-35,9.773583190745665e-28,-5.842182560134528e-35,1.0254588004564624e-19,8.051314107900202e-24,2.729068915561886e-31,2.7290689155618844e-31,4.5866184556922654e-23
