Time,EpoR,SAv,SAv_EpoR,SAv_EpoRi,dSAvi,dSAve,kt,Bmax_SAv,kon_SAv,koff_SAv,kex_SAv,kdi,kde,SAv_medium,SAv_cells,medium,cellsurface,cell,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8
0.0,76.0,999.293,0.0,0.0,0.0,0.0,0.0329366,76.0,2.29402e-06,0.00679946,0.01101,0.00317871,0.0164042,999.293,0.0,1.0,1.0,1.0,2.5031816000000005,2.5031816000000005,0.17422225771736,0.0,0.0,0.0,0.0,0.0
0.01,75.99825814500193,999.2912578581414,0.0017418549980472522,2.8684061864781346e-07,3.2579316983923953e-12,1.681303521452681e-11,0.0329366,76.0,2.29402e-06,0.00679946,0.01101,0.00317871,0.0164042,999.2912578581582,2.8684387657951186e-07,1.0,1.0,1.0,2.5031816000000005,2.503124229218671,0.17421796096455652,1.184367338502237e-05,5.737078132868313e-05,3.1581152113124265e-09,9.117831429019911e-10,4.705390876422462e-09
0.02,75.99651702495918,999.2895158777161,0.0034829750408108366,1.1470902405444319e-06,2.4813956224584524e-11,1.280560669892282e-10,0.0329366,76.0,2.29402e-06,0.00679946,0.01101,0.00317871,0.0164042,999.2895158778441,1.1471150545006564e-06,1.0,1.0,1.0,2.5031816000000005,2.5030668826442706,0.17421366593862392,2.3682349470991653e-05,0.00011471735572917021,1.2629463548394196e-08,3.646267218520991e-09,1.881709772393897e-08
0.03,75.99477663956908,999.2877740587206,0.00522336043090466,2.5803398672258054e-06,8.255684843779559e-11,4.2604674636669807e-10,0.0329366,76.0,2.29402e-06,0.00679946,0.01101,0.00317871,0.0164042,999.2877740591467,2.580422424074243e-06,1.0,1.0,1.0,2.5031816000000005,2.503009560266831,0.174209372638857,3.5516030315519e-05,0.00017203973316853443,2.840954193815612e-08,8.20215213934934e-09,4.232841124994556e-08
0.04,75.99303698851926,999.2860324011507,0.006963011480720933,4.586167927900784e-06,1.9488683714422829e-10,1.0057421576304067e-09,0.0329366,76.0,2.29402e-06,0.00679946,0.01101,0.00317871,0.0164042,999.2860324021565,4.586362814737928e-06,1.0,1.0,1.0,2.5031816000000005,2.502952262076064,0.17420508106452823,4.7344718042702756e-05,0.0002293379239359131,5.049370888618763e-08,1.45780978540975e-08,7.523241592287004e-08
0.05,75.99129807149959,999.2842909050022,0.008701928500414288,7.164155932633698e-06,3.8006609790581703e-10,1.9613869410127396e-09,0.0329366,76.0,2.29402e-06,0.00679946,0.01101,0.00317871,0.0164042,999.2842909069636,7.164535998731604e-06,1.0,1.0,1.0,2.5031816000000005,2.5028949880617537,0.1742007912149152,5.916841476142693e-05,0.00028661193824674525,7.887735681829702e-08,2.277277410462206e-08,1.1752224675010971e-07
0.06,75.98955988820174,999.2825495702708,0.01044011179825033,1.0313888002129661e-05,6.56239208017749e-10,3.386618853611924e-09,0.0329366,76.0,2.29402e-06,0.00679946,0.01101,0.00317871,0.0164042,999.2825495736574,1.0314544241337679e-05,1.0,1.0,1.0,2.5031816000000005,2.5028377382137457,0.17419650308929963,7.09871225677312e-05,0.00034386178625425186,1.1355590690344758e-07,3.2784858931249575e-08,1.691910815645354e-07
0.07,75.98782243831651,999.2808083969526,0.01217756168347301,1.4034946962816721e-05,1.0416055155284835e-09,5.3753583050458665e-09,0.0329366,76.0,2.29402e-06,0.00679946,0.01101,0.00317871,0.0164042,999.2808084023279,1.403598856833225e-05,1.0,1.0,1.0,2.5031816000000005,2.502780512521856,0.17419221668696133,8.28008435643074e-05,0.0004010874781438772,1.545247660606121e-07,4.461302626017514e-08,2.3023207696743808e-07
0.08,75.98608572153485,999.2790673850432,0.013914278465137615,1.8326915944895183e-05,1.554348014416087e-09,8.021441307349326e-09,0.0329366,76.0,2.29402e-06,0.00679946,0.01101,0.00317871,0.0164042,999.2790673930646,1.83284702929096e-05,1.0,1.0,1.0,2.5031816000000005,2.502723310975905,0.1741879320071803,9.46095798525646e-05,0.0004582890240948516,2.0177934455329598e-07,5.825595098319777e-08,3.006383945432496e-07
0.09,75.98434973754858,999.2773265345381,0.015650262451402747,2.3189379372614003e-05,2.2125885399563962e-09,1.1418388254088207e-08,0.0329366,76.0,2.29402e-06,0.00679946,0.01101,0.00317871,0.0164042,999.2773265459565,2.319159196115396e-05,1.0,1.0,1.0,2.5031816000000005,2.502666133565743,0.1741836490492387,0.00010641333352781492,0.0005154664342568718,2.5531506689248016e-07,7.371231210552185e-08,3.804032171042346e-07
