Time,s1,s19,s3,s4,s16,s17,s5,s42,s2,s45,default,re3,re2,re4,re5,re8,re1,re14
0.0,1e-05,1e-06,0.0,5e-06,1e-05,0.0,0.0,0.0,0.0,0.0,1.0,6.959999999999999e-08,0.0,4.800000000000001e-05,0.0,1.416e-09,3.7340000000000005e-05,2.63315e-18
0.01,9.63404901489038e-06,6.809393401969721e-07,0.0,4.622930629565038e-06,9.96406576574585e-06,3.593423425411542e-08,0.0,3.411215514509016e-07,3.073874139233505e-07,3.032949139232013e-20,1.0,4.739337807770926e-08,1.0973730677063613e-05,3.0220179193654942e-05,6.295427653237302e-06,1.309213954292819e-09,3.586656820155535e-05,4.517200854144741e-18
0.02,9.282370638929236e-06,5.653946525702715e-07,0.0,4.359241329044935e-06,9.88564341988692e-06,1.1435658011292652e-07,0.0,5.263758026026441e-07,5.105081026712149e-07,1.508627148447961e-19,1.0,3.935146781889089e-08,1.8225139265362374e-05,2.3661040672371164e-05,9.032547322045739e-06,1.2345371443855255e-09,3.448271514603219e-05,2.3988275509864785e-17
0.03,8.944143863488233e-06,5.477495381317574e-07,0.0,4.134585621266379e-06,9.78794707379634e-06,2.120529262030887e-07,0.0,6.533231414599012e-07,6.413527240459153e-07,5.690044702691909e-19,1.0,3.812336785397032e-08,2.2896292248439176e-05,2.1741286698382697e-05,1.0370657120892404e-05,1.1709146479426385e-09,3.317424243829708e-05,6.015448286220737e-17
0.04,8.618669370990391e-06,5.7582359882467e-07,0.0,3.918416435616946e-06,9.679928620676127e-06,3.20071379322539e-07,0.0,7.614624710810147e-07,7.222060724238885e-07,1.3308150704942488e-18,1.0,4.007732247819703e-08,2.5782756785532822e-05,2.166063987504658e-05,1.1182240570990353e-05,1.1096955345667191e-09,3.193078371807461e-05,9.028441385711976e-17
0.05,8.305337276532777e-06,6.234961364947926e-07,0.0,3.6995445962070143e-06,9.564971643115421e-06,4.3502835688223883e-07,0.0,8.653665447361414e-07,7.685878840553202e-07,2.33733984476024e-18,1.0,4.3395331100037564e-08,2.7438587460774932e-05,2.2143856920242502e-05,1.1786035423953017e-05,1.0477110296458264e-09,3.074466080692214e-05,1.0942509752212069e-16
0.06,8.00360447446384e-06,6.780890401743585e-07,0.0,3.475562187445967e-06,9.444593632847777e-06,5.554063671487249e-07,0.0,9.689607821350886e-07,7.913027676729317e-07,3.494111237978651e-18,1.0,4.719499719613535e-08,2.8249508805923663e-05,2.2624710026414686e-05,1.2271679088610233e-05,9.842792114846978e-10,2.96100857444978e-05,1.2096611293577572e-16
0.07,7.712978687124996e-06,7.338971846927434e-07,0.0,3.247792706392441e-06,9.31990766176368e-06,6.800923382315756e-07,0.0,1.0720347712247772e-06,7.978690612587768e-07,4.7419680263556534e-18,1.0,5.107924405461493e-08,2.8483925486938335e-05,2.2882040867395567e-05,1.2645937702947081e-05,9.197748944503393e-10,2.852260398440668e-05,1.2805151341744585e-16
0.08,7.433007190119267e-06,7.8875449253389e-07,0.0,3.0188454132772742e-06,9.192091108724255e-06,8.079088912696934e-07,0.0,1.1731566377965915e-06,7.935148680425894e-07,6.0466374923517894e-18,1.0,5.489731268035874e-08,2.8328480789120444e-05,2.2858827667082667e-05,1.289550419993367e-05,8.549370210401241e-10,2.7478705673826523e-05,1.3255820499033533e-16
0.09,7.163268803840665e-06,8.422176214442622e-07,0.0,2.791487030983073e-06,9.062447167373482e-06,9.37552832619125e-07,0.0,1.27086285199276e-06,7.818723154056728e-07,7.388068578050629e-18,1.0,5.861834645252065e-08,2.7912841659982523e-05,2.2569979848259866e-05,1.3010530915482394e-05,7.905491271744062e-10,2.647555414777987e-05,1.3553145539458595e-16
0.1,6.903368166899685e-06,8.946241328448157e-07,0.0,2.568178953358393e-06,8.93233111988136e-06,1.0676688801098794e-06,0.0,1.364047294051889e-06,7.654614861299453e-07,8.754141400954211e-18,1.0,6.226583964599916e-08,2.732697505483905e-05,2.2056526743730163e-05,1.2990656726432542e-05,7.273082795910968e-10,2.5510796138030204e-05,1.3755968574406878e-16
0.11,6.6529316061244435e-06,9.466191685158148e-07,0.0,2.3509374053330447e-06,8.803056871163667e-06,1.1969431288261895e-06,0.0,1.452007629526496e-06,7.460276714155054e-07,1.0137264619396437e-17,1.0,6.588469412870071e-08,2.6633187869533543e-05,2.13642471539433e-05,1.2844107336540036e-05,6.657854731903183e-10,2.4582428987616076e-05,1.3898466591982184e-16
0.12,6.4116041224132226e-06,9.989268677674318e-07,0.0,2.1413371766540216e-06,8.675825122656594e-06,1.3241748773318681e-06,0.0,1.5343697505968133e-06,7.247765753062924e-07,1.1532516650517904e-17,1.0,6.952530999661325e-08,2.587452373843464e-05,2.0534776691605993e-05,1.2584786565372388e-05,6.064266884284189e-10,2.3688707544884384e-05,1.4001191473204777e-16
0.13,6.179047162058345e-06,1.0522476955657335e-06,0.0,1.9405705472924213e-06,8.551681452483675e-06,1.4483185475033826e-06,0.0,1.6109869320048386e-06,7.025381255202184e-07,1.293660754042691e-17,1.0,7.323643961137504e-08,2.50806110810718e-05,1.960282451012337e-05,1.2229379066039438e-05,5.495695789932138e-10,2.282807883544482e-05,1.407691776919535e-16
0.14,5.954936938120176e-06,1.1072167745396113e-06,0.0,1.7495181545805354e-06,8.431500093068596e-06,1.5684999069170525e-06,0.0,1.6818527425129242e-06,6.798807194873623e-07,1.434727541738703e-17,1.0,7.706228750795694e-08,2.4271741685698835e-05,1.859612014188627e-05,1.1795162397295838e-05,4.954635413772077e-10,2.1999136036559134e-05,1.4133829761670505e-16
0.15,5.738963142662782e-06,1.1643909874068221e-06,0.0,1.5688141844155386e-06,8.315985791055857e-06,1.6840142089283765e-06,0.0,1.7470377144077915e-06,6.571906513008977e-07,1.5762927592319032e-17,1.0,8.104161272351482e-08,2.3461706251442048e-05,1.75364457335946e-05,1.1298603055460196e-05,4.4428817702648053e-10,2.1200586028050116e-05,1.4177316299088098e-16
0.16,5.530827927150688e-06,1.2242469883017318e-06,0.0,1.3988992472275668e-06,8.20568598632297e-06,1.794314013659843e-06,0.0,1.8066486471659786e-06,6.347280502659766e-07,1.7182414346937755e-17,1.0,8.520759038580053e-08,2.2659791394495368e-05,1.644094262741672e-05,1.0754588373737676e-05,3.9616826681484694e-10,2.0431226118488108e-05,1.4211014594266662e-16
0.17,5.330245089652776e-06,1.2871840092836015e-06,0.0,1.2400604604548138e-06,8.101008584408574e-06,1.8989914155728158e-06,0.0,1.8608062978948837e-06,6.126650249309199e-07,1.8604889498623974e-17,1.0,8.958800704613866e-08,2.187214139003384e-05,1.5323385554326044e-05,1.0176126835766542e-05,3.511851224008033e-10,1.9689927736087504e-05,1.4237435274768434e-16
0.18,5.136939395062909e-06,1.3535254795194212e-06,0.0,1.0924594614715938e-06,8.002240927089864e-06,1.9977590728901007e-06,0.0,1.909636339373895e-06,5.911127889987746e-07,2.002971876837911e-17,1.0,9.42053733745517e-08,2.1102726567256255e-05,1.419524847786113e-05,9.57434279528084e-06,3.093845194887554e-10,1.897562445059333e-05,1.4258347153817445e-16
0.19,4.950645997285112e-06,1.423519376417351e-06,0.0,9.561509308358146e-07,7.909567942764566e-06,2.0904320572139724e-06,0.0,1.9532689875170847e-06,5.701404636712989e-07,2.14564182953914e-17,1.0,9.907694859864762e-08,2.0354014553065372e-05,1.3066554017512977e-05,8.9586400002497e-06,2.7078194361270267e-10,1.8287303272504995e-05,1.4275019966557523e-16
0.2,4.771109938560991e-06,1.497337128621364e-06,0.0,8.310940780262944e-07,7.8230881630178e-06,2.176911836959311e-06,0.0,1.9918435324889816e-06,5.497882136447327e-07,2.2884612369109484e-17,1.0,1.0421466415204692e-07,1.9627439227116958e-05,1.1946508995898671e-05,8.336939683747334e-06,2.3536584289704656e-10,1.7623998212238373e-05,1.4288381037559003e-16
0.21,4.598085715628392e-06,1.575070774199169e-06,0.0,7.171579736971852e-07,7.742826942742648e-06,2.2571730572330333e-06,0.0,2.0255162268249967e-06,5.3007590788885e-07,2.4314006488909207e-17,1.0,1.0962492588426216e-07,1.8923709911631947e-05,1.0843915822601594e-05,7.715949179708173e-06,2.0309913815104285e-10,1.6984785646211094e-05,1.4299118553204706e-16
0.22,4.431336860116435e-06,1.6567296731781312e-06,0.0,6.14124796469583e-07,7.668747750364989e-06,2.331252249609261e-06,0.0,2.0544683291239596e-06,5.110101308001658e-07,2.5744365440387896e-17,1.0,1.1530838525319792e-07,1.8243061669565923e-05,9.767412224118132e-06,7.101417833229887e-06,1.7392014236018592e-10,1.6368780310156313e-05,1.4307750848645316e-16
0.23,4.270635571293325e-06,1.742237979102739e-06,0.0,5.216908984990817e-07,7.6007605299667615e-06,2.399239470006057e-06,0.0,2.0789134008485504e-06,4.925882024245611e-07,2.7175499202104497e-17,1.0,1.2125976334555061e-07,1.7585398826556834e-05,8.72553308848639e-06,6.498350333819935e-06,1.4774286245493994e-10,1.5775132528765527e-05,1.431467388142303e-16
0.24,4.115762378339309e-06,1.831433385673011e-06,0.0,4.394681107059472e-07,7.538728115336166e-06,2.461271884635222e-06,0.0,2.0991024153830083e-06,4.7480113363138516e-07,2.8607252655530546e-17,1.0,1.2746776364284155e-07,1.695040047064045e-05,7.726623070900938e-06,5.9111690725239e-06,1.2445736895192424e-10,1.5203025926215258e-05,1.4320194239273046e-16
0.25,3.966505829936187e-06,1.9240681454662763e-06,0.0,3.669866169684172e-07,7.482471334450336e-06,2.5175286655196193e-06,0.0,2.1153259885476438e-06,4.5763584873625977e-07,3.003949839600544e-17,1.0,1.3391514292445282e-07,1.6337599799884476e-05,6.778629691405105e-06,5.343825113457996e-06,1.0393060992545575e-10,1.4651675493621505e-05,1.4324552428961232e-16
0.26,3.822662181379059e-06,2.019812615948632e-06,0.0,3.0369987246953176e-07,7.431773677245769e-06,2.568226322722753e-06,0.0,2.1279141282515993e-06,4.4107692948930886e-07,3.147213035690092e-17,1.0,1.4057895807002475e-07,1.574644638276833e-05,5.888801605209127e-06,4.7998768715559594e-06,8.600780388337139e-11,1.4120325813807125e-05,1.4327939502675175e-16
0.27,3.6840350628010256e-06,2.118264588904606e-06,0.0,2.4899435016697096e-07,7.3863853641148585e-06,2.6136146358522317e-06,0.0,2.137230556760239e-06,4.2510742777694585e-07,3.290505895703654e-17,1.0,1.4743121538776057e-07,1.5176335171636968e-05,5.06338478204168e-06,4.28249138252528e-06,7.051519996728617e-11,1.3608249539632653e-05,1.4330509129262903e-16
0.28,3.5504352740875063e-06,2.218959584428444e-06,0.0,2.0219989748261155e-07,7.346026349854638e-06,2.6539736501110187e-06,0.0,2.14366535807776e-06,4.0970916706601153e-07,3.4338209041144885e-17,1.0,1.5443958707621969e-07,1.4626617264256614e-05,4.307264644699101e-06,3.7944162920588263e-06,5.726301096707559e-11,1.3114746523303778e-05,1.43323865329483e-16
0.29,3.421680468694772e-06,2.321386342977564e-06,0.0,1.6260598636795315e-07,7.310391782722634e-06,2.6896082172415887e-06,0.0,2.147624187109112e-06,3.9486386250864234e-07,3.5771516620095836e-17,1.0,1.6156848947123842e-07,1.4096639891558533e-05,3.6237246339932385e-06,3.3379456353806984e-06,4.605001533940433e-11,1.2639142245953271e-05,1.4333674911801877e-16
0.3,3.297594929963641e-06,2.425003098216838e-06,0.0,1.294777201683109e-07,7.2791562596611875e-06,2.720843740301602e-06,0.0,2.149516518094967e-06,3.8055310142471834e-07,3.720492724035295e-17,1.0,1.6878021563589193e-07,1.3585745720862446e-05,3.0142451765587845e-06,2.9148604200784164e-06,3.666809035166565e-11,1.2180786989188434e-05,1.4334460355932067e-16
0.31,3.1780093182208495e-06,2.529256379115583e-06,0.0,1.0207467815870768e-07,7.251979331639411e-06,2.748020668321947e-06,0.0,2.149742305468536e-06,3.6675865538369314e-07,3.863839434242852e-17,1.0,1.7603624398644457e-07,1.3093283997197846e-05,2.4784610964391823e-06,2.5263672476291536e-06,2.8907548854546016e-11,1.1739054782163125e-05,1.433481546702148e-16
0.32,3.062760435383911e-06,2.6335994833525457e-06,0.0,7.966927871519343e-08,7.228511630625322e-06,2.7714883693346014e-06,0.0,2.148679747643466e-06,3.5346260655298336e-07,4.00718780524067e-17,1.0,1.8329852404133717e-07,1.2618615053941507e-05,2.0142429241286723e-06,2.1730614635936253e-06,2.256233973214278e-11,1.1313342478643088e-05,1.433480205760329e-16
0.33,2.9516910065990253e-06,2.7375089442810467e-06,0.0,6.156313184523319e-08,7.208400913379336e-06,2.791599086579154e-06,0.0,2.146674978216876e-06,3.406474410047748e-07,4.150534423984083e-17,1.0,1.9053062252196085e-07,1.216111364387046e-05,1.6178843910170802e-06,1.8549133093585301e-06,1.743467893857004e-11,1.09030689091711e-05,1.4334473203251335e-16
0.34,2.8446494625761212e-06,2.8404992100993282e-06,0.0,4.710158384270166e-08,7.191298299720148e-06,2.808701700236908e-06,0.0,2.144033759477364e-06,3.282961108191794e-07,4.293876371009131e-17,1.0,1.9769874502291322e-07,1.1720171156244706e-05,1.284403312316365e-06,1.5712798625649825e-06,1.333916854425311e-11,1.0507674046694163e-05,1.4333874771806256e-16
0.35,2.7414897313849566e-06,2.9421338378062305e-06,0.0,3.568476750365925e-08,7.176864234384511e-06,2.8231357655711126e-06,0.0,2.141016393907894e-06,3.163920680258173e-07,4.4372111542664964e-17,1.0,2.0477251511131362e-07,1.129519682852168e-05,1.0078978748809348e-06,1.3209517972048406e-06,1.0105926157036299e-11,1.0126618217318442e-05,1.433304657525488e-16
0.36,2.642071037767217e-06,3.042032960075928e-06,0.0,2.6774922938373425e-08,7.164773836922436e-06,2.835226163031754e-06,0.0,2.1378357531013446e-06,3.0491928211829704e-07,4.580536652820265e-17,1.0,2.1172549402128458e-07,1.0885618371623206e-05,7.819219015874397e-07,1.102228093133564e-06,7.582658176147355e-12,9.75938134484562e-06,1.4332023247203647e-16
0.37,2.5462577140183554e-06,3.1398769035898936e-06,0.0,1.9899872835396675e-08,7.154721268915947e-06,2.84527873103681e-06,0.0,2.1346581695358113e-06,2.9386224593915324e-07,4.723851069740145e-17,1.0,2.185354324898566e-07,1.0490882180027772e-05,5.998382505622843e-07,9.130099900129228e-07,5.635643986984338e-12,9.405462242557713e-06,1.43308349318135e-16
0.38,2.4539190123315764e-06,3.2354067857712768e-06,0.0,1.465347311480464e-08,7.146423223301809e-06,2.8535767766495147e-06,0.0,2.131606475056067e-06,2.8320597497311964e-07,4.8671528892243965e-17,1.0,2.2518431228968085e-07,1.0110453306540372e-05,4.5513548496725664e-07,7.509064300860777e-07,4.149863586112674e-12,9.064377912755461e-06,1.4329507821599435e-16
0.39,2.3649289266453676e-06,3.328422063509532e-06,0.0,1.0693017644008799e-08,7.1396213144630494e-06,2.8603786854868413e-06,0.0,2.1287649860650963e-06,2.729360000049719e-07,5.0104408394807216e-17,1.0,2.3165817562026343e-07,9.743815200177496e-06,3.4167240817742975e-07,6.133461093004968e-07,3.028262596783292e-12,8.735662884092073e-06,1.4328064599119613e-16
0.4,2.2791660207229207e-06,3.418776012349948e-06,0.0,7.73457433735017e-09,7.134083316627106e-06,2.8659166833213525e-06,0.0,2.126185405649378e-06,2.6303835703453303e-07,5.1537138596494113e-17,1.0,2.3794681045955635e-07,9.39046934613283e-06,2.5385066121859446e-07,4.976821379007698e-07,2.1904314523375684e-12,8.418868573131368e-06,1.432652481850205e-16
0.41,2.19651326223379e-06,3.5063699481248385e-06,0.0,5.547063825176684e-09,7.129603461357824e-06,2.8703965385892016e-06,0.0,2.1238930422437427e-06,2.53499574946464e-07,5.2969710701291444e-17,1.0,2.4404334838948875e-07,9.049934825588766e-06,1.8672055581052738e-07,4.012850700383233e-07,1.570928475290037e-12,8.113562669099603e-06,1.4324905238941246e-16
0.42,2.116857863091494e-06,3.5911465564163227e-06,0.0,3.9454464613556214e-09,7.126001854841083e-06,2.87399814510451e-06,0.0,2.1218930397689274e-06,2.4430666161344996e-07,5.4402117462399926e-17,1.0,2.4994380032657603e-07,8.721747819600164e-06,1.3601929414293319e-07,3.2162184478280547e-07,1.117350437855912e-12,7.819328542542158e-06,1.4323220129926243e-16
