Time,E,I,T,S,a,c,aa,g2,u2,p1,g1,p2,g3,u3,alpha,g4,gamma,u1,p3,p4,q1,q2,theta,k,tumor_microenvironment,tumor_growth,tumor_death,tumor_killing,immune_death,immune_stimulation_tumor,immune_stimulation_IL2,IL2_loss,IL2_production,tumor_stimulation,tgfb_production,tgfb_loss
0.0,1.0,10.0,1.0,0.0,0.18,0.035,1.0,100000.0,10.0,0.1245,20000000.0,0.27,20000000.0,10.0,0.001,1000.0,10.0,0.03,5.0,2.84,10.0,0.1121,1000000.0,10000000000.0,1.0,0.18,1.8e-11,9.99990000099999e-06,0.03,0.035,7.750121124939438e-09,100.0,0.004995004995004995,0.0,2.83999999999716e-12,0.0
1.0,1.0082406432110258,0.0010455085580127579,1.1972053484236413,3.929008508895853e-13,0.18,0.035,1.0,100000.0,10.0,0.1245,20000000.0,0.27,20000000.0,10.0,0.001,1000.0,10.0,0.03,5.0,2.84,10.0,0.1121,1000000.0,10000000000.0,1.0,0.21549696271625543,2.5799411633295106e-11,1.2070566396036846e-05,0.03024721929633077,0.041902187194662814,8.169594475654626e-13,0.010455085580127579,0.0060281385330588425,6.350170501150351e-21,4.070573835469615e-12,3.929008508895853e-12
2.0,1.0236911329967102,0.0007183773940734884,1.4333004779126919,5.631627646847416e-13,0.18,0.035,1.0,100000.0,10.0,0.1245,20000000.0,0.27,20000000.0,10.0,0.001,1000.0,10.0,0.03,5.0,2.84,10.0,0.1121,1000000.0,10000000000.0,1.0,0.25799408602428453,3.697830467972552e-11,1.4672359602591393e-05,0.030710733989901304,0.0501655167266617,5.699415327618474e-13,0.007183773940734884,0.007325784899797878,1.0896949706831188e-20,5.834354738344707e-12,5.631627646847416e-12
3.0,1.04760832993767,0.0008791594430826114,1.7159550833652089,8.071817447773275e-13,0.18,0.035,1.0,100000.0,10.0,0.1245,20000000.0,0.27,20000000.0,10.0,0.001,1000.0,10.0,0.03,5.0,2.84,10.0,0.1121,1000000.0,10000000000.0,1.0,0.3088719150057376,5.300103326628421e-11,1.7976179928149544e-05,0.031428249898130096,0.060058427917297534,7.13797948075689e-13,0.008791594430826114,0.00897284719290847,1.8698682845028426e-20,8.362385248655776e-12,8.071817447773275e-12
4.0,1.0815016126511459,0.0010852609065619074,2.054349959396597,1.1569333816306006e-12,0.18,0.035,1.0,100000.0,10.0,0.1245,20000000.0,0.27,20000000.0,10.0,0.001,1000.0,10.0,0.03,5.0,2.84,10.0,0.1121,1000000.0,10000000000.0,1.0,0.3697829926913875,7.596636760211039e-11,2.2217371517809603e-05,0.03244504837953437,0.07190224857804904,9.09641021549651e-13,0.010852609065619074,0.011086139160651617,3.2086071615294793e-20,1.1985804666060168e-11,1.1569333816306006e-11
5.0,1.1271828909478405,0.001352321531968594,2.45947714480601,1.658231377481306e-12,0.18,0.035,1.0,100000.0,10.0,0.1245,20000000.0,0.27,20000000.0,10.0,0.001,1000.0,10.0,0.03,5.0,2.84,10.0,0.1121,1000000.0,10000000000.0,1.0,0.44270588606508177,1.0888250086481622e-10,2.7722123763727768e-05,0.033815486728435214,0.08608170006678292,1.1813621652065763e-12,0.01352321531968594,0.013827394630447075,5.50581593451587e-20,1.717923902523375e-11,1.6582313774813062e-11
6.0,1.1868259042918188,0.0017021273129219634,2.9444957075649105,2.3767381766343166e-12,0.18,0.035,1.0,100000.0,10.0,0.1245,20000000.0,0.27,20000000.0,10.0,0.001,1000.0,10.0,0.03,5.0,2.84,10.0,0.1121,1000000.0,10000000000.0,1.0,0.5300092273616839,1.5606098949362727e-10,3.494500885385533e-05,0.03560477712875456,0.10305734976232248,1.565625059028659e-12,0.017021273129219635,0.017421720722185605,9.447698734792286e-20,2.4622956119892154e-11,2.3767381766343165e-11
7.0,1.2630374849820132,0.0021651249381869305,3.5251592933397755,3.4065657286876835e-12,0.18,0.035,1.0,100000.0,10.0,0.1245,20000000.0,0.27,20000000.0,10.0,0.001,1000.0,10.0,0.03,5.0,2.84,10.0,0.1121,1000000.0,10000000000.0,1.0,0.6345286728011595,2.236814647815561e-10,4.452251379067589e-05,0.03789112454946039,0.12338057526268911,2.119375493886515e-12,0.021651249381869304,0.022183840070118987,1.6211727229755833e-19,3.529196444287362e-11,3.4065657286876833e-11
8.0,1.358942899734269,0.002784027904743967,4.220328079940629,4.8826064224359436e-12,0.18,0.035,1.0,100000.0,10.0,0.1245,20000000.0,0.27,20000000.0,10.0,0.001,1000.0,10.0,0.03,5.0,2.84,10.0,0.1121,1000000.0,10000000000.0,1.0,0.7596590543893131,3.2060104384203633e-10,5.734942845381205e-05,0.040768286992028065,0.14771148279070984,2.932131870226586e-12,0.02784027904743967,0.02855541119024182,2.7818371333671576e-19,5.058372024973144e-11,4.882606422435943e-11
9.0,1.478287806286629,0.003618942319847664,5.052580327617734,6.99819648507256e-12,0.18,0.035,1.0,100000.0,10.0,0.1245,20000000.0,0.27,20000000.0,10.0,0.001,1000.0,10.0,0.03,5.0,2.84,10.0,0.1121,1000000.0,10000000000.0,1.0,0.909464458971192,4.5951422340653504e-10,7.468790521960373e-05,0.044348634188598864,0.17684031145424503,4.14619153632948e-12,0.036189423198476636,0.037158095182275,4.773458235052961e-19,7.250113302451356e-11,6.99819648507256e-11
