ADP,ATP,DPGA,GAP,PGA,Pi,Ru5P,RuBP,Time
0.82,0.68,0.0011,0.02,2.4,6.3477,0.0501,2.0,0.0
0.82,0.68,0.06578717657550388,0.022406168898063326,2.3597216215889776,6.290079030614034,0.03449794473391671,1.9908604405070003,0.01
0.82,0.68,0.1254318484085976,0.02957793458432065,2.3195476968086957,6.241765513722104,0.02328730749482435,1.9774789252864298,0.02
0.82,0.68,0.1812258681334046,0.04018519187282903,2.279450307156245,6.200735450362091,0.015664261151854177,1.9607565265950864,0.03
0.82,0.68,0.2339472483734984,0.05335501292233845,2.239409024987904,6.165314419454482,0.010752413403190272,1.9416373162425444,0.04
0.82,0.68,0.2841364809898416,0.0684824086222693,2.199410720280367,6.134162326646582,0.007766366979690064,1.9209526077457035,0.05
0.82,0.68,0.33218659474724077,0.08513158024671,2.1594484647997056,6.106257615603933,0.006087667189844931,1.899350741332663,0.06
0.82,0.68,0.3783935563461343,0.10297942902824125,2.1195201398201466,6.080850302322569,0.005269414702182786,1.877296800717296,0.07
0.82,0.68,0.42298644481284486,0.12178101734241258,2.079627156243277,6.057400691164771,0.005006000843665817,1.8551061223900922,0.08
0.82,0.68,0.4661465251094253,0.1413473192485519,2.0397734491812747,6.0355219096769535,0.005095331567289773,1.83298447005354,0.09
0.82,0.68,0.5080198351042029,0.1615303012047298,1.9999647559245362,6.014934299862494,0.005406258292028674,1.8110623572539024,0.1
0.82,0.68,0.548725781944041,0.18221260318817806,1.9602081249074943,5.995432346199642,0.0058544369273416585,1.7894204624446306,0.11
0.82,0.68,0.5883632215610928,0.20330017822012694,1.9205115916077806,5.9768617879412,0.006385768753980514,1.768107115177363,0.12
0.82,0.68,0.6270148076118284,0.2247169941506842,1.8808839720162593,5.959104194441267,0.006965509404916053,1.7471498573816084,0.13
0.82,0.68,0.6647502412998113,0.24640107175617107,1.8413347312623727,5.942066575952241,0.007571268047525969,1.7265629351910334,0.14
0.82,0.68,0.7016286981713015,0.2683015280402362,1.8018739038909186,5.92567439835139,0.008188551970050747,1.7063521107024013,0.15
0.82,0.68,0.7377006876376347,0.29037632078513587,1.7625120471880331,5.9098668275409665,0.008807947366924912,1.6865177409218348,0.16
0.82,0.68,0.7730094946948506,0.3125905110598177,1.723260216433353,5.894593437782456,0.009423326585876192,1.6670567593743977,0.17
0.82,0.68,0.8075923105999221,0.33491491271714535,1.6841299545674475,5.879811902714689,0.010030712004637793,1.6479639483981177,0.18
0.82,0.68,0.841481136392805,0.3573250243181802,1.6451332915300079,5.865486326855802,0.010627542192394526,1.629232771159003,0.19
0.82,0.68,0.8747035070464282,0.3798001831343328,1.6062827502219246,5.8515860261150525,0.011212199054733685,1.61085591369055,0.2
0.82,0.68,0.9072830706440348,0.4023228970297397,1.5675913569130948,5.838084628590142,0.011783703493075335,1.5928256363429385,0.21
0.82,0.68,0.93924007029982,0.4248782955672643,1.5290726548404454,5.824959375012163,0.012341508677396897,1.5751340126515445,0.22
0.82,0.68,0.9705917283880591,0.44745369791089123,1.4907407193578133,5.812190593190133,0.01288536546164534,1.5577730836516994,0.23
0.82,0.68,1.0013525816419426,0.47003824104876746,1.45261017561505,5.799761265064042,0.013415228261035729,1.5407349633636094,0.24
0.82,0.68,1.0315347442054421,0.4926225915118008,1.4146962159911696,5.787656701134903,0.013931193499633975,1.5240119047258043,0.25
0.82,0.68,1.0611481282367605,0.5151987063085698,1.3770146180811296,5.775864278024699,0.014433456512296336,1.5075963422998921,0.26
0.82,0.68,1.0902006355239826,0.5377596271633321,1.339581762722894,5.764373217976507,0.014922279660972917,1.491480920714164,0.27
0.82,0.68,1.1186983171680451,0.5602993108804419,1.3024146518007271,5.753174412487949,0.01539797056021264,1.4756585099672894,0.28
0.82,0.68,1.146645497409379,0.5828124987865745,1.265530923460509,5.742260289910238,0.015860867334736236,1.4601222128445928,0.29
0.82,0.68,1.1740449003237694,0.6052945843734322,1.2289488684359058,5.731624684385011,0.016311325404717098,1.4448653683766979,0.3
0.82,0.68,1.200897737312994,0.6277415230591463,1.1926874420123272,5.721262751767739,0.01674971081675095,1.4298815488590244,0.31
