Time,C,S,V_C,r,K,d,phi,beta,eta,mu,r_tilde,phi_tilde,alpha,d_tilde,N,compartment,Susceptible_Logistic_Growth,Susceptible_Absorption_Virus,Susceptible_Death,Chronic_Infected_Death,Chronic_Infected_Logistic_Growth,Virus_Chronic_Release_From_Chronic_Infected,Virus_Chronic_Decay
0.0,0.0,830000000.0,33200000.0,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,830000000.0,1.0,20347199.061137814,137780.0,34583333.33333333,0.0,0.0,0.0,2875120.0
1.0,128498.996510802,817735626.9969887,30327125.05901011,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,817864125.9934994,1.0,23806700.921679154,123997.8531257286,34072317.79154119,6424.9498255401,2207.0711312989247,12849.8996510802,2626329.0301102754
2.0,240517.7382044371,808834094.5524584,27716313.06467226,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,809074612.2906629,1.0,26241234.454208426,112089.49490998332,33701420.60635243,12025.886910221856,4603.649175081653,24051.773820443712,2400232.711400618
3.0,338547.15359603113,802326317.2718166,25342777.86182561,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,802664864.4254127,1.0,27978662.858581625,101665.88815658132,33430263.219659023,16927.357679801557,6965.068331195121,33854.71535960311,2194684.562834098
4.0,424479.03056889906,797542510.6725361,23184310.020538226,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,797966989.7031051,1.0,29231480.04595527,92452.36410995247,33230937.944689006,21223.951528444955,9178.749175106135,42447.90305688991,2007761.2477786103
5.0,499807.3834305068,794011150.2353754,21220927.755141273,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,794510957.6188059,1.0,30141793.32639171,84248.26627960762,33083797.926473975,24990.36917152534,11193.746087169511,49980.73834305068,1837732.3435952342
6.0,565752.1705779067,791395671.3230317,19434602.651516642,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,791961423.4936095,1.0,30807004.74102059,76902.30206146692,32974819.638459653,28287.608528895333,12993.086545339163,56575.217057790665,1683036.589621341
7.0,623337.295627624,789453356.3245935,17809036.209060654,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,790076693.6202211,1.0,31295160.060208127,70297.01704074575,32893889.84685806,31166.864781381202,14578.206965103762,62333.729562762404,1542262.5357046525
8.0,673441.2111677513,788007738.6992198,16329472.911095178,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,788681179.9103875,1.0,31654518.363662817,64338.75511411139,32833655.779134158,33672.060558387566,15960.085527601339,67344.12111677513,1414132.3541008423
9.0,716830.1688700893,786929814.2135512,14982540.911664218,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,787646644.3824213,1.0,31919681.21913447,58951.040680314254,32788742.258897964,35841.50844350447,17154.14663808175,71683.01688700894,1297488.0429501212
10.0,754181.0617979367,786124781.3656967,13756113.16028012,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,786878962.4274946,1.0,32115689.807127,54070.107252834954,32755199.223570693,37709.053089896835,18177.396803529075,75418.10617979367,1191279.3996802582
11.0,786097.1676665695,785522765.6616853,12639186.158718983,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,786308862.8293519,1.0,32260775.993011482,49641.84233554914,32730115.235903554,39304.85838332847,19046.823724154478,78609.71676665694,1094553.5213450638
12.0,813119.6034316747,785072105.5966898,11621771.86504298,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,785885225.2001215,1.0,32368283.941171024,45619.64454426831,32711337.73319541,40655.98017158374,19778.568577799088,81311.96034316748,1006445.443512722
13.0,835735.8751122827,784734511.1374547,10694801.432070429,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,785570247.012567,1.0,32448018.843665987,41962.89886753969,32697271.297393948,41786.79375561414,20387.537635797376,83573.58751122828,926169.8040172991
14.0,854386.4175490005,784481565.0217519,9850039.288702467,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,785335951.4393009,1.0,32507201.420042597,38635.871183635274,32686731.875906326,42719.32087745002,20887.26001082612,85438.64175490005,853013.4024016337
15.0,869469.891807253,784292138.2537702,9080005.424626876,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,785161608.1455774,1.0,32551161.0078041,35606.884349182226,32678839.09390709,43473.49459036265,21289.89241408411,86946.9891807253,786328.4697726874
16.0,881347.5668322487,784150492.0651597,8377905.347317287,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,785031839.631992,1.0,32583838.057089556,32847.69300287091,32672937.169381652,44067.378341612435,21606.296255574547,88134.75668322487,725526.603077677
17.0,890347.0266841764,784044885.3366575,7737566.73978909,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784935232.3633417,1.0,32608149.187748335,30332.998136413356,32668536.889027394,44517.351334208826,21846.146082480882,89034.70266841765,670073.2796657352
18.0,896765.4078832702,783966539.1758646,7153381.873546909,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784863304.5837479,1.0,32626256.464979917,28040.06015403966,32665272.465661023,44838.27039416351,22018.050512016507,89676.54078832702,619482.8702491623
19.0,900872.2036329462,783908888.8303833,6620256.327688247,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784809761.0340163,1.0,32639760.82045708,25948.38890805204,32662870.367932636,45043.61018164732,22129.666197616378,90087.22036329463,573314.1979778021
20.0,902911.8232270686,783867009.0254828,6133561.484264299,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784769920.8487098,1.0,32649849.821594864,24039.482476720783,32661125.376061782,45145.59116135343,22187.810035539816,90291.18232270687,531166.4245372883
21.0,903105.8914235655,783837193.9495178,5689091.493679626,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784740299.8409414,1.0,32657405.22638887,22296.607562639543,32659883.08122991,45155.294571178274,22198.55885387607,90310.58914235655,492675.32335265557
22.0,901655.2630175534,783816656.5812566,5283025.445243288,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784718311.8442742,1.0,32663079.706421115,20704.61670562149,32659027.357552357,45082.76315087767,22167.333846242425,90165.52630175534,457510.0035580687
23.0,898741.9500443109,783803286.4329216,4911891.167305072,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784702028.3829659,1.0,32667358.433929846,19249.782197672776,32658470.2680384,44937.09750221555,22098.98100190275,89874.1950044311,425369.7750886192
24.0,894530.8414816408,783795473.3815249,4572533.033651709,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784690004.2230066,1.0,32670603.718532287,17919.653468318505,32658144.724230204,44726.54207408204,21997.839296699607,89453.08414816408,395981.36071423796
25.0,889171.1560218214,783792009.3481281,4262084.82267236,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784681180.5041499,1.0,32673079.771968376,16702.940135872643,32658000.389505334,44458.557801091076,21867.7905253786,88917.11560218215,369096.5456434263
26.0,882797.9825338778,783791955.2167748,3977940.9956706637,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784674753.1993088,1.0,32674986.27824787,15589.390753668367,32657998.134032283,44139.8991266939,21712.32053279139,88279.7982533878,344489.6902250795
27.0,875533.4834829969,783794596.8991647,3717734.4023566474,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784670130.3826476,1.0,32676469.28123451,14569.700686366426,32658108.20413186,43776.67417414985,21534.555724435115,87553.3483482997,321955.7992440857
28.0,867488.1277598378,783799375.9476426,3479313.462413801,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784666864.0754024,1.0,32677638.54806944,13635.418602830841,32658307.331151772,43374.40638799189,21337.30615284965,86748.81277598378,301308.5458450352
29.0,858761.7229091768,783805861.1142653,3260723.145132405,0.339,894700000.0,0.041666666666666664,1.739252713092609e-10,20.0,1.5,0.0866,0.2,5e-12,0.1,0.05,784664622.8371745,1.0,32678574.53168429,12778.869563128601,32658577.54642772,42938.086145458845,21123.096026223116,85876.17229091769,282378.62436846626
