C_1_task1,S_2_task1,V_C_3_task1,_1_task1
0.0,830000000.0,33200000.0,0.0
128498.996510802,817735626.9969887,30327125.05901011,1.0
240517.7382044371,808834094.5524584,27716313.06467226,2.0
338547.15359603113,802326317.2718166,25342777.86182561,3.0
424479.03056889906,797542510.6725361,23184310.020538226,4.0
499807.3834305068,794011150.2353754,21220927.755141273,5.0
565752.1705779067,791395671.3230317,19434602.651516642,6.0
623337.295627624,789453356.3245935,17809036.209060654,7.0
673441.2111677513,788007738.6992198,16329472.911095178,8.0
716830.1688700893,786929814.2135512,14982540.911664218,9.0
754181.0617979367,786124781.3656967,13756113.16028012,10.0
786097.1676665695,785522765.6616853,12639186.158718983,11.0
813119.6034316747,785072105.5966898,11621771.86504298,12.0
835735.8751122827,784734511.1374547,10694801.432070429,13.0
854386.4175490005,784481565.0217519,9850039.288702467,14.0
869469.891807253,784292138.2537702,9080005.424626876,15.0
881347.5668322487,784150492.0651597,8377905.347317287,16.0
890347.0266841764,784044885.3366575,7737566.73978909,17.0
896765.4078832702,783966539.1758646,7153381.873546909,18.0
900872.2036329462,783908888.8303833,6620256.327688247,19.0
902911.8232270686,783867009.0254828,6133561.484264299,20.0
903105.8914235655,783837193.9495178,5689091.493679626,21.0
901655.2630175534,783816656.5812566,5283025.445243288,22.0
898741.9500443109,783803286.4329216,4911891.167305072,23.0
894530.8414816408,783795473.3815249,4572533.033651709,24.0
889171.1560218214,783792009.3481281,4262084.82267236,25.0
882797.9825338778,783791955.2167748,3977940.9956706637,26.0
875533.4834829969,783794596.8991647,3717734.4023566474,27.0
867488.1277598378,783799375.9476426,3479313.462413801,28.0
858761.7229091768,783805861.1142653,3260723.145132405,29.0
849444.4204549616,783813712.1152191,3060186.4667663523,30.0
839617.5802935314,783822660.6432272,2876088.6357163377,31.0
829354.5991436306,783832492.457835,2706961.8747849585,32.0
818721.6407282042,783843035.2448641,2551472.069593883,33.0
807778.3018126623,783854149.1762639,2408406.603103036,34.0
796578.2215588609,783865719.7990361,2276663.236873255,35.0
785169.6381336009,783877652.5487947,2155239.961673467,36.0
773595.8905551492,783889868.6620891,2043225.8518829609,37.0
761895.8751383073,783902302.035334,1939792.749803584,38.0
750104.4616716885,783914896.770223,1844187.6845782825,39.0
738252.8719271757,783927605.2931813,1755725.977475358,40.0
726369.0208881925,783940386.8991446,1673785.0252630014,41.0
714477.817938471,783953206.6235477,1597798.8118350795,42.0
702601.4771175006,783966034.2148577,1527252.2525852101,43.0
690759.743098066,783978843.5392271,1461677.0728820176,44.0
678970.1467518803,783991611.8779156,1400647.1444941063,45.0
667248.2028741344,784004319.5230281,1343774.8749994005,46.0
655607.6070485095,784016949.3354323,1290707.6104303694,47.0
644060.4089756529,784029486.4282608,1241124.4651515612,48.0
632617.1771970319,784041917.8738576,1194733.3062332082,49.0
621287.1317791969,784054232.4858295,1151268.3217277357,50.0
