mw08818dfe_fb12_45cc_8c1d_d965f142d0ce,mw15abaa48_d7d0_4845_ae04_c573d289d495,mw73259e20_240e_4f3a_b2e0_9ca248658898,mw812f63db_4cb0_40ad_b92b_9874be969dfe,mw849ed3fd_87d9_44d2_9f3e_4d631b900d41,mw8796c919_9251_4970_8f87_0bca9ecfeb5c,mw919f8a86_e702_4b24_9cd7_adad694fcf9b,mwcb834e43_dc57_45ae_9452_f4c10955caf1,mwee54b5b4_b8c0_41df_8dda_5b160c5e10a5,mwf166ad55_4ff0_49fb_95d2_b657ad7653d5,mwfcfaf604_14d4_47a6_b021_226d1fb5497c,Time
0.0,0.0,0.0001,0.0,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0
0.0,7.361235510698839e-09,0.0001,7.628710460921906e-10,1.0648844467805745e-15,4.024314952168059e-12,5e-05,6.970092529581159e-14,3.086881524021972e-18,1.2793911242598102e-18,6.032555582497807e-14,0.01
0.0,1.4714308935254556e-08,0.0001,1.5256027058481734e-09,8.513151200983819e-15,1.6083752862119803e-11,5e-05,2.7876998354799364e-13,2.4677925275030576e-17,1.074410407850502e-17,2.411966238173991e-13,0.02
0.0,2.205923424982415e-08,0.0001,2.2881950117259553e-09,2.871144268722961e-14,3.615809293082372e-11,5e-05,6.271570366025263e-13,8.322896764030681e-17,3.801724732352221e-17,5.424550321102116e-13,0.03
0.0,2.9396025394175377e-08,0.0001,3.0506479961732464e-09,6.800823110529554e-14,6.422716657834833e-11,5e-05,1.1148125241293646e-12,1.971435284047421e-16,9.428191634127259e-17,9.639429086531676e-13,0.04
0.0,3.672469627191296e-08,0.0001,3.8129616916275e-09,1.32733910098113e-13,1.0027085713870457e-10,5e-05,1.741687460443823e-12,3.847732226874567e-16,1.922726112935993e-16,1.5055026796723385e-12,0.05
0.0,4.404526075063549e-08,0.0001,4.575136130515883e-09,2.292008300293428e-13,1.442690996740574e-10,5e-05,2.5077334328284137e-12,6.644181683084959e-16,3.462707053583012e-16,2.166977069037335e-12,0.06
0.0,5.135773266257908e-08,0.0001,5.337171345255313e-09,3.637035244360568e-13,1.9620188013809967e-10,5e-05,3.4129025930819388e-12,1.0543283147042904e-15,5.720816265579571e-16,2.9482090944211247e-12,0.07
0.0,5.866212580352198e-08,0.0001,6.099067368252411e-09,5.425183333812186e-13,2.560492367918265e-10,5e-05,4.457147671746241e-12,1.5727011440457815e-15,8.870732716864354e-16,3.849042073697694e-12,0.08
0.0,6.595845393329563e-08,0.0001,6.860824231903532e-09,7.71903578783175e-13,3.2379125954337283e-10,5e-05,5.64042197149028e-12,2.2376827441948247e-15,1.3101581428314457e-15,4.869319621958229e-12,0.09
0.0,7.324673077600674e-08,0.0001,7.622441968594767e-09,1.0580996404679989e-12,3.9940808966111567e-10,5e-05,6.962679364243606e-12,3.0673682754916547e-15,1.8617856076334286e-15,6.008885650214055e-12,0.1
0.0,8.052697002017181e-08,0.0001,8.383920610701939e-09,1.4073290021032619e-12,4.828799196000273e-10,5e-05,8.423874289467217e-12,4.0798022536202485e-15,2.563937230722613e-15,7.2675843646113435e-12,0.11
