data_set_T,data_set_B10,data_set_B11,data_set_B20,data_set_B21,data_set_B30,data_set_B31,data_set_B40,data_set_B41,data_set_IK1,data_set_O0,data_set_O1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5,0.0049396362,0.14038301,0.011733539,0.33053493,0.012232424,0.34169129,0.0047247633,0.13091497,3.4980381,0.00076964532,0.022075776
1.0,0.010867212,0.23128471,0.01684849,0.35823339,0.011592958,0.24625508,0.0029870751,0.063391671,11.928844,0.0026246081,0.055914816
1.5,0.012901688,0.25513935,0.018005935,0.35604173,0.011167134,0.22079113,0.0025968025,0.051337406,15.753652,0.0034661498,0.068552673
2.0,0.013491922,0.26117399,0.018330753,0.35483935,0.01106876,0.21426235,0.0025063613,0.048516113,16.924946,0.0037238605,0.072086535
2.5,0.013658721,0.26270759,0.018429952,0.35447559,0.011052371,0.21257742,0.0024855214,0.047805596,17.25284,0.0037960045,0.073011242
3.0,0.013705811,0.26309764,0.018460777,0.35437423,0.01105128,0.21214108,0.0024808843,0.047623206,17.343018,0.0038158454,0.073249228
3.5,0.013719173,0.26319674,0.018470362,0.35434636,0.011051987,0.21202786,0.0024799139,0.047576133,17.367832,0.0038213052,0.073310181
4.0,0.01372299,0.26322183,0.018473336,0.35433868,0.011052473,0.21199843,0.0024797325,0.047563959,17.374699,0.0038228161,0.073325761
4.5,0.013724088,0.26322818,0.018474258,0.35433653,0.011052691,0.21199076,0.0024797067,0.047560807,17.376612,0.003823237,0.073329739
5.0,0.013724405,0.26322979,0.018474543,0.35433593,0.011052775,0.21198876,0.0024797064,0.047559988,17.37715,0.0038233551,0.073330753
5.5,0.013724498,0.26323017,0.018474631,0.35433576,0.011052806,0.21198824,0.0024797083,0.047559779,17.3773,0.0038233886,0.073331006
6.0,0.013724525,0.26323029,0.018474657,0.35433573,0.011052816,0.21198811,0.0024797095,0.047559723,17.377344,0.0038233981,0.073331073
6.5,0.013724533,0.26323029,0.018474666,0.3543357,0.01105282,0.21198806,0.0024797099,0.047559708,17.377357,0.0038234009,0.073331088
7.0,0.013724536,0.26323032,0.018474668,0.3543357,0.011052821,0.21198806,0.0024797102,0.047559705,17.377361,0.0038234016,0.073331095
7.5,0.013724537,0.26323032,0.01847467,0.3543357,0.011052822,0.21198805,0.0024797102,0.047559705,17.377361,0.0038234019,0.073331095
8.0,0.013724537,0.26323032,0.01847467,0.3543357,0.011052822,0.21198805,0.0024797102,0.047559705,17.377361,0.0038234019,0.073331095
