C_2_task1,M_1_task1,_1_task1
0.8,0.4,0.0
0.8827212766108136,0.35721139385627226,10.0
0.9652978249145153,0.4141537621173082,20.0
1.0418571025504608,0.4753206196044409,30.0
1.1119936082730553,0.5408534710047764,40.0
1.1752544514429104,0.611156787754605,50.0
1.2311510324727621,0.686886376493535,60.0
1.279046068178612,0.7688242326118865,70.0
1.3182739762570639,0.8580992991348464,80.0
1.3480222131325286,0.9561632512183723,90.0
1.3673245511389447,1.064915793696301,100.0
1.3749715746274063,1.1866467890013632,110.0
1.369493723297131,1.324445056823701,120.0
1.3490785656310214,1.482099045894616,130.0
1.3114829110985706,1.6641454384139927,140.0
1.2540458252851787,1.8749031849716515,150.0
1.1736791641677569,2.116777066167687,160.0
1.0673764356277102,2.384973959913211,170.0
0.9333317055635331,2.657256901737135,180.0
0.7736542086749619,2.8794812513748607,190.0
0.5976723015301654,2.9639004055406164,200.0
0.4237908012115862,2.8287483823720674,210.0
0.2754055749118153,2.465809698614252,220.0
0.17212069157917972,1.9570915300909508,230.0
0.12305692707814735,1.4151145491232127,240.0
0.12659696167690784,0.9310622533475755,250.0
0.17364532271111033,0.5632281931108986,260.0
0.2508620047927322,0.33426684608852314,270.0
0.34496505591767934,0.22503845030043934,280.0
0.4458399511031583,0.19350051464380794,290.0
0.5475889763665681,0.20373606342613773,300.0
0.6470309945812921,0.23506202572026005,310.0
0.7427182628743247,0.2776474923580303,320.0
0.8337234477031394,0.32708334156798274,330.0
0.9194844669165249,0.3815469544261576,340.0
0.9994408297078038,0.4403020402122991,350.0
1.0732609334344834,0.5033461113113812,360.0
1.1404693934691637,0.5709103809576086,370.0
1.200601752223085,0.6435141910698169,380.0
1.2530532303018453,0.7217881520514187,390.0
1.2972642111817574,0.8067808797022289,400.0
1.3324710437789742,0.8997089877097179,410.0
1.3578061440712648,1.0022065581005308,420.0
1.3721682532072663,1.1162327906461524,430.0
1.3742938127453197,1.244560315019658,440.0
1.362535105224181,1.3905375560089204,450.0
1.3349312320987186,1.5583205210697233,460.0
1.289051606838694,1.752273008176223,470.0
1.2220032370439755,1.97658818362582,480.0
1.1306374827204972,2.2312635581211335,490.0
1.0122579570281267,2.505764092987464,500.0
0.8665313515972096,2.764811459814502,510.0
0.6980281748359123,2.9389512643545195,520.0
0.5202365519632104,2.9346115563224116,530.0
0.3544562895425993,2.695174423468688,540.0
0.22405023384330364,2.2551760392951845,550.0
0.14393885029825093,1.718688913740954,560.0
0.11859124792153881,1.1926519473957258,570.0
0.14246115940434267,0.7538263454453493,580.0
0.20446149720000176,0.4465702011902384,590.0
0.29052106040305514,0.27424192243492557,600.0
0.3886210972066476,0.2042289203357239,610.0
0.49035554317013735,0.19434410390733137,620.0
0.5913622521995578,0.215572432742484,630.0
0.6892865480545981,0.2525925228170626,640.0
0.7830704119608315,0.29853826436669856,650.0
0.8718194820946498,0.3502830496900628,660.0
0.9550979642669221,0.40666019621664895,670.0
1.0324155410301956,0.46726088606285354,680.0
1.1034479088463127,0.5322678952471991,690.0
1.1676097855246885,0.601933150951193,700.0
1.2244582382071207,0.6769083166096491,710.0
1.2733883395270291,0.7579630497566309,720.0
1.3137936671353319,0.8462969900043162,730.0
1.3448017114581439,0.9431447543457199,740.0
1.3654904246375683,1.0503846966680983,750.0
1.3746852017694275,1.170260946004127,760.0
1.3709766306486846,1.3059064930796884,770.0
1.3525808067642053,1.460805512211834,780.0
1.3173245530979334,1.6394437659668497,790.0
1.2625953978443372,1.8462087602206174,800.0
1.1852784699972434,2.0843488821833964,810.0
1.082414816501702,2.3499703913118557,820.0
0.9519288207681008,2.6239454899398797,830.0
0.795291888930054,2.856555547837748,840.0
0.6203931855898356,2.9640956274611807,850.0
0.4449458283914455,2.859440764951632,860.0
0.29207003626622674,2.522562032080337,870.0
0.18243662314475448,2.026248689384437,880.0
0.1262524120827856,1.4823849683690005,890.0
0.12346626463613004,0.9870364375403312,900.0
0.16562027885894504,0.6023951176790436,910.0
0.23983320246666903,0.35615013521111427,920.0
0.3324550483501413,0.23370586056399056,930.0
0.43286385472293254,0.1945861713850401,940.0
0.534666212346424,0.20093334550832723,950.0
0.63453352474887,0.2303139936267575,960.0
0.7307948528972683,0.2717935500233667,970.0
0.8224235303301791,0.3204885270834954,980.0
0.9088387345694571,0.37433600110086107,990.0
0.98957471249335,0.43257232571507287,1000.0
