Time,M,Mp,Mpp,MAPKK,MKP3,k1cat,Km1,k2cat,Km2,k3cat,Km3,k4cat,Km4,Km5,uVol,v1,v2,v3,v4
0.0,500.0,0.0,0.0,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45454545454545453,0.0,0.0,0.0
0.01,499.99545557090767,0.00454133230942191,3.0967828505827836e-06,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45454470365049815,0.00061927719315197,1.5955952797704802e-07,0.00020427603140181215
0.02,499.9909131901747,0.00907443224585823,1.2377579290470929e-05,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45454395359403627,0.001237440981677824,6.377292487272016e-07,0.00040817107115884485
0.03,499.9863728539873,0.013599317927437037,2.7828085196323055e-05,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45454320437427986,0.0018544938073283303,1.4337471951999874e-06,0.0006116859764895439
0.04,499.98183455853973,0.018116007431705782,4.943402844543955e-05,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545424559894441,0.002470438106416777,2.546853167205447e-06,0.0008148216026175855
0.05,499.97729830003533,0.02262451879572208,7.718116884460283e-05,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545417084377481,0.0030852763098310255,3.976288727232525e-06,0.0010175788027766437
0.06,499.97276407468564,0.02712487001614608,0.0001110552980579551,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45454096171741476,0.0036990108430457885,5.721297196220131e-06,0.001219958428215228
0.07,499.9682318787111,0.03161707904933137,0.00015104223953577364,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45454021582667115,0.0043116441261347085,7.781123649376688e-06,0.0014219613282014506
0.08,499.96370170834007,0.036101163811412734,0.0001971278484456672,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545394707637482,0.004923178573782007,1.0155014912126665e-05,0.0016235883500276519
0.09,499.95917355981,0.04057714217840341,0.00024929801159657647,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545387265268807,0.005533616595295423,1.2842219555688605e-05,0.0018248403390154456
0.1,499.95464742936633,0.04504503198628494,0.00030753864736837803,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45453798311430765,0.006142960594618165,1.5841987892944087e-05,0.002025718138520435
0.11,499.9501233132633,0.04950485103109757,0.00037183570564113514,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545372405242717,0.006751212970340899,1.9153571974290692e-05,0.0022262225899369434
0.12,499.9456012077633,0.05395661706903097,0.0004421751677239983,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545364987550194,0.007358376115713832,2.2776225583479146e-05,0.0024263545327027607
0.13,499.94108110913714,0.05840034781651496,0.0005185430462842712,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45453575780480154,0.007964452418658759,2.6709204233461158e-05,0.0026261148043038897
0.14,499.9365630136644,0.06283606095030976,0.0006009253852766418,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545350176718725,0.008569444261781047,3.0951765162247957e-05,0.0028255042402792604
0.15,499.9320469176325,0.0672637741075963,0.0006893082598725799,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545342783544905,0.009173354022381664,3.5503167328779625e-05,0.003024523674225453
0.16,499.9275328173375,0.07168350488606612,0.0007836777763899004,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.454533539850918,0.009776184072469106,4.036267140880504e-05,0.003223173937801392
0.17,499.92302070908386,0.07609527084400695,0.0008840200722255874,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45453280215942093,0.010377936778770774,4.5529539790932016e-05,0.0034214558607328503
0.18,499.9185105891839,0.08049908950036556,0.0009903213158062173,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.4545320652782694,0.010978614502741233,5.1003036573585936e-05,0.0036193702708159285
0.19,499.9140024539587,0.08489497833487944,0.0011025677064855773,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.454531329205737,0.011578219600579854,5.678242755925076e-05,0.003816917993923612
0.2,499.9094962997374,0.08928295478815558,0.0012207454744827602,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45453059394010176,0.012176754423241268,6.286698025079718e-05,0.004014099854009972
0.21,499.9049921228575,0.0936630362617541,0.0013448408808166676,50.0,100.0,0.01,50.0,15.0,500.0,0.084,22.0,0.06,18.0,78.0,1.0,0.45452985947964497,0.012774221316446443,6.925596384762759e-05,0.004210916673114556
