V_membrane,n,s,Time
-65.0,0.05,0.025,0.0
-65.00227548108002,0.04998008558600693,0.024999989803985136,0.01
-65.00454916310218,0.04996017926221973,0.024999979607310905,0.02
-65.00682166941009,0.04994027822551671,0.024999969410205766,0.03
-65.00909284032053,0.049920383196616236,0.024999959212611358,0.04
-65.01136204565705,0.04990049701977341,0.024999949014297376,0.05
-65.01362968621969,0.04988061788600667,0.024999938815410298,0.06
-65.01589576200845,0.049860745795316026,0.024999928615950122,0.07
-65.01816006103623,0.049840881715633424,0.024999918415840084,0.08
-65.02042262616932,0.04982102545123149,0.024999908215095713,0.09
-65.02268349984521,0.04980117680834094,0.024999898013732372,0.1
-65.02494263084287,0.0497813360354566,0.024999887811732457,0.11
-65.02719995383514,0.04976150344950793,0.024999877609073507,0.12
-65.02945554790776,0.049741678666816794,0.024999867405782708,0.13
-65.03170941306071,0.049721861687383205,0.024999857201860067,0.14
-65.03396154929402,0.04970205251120715,0.024999846997305574,0.15
-65.03621195660766,0.04968225113828863,0.024999836792119236,0.16
-65.03846063500166,0.049662457568627645,0.024999826586301052,0.17
-65.04070758170552,0.04964267183492506,0.0249998163798513,0.18
-65.04295277791306,0.04962289415915852,0.024999806172771883,0.19
-65.04519624188023,0.04960312432584509,0.024999795965060953,0.2
-65.04743797360706,0.049583362334984775,0.02499978575671851,0.21
-65.04967797309354,0.04956360818657756,0.024999775547744556,0.22
-65.05191624033965,0.04954386188062346,0.02499976533813909,0.23
-65.05415277534541,0.049524123417122465,0.024999755127902114,0.24
-65.05638757811083,0.049504392796074576,0.024999744917033627,0.25
-65.05862064863588,0.0494846700174798,0.024999734705533627,0.26
-65.06085198692058,0.04946495508133813,0.024999724493402115,0.27
-65.06308159296492,0.04944524798764957,0.02499971428063909,0.28
-65.06530946676891,0.04942554873641412,0.024999704067244558,0.29
-65.06753560833255,0.04940585732763177,0.02499969385321851,0.3
-65.06976001765584,0.04938617376130254,0.024999683638560952,0.31
-65.07198286308524,0.049366497745894175,0.024999673423363008,0.32
-65.07420406080315,0.04934682942655698,0.024999663207579303,0.33
-65.07642354312026,0.04932716892051119,0.024999652991173203,0.34
-65.07864131003655,0.049307516227756816,0.024999642774144706,0.35000000000000003
-65.08085736155203,0.04928787134829385,0.024999632556493814,0.36
-65.0830716976667,0.049268234282122285,0.024999622338220524,0.37
-65.08528431838056,0.04924860502924213,0.024999612119324836,0.38
-65.08749522369362,0.049228983589653386,0.024999601899806753,0.39
-65.08970441360586,0.049209369963356044,0.024999591679666273,0.4
-65.0919118881173,0.04918976415035011,0.024999581458903398,0.41000000000000003
