Time,V_membrane,n,s,tau_membrane,i_Ca,g_Ca,V_Ca,m_infinity,V_m,theta_m,i_K,V_K,g_K,n_infinity,V_n,theta_n,lamda,tau_potassium_current_n_gate,i_s,g_s,s_infinity,V_s,theta_s,tau_s,i_K_ATP,g_K_ATP,p,Compartment
0.0,-65.0,0.05,0.025,20.0,-7.4446678508483,3.6,25.0,0.022977369910025615,-20.0,12.0,5.0,-75.0,10.0,0.00018940594382518605,-17.0,5.6,0.8,20.0,1.0,4.0,0.004609572179374208,-22.0,8.0,20000.0,6.0,1.2,0.5,1.0
0.01,-65.00227548108002,0.04998008558600693,0.024999989803985136,20.0,-7.443476918554015,3.6,25.0,0.02297311336101459,-20.0,12.0,4.996871271209406,-75.0,10.0,0.00018932901159162766,-17.0,5.6,0.8,20.0,0.9997720441442068,4.0,0.004608267282688242,-22.0,8.0,20000.0,5.998634711351988,1.2,0.5,1.0
0.02,-65.00454916310218,0.04996017926221973,0.024999979607310905,20.0,-7.442287107381677,3.6,25.0,0.022968860946421907,-20.0,12.0,4.993745156181192,-75.0,10.0,0.00018925217138791506,-17.0,5.6,0.8,20.0,0.9995442683532966,4.0,0.00460696378493939,-22.0,8.0,20000.0,5.99727050213869,1.2,0.5,1.0
0.03,-65.00682166941009,0.04994027822551671,0.024999969410205766,20.0,-7.44109809076125,3.6,25.0,0.022964611498781658,-20.0,12.0,4.990621061868649,-75.0,10.0,0.0001891754020739783,-17.0,5.6,0.8,20.0,0.9993166103019158,4.0,0.004605661327943069,-22.0,8.0,20000.0,5.995906998353948,1.2,0.5,1.0
0.04,-65.00909284032053,0.049920383196616236,0.024999959212611358,20.0,-7.439909951920907,3.6,25.0,0.02296036531528722,-20.0,12.0,4.987499138930157,-75.0,10.0,0.0001890987089799578,-17.0,5.6,0.8,20.0,0.9990890859558937,4.0,0.004604360002509818,-22.0,8.0,20000.0,5.994544295807679,1.2,0.5,1.0
0.05,-65.01136204565705,0.04990049701977341,0.024999949014297376,20.0,-7.438723020116681,3.6,25.0,0.022956123572314153,-20.0,12.0,4.9843799847228585,-75.0,10.0,0.0001890221133053303,-17.0,5.6,0.8,20.0,0.9988617583233974,4.0,0.00460306016881545,-22.0,8.0,20000.0,5.993182772605769,1.2,0.5,1.0
0.06,-65.01362968621969,0.04988061788600667,0.024999938815410298,20.0,-7.437537085265093,3.6,25.0,0.02295188551874419,-20.0,12.0,4.9812632168983635,-75.0,10.0,0.00018894560143635662,-17.0,5.6,0.8,20.0,0.9986345873301502,4.0,0.004601761596321625,-22.0,8.0,20000.0,5.991822188268188,1.2,0.5,1.0
0.07,-65.01589576200845,0.049860745795316026,0.024999928615950122,20.0,-7.436352146973085,3.6,25.0,0.022947651152864568,-20.0,12.0,4.9781488340443385,-75.0,10.0,0.00018886917329639027,-17.0,5.6,0.8,20.0,0.9984075729759748,4.0,0.00460046428417189,-22.0,8.0,20000.0,5.990462542794927,1.2,0.5,1.0
0.08,-65.01816006103623,0.049840881715633424,0.024999918415840084,20.0,-7.4351683156717145,3.6,25.0,0.022943420868974124,-20.0,12.0,4.97503703702279,-75.0,10.0,0.00018879283595426194,-17.0,5.6,0.8,20.0,0.998180736456274,4.0,0.004599168352820827,-22.0,8.0,20000.0,5.9891039633782635,1.2,0.5,1.0
0.09,-65.02042262616932,0.04982102545123149,0.024999908215095713,20.0,-7.433985568512214,3.6,25.0,0.02293919458508618,-20.0,12.0,4.971927783341521,-75.0,10.0,0.0001887165878805756,-17.0,5.6,0.8,20.0,0.9979540734848517,4.0,0.00459787377678849,-22.0,8.0,20000.0,5.9877464242984075,1.2,0.5,1.0
0.1,-65.02268349984521,0.04980117680834094,0.024999898013732372,20.0,-7.432803882883821,3.6,25.0,0.022934972220074464,-20.0,12.0,4.968821030969859,-75.0,10.0,0.00018864042756283018,-17.0,5.6,0.8,20.0,0.9977275798183953,4.0,0.004596580530868837,-22.0,8.0,20000.0,5.986389900092871,1.2,0.5,1.0
0.11,-65.02494263084287,0.0497813360354566,0.024999887811732457,20.0,-7.4316232851307555,3.6,25.0,0.022930753867739313,-20.0,12.0,4.965716828669686,-75.0,10.0,0.00018856435664404078,-17.0,5.6,0.8,20.0,0.9975012605780932,4.0,0.004595288643435385,-22.0,8.0,20000.0,5.985034421494277,1.2,0.5,1.0
0.12,-65.02719995383514,0.04976150344950793,0.024999877609073507,20.0,-7.4304438089516704,3.6,25.0,0.02292653964814681,-20.0,12.0,4.962615238984856,-75.0,10.0,0.0001884883772392581,-17.0,5.6,0.8,20.0,0.9972751222955368,4.0,0.00459399815089321,-22.0,8.0,20000.0,5.9836800276989175,1.2,0.5,1.0
0.13,-65.02945554790776,0.049741678666816794,0.024999867405782708,20.0,-7.429265412584821,3.6,25.0,0.02292232941174413,-20.0,12.0,4.959516182691852,-75.0,10.0,0.0001884124866022416,-17.0,5.6,0.8,20.0,0.9970491570630737,4.0,0.004592709007081761,-22.0,8.0,20000.0,5.982326671255344,1.2,0.5,1.0
0.14,-65.03170941306071,0.049721861687383205,0.024999857201860067,20.0,-7.428088095601348,3.6,25.0,0.022918123156666186,-20.0,12.0,4.956419658234394,-75.0,10.0,0.00018833668465042944,-17.0,5.6,0.8,20.0,0.9968233648805125,4.0,0.004591421211073251,-22.0,8.0,20000.0,5.980974352163574,1.2,0.5,1.0
0.15,-65.03396154929402,0.04970205251120715,0.024999846997305574,20.0,-7.426911857572801,3.6,25.0,0.02291392088104977,-20.0,12.0,4.953325664056982,-75.0,10.0,0.00018826097130137398,-17.0,5.6,0.8,20.0,0.9965977457476551,4.0,0.004590134761940983,-22.0,8.0,20000.0,5.979623070423588,1.2,0.5,1.0
0.16,-65.03621195660766,0.04968225113828863,0.024999836792119236,20.0,-7.4257366980711685,3.6,25.0,0.022909722583033688,-20.0,12.0,4.950234198604957,-75.0,10.0,0.00018818534647274457,-17.0,5.6,0.8,20.0,0.9963722996643104,4.0,0.00458884965875941,-22.0,8.0,20000.0,5.978272826035405,1.2,0.5,1.0
0.17,-65.03846063500166,0.049662457568627645,0.024999826586301052,20.0,-7.424562616668832,3.6,25.0,0.0229055282607586,-20.0,12.0,4.947145260324443,-75.0,10.0,0.00018810981008232335,-17.0,5.6,0.8,20.0,0.9961470266302804,4.0,0.00458756590060407,-22.0,8.0,20000.0,5.976923618999007,1.2,0.5,1.0
0.18,-65.04070758170552,0.04964267183492506,0.0249998163798513,20.0,-7.423389614384814,3.6,25.0,0.022901337917533387,-20.0,12.0,4.944058852294501,-75.0,10.0,0.00018803436214101708,-17.0,5.6,0.8,20.0,0.995921926922429,4.0,0.004586283488132632,-22.0,8.0,20000.0,5.975575450976689,1.2,0.5,1.0
0.19,-65.04295277791306,0.04962289415915852,0.024999806172771883,20.0,-7.4222177006071455,3.6,25.0,0.022897151586562234,-20.0,12.0,4.9409750043936365,-75.0,10.0,0.0001879590031978215,-17.0,5.6,0.8,20.0,0.995697002421241,4.0,0.004585002431150451,-22.0,8.0,20000.0,5.974228333252165,1.2,0.5,1.0
0.2,-65.04519624188023,0.04960312432584509,0.024999795965060953,20.0,-7.42104686537761,3.6,25.0,0.022892969231939696,-20.0,12.0,4.937893684534047,-75.0,10.0,0.0001878837325576098,-17.0,5.6,0.8,20.0,0.9954722513008646,4.0,0.004583722718314079,-22.0,8.0,20000.0,5.97288225487186,1.2,0.5,1.0
0.21,-65.04743797360706,0.049583362334984775,0.02499978575671851,20.0,-7.419877108269504,3.6,25.0,0.0228887908518109,-20.0,12.0,4.9348148911605145,-75.0,10.0,0.00018780855013849016,-17.0,5.6,0.8,20.0,0.9952476735611029,4.0,0.004582444348701959,-22.0,8.0,20000.0,5.971537215835764,1.2,0.5,1.0
0.22,-65.04967797309354,0.04956360818657756,0.024999775547744556,20.0,-7.418708428856552,3.6,25.0,0.022884616444322946,-20.0,12.0,4.931738622718642,-75.0,10.0,0.00018773345585868664,-17.0,5.6,0.8,20.0,0.995023269201761,4.0,0.0045811673213936544,-22.0,8.0,20000.0,5.970193216143877,1.2,0.5,1.0
0.23,-65.05191624033965,0.04954386188062346,0.02499976533813909,20.0,-7.417540826712906,3.6,25.0,0.022880446007624906,-20.0,12.0,4.928664877654857,-75.0,10.0,0.00018765844963653804,-17.0,5.6,0.8,20.0,0.9947990382226448,4.0,0.00457989163546985,-22.0,8.0,20000.0,5.96885025579621,1.2,0.5,1.0
0.24,-65.05415277534541,0.049524123417122465,0.024999755127902114,20.0,-7.416374301413123,3.6,25.0,0.022876279539867723,-20.0,12.0,4.925593654416386,-75.0,10.0,0.0001875835313904962,-17.0,5.6,0.8,20.0,0.994574980623558,4.0,0.00457861729001233,-22.0,8.0,20000.0,5.967508334792751,1.2,0.5,1.0
0.25,-65.05638757811083,0.049504392796074576,0.024999744917033627,20.0,-7.415208852532189,3.6,25.0,0.02287211703920432,-20.0,12.0,4.922524951451279,-75.0,10.0,0.00018750870103912738,-17.0,5.6,0.8,20.0,0.9943510964043049,4.0,0.004577344284103997,-22.0,8.0,20000.0,5.966167453133502,1.2,0.5,1.0
0.26,-65.05862064863588,0.0494846700174798,0.024999734705533627,20.0,-7.414044479645516,3.6,25.0,0.022867958503789573,-20.0,12.0,4.9194587672084085,-75.0,10.0,0.00018743395850111312,-17.0,5.6,0.8,20.0,0.9941273855646918,4.0,0.004576072616828875,-22.0,8.0,20000.0,5.964827610818472,1.2,0.5,1.0
