Time,N,S,I_1,I_2,R_1,R_2,I_1p,I_2p,R_p,mu,l_e,beta_1,R0_1,gamma_1,beta_2,R0_2,gamma_2,tInf_1,tInf_2,sigma,tImm,Lambda_1,Lambda_2,I_1_frac,I_2_frac,S_frac,R1_frac,R2_frac,Rp_frac,psi,env,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20
0.0,1.0,0.0588912,0.003775,1e-06,0.93733,0.0,0.0,0.0,0.0,0.02,50.0,295.4761904761905,17.0,17.38095238095238,295.4761904761905,17.0,17.38095238095238,21.0,21.0,0.05,20.0,1.115422619047619,0.00029547619047619046,0.003775,1e-06,0.0588912,0.93733,0.0,0.0,0.2,1.0,0.02,0.001177824,7.55e-05,2e-08,0.0187466,0.0,0.0,0.0,0.0,0.06568857654285715,1.7400947428571427e-05,0.0,0.00022156695809523807,0.06561309523809523,1.7380952380952377e-05,0.0,0.0,0.046866500000000005,0.0,0.0
0.01,1.0,0.05889056078149401,0.0037749975132489837,1.446650271615103e-06,0.9373218342240998,1.9368829762985415e-07,7.691947371928379e-10,7.720832073384307e-06,4.461012639866864e-07,0.02,50.0,295.4761904761905,17.0,17.38095238095238,295.4761904761905,17.0,17.38095238095238,21.0,21.0,0.05,20.0,1.1154221115506326,0.002708772759558159,0.0037749982824437207,9.16748234499941e-06,0.05889056078149401,0.9373222803253638,6.397895616165406e-07,4.461012639866864e-07,0.2,1.0,0.02,0.0011778112156298802,7.549995026497968e-05,2.893300543230206e-08,0.018746436684481997,3.873765952597083e-09,1.538389474385676e-11,1.5441664146768614e-07,8.92202527973373e-09,0.06568783365729493,0.00015952114684001503,1.7283536793995146e-07,0.0020311934811882643,0.06561305201599424,2.514415948283393e-05,1.3369337098827895e-08,0.00013419541460882247,0.04686609171120499,9.684414881492708e-09,2.2305063199334322e-08
0.02,1.0,0.05888469767453096,0.003774969039020107,6.773877294633982e-06,0.9372469860260558,7.418418025347172e-07,3.9578637683966765e-09,7.726230932794307e-05,5.766393879720448e-06,0.02,50.0,295.4761904761905,17.0,17.38095238095238,295.4761904761905,17.0,17.38095238095238,21.0,21.0,0.05,20.0,1.1154146402697356,0.024830692285385265,0.0037749729968838755,8.403618662257704e-05,0.05888469767453096,0.9372527524199356,6.5082356822551656e-06,5.766393879720448e-06,0.2,1.0,0.02,0.0011776939534906192,7.549938078040214e-05,1.3547754589267964e-07,0.018744939720521117,1.4836836050694344e-08,7.915727536793353e-11,1.5452461865588614e-06,1.1532787759440896e-07,0.06568085387402908,0.0014621478082742195,6.619689658490512e-07,0.018617993204334223,0.06561255710677805,0.00011773643869244776,6.879144168879937e-08,0.0013428925192713913,0.04686234930130279,3.709209012673586e-08,2.883196939860224e-07
0.03,1.0,0.058830997370858625,0.003774700968753428,5.6598451584743154e-05,0.9365613979984272,4.745173187100443e-06,2.078576503026763e-08,0.0007131905059689271,5.5550424950765435e-05,0.02,50.0,295.4761904761905,17.0,17.38095238095238,295.4761904761905,17.0,17.38095238095238,21.0,21.0,0.05,20.0,1.115340404132716,0.22745430864859636,0.003774721754518458,0.0007697889575536702,0.058830997370858625,0.936616948423378,6.0295598137865875e-05,5.5550424950765435e-05,0.2,1.0,0.02,0.0011766199474171726,7.549401937506856e-05,1.1319690316948632e-06,0.018731227959968545,9.490346374200887e-08,4.1571530060535263e-10,1.4263810119378541e-05,1.1110084990153087e-06,0.0656165883831442,0.013381363834096039,4.233986704144268e-06,0.17041994023095616,0.06560789779023815,0.0009837349918300595,3.6127639219274685e-07,0.012395930222793256,0.04682806989992136,2.3725865935502216e-07,2.777521247538272e-06
0.04,1.0,0.058342964118612776,0.003772245169465654,0.0005101294306786597,0.9303249196924158,4.043894232224275e-05,1.5667770133773683e-07,0.006495379039056945,0.0005109691688503697,0.02,50.0,295.4761904761905,17.0,17.38095238095238,295.4761904761905,17.0,17.38095238095238,21.0,21.0,0.05,20.0,1.1146549267462469,2.0699609549861635,0.003772401847166992,0.007005508469735605,0.058342964118612776,0.9308358888612662,0.0005514081111726124,0.0005109691688503697,0.2,1.0,0.02,0.0011668592823722555,7.544490338931308e-05,1.0202588613573194e-05,0.018606498393848318,8.08778846444855e-07,3.133554026754737e-09,0.0001299075807811389,1.0219383377007393e-05,0.06503227239579124,0.12076765772368717,3.606037303351616e-05,1.5405890073711512,0.06556521365976017,0.008866535342748132,2.7232076661082827e-06,0.11289587377408498,0.04651624598462079,2.0219471161121377e-06,2.5548458442518485e-05
0.05,1.0,0.05420112010326673,0.0037506425628053533,0.004348782656138714,0.8769656722111079,0.00035408740397197154,1.3518693502190672e-06,0.05583644262670453,0.00453910336525458,0.02,50.0,295.4761904761905,17.0,17.38095238095238,295.4761904761905,17.0,17.38095238095238,21.0,21.0,0.05,20.0,1.1086250215012061,17.783301089525825,0.0037519944321555724,0.060185225282843244,0.05420112010326673,0.8815047755763624,0.004893190769226552,0.00453910336525458,0.2,1.0,0.02,0.0010840224020653346,7.501285125610707e-05,8.697565312277429e-05,0.017539313444222156,7.081748079439431e-06,2.7037387004381344e-08,0.0011167288525340906,9.078206730509161e-05,0.06008871793987353,0.9638748381859433,0.0003140401246733866,12.476275675286836,0.06518973978209304,0.0755859842614586,2.3496776801426643e-05,0.970490550416531,0.0438482836105554,1.7704370198598578e-05,0.000226955168262729
0.06,1.0,0.03238610105714546,0.003605016391023959,0.024094947284412357,0.5800330143104715,0.002490947898712119,1.0447698491271782e-05,0.32458744615063717,0.03278928256709087,0.02,50.0,295.4761904761905,17.0,17.38095238095238,295.4761904761905,17.0,17.38095238095238,21.0,21.0,0.05,20.0,1.0682835559734287,103.02734529830869,0.0036154640895152304,0.34868239343504953,0.03238610105714546,0.6128222968775624,0.03528023046580299,0.03278928256709087,0.2,1.0,0.02,0.0006477220211429092,7.210032782047918e-05,0.00048189894568824714,0.01160066028620943,4.981895797424238e-05,2.0895396982543564e-07,0.006491748923012744,0.0006557856513418174,0.03459753920144218,3.3366540164804452,0.002128830943184578,47.807409319827016,0.06265861822494023,0.41879313137192903,0.00018159094996734285,5.641638944999169,0.029001650715523575,0.00012454739493560595,0.0016394641283545436
0.07,1.0,0.00642655164601142,0.0031910146491954125,0.04397872827292815,0.15704300789151784,0.008741851863656969,4.8733399024283487e-05,0.6579593041221939,0.12260801207272895,0.02,50.0,295.4761904761905,17.0,17.38095238095238,295.4761904761905,17.0,17.38095238095238,21.0,21.0,0.05,20.0,0.9572684113906293,207.40597576246347,0.0032397480482196962,0.7019380323951221,0.00642655164601142,0.2796510199642468,0.13134986393638592,0.12260801207272895,0.2,1.0,0.02,0.0001285310329202284,6.382029298390825e-05,0.0008795745654585629,0.003140860157830357,0.0001748370372731394,9.746679804856697e-07,0.01315918608244388,0.002452160241454579,0.006151934884897186,1.3329052149288643,0.006694638916908095,26.057326630730007,0.05546287366458693,0.7643921818866082,0.0008470328878030225,11.435959333552418,0.007852150394575893,0.00043709259318284847,0.0061304006036364475
0.08,1.0,0.0008864843286554907,0.0027036833232367105,0.04217838663448127,0.028541595800390146,0.01628470385066044,0.00012338237741030532,0.6684772268326722,0.24080174132891116,0.02,50.0,295.4761904761905,17.0,17.38095238095238,295.4761904761905,17.0,17.38095238095238,21.0,21.0,0.05,20.0,0.8353306034530825,209.98181340779462,0.002827065700647016,0.7106556134671534,0.0008864843286554907,0.2693433371293013,0.2570864451795716,0.24080174132891116,0.2,1.0,0.02,1.7729686573109816e-05,5.407366646473421e-05,0.0008435677326896255,0.000570831916007803,0.00032569407701320876,2.4676475482061064e-06,0.013369544536653444,0.004816034826578224,0.0007405074892074918,0.18614558688867133,0.010882489195701537,4.794572834974574,0.046992591094352346,0.7331005295993173,0.0021445032264172112,11.618770847329777,0.0014270797900195074,0.000814235192533022,0.012040087066445559
0.09,1.0,0.00028866898845608213,0.002275311833656903,0.036306089205132015,0.006119083636547249,0.022971273067011206,0.0002171122121501719,0.5821918420495873,0.34962782404292586,0.02,50.0,295.4761904761905,17.0,17.38095238095238,295.4761904761905,17.0,17.38095238095238,21.0,21.0,0.05,20.0,0.7364519621063286,182.7514125445492,0.0024924240458070747,0.6184979312547193,0.00028866898845608213,0.3557469076794731,0.37259909710993705,0.34962782404292586,0.2,1.0,0.02,5.773379769121643e-06,4.550623667313806e-05,0.0007261217841026403,0.00012238167273094497,0.0004594254613402241,4.342244243003438e-06,0.011643836840991746,0.0069925564808585175,0.0002125908429477308,0.05275466539815518,0.01353379129782453,0.8946169424457975,0.03954708663260807,0.6310344076130088,0.0037736170207053684,10.119048683242825,0.00030595418182736246,0.0011485636533505603,0.017481391202146295
