Time,AprE,DegU,DegUP,Dim,mAprE,mDegU,Imax,Io,Irmax,Iro,K,Kdim,Kr,Kr1,R,V,ka,kd,kdeg,kdegA,kdegm,kdephos,kphos,ksyn,ksyn1,p,q,ratio,DegU_Total,univ,AprEdeg,AprEsyn,DimerAss,DimerDis,degradation1,degradation2,degradation3,degradationmRNA,dephosphorylation,mRNAAprEdeg,mRNAAprEsyn,phosphorylation,synthesisDegU,synthesismRNA
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.048,0.004,0.4,0.02,7.0,12.0,7.0,7.0,7.0,1.0,0.025,0.1,0.0004,0.0001,0.01,0.149999998125,0.00400000005,0.04,0.04,0.15,0.004,0.026666667,10.0,1.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.005,0.0400000005,0.0,0.004
0.01,9.999761316580435e-09,9.99956031749999,0.00039969054983180174,1.499210741228153e-11,4.999750005592465e-05,3.9998000044997486e-05,0.048,0.004,0.4,0.02,7.0,12.0,7.0,7.0,7.0,1.0,0.025,0.1,0.0004,0.0001,0.01,0.149999998125,0.00400000005,0.04,0.04,0.15,0.004,0.026666667,9.999960008079807,1.0,3.999904526632174e-12,1.999900002236986e-06,3.9938133906212e-09,1.4992107412281532e-12,0.003999824126999996,1.598762199327207e-07,5.996842964912613e-15,3.999800004499749e-07,5.995358172535048e-05,4.999750005592465e-07,0.0050000000000031235,0.039998241769977974,1.5999200017998995e-06,0.004000000000094236
0.02,3.999727085688518e-08,9.999121269387247,0.0007987627094185509,1.1057229667581798e-10,9.999000065468473e-05,7.999200052738039e-05,0.048,0.004,0.4,0.02,7.0,12.0,7.0,7.0,7.0,1.0,0.025,0.1,0.0004,0.0001,0.01,0.149999998125,0.00400000005,0.04,0.04,0.15,0.004,0.026666667,9.99992003231781,1.0,1.5998908342754074e-11,3.99960002618739e-06,1.595054664894161e-08,1.1057229667581799e-11,0.0039996485077548995,3.1950508376742036e-07,4.422891867032719e-14,7.999200052738039e-07,0.00011981440491510256,9.999000065468474e-07,0.0050000000000230355,0.03999648557750505,3.1996800210952157e-06,0.004000000000695027
0.03,8.999066833932548e-08,9.998682854744157,0.0011972172419286626,3.6321719083399245e-10,0.00014997750224231003,0.00011998200181101384,0.048,0.004,0.4,0.02,7.0,12.0,7.0,7.0,7.0,1.0,0.025,0.1,0.0004,0.0001,0.01,0.149999998125,0.00400000005,0.04,0.04,0.15,0.004,0.026666667,9.99988007271252,1.0,3.5996267335730195e-11,5.999100089692402e-06,3.583322810928185e-08,3.6321719083399245e-11,0.003999473141897663,4.788868967714651e-07,1.45286876333597e-13,1.1998200181101383e-06,0.00017958258404451708,1.4997750224231004e-06,0.00500000000007567,0.039994731918910766,4.799280072440553e-06,0.004000000002283079
0.04,1.59977847476776e-07,9.99824507260071,0.0015950549554946067,8.530276412737485e-10,0.00019996000532549057,0.00015996800431385813,0.048,0.004,0.4,0.02,7.0,12.0,7.0,7.0,7.0,1.0,0.025,0.1,0.0004,0.0001,0.01,0.149999998125,0.00400000005,0.04,0.04,0.15,0.004,0.026666667,9.99984012926226,1.0,6.399113899071041e-11,7.998400213019623e-06,6.360500777619755e-08,8.530276412737485e-11,0.003999298029040284,6.380219821978427e-07,3.412110565094994e-13,1.5996800431385814e-06,0.00023925824033346296,1.9996000532549056e-06,0.005000000000177714,0.039992980790315096,6.398720172554326e-06,0.004000000005361888
0.05,2.4995670931594284e-07,9.997807921994223,0.001992276652825518,1.6591482187539173e-09,0.0002499375104093686,0.00019995000845694173,0.048,0.004,0.4,0.02,7.0,12.0,7.0,7.0,7.0,1.0,0.025,0.1,0.0004,0.0001,0.01,0.149999998125,0.00400000005,0.04,0.04,0.15,0.004,0.026666667,9.999800201965344,1.0,9.998268372637714e-11,9.997500416374745e-06,9.922915653484122e-08,1.6591482187539173e-10,0.00399912316879769,7.969106611302071e-07,6.636592875015669e-13,1.9995000845694174e-06,0.000298841494188309,2.499375104093686e-06,0.005000000000345656,0.039991232187867286,7.99800033827767e-06,0.004000000010428932
0.06,3.5992517491026066e-07,9.997371401972407,0.002388883128859785,2.8594210593849492e-09,0.00029991001799447957,0.00023992801466372844,0.048,0.004,0.4,0.02,7.0,12.0,7.0,7.0,7.0,1.0,0.025,0.1,0.0004,0.0001,0.01,0.149999998125,0.00400000005,0.04,0.04,0.15,0.004,0.026666667,9.99976029082011,1.0,1.4397006996410426e-10,1.1996400719779184e-05,1.426690650837729e-07,2.8594210593849494e-10,0.003998948560788963,9.55553251543914e-07,1.1437684237539798e-12,2.3992801466372845e-06,0.0003583324648498119,2.999100179944796e-06,0.005000000000595713,0.039989486107758196,9.597120586549138e-06,0.004000000017973504
0.07,4.898811628715813e-07,9.996935511582164,0.0027848751794502043,4.531636315380262e-09,0.00034987752858200153,0.0002799020233599007,0.048,0.004,0.4,0.02,7.0,12.0,7.0,7.0,7.0,1.0,0.025,0.1,0.0004,0.0001,0.01,0.149999998125,0.00400000005,0.04,0.04,0.15,0.004,0.026666667,9.999720395824887,1.0,1.9595246514863252e-10,1.3995101143280062e-05,1.9388824412794518e-07,4.531636315380262e-10,0.003998774204632865,1.1139500717800819e-06,1.8126545261521048e-12,2.799020233599007e-06,0.0004177312716958897,3.4987752858200154e-06,0.00500000000094409,0.03998774254617543,1.1196080934396028e-05,0.004000000028484571
0.08,6.398225978999849e-07,9.996500249875186,0.003180253597641628,6.75259640289134e-09,0.0003998400426719332,0.00031987203497857376,0.048,0.004,0.4,0.02,7.0,12.0,7.0,7.0,7.0,1.0,0.025,0.1,0.0004,0.0001,0.01,0.149999998125,0.00400000005,0.04,0.04,0.15,0.004,0.026666667,9.999680516978021,1.0,2.55929039159994e-10,1.5993601706877328e-05,2.5285032363281297e-07,6.75259640289134e-10,0.003998600099950075,1.2721014390566514e-06,2.7010385611565363e-12,3.198720349785738e-06,0.00047703803368326873,3.998400426719332e-06,0.0050000000014067915,0.039986001499325755,1.2794881399142951e-05,0.0040000000424448914
0.09,8.097473962509403e-07,9.996065615898997,0.0035750191798231815,9.599511520215842e-09,0.00044979756076627124,0.0003598380499535626,0.048,0.004,0.4,0.02,7.0,12.0,7.0,7.0,7.0,1.0,0.025,0.1,0.0004,0.0001,0.01,0.149999998125,0.00400000005,0.04,0.04,0.15,0.004,0.026666667,9.999640654277844,1.0,3.2389895850037615e-10,1.799190243065085e-05,3.1951905340259036e-07,9.599511520215843e-10,0.003998426246359599,1.4300076719292727e-06,3.839804608086337e-12,3.5983804995356258e-06,0.0005362528702703163,4.497975607662713e-06,0.005000000001999899,0.03998426296339927,1.4393521998142503e-05,0.004000000060339787
