Time,Ca,Cm,pms,pns,VNa,t_tauh,t_taun,thetaa,sigmaa,thetab,sigmab,tauBs,sigmam,sigmah,sigman,sigmaz,gNa,gKdr,gL,Iapp,gA,gNaP,gZ,thetaz,tauZs,phi,thetah,thetam,thetan,thetap,sigmap,VK,VL,INa,INaP,IKdr,IA,Iz,Minfs,Pinfs,Ainfs,zzs,bbs,nns,hhs,V,rrs,ccs,qqs,thetar,VCa,sigmar,sigmac,thetac,pwrc,pwrq,gCa,gKCa,gKAHP,tauRs,aq,ac,tauq,tauCa,uuCa,tauKc,mKCa,ICa,IAHP,IKC,compartment_0000001,reaction_0000001
0.0,0.000787,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007380345110665246,-0.0008365287283474945,3.7221365904926883e-05,0.08199570897486226,0.024692218199999994,0.01192581230306542,3.2944059180994884e-05,0.25009606642660503,0.0013689,0.207565,0.0242166,0.979199,-71.962,0.005507,0.002486,0.0,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.0001311494642286087,-0.0004657312784110399,0.0,5.8810656528885294e-05,1.0,-5.588114875435114e-05
0.01,0.0007864414032613826,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007402817770429435,-0.0008392547471142661,3.7243259155781445e-05,0.08213341696148883,0.024705906110110844,0.01193821853321007,3.305401751212098e-05,0.2501898225375391,0.0013689001791112045,0.20756490822228588,0.02421680560519273,0.9791988233039857,-71.95200315763577,0.005507028117805006,0.002486009125792625,5.320376667653724e-19,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.0001310563891817947,-0.0004657117800865799,4.801107064900136e-17,5.88017055642362e-05,1.0,-5.5838374757702094e-05
0.02,0.0007858832336694981,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.00742534184425369,-0.0008419879323005873,3.7267615570663725e-05,0.08227116106168504,0.024719592051459596,0.01195062975053083,3.316427380168496e-05,0.2502835434692547,0.0013689007224461551,0.2075646345078842,0.02421741323749101,0.9791983074006327,-71.94201256078895,0.00550711033333387,0.0024860358486516357,1.0625580602972983e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.000130963385290129,-0.00046570144580291195,9.593830053140532e-17,5.879313603819274e-05,1.0,-5.579554197808612e-05
0.03,0.0007853254926788305,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007447917384314942,-0.0008447282933514361,3.729440562962473e-05,0.08240894064025002,0.02473327604291718,0.011963045931499048,3.327482847320544e-05,0.2503772290815063,0.001368901631200102,0.20756417886226836,0.024218417350832116,0.9791974550970635,-71.93202821941722,0.005507246270594924,0.0024860801360449387,1.5915621243764683e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.0001308704527960019,-0.000465700210977896,1.4378149775139207e-16,5.878494715781968e-05,1.0,-5.5752651173208004e-05
0.04,0.0007847681808542068,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007470544478219205,-0.0008474758432996052,3.732359463259368e-05,0.08254675539718939,0.024746958107786644,0.011975467068896194,3.33856820950105e-05,0.2504708793574501,0.0013689029058156102,0.2075635416802386,0.024219811511053093,0.9791962699540595,-71.92205013032529,0.005507435433462194,0.002486141917291304,2.1190540655530396e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.0001307775917935664,-0.0004657079909561606,1.915407658409912e-16,5.877713720370055e-05,1.0,-5.570970323306968e-05
0.05,0.0007842112987915394,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007493223216830123,-0.0008502305952983655,3.735514530489327e-05,0.08268460505341942,0.024760638270495388,0.01198789315601073,3.34968352403846e-05,0.25056449428415534,0.001368904546766138,0.20756272339403486,0.024221588828447747,0.9791947558064664,-71.91207828990763,0.005507677286577042,0.0024862211155553247,2.6450384772245355e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00013068480238215516,-0.00046572469471651537,2.3921624448109677e-16,5.876970431422042e-05,1.0,-5.566669911372249e-05
0.06,0.0007836548470518291,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007515953689389101,-0.0008529925624706041,3.7389023083907226e-05,0.08282248932105453,0.024774316554927202,0.012000324185954415,3.3608288481482464e-05,0.25065807384744465,0.0013689065545053833,0.2075617244175886,0.024223742818981677,0.9791929162850354,-71.90211269469835,0.005507971322064659,0.002486317657536546,3.169519754440523e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00013059208465528372,-0.0004657502361480735,2.868080566389598e-16,5.8762646707967306e-05,1.0,-5.56236397194292e-05
0.07,0.0007830988261778834,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007538735984493043,-0.0008557617579331212,3.742519493469388e-05,0.08296040790906312,0.02478799298477307,0.012012760151773369,3.372004239030899e-05,0.25075161803273377,0.0013689089294799419,0.20756054515773573,0.02422626721388476,0.9791907549202442,-71.89215334128166,0.005508317045134536,0.002486431471443175,3.69250221336521e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.0001304994387034363,-0.00046578453160632267,3.343163193329765e-16,5.875596263734254e-05,1.0,-5.558052592838934e-05
0.08,0.0007825432367090111,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.0075615701910051415,-0.0008585381948207086,3.74636283099478e-05,0.0830983605287559,0.024801667583871822,0.012025201046556768,3.383209753969085e-05,0.25084512682584964,0.0013689116721415458,0.20755918602495677,0.02422915579329186,0.9791882752358358,-71.88220022620472,0.005508713960970245,0.002486562485091298,4.2139902052773e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00013040686461651417,-0.00046582749768769887,3.8174115393974304e-16,5.874965034502518e-05,1.0,-5.553735861612387e-05
0.09,0.0007819880791769137,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,1.0,1.4,0.2,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-41.0,3.0,-90.0,-70.0,-0.007584456397732464,-0.0008613218862753201,3.750429140437816e-05,0.0832363468914151,0.024815340376057458,0.012037646863388035,3.394445450283956e-05,0.2509386002126628,0.0013689147829415832,0.20755764742877872,0.02423240242977269,0.9791854807186186,-71.87225334601678,0.005509161579220714,0.0024867106266562374,4.73398806864144e-18,-20.0,120.0,10.0,7.0,-30.0,1.0,4.0,0.08,10.0,5.0,1.0,2.0,6.0,450.0,13.0,0.13,2.0,0.00013031436248315105,-0.0004658790519813837,4.290826818565568e-16,5.874370808131213e-05,1.0,-5.549413864764106e-05
