data_generator_MV1,data_generator_T
-49.360428,0.0
-52.093788,2.0
-57.166012,4.0
-59.351116,6.0
-60.686329,8.0
-62.389462,10.0
-62.616104,12.0
-62.131065,14.0
-61.296955,16.0
-60.297161,18.0
-59.228657,20.0
-58.142399,22.0
-57.061958,24.0
-55.992344,26.0
-56.337917,28.0
-57.431969,30.0
-57.726894,32.0
-57.536491,34.0
-57.056278,36.0
-56.401882,38.0
-55.638168,40.0
-57.602974,42.0
-58.960964,44.0
-60.000034,46.0
-61.125465,48.0
-61.297138,50.0
-60.848793,52.0
-60.083126,54.0
-59.159286,56.0
-58.162292,58.0
-58.689842,60.0
-60.365623,62.0
-60.642166,64.0
-61.285847,66.0
-63.817863,68.0
-64.325294,70.0
-63.926052,72.0
-63.100662,74.0
-62.073994,76.0
-60.959759,78.0
-59.818203,80.0
-58.747932,82.0
-60.448433,84.0
-60.847378,86.0
-60.470303,88.0
-60.712708,90.0
-61.5312,92.0
-61.345978,94.0
-60.759655,96.0
-59.915199,98.0
-58.943066,100.0
-57.91222,102.0
-56.855923,104.0
-55.783707,106.0
-54.683521,108.0
-53.533642,110.0
-52.259789,112.0
-52.801811,114.0
-53.320305,116.0
-53.36396,118.0
-53.10421,120.0
-52.558506,122.0
-51.740284,124.0
-50.530273,126.0
-48.759476,128.0
-45.20047,130.0
-39.677578,132.0
-58.432365,134.0
-62.366573,136.0
-63.511677,138.0
-63.470768,140.0
-62.884922,142.0
-62.031471,144.0
-61.085876,146.0
-60.087696,148.0
-59.075768,150.0
-58.06847,152.0
-57.071259,154.0
-56.07991,156.0
-55.081028,158.0
-54.049782,160.0
-52.942627,162.0
-54.392841,164.0
-57.134491,166.0
-58.955387,168.0
-59.43515,170.0
-59.198944,172.0
-58.579788,174.0
-57.754616,176.0
-57.883629,178.0
-59.159325,180.0
-59.876625,182.0
-59.81464,184.0
-59.296829,186.0
-58.532787,188.0
-57.634731,190.0
-56.656437,192.0
-57.101082,194.0
-58.153561,196.0
-58.327469,198.0
-57.961658,200.0
-57.352577,202.0
-56.563618,204.0
-55.65834,206.0
-54.650223,208.0
-55.786282,210.0
-57.591534,212.0
-58.081028,214.0
-57.835194,216.0
-58.744385,218.0
-58.495014,220.0
-57.859295,222.0
-57.006931,224.0
-56.025536,226.0
-54.950867,228.0
-53.77792,230.0
-52.454308,232.0
-50.837971,234.0
-48.33218,236.0
-42.587532,238.0
-49.926376,240.0
-57.124989,242.0
-56.311924,244.0
-55.437412,246.0
-54.544735,248.0
-53.615582,250.0
-52.614307,252.0
-51.429119,254.0
-49.941887,256.0
-49.346233,258.0
-51.377701,260.0
-52.795551,262.0
-53.533737,264.0
-53.730751,266.0
-53.50518,268.0
-53.00246,270.0
-52.231331,272.0
-51.160553,274.0
-49.624039,276.0
-46.993313,278.0
-34.880463,280.0
-57.010868,282.0
-59.274296,284.0
-59.190464,286.0
-58.70726,288.0
-59.433781,290.0
-60.7672,292.0
-60.806999,294.0
-60.196808,296.0
-59.349213,298.0
-59.433033,300.0
-60.43401,302.0
-60.40276,304.0
-59.851475,306.0
-59.035378,308.0
-58.083961,310.0
-57.061291,312.0
-55.993332,314.0
-54.879189,316.0
-53.691792,318.0
-52.365284,320.0
-50.748661,322.0
-48.249756,324.0
-42.441242,326.0
-50.188034,328.0
-56.812,330.0
-55.820072,332.0
-54.773777,334.0
-53.718357,336.0
-54.013439,338.0
-55.723793,340.0
-56.495316,342.0
-56.546486,344.0
-57.359341,346.0
-59.292591,348.0
-59.688229,350.0
-59.31292,352.0
-59.561718,354.0
-60.385155,356.0
-60.24667,358.0
-59.62191,360.0
-58.748318,362.0
-59.618435,364.0
-60.343647,366.0
-60.082802,368.0
-59.331379,370.0
-58.321777,372.0
-57.209869,374.0
-56.016304,376.0
-57.380695,378.0
-60.462105,380.0
-61.290089,382.0
-62.285107,384.0
-62.873688,386.0
